Date,Open,High,Low,Close,Adj
26-Jun-25,"3,339.03","3,363.61","3,339.03","3,360.82","3,360.82"
1-Jun-25,"3,226.99","3,344.00","3,207.02","3,332.70","3,332.70"
1-May-25,"3,078.73","3,268.25","3,054.16","3,235.83","3,235.83"
1-Apr-25,"3,059.77","3,115.11","2,640.72","3,045.67","3,045.67"
1-Mar-25,"3,265.58","3,277.79","2,999.28","3,066.42","3,066.42"
1-Feb-25,"3,279.97","3,373.02","3,196.81","3,259.07","3,259.07"
1-Jan-25,"3,232.61","3,365.16","3,165.78","3,320.99","3,320.99"
1-Dec-24,"3,320.33","3,354.58","3,195.04","3,221.05","3,221.05"
1-Nov-24,"3,118.49","3,324.33","3,116.68","3,317.38","3,317.38"
1-Oct-24,"3,142.19","3,212.41","3,097.76","3,120.81","3,120.81"
1-Sep-24,"3,071.26","3,147.07","2,947.10","3,145.06","3,145.06"
1-Aug-24,"3,023.64","3,084.98","2,799.00","3,082.73","3,082.73"
1-Jul-24,"2,981.95","3,092.94","2,942.53","3,015.48","3,015.48"
1-Jun-24,"2,892.96","3,006.89","2,858.49","2,974.64","2,974.64"
1-May-24,"2,754.53","2,920.85","2,746.19","2,882.75","2,882.75"
1-Apr-24,"2,883.49","2,886.19","2,713.73","2,757.13","2,757.13"
1-Mar-24,"2,796.08","2,887.34","2,773.05","2,881.91","2,881.91"
1-Feb-24,"2,664.92","2,800.33","2,659.45","2,795.56","2,795.56"
1-Jan-24,"2,605.25","2,703.87","2,571.76","2,656.43","2,656.43"
1-Dec-23,"2,498.87","2,636.42","2,494.02","2,622.14","2,622.14"
1-Nov-23,"2,295.23","2,511.68","2,294.38","2,501.69","2,501.69"
1-Oct-23,"2,348.75","2,406.79","2,243.79","2,292.38","2,292.38"
1-Sep-23,"2,480.20","2,488.97","2,323.30","2,351.35","2,351.35"
1-Aug-23,"2,513.79","2,514.73","2,374.58","2,470.02","2,470.02"
1-Jul-23,"2,437.06","2,526.49","2,398.61","2,518.42","2,518.42"
1-Jun-23,"2,286.41","2,441.21","2,280.62","2,436.93","2,436.93"
1-May-23,"2,277.59","2,313.19","2,212.72","2,285.65","2,285.65"
1-Apr-23,"2,250.98","2,283.30","2,214.64","2,279.16","2,279.16"
1-Mar-23,"2,187.44","2,254.06","2,089.50","2,253.36","2,253.36"
1-Feb-23,"2,241.44","2,314.12","2,172.58","2,187.75","2,187.75"
1-Jan-23,"2,113.61","2,253.09","2,081.64","2,244.91","2,244.91"
1-Dec-22,"2,242.95","2,250.50","2,064.50","2,105.90","2,105.90"
1-Nov-22,"2,141.92","2,239.12","2,032.11","2,239.12","2,239.12"
1-Oct-22,"1,989.46","2,145.78","1,921.75","2,128.36","2,128.36"
1-Sep-22,"2,162.53","2,268.80","1,971.66","1,972.29","1,972.29"
1-Aug-22,"2,253.96","2,381.86","2,176.31","2,176.45","2,176.45"
1-Jul-22,"2,075.00","2,272.12","2,041.98","2,267.10","2,267.10"
1-Jun-22,"2,278.87","2,296.36","1,995.44","2,075.96","2,075.96"
1-May-22,"2,276.61","2,372.45","2,094.11","2,269.07","2,269.07"
1-Apr-22,"2,501.25","2,535.73","2,272.56","2,276.45","2,276.45"
1-Mar-22,"2,422.06","2,562.95","2,292.70","2,501.29","2,501.29"
1-Feb-22,"2,494.64","2,542.17","2,277.90","2,422.79","2,422.79"
1-Jan-22,"2,645.68","2,672.00","2,330.65","2,494.64","2,494.64"
