tic,datadate,gvkeyx,prccm
I0124,1999-01-31,156765,1063.52900000
I0124,1999-02-28,156765,976.20000000
I0124,1999-03-31,156765,989.86800000
I0124,1999-04-30,156765,1077.60700000
I0124,1999-05-31,156765,1092.17400000
I0124,1999-06-30,156765,1139.99700000
I0124,1999-07-31,156765,1107.71600000
I0124,1999-08-31,156765,1065.52300000
I0124,1999-09-30,156765,1064.32200000
I0124,1999-10-31,156765,1067.58900000
I0124,1999-11-30,156765,1129.96700000
I0124,1999-12-31,156765,1256.03800000
I0124,2000-01-31,156765,1235.05600000
I0124,2000-02-29,156765,1437.64600000
I0124,2000-03-31,156765,1341.37300000
I0124,2000-04-30,156765,1259.77900000
I0124,2000-05-31,156765,1185.04800000
I0124,2000-06-30,156765,1286.39000000
I0124,2000-07-31,156765,1244.01600000
I0124,2000-08-31,156765,1336.79600000
I0124,2000-09-30,156765,1295.99600000
I0124,2000-10-31,156765,1236.99400000
I0124,2000-11-30,156765,1108.43900000
I0124,2000-12-31,156765,1201.82300000
I0124,2001-01-31,156765,1263.45300000
I0124,2001-02-28,156765,1178.98100000
I0124,2001-03-31,156765,1119.69800000
I0124,2001-04-30,156765,1206.16600000
I0124,2001-05-31,156765,1234.03800000
I0124,2001-06-30,156765,1275.04300000
I0124,2001-07-31,156765,1204.94500000
I0124,2001-08-31,156765,1164.61900000
I0124,2001-09-30,156765,1006.34400000
I0124,2001-10-31,156765,1064.22700000
I0124,2001-11-30,156765,1145.24600000
I0124,2001-12-31,156765,1214.10000000
I0124,2002-01-31,156765,1200.60400000
I0124,2002-02-28,156765,1166.42100000
I0124,2002-03-31,156765,1258.60100000
I0124,2002-04-30,156765,1269.09300000
I0124,2002-05-31,156765,1211.43400000
I0124,2002-06-30,156765,1149.83200000
I0124,2002-07-31,156765,975.34400000
I0124,2002-08-31,156765,971.75700000
I0124,2002-09-30,156765,900.45300000
I0124,2002-10-31,156765,928.39000000
I0124,2002-11-30,156765,1010.06000000
I0124,2002-12-31,156765,952.09400000
I0124,2003-01-31,156765,924.95400000
I0124,2003-02-28,156765,895.99300000
I0124,2003-03-31,156765,905.99700000
I0124,2003-04-30,156765,990.84400000
I0124,2003-05-31,156765,1096.03100000
I0124,2003-06-30,156765,1114.29800000
I0124,2003-07-31,156765,1183.05000000
I0124,2003-08-31,156765,1236.24600000
I0124,2003-09-30,156765,1212.02700000
I0124,2003-10-31,156765,1312.79100000
I0124,2003-11-30,156765,1358.24700000
I0124,2003-12-31,156765,1384.08500000
I0124,2004-01-31,156765,1443.37100000
I0124,2004-02-29,156765,1455.29500000
I0124,2004-03-31,156765,1467.09900000
I0124,2004-04-30,156765,1391.28100000
I0124,2004-05-31,156765,1412.35600000
I0124,2004-06-30,156765,1470.11900000
I0124,2004-07-31,156765,1370.11600000
I0124,2004-08-31,156765,1361.77100000
I0124,2004-09-30,156765,1423.92900000
I0124,2004-10-31,156765,1450.88700000
I0124,2004-11-30,156765,1575.12400000
I0124,2004-12-31,156765,1619.34400000
I0124,2005-01-31,156765,1550.87700000
I0124,2005-02-28,156765,1575.84500000
I0124,2005-03-31,156765,1528.64800000
I0124,2005-04-30,156765,1439.93400000
I0124,2005-05-31,156765,1532.71500000
I0124,2005-06-30,156765,1589.75200000
I0124,2005-07-31,156765,1689.37900000
I0124,2005-08-31,156765,1656.48500000
I0124,2005-09-30,156765,1659.68500000
I0124,2005-10-31,156765,1607.01500000
I0124,2005-11-30,156765,1683.26500000
I0124,2005-12-31,156765,1673.15800000
I0124,2006-01-31,156765,1822.22500000
I0124,2006-02-28,156765,1815.86500000
I0124,2006-03-31,156765,1901.60200000
I0124,2006-04-30,156765,1900.12300000
I0124,2006-05-31,156765,1791.94600000
I0124,2006-06-30,156765,1801.03400000
I0124,2006-07-31,156765,1741.11100000
I0124,2006-08-31,156765,1790.73300000
I0124,2006-09-30,156765,1803.32700000
I0124,2006-10-31,156765,1905.84700000
I0124,2006-11-30,156765,1953.74600000
I0124,2006-12-31,156765,1957.58800000
I0124,2007-01-31,156765,1989.10300000
I0124,2007-02-28,156765,1971.59200000
I0124,2007-03-31,156765,1990.01400000
I0124,2007-04-30,156765,2024.46000000
I0124,2007-05-31,156765,2105.41700000
I0124,2007-06-30,156765,2072.00200000
I0124,2007-07-31,156765,1928.91600000
I0124,2007-08-31,156765,1970.46000000
I0124,2007-09-30,156765,2001.74700000
I0124,2007-10-31,156765,2057.83600000
I0124,2007-11-30,156765,1908.09700000
I0124,2007-12-31,156765,1903.79500000
I0124,2008-01-31,156765,1772.72400000
I0124,2008-02-29,156765,1705.33100000
I0124,2008-03-31,156765,1709.77200000
I0124,2008-04-30,156765,1779.87800000
I0124,2008-05-31,156765,1859.66900000
I0124,2008-06-30,156765,1713.97600000
I0124,2008-07-31,156765,1775.77300000
I0124,2008-08-31,156765,1837.83600000
I0124,2008-09-30,156765,1688.93600000
I0124,2008-10-31,156765,1335.87500000
I0124,2008-11-30,156765,1175.86600000
I0124,2008-12-31,156765,1241.26600000
I0124,2009-01-31,156765,1102.27200000
I0124,2009-02-28,156765,966.80200000
I0124,2009-03-31,156765,1050.63500000
I0124,2009-04-30,156765,1211.71300000
I0124,2009-05-31,156765,1246.56000000
I0124,2009-06-30,156765,1263.20800000
I0124,2009-07-31,156765,1383.57000000
I0124,2009-08-31,156765,1421.74100000
I0124,2009-09-30,156765,1501.78200000
I0124,2009-10-31,156765,1398.62700000
I0124,2009-11-30,156765,1440.77600000
I0124,2009-12-31,156765,1554.25000000
I0124,2010-01-31,156765,1496.20900000
I0124,2010-02-28,156765,1562.12700000
I0124,2010-03-31,156765,1686.59900000
I0124,2010-04-30,156765,1780.93000000
I0124,2010-05-31,156765,1644.27700000
I0124,2010-06-30,156765,1514.72600000
I0124,2010-07-31,156765,1617.62400000
I0124,2010-08-31,156765,1496.26300000
I0124,2010-09-30,156765,1680.37500000
I0124,2010-10-31,156765,1748.01200000
I0124,2010-11-30,156765,1806.79500000
I0124,2010-12-31,156765,1947.56100000
I0124,2011-01-31,156765,1941.60500000
I0124,2011-02-28,156765,2046.47600000
I0124,2011-03-31,156765,2096.43000000
I0124,2011-04-30,156765,2150.46600000
I0124,2011-05-31,156765,2108.24200000
I0124,2011-06-30,156765,2056.36900000
I0124,2011-07-31,156765,1980.81600000
I0124,2011-08-31,156765,1806.29400000
I0124,2011-09-30,156765,1692.14400000
I0124,2011-10-31,156765,1841.73068000
I0124,2011-11-30,156765,1832.66614000
I0124,2011-12-31,156765,1841.36320000
I0124,2012-01-31,156765,1970.35797000
I0124,2012-02-29,156765,2015.38076000
I0124,2012-03-31,156765,2063.50797000
I0124,2012-04-30,156765,2030.14300000
I0124,2012-05-31,156765,1893.31900000
I0124,2012-06-30,156765,1984.44200000
I0124,2012-07-31,156765,1955.75200000
I0124,2012-08-31,156765,2018.24100000
I0124,2012-09-30,156765,2081.27300000
