tic,datadate,gvkeyx,conm,spmi,prccd,prccddiv
I0124,1999-01-04,156765,Russell 2000,,1048.62939500,1608.41992200
I0124,1999-01-05,156765,Russell 2000,,1050.72534200,1611.66064500
I0124,1999-01-06,156765,Russell 2000,,1064.87524400,1633.44006300
I0124,1999-01-07,156765,Russell 2000,,1065.28710900,1634.17956500
I0124,1999-01-08,156765,Russell 2000,,1073.78857400,1647.22106900
I0124,1999-01-11,156765,Russell 2000,,1078.89099100,1655.07043500
I0124,1999-01-12,156765,Russell 2000,,1064.53405800,1633.09350600
I0124,1999-01-13,156765,Russell 2000,,1058.05481000,1623.33081100
I0124,1999-01-14,156765,Russell 2000,,1046.09851100,1604.98877000
I0124,1999-01-15,156765,Russell 2000,,1063.12280300,1631.11645500
I0124,1999-01-19,156765,Russell 2000,,1073.06567400,1646.37146000
I0124,1999-01-20,156765,Russell 2000,,1072.26171900,1645.19335900
I0124,1999-01-21,156765,Russell 2000,,1055.86987300,1620.08105500
I0124,1999-01-22,156765,Russell 2000,,1051.88476600,1613.98535200
I0124,1999-01-25,156765,Russell 2000,,1050.88867200,1612.45861800
I0124,1999-01-26,156765,Russell 2000,,1058.85107400,1624.69531300
I0124,1999-01-27,156765,Russell 2000,,1048.33178700,1608.73657200
I0124,1999-01-28,156765,Russell 2000,,1055.40564000,1619.79199200
I0124,1999-01-29,156765,Russell 2000,,1063.52893100,1632.30175800
I0124,1999-02-01,156765,Russell 2000,,1060.70129400,1628.05578600
I0124,1999-02-02,156765,Russell 2000,,1049.96203600,1611.57739300
I0124,1999-02-03,156765,Russell 2000,,1054.85803200,1619.24597200
I0124,1999-02-04,156765,Russell 2000,,1040.19934100,1596.81189000
I0124,1999-02-05,156765,Russell 2000,,1027.83190900,1577.85278300
I0124,1999-02-08,156765,Russell 2000,,1024.14245600,1572.32080100
I0124,1999-02-09,156765,Russell 2000,,1003.64965800,1540.91442900
I0124,1999-02-10,156765,Russell 2000,,990.84039300,1521.66760300
I0124,1999-02-11,156765,Russell 2000,,1011.13256800,1552.96447800
I0124,1999-02-12,156765,Russell 2000,,991.58197000,1523.00354000
I0124,1999-02-16,156765,Russell 2000,,986.92565900,1515.92150900
I0124,1999-02-17,156765,Russell 2000,,969.93670700,1489.92492700
I0124,1999-02-18,156765,Russell 2000,,973.62738000,1495.63952600
I0124,1999-02-19,156765,Russell 2000,,976.71307400,1500.40991200
I0124,1999-02-22,156765,Russell 2000,,990.29968300,1521.28979500
I0124,1999-02-23,156765,Russell 2000,,993.18878200,1525.75195300
I0124,1999-02-24,156765,Russell 2000,,983.68322800,1511.29003900
I0124,1999-02-25,156765,Russell 2000,,977.37133800,1501.87524400
I0124,1999-02-26,156765,Russell 2000,,976.20013400,1500.09423800
I0124,1999-03-01,156765,Russell 2000,,981.48693800,1508.22326700
I0124,1999-03-02,156765,Russell 2000,,981.58325200,1508.39221200
I0124,1999-03-03,156765,Russell 2000,,975.50634800,1499.14660600
I0124,1999-03-04,156765,Russell 2000,,980.67230200,1507.15869100
I0124,1999-03-05,156765,Russell 2000,,990.47015400,1522.30041500
I0124,1999-03-08,156765,Russell 2000,,995.47406000,1530.06848100
I0124,1999-03-09,156765,Russell 2000,,993.56292700,1527.19506800
I0124,1999-03-10,156765,Russell 2000,,998.42000000,1534.79000000
I0124,1999-03-11,156765,Russell 2000,,998.33276400,1534.86767600
I0124,1999-03-12,156765,Russell 2000,,991.69622800,1524.70251500
I0124,1999-03-15,156765,Russell 2000,,997.80914300,1534.14013700
I0124,1999-03-16,156765,Russell 2000,,993.62078900,1527.73498500
I0124,1999-03-17,156765,Russell 2000,,991.71521000,1525.04467800
I0124,1999-03-18,156765,Russell 2000,,994.49658200,1529.38391100
I0124,1999-03-19,156765,Russell 2000,,987.08685300,1517.98889200
I0124,1999-03-22,156765,Russell 2000,,978.58990500,1504.94372600
I0124,1999-03-23,156765,Russell 2000,,954.19726600,1467.53698700
I0124,1999-03-24,156765,Russell 2000,,956.92218000,1471.84045400
I0124,1999-03-25,156765,Russell 2000,,978.23541300,1504.66687000
