,Optimal
shares_A,0.0
shares_AAPL,0.0
shares_ABBV,0.0
shares_ABT,0.0
shares_ACGL,0.0
shares_ACN,0.0
shares_ADBE,0.0
shares_ADI,0.0
shares_ADM,0.0
shares_ADP,0.0
shares_ADSK,0.0
shares_AEE,0.0
shares_AEP,0.0
shares_AES,0.0
shares_AFL,0.0
shares_AIG,0.0
shares_AIZ,0.0
shares_AJG,0.0
shares_AKAM,0.0
shares_ALB,182.07298
shares_ALGN,159.21892
shares_ALL,0.0
shares_ALLE,140.73607
shares_AMAT,0.0
shares_AMCR,0.0
shares_AMD,0.0
shares_AME,0.0
shares_AMGN,132.96025
shares_AMP,0.0
shares_AMT,0.0
shares_AMZN,0.0
shares_ANET,129.4057
shares_ANSS,0.0
shares_AON,0.0
shares_AOS,0.0
shares_APA,0.0
shares_APD,0.0
shares_APH,0.0
shares_APTV,0.0
shares_ARE,0.0
shares_ATO,0.0
shares_AVB,0.0
shares_AVGO,0.0
shares_AVY,0.0
shares_AWK,0.0
shares_AXON,0.0
shares_AXP,0.0
shares_AZO,2.8971135
shares_BA,0.0
shares_BAC,0.0
shares_BALL,0.0
shares_BAX,163.16294
shares_BBY,0.0
shares_BDX,0.0
shares_BEN,0.0
shares_BG,0.0
shares_BIIB,0.0
shares_BK,0.0
shares_BKNG,0.0
shares_BKR,0.0
shares_BLDR,0.0
shares_BLK,0.0
shares_BMY,0.0
shares_BR,0.0
shares_BRO,0.0
shares_BSX,0.0
shares_BWA,0.0
shares_BXP,0.0
shares_C,0.0
shares_CAG,0.0
shares_CAH,0.0
shares_CAT,0.0
shares_CB,0.0
shares_CBOE,0.0
shares_CBRE,0.0
shares_CCI,0.0
shares_CCL,0.0
shares_CDNS,0.0
shares_CDW,0.0
shares_CE,0.0
shares_CF,0.0
shares_CFG,0.0
shares_CHD,0.0
shares_CHRW,0.0
shares_CHTR,0.0
shares_CI,0.0
shares_CINF,0.0
shares_CL,0.0
shares_CLX,0.0
shares_CMCSA,0.0
shares_CME,0.0
shares_CMG,0.0
shares_CMI,0.0
shares_CMS,0.0
shares_CNC,0.0
shares_CNP,0.0
shares_COF,0.0
shares_COO,0.0
shares_COP,0.0
shares_COR,0.0
shares_COST,0.0
shares_CPAY,0.0
shares_CPB,0.0
shares_CPRT,0.0
shares_CPT,0.0
shares_CRL,0.0
shares_CRM,0.0
shares_CSCO,0.0
shares_CSGP,0.0
shares_CSX,0.0
shares_CTAS,0.0
shares_CTLT,0.0
shares_CTRA,0.0
shares_CTSH,0.0
shares_CVS,149.8782
shares_CVX,0.0
shares_D,0.0
shares_DAL,0.0
shares_DD,0.0
shares_DE,0.0
shares_DECK,0.0
shares_DFS,0.0
shares_DG,0.0
shares_DGX,461.08254
shares_DHI,0.0
shares_DHR,0.0
shares_DIS,0.0
shares_DLR,0.0
shares_DLTR,0.0
shares_DOC,0.0
shares_DOV,645.59049
shares_DPZ,0.0
shares_DRI,0.0
shares_DTE,0.0
shares_DUK,0.0
shares_DVA,0.0
shares_DVN,0.0
shares_DXCM,0.0
shares_EA,0.0
shares_EBAY,0.0
shares_ECL,0.0
shares_ED,435.76922
shares_EFX,0.0
shares_EG,0.0
shares_EIX,0.0
shares_EL,0.0
shares_ELV,0.0
shares_EMN,0.0
shares_EMR,0.0
shares_ENPH,0.0
shares_EOG,0.0
shares_EPAM,0.0
shares_EQIX,0.0
shares_EQR,0.0
shares_EQT,0.0
shares_ERIE,0.0
shares_ES,0.0
shares_ESS,0.0
shares_ETN,460.8089
shares_ETR,0.0
shares_EVRG,0.0
shares_EW,0.0
shares_EXC,0.0
shares_EXPD,0.0
shares_EXPE,0.0
shares_EXR,0.0
shares_F,0.0
shares_FANG,0.0
shares_FAST,0.0
shares_FCX,0.0
shares_FDS,0.0
shares_FDX,24.299833
shares_FE,0.0
shares_FFIV,423.69348
shares_FI,0.0
shares_FICO,0.0
shares_FIS,0.0
shares_FITB,0.0
shares_FMC,238.63021
shares_FRT,0.0
shares_FSLR,0.0
shares_FTNT,0.0
shares_FTV,0.0
shares_GD,0.0
shares_GDDY,0.0
shares_GE,0.0
shares_GEN,0.0
shares_GILD,0.0
shares_GIS,0.0
shares_GL,0.0
shares_GLW,0.0
shares_GM,0.0
shares_GNRC,0.0
shares_GOOG,0.0
shares_GOOGL,0.0
shares_GPC,0.0
shares_GPN,0.0
shares_GRMN,0.0
shares_GS,0.0
shares_GWW,0.0
shares_HAL,0.0
shares_HAS,74.408608
shares_HBAN,0.0
shares_HCA,0.0
shares_HD,0.0
shares_HES,0.0
shares_HIG,0.0
shares_HII,58.595764
shares_HLT,0.0
shares_HOLX,0.0
shares_HON,0.0
shares_HPE,0.0
shares_HPQ,0.0
shares_HRL,0.0
shares_HSIC,0.0
shares_HST,0.0
shares_HSY,0.0
shares_HUBB,32.521083
shares_HUM,0.0
shares_IBM,0.0
shares_ICE,0.0
shares_IDXX,0.0
shares_IEX,0.0
shares_IFF,0.0
shares_INCY,0.0
shares_INTC,0.0
shares_INTU,0.0
shares_IP,0.0
shares_IPG,0.0
shares_IQV,0.0
shares_IRM,0.0
shares_ISRG,0.0
shares_IT,94.586191
shares_ITW,0.0
shares_IVZ,0.0
shares_J,0.0
shares_JBHT,0.0
shares_JBL,0.0
shares_JCI,0.0
shares_JKHY,0.0
shares_JNJ,0.0
shares_JNPR,0.0
shares_JPM,0.0
shares_K,0.0
shares_KDP,0.0
shares_KEY,0.0
shares_KEYS,0.0
shares_KHC,0.0
shares_KIM,0.0
shares_KKR,0.0
shares_KLAC,0.0
shares_KMB,0.0
shares_KMI,0.0
shares_KMX,0.0
shares_KO,0.0
shares_KR,0.0
shares_L,0.0
shares_LDOS,0.0
shares_LEN,0.0
shares_LH,0.0
shares_LHX,0.0
shares_LIN,0.0
shares_LKQ,0.0
shares_LLY,0.0
shares_LMT,0.0
shares_LNT,0.0
shares_LOW,0.0
shares_LRCX,0.0
shares_LULU,0.0
shares_LUV,0.0
shares_LVS,0.0
shares_LYB,0.0
shares_LYV,0.0
shares_MA,0.0
shares_MAA,0.0
shares_MAR,0.0
shares_MAS,0.0
shares_MCD,0.0
shares_MCHP,0.0
shares_MCK,51.876816
shares_MCO,0.0
shares_MDLZ,0.0
shares_MDT,0.0
shares_MET,0.0
shares_META,172.43102
shares_MGM,0.0
shares_MHK,0.0
shares_MKC,0.0
shares_MKTX,0.0
shares_MLM,0.0
shares_MMC,0.0
shares_MMM,0.0
shares_MNST,0.0
shares_MO,0.0
shares_MOH,0.0
shares_MOS,0.0
shares_MPC,0.0
shares_MPWR,0.0
shares_MRK,0.0
shares_MRO,0.0
shares_MS,0.0
shares_MSCI,0.0
shares_MSFT,0.0
shares_MSI,45.387832
shares_MTB,0.0
shares_MTCH,0.0
shares_MTD,0.0
shares_MU,0.0
shares_NCLH,0.0
shares_NDAQ,0.0
shares_NDSN,0.0
shares_NEE,0.0
shares_NEM,0.0
shares_NFLX,0.0
shares_NI,0.0
shares_NKE,0.0
shares_NOC,0.0
shares_NOW,0.0
shares_NRG,0.0
shares_NSC,0.0
shares_NTAP,0.0
shares_NTRS,0.0
shares_NUE,0.0
shares_NVDA,0.0
shares_NVR,0.0
shares_NWS,0.0
shares_NWSA,0.0
shares_NXPI,422.96693
shares_O,0.0
shares_ODFL,0.0
shares_OKE,0.0
shares_OMC,0.0
shares_ON,0.0
shares_ORCL,0.0
shares_ORLY,0.0
shares_OXY,0.0
shares_PANW,0.0
shares_PARA,0.0
shares_PAYC,0.0
shares_PAYX,0.0
shares_PCAR,0.0
shares_PCG,0.0
shares_PEG,0.0
shares_PEP,0.0
shares_PFE,0.0
shares_PFG,0.0
shares_PG,0.0
shares_PGR,0.0
shares_PH,0.0
shares_PHM,0.0
shares_PKG,0.0
shares_PLD,0.0
shares_PM,0.0
shares_PNC,786.69194
shares_PNR,0.0
shares_PNW,0.0
shares_PODD,0.0
shares_POOL,0.0
shares_PPG,232.49635
shares_PPL,0.0
shares_PRU,0.0
shares_PSA,0.0
shares_PSX,0.0
shares_PTC,0.0
shares_PWR,0.0
shares_PYPL,0.0
shares_QCOM,0.0
shares_QRVO,281.13149
shares_RCL,0.0
shares_REG,0.0
shares_REGN,0.0
shares_RF,0.0
shares_RJF,0.0
shares_RL,0.0
shares_RMD,120.30072
shares_ROK,0.0
shares_ROL,0.0
shares_ROP,0.0
shares_ROST,0.0
shares_RSG,0.0
shares_RTX,303.48974
shares_RVTY,0.0
shares_SBAC,0.0
shares_SBUX,0.0
shares_SCHW,0.0
shares_SHW,0.0
shares_SJM,0.0
shares_SLB,0.0
shares_SMCI,0.0
shares_SNA,0.0
shares_SNPS,0.0
shares_SO,0.0
shares_SPG,982.82205
shares_SPGI,0.0
shares_SRE,0.0
shares_STE,0.0
shares_STLD,0.0
shares_STT,0.0
shares_STX,0.0
shares_STZ,0.0
shares_SWK,0.0
shares_SWKS,0.0
shares_SYF,0.0
shares_SYK,59.234088
shares_SYY,0.0
shares_T,0.0
shares_TAP,0.0
shares_TDG,0.0
shares_TDY,0.0
shares_TECH,0.0
shares_TEL,0.0
shares_TER,0.0
shares_TFC,0.0
shares_TFX,0.0
shares_TGT,578.40654
shares_TJX,0.0
shares_TMO,0.0
shares_TMUS,739.77305
shares_TPR,0.0
shares_TRGP,0.0
shares_TRMB,0.0
shares_TROW,76.380617
shares_TRV,290.8626
shares_TSCO,0.0
shares_TSLA,0.0
shares_TSN,0.0
shares_TT,0.0
shares_TTWO,0.0
shares_TXN,0.0
shares_TXT,0.0
shares_TYL,0.0
shares_UAL,0.0
shares_UDR,0.0
shares_UHS,0.0
shares_ULTA,0.0
shares_UNH,0.0
shares_UNP,0.0
shares_UPS,357.08543
shares_URI,0.0
shares_USB,0.0
shares_V,0.0
shares_VLO,0.0
shares_VMC,0.0
shares_VRSK,0.0
shares_VRSN,0.0
shares_VRTX,0.0
shares_VTR,0.0
shares_VTRS,0.0
shares_VZ,0.0
shares_WAB,0.0
shares_WAT,0.0
shares_WBA,0.0
shares_WBD,0.0
shares_WDC,0.0
shares_WEC,0.0
shares_WELL,0.0
shares_WFC,0.0
shares_WM,0.0
shares_WMB,0.0
shares_WMT,0.0
shares_WRB,0.0
shares_WST,0.0
shares_WTW,0.0
shares_WY,0.0
shares_WYNN,0.0
shares_XEL,0.0
shares_XOM,0.0
shares_XYL,0.0
shares_YUM,207.70676
shares_ZBH,0.0
shares_ZBRA,0.0
shares_ZTS,0.0
