mktrf,smb,hml,rf,dateff
-0.047400,0.051600,-0.011200,0.00410,2000-01-31
0.024600,0.212500,-0.097700,0.00430,2000-02-29
0.052100,-0.174100,0.085000,0.00470,2000-03-31
-0.063900,-0.060000,0.064500,0.00460,2000-04-28
-0.043900,-0.060800,0.045900,0.00500,2000-05-31
0.046800,0.127100,-0.080400,0.00400,2000-06-30
-0.024800,-0.028400,0.080600,0.00480,2000-07-31
0.070300,-0.005000,-0.013700,0.00500,2000-08-31
-0.054400,-0.017400,0.072400,0.00510,2000-09-29
-0.027800,-0.038500,0.055800,0.00560,2000-10-31
-0.107000,-0.030800,0.122400,0.00510,2000-11-30
0.011800,0.008200,0.075500,0.00500,2000-12-29
0.032500,0.064100,-0.050500,0.00540,2001-01-31
-0.100300,-0.006500,0.122300,0.00380,2001-02-28
-0.072500,0.002600,0.064700,0.00420,2001-03-30
0.079300,0.005000,-0.046400,0.00390,2001-04-30
0.006800,0.024800,0.033800,0.00320,2001-05-31
-0.019400,0.063500,-0.012600,0.00280,2001-06-29
-0.021300,-0.040500,0.049500,0.00300,2001-07-31
-0.064000,0.021900,0.028600,0.00310,2001-08-31
-0.092400,-0.062300,0.015200,0.00280,2001-09-28
0.024800,0.074900,-0.073100,0.00220,2001-10-31
0.075300,-0.005700,0.021700,0.00170,2001-11-30
0.016100,0.047200,0.008300,0.00150,2001-12-31
-0.014400,0.011700,0.034200,0.00140,2002-01-31
-0.023000,-0.010800,0.023400,0.00130,2002-02-28
0.042400,0.040900,0.010800,0.00130,2002-03-28
-0.052100,0.058200,0.040100,0.00150,2002-04-30
-0.013600,-0.032700,0.015200,0.00140,2002-05-31
-0.072300,0.040800,0.003700,0.00130,2002-06-28
-0.081900,-0.052500,-0.035100,0.00150,2002-07-31
0.005000,-0.028000,0.030100,0.00140,2002-08-30
-0.103400,0.024200,0.012600,0.00140,2002-09-30
0.078400,-0.034000,-0.037600,0.00140,2002-10-31
0.059600,0.032600,-0.011600,0.00120,2002-11-29
-0.057600,-0.000400,0.021100,0.00110,2002-12-31
-0.025700,0.013400,-0.007900,0.00100,2003-01-31
-0.018800,-0.004400,-0.013600,0.00090,2003-02-28
0.010900,0.011700,-0.021100,0.00100,2003-03-31
0.081800,0.007600,0.012200,0.00100,2003-04-30
0.060500,0.046100,0.007000,0.00090,2003-05-30
0.014200,0.017000,0.001400,0.00100,2003-06-30
0.023300,0.049300,-0.015300,0.00070,2003-07-31
0.023300,0.024400,0.016400,0.00070,2003-08-29
-0.012400,0.008500,0.001400,0.00080,2003-09-30
0.060800,0.025900,0.022100,0.00070,2003-10-31
0.013500,0.020600,0.017200,0.00070,2003-11-28
0.042900,-0.026800,0.015100,0.00080,2003-12-31
0.021500,0.025400,0.024200,0.00070,2004-01-30
0.014000,-0.015700,0.009500,0.00060,2004-02-27
-0.013200,0.017300,0.002300,0.00090,2004-03-31
-0.018100,-0.017300,-0.032300,0.00080,2004-04-30
0.011800,-0.002300,-0.001800,0.00060,2004-05-28
0.018500,0.022500,0.012100,0.00080,2004-06-30
-0.040400,-0.037600,0.032200,0.00100,2004-07-30
0.000700,-0.015200,0.010800,0.00110,2004-08-31
0.016000,0.030100,-0.000500,0.00110,2004-09-30
0.014200,0.001300,-0.002600,0.00110,2004-10-29
0.045300,0.037400,0.015700,0.00150,2004-11-30
0.034200,-0.000300,-0.002300,0.00160,2004-12-31
-0.027500,-0.016600,0.020600,0.00160,2005-01-31
0.018800,-0.005700,0.014100,0.00160,2005-02-28
-0.019400,-0.014100,0.020700,0.00210,2005-03-31
-0.026100,-0.039300,0.000500,0.00210,2005-04-29
0.036500,0.028600,-0.005800,0.00240,2005-05-31
0.005800,0.025600,0.028000,0.00230,2005-06-30
0.039200,0.028700,-0.007800,0.00240,2005-07-29
-0.012000,-0.010700,0.013400,0.00300,2005-08-31
0.004800,-0.006200,0.007800,0.00290,2005-09-30
-0.020400,-0.013000,0.004300,0.00270,2005-10-31
0.036100,0.010500,-0.011900,0.00310,2005-11-30
-0.002400,-0.004400,0.001500,0.00320,2005-12-30
0.030300,0.054600,0.009900,0.00350,2006-01-31
-0.003000,-0.004100,-0.003100,0.00340,2006-02-28
0.014700,0.033900,0.006100,0.00370,2006-03-31
0.007300,-0.013800,0.022600,0.00360,2006-04-28
-0.035600,-0.030100,0.023800,0.00430,2006-05-31
-0.003500,-0.003500,0.008500,0.00400,2006-06-30
-0.007700,-0.039500,0.026200,0.00400,2006-07-31
0.020300,0.009900,-0.019500,0.00420,2006-08-31
0.018400,-0.013000,0.000600,0.00410,2006-09-29
0.032200,0.017700,-0.003300,0.00410,2006-10-31
0.017000,0.006300,0.000400,0.00420,2006-11-30
0.008500,-0.011600,0.027400,0.00400,2006-12-29
0.013800,0.000900,-0.006800,0.00440,2007-01-31
-0.019600,0.012300,-0.000800,0.00380,2007-02-28
0.007100,0.000900,-0.008800,0.00430,2007-03-30
0.034900,-0.022100,-0.014400,0.00440,2007-04-30
0.032300,0.001600,-0.005900,0.00410,2007-05-31
-0.019600,0.007300,-0.010500,0.00400,2007-06-29
-0.037200,-0.026600,-0.036800,0.00400,2007-07-31
0.009400,-0.001100,-0.018700,0.00420,2007-08-31
0.032200,-0.022500,-0.021700,0.00320,2007-09-28
0.017900,0.001900,-0.028700,0.00320,2007-10-31
-0.048000,-0.028100,-0.010900,0.00340,2007-11-30
-0.008700,0.001100,-0.005100,0.00270,2007-12-31
-0.063300,-0.010200,0.040000,0.00210,2008-01-31
-0.030900,-0.004800,-0.007200,0.00130,2008-02-29
-0.009400,0.007100,0.003100,0.00170,2008-03-31
0.046100,-0.016900,-0.009600,0.00180,2008-04-30
0.018700,0.029700,-0.015000,0.00180,2008-05-30
-0.084300,0.011500,-0.025100,0.00170,2008-06-30
-0.007500,0.026000,0.052000,0.00150,2008-07-31
0.015300,0.034000,0.015200,0.00130,2008-08-29
-0.093500,-0.010700,0.056600,0.00150,2008-09-30
-0.172000,-0.023100,-0.018900,0.00080,2008-10-31
-0.077400,-0.030100,-0.062100,0.00030,2008-11-28
0.017700,0.035200,0.000500,0.00000,2008-12-31
-0.080900,0.000400,-0.110200,0.00000,2009-01-30
-0.101400,0.001400,-0.066000,0.00010,2009-02-27
0.090100,-0.001000,0.034800,0.00020,2009-03-31
0.101700,0.054000,0.053800,0.00010,2009-04-30
0.052100,-0.024100,0.004100,0.00000,2009-05-29
0.004200,0.025800,-0.027600,0.00010,2009-06-30
0.077400,0.017500,0.048900,0.00010,2009-07-31
0.033300,-0.011200,0.076000,0.00010,2009-08-31
0.040800,0.024300,0.011500,0.00010,2009-09-30
-0.025300,-0.042600,-0.041700,0.00000,2009-10-30
0.056300,-0.025000,-0.003300,0.00000,2009-11-30
0.028000,0.060100,-0.001100,0.00010,2009-12-31
-0.033500,0.004300,0.003300,0.00000,2010-01-29
0.033900,0.011800,0.031800,0.00000,2010-02-26
0.063000,0.014600,0.021900,0.00010,2010-03-31
0.019900,0.048400,0.029600,0.00010,2010-04-30
-0.079000,0.001300,-0.024800,0.00010,2010-05-28
-0.055600,-0.017900,-0.047300,0.00010,2010-06-30
0.069200,0.002200,-0.005000,0.00010,2010-07-30
-0.047800,-0.030100,-0.017300,0.00010,2010-08-31
0.095500,0.038200,-0.030200,0.00010,2010-09-30
0.038700,0.010800,-0.024600,0.00010,2010-10-29
0.005900,0.036700,-0.009000,0.00010,2010-11-30
0.068200,0.007200,0.035600,0.00010,2010-12-31
0.019800,-0.022900,0.006100,0.00010,2011-01-31
0.034800,0.015000,0.011800,0.00010,2011-02-28
0.004500,0.024900,-0.018400,0.00010,2011-03-31
0.029000,-0.004200,-0.024400,0.00000,2011-04-29
-0.012700,-0.007300,-0.018500,0.00000,2011-05-31
-0.017400,-0.002700,-0.002000,0.00000,2011-06-30
-0.023500,-0.011700,-0.009100,0.00000,2011-07-29
-0.059600,-0.029600,-0.024300,0.00010,2011-08-31
-0.075800,-0.031200,-0.015300,0.00000,2011-09-30
0.113300,0.030500,0.000600,0.00000,2011-10-31
-0.002700,-0.001800,-0.005200,0.00000,2011-11-30
0.007500,-0.005600,0.015400,0.00000,2011-12-30
0.050500,0.020100,-0.009300,0.00000,2012-01-31
0.044200,-0.018400,0.004200,0.00000,2012-02-29
0.031200,-0.006300,0.011900,0.00000,2012-03-30
-0.008500,-0.003700,-0.007700,0.00000,2012-04-30
-0.061700,0.001200,-0.009500,0.00010,2012-05-31
0.038900,0.007200,0.005500,0.00000,2012-06-29
0.007900,-0.027600,-0.000600,0.00000,2012-07-31
0.025400,0.005000,0.012300,0.00010,2012-08-31
0.027300,0.004500,0.016200,0.00010,2012-09-28
-0.017600,-0.010900,0.035200,0.00010,2012-10-31
0.007800,0.006000,-0.008600,0.00010,2012-11-30
0.011800,0.015000,0.034800,0.00010,2012-12-31
0.055700,0.002900,0.010100,0.00000,2013-01-31
0.012800,-0.003000,0.002100,0.00000,2013-02-28
0.040400,0.008300,-0.002200,0.00000,2013-03-28
0.015600,-0.023700,0.004400,0.00000,2013-04-30
0.028000,0.017000,0.026700,0.00000,2013-05-31
-0.012000,0.013100,-0.000500,0.00000,2013-06-28
0.056500,0.018100,0.005800,0.00000,2013-07-31
-0.027100,0.003200,-0.027300,0.00000,2013-08-30
0.037700,0.028900,-0.011800,0.00000,2013-09-30
0.041700,-0.015600,0.012200,0.00000,2013-10-31
0.031100,0.013100,0.001900,0.00000,2013-11-29
0.028100,-0.004400,0.000000,0.00000,2013-12-31
-0.033200,0.009300,-0.019900,0.00000,2014-01-31
0.046600,0.003600,-0.003500,0.00000,2014-02-28
0.004300,-0.018600,0.049000,0.00000,2014-03-31
-0.001800,-0.041800,0.012200,0.00000,2014-04-30
0.020500,-0.018500,-0.001000,0.00000,2014-05-30
0.026000,0.030500,-0.007100,0.00000,2014-06-30
-0.020300,-0.041800,-0.000800,0.00000,2014-07-31
0.042400,0.004100,-0.005700,0.00000,2014-08-29
-0.019600,-0.035900,-0.014700,0.00000,2014-09-30
0.025100,0.040500,-0.016300,0.00000,2014-10-31
0.025600,-0.020500,-0.031300,0.00000,2014-11-28
-0.000500,0.025300,0.021200,0.00000,2014-12-31
-0.031000,-0.005900,-0.034500,0.00000,2015-01-30
0.061300,0.006100,-0.017900,0.00000,2015-02-27
-0.011100,0.030500,-0.003800,0.00000,2015-03-31
0.005900,-0.029900,0.018000,0.00000,2015-04-30
0.013700,0.009500,-0.011100,0.00000,2015-05-29
-0.015200,0.029400,-0.008200,0.00000,2015-06-30
0.015700,-0.041700,-0.041600,0.00000,2015-07-31
-0.060200,0.003700,0.027500,0.00000,2015-08-31
-0.030600,-0.026300,0.005500,0.00000,2015-09-30
0.077500,-0.019000,-0.004700,0.00000,2015-10-30
0.005700,0.035800,-0.004300,0.00000,2015-11-30
-0.021500,-0.028000,-0.025700,0.00010,2015-12-31
-0.057400,-0.034000,0.020800,0.00010,2016-01-29
-0.000600,0.007300,-0.006100,0.00020,2016-02-29
0.069500,0.007500,0.012200,0.00020,2016-03-31
0.009200,0.007700,0.032200,0.00010,2016-04-29
0.017800,-0.001800,-0.016200,0.00010,2016-05-31
-0.000300,0.006000,-0.014900,0.00020,2016-06-30
0.039400,0.024500,-0.012400,0.00020,2016-07-29
0.004900,0.011700,0.031700,0.00020,2016-08-31
0.002700,0.020800,-0.011900,0.00020,2016-09-30
-0.020100,-0.043900,0.041100,0.00020,2016-10-31
0.048600,0.056000,0.082900,0.00010,2016-11-30
0.018100,0.001400,0.034700,0.00030,2016-12-30
0.019400,-0.011600,-0.027600,0.00040,2017-01-31
0.035500,-0.021500,-0.015000,0.00040,2017-02-28
0.001700,0.011300,-0.033300,0.00030,2017-03-31
0.010800,0.006600,-0.020500,0.00050,2017-04-28
0.010700,-0.025200,-0.038200,0.00060,2017-05-31
0.007900,0.022100,0.015000,0.00060,2017-06-30
0.018800,-0.014500,-0.002300,0.00070,2017-07-31
0.001800,-0.016700,-0.021300,0.00090,2017-08-31
0.024900,0.044500,0.031500,0.00090,2017-09-29
0.022600,-0.019300,0.001300,0.00090,2017-10-31
0.031200,-0.006000,-0.000900,0.00080,2017-11-30
0.010600,-0.013200,0.000500,0.00090,2017-12-29
0.055800,-0.031600,-0.013200,0.00110,2018-01-31
-0.036400,0.002700,-0.011000,0.00110,2018-02-28
-0.023500,0.040500,-0.002100,0.00120,2018-03-29
0.002700,0.010900,0.005300,0.00140,2018-04-30
0.026600,0.052400,-0.031400,0.00140,2018-05-31
0.004900,0.011100,-0.023300,0.00140,2018-06-29
0.032000,-0.022300,0.004900,0.00160,2018-07-31
0.034500,0.011400,-0.039100,0.00160,2018-08-31
0.000600,-0.022900,-0.016200,0.00150,2018-09-28
-0.076500,-0.047000,0.033800,0.00190,2018-10-31
0.017100,-0.007300,0.003600,0.00180,2018-11-30
-0.095500,-0.023100,-0.019200,0.00190,2018-12-31
0.083700,0.027600,-0.003900,0.00210,2019-01-31
0.034200,0.020500,-0.026600,0.00180,2019-02-28
0.011000,-0.030300,-0.041400,0.00190,2019-03-29
0.039700,-0.017400,0.021300,0.00210,2019-04-30
-0.069200,-0.012600,-0.024500,0.00210,2019-05-31
