PERMNO,Date,Ticker,PRC,RET
0,2015-03-31,BAJAJ-AUTO,1965.5,-0.06914515747099215
1,2015-04-30,BAJAJ-AUTO,1891.0,-0.03790384126176549
2,2015-05-31,BAJAJ-AUTO,2255.0,0.1924907456372289
3,2015-06-30,BAJAJ-AUTO,2477.0,0.09844789356984474
4,2015-07-31,BAJAJ-AUTO,2460.0,-0.006863140896245512
5,2015-08-31,BAJAJ-AUTO,2180.0,-0.11382113821138207
6,2015-09-30,BAJAJ-AUTO,2261.5,0.03738532110091741
7,2015-10-31,BAJAJ-AUTO,2484.5,0.09860711916869325
8,2015-11-30,BAJAJ-AUTO,2419.0,-0.026363453411149096
9,2015-12-31,BAJAJ-AUTO,2478.0,0.024390243902439046
10,2016-01-31,BAJAJ-AUTO,2298.0,-0.07263922518159804
11,2016-02-29,BAJAJ-AUTO,2145.5,-0.0663620539599652
12,2016-03-31,BAJAJ-AUTO,2343.0,0.0920531344674902
13,2016-04-30,BAJAJ-AUTO,2425.5,0.035211267605633756
14,2016-05-31,BAJAJ-AUTO,2552.5,0.05236033807462381
15,2016-06-30,BAJAJ-AUTO,2626.5,0.028991185112634765
16,2016-07-31,BAJAJ-AUTO,2635.0,0.003236245954692629
17,2016-08-31,BAJAJ-AUTO,2902.0,0.10132827324478177
18,2016-09-30,BAJAJ-AUTO,2770.0,-0.045485871812543044
19,2016-10-31,BAJAJ-AUTO,2760.0,-0.0036101083032491488
20,2016-11-30,BAJAJ-AUTO,2623.5,-0.0494565217391304
21,2016-12-31,BAJAJ-AUTO,2569.0,-0.020773775490756652
22,2017-01-31,BAJAJ-AUTO,2771.0,0.0786298170494355
23,2017-02-28,BAJAJ-AUTO,2685.0,-0.03103572717430525
24,2017-03-31,BAJAJ-AUTO,2736.5,0.0191806331471136
25,2017-04-30,BAJAJ-AUTO,2800.0,0.02320482367988297
26,2017-05-31,BAJAJ-AUTO,2769.5,-0.010892857142857149
