Ticker,Status
WFTIQ,NO_DATA
SSP,SUCCESS
PDCO,NO_DATA
AMZN,SUCCESS
SHLDQ,NO_DATA
VRSN,SUCCESS
HAR,NO_DATA
KIM,SUCCESS
LM,NO_DATA
BRL,NO_DATA
CELG,NO_DATA
WFM,NO_DATA
CHKAQ,NO_DATA
DFODQ,NO_DATA
EL,SUCCESS
BXP,SUCCESS
WU,SUCCESS
CTSH,SUCCESS
CNX,SUCCESS
BTUUQ,NO_DATA
GOOGL,SUCCESS
VIAB,NO_DATA
CBRE,SUCCESS
FIS,SUCCESS
TNL,SUCCESS
WINMQ,NO_DATA
JNPR,NO_DATA
TEX,SUCCESS
CME,SUCCESS
MDLZ,SUCCESS
JEF,SUCCESS
HST,SUCCESS
NBL,NO_DATA
PCP,NO_DATA
ANDV,NO_DATA
VAR,NO_DATA
GHC,SUCCESS
TEG,NO_DATA
EXPD,SUCCESS
RRC,SUCCESS
AVB,SUCCESS
TIE,NO_DATA
ANF,SUCCESS
AMT,SUCCESS
RL,SUCCESS
CHRW,SUCCESS
AKAM,SUCCESS
HCBK,NO_DATA
COV,NO_DATA
SUNEQ,NO_DATA
GME,SUCCESS
ICE,SUCCESS
AIZ,SUCCESS
TDC,SUCCESS
EXPE,SUCCESS
VALPQ,NO_DATA
DFS,NO_DATA
MTW,SUCCESS
SITC,SUCCESS
ACAS,NO_DATA
GGP,NO_DATA
MCHP,SUCCESS
FAST,SUCCESS
CTRA,SUCCESS
EQT,SUCCESS
LHX,SUCCESS
DOC,SUCCESS
SJM,SUCCESS
SWN,NO_DATA
TSS,NO_DATA
WEC,SUCCESS
FLS,SUCCESS
PBCT,NO_DATA
XRAY,SUCCESS
IVZ,RATE_LIMITED
CAM,RATE_LIMITED
DVA,RATE_LIMITED
LO,RATE_LIMITED
SRCL,RATE_LIMITED
APH,RATE_LIMITED
PXD,RATE_LIMITED
ISRG,RATE_LIMITED
RSG,RATE_LIMITED
NDAQ,RATE_LIMITED
PM,RATE_LIMITED
CRM,RATE_LIMITED
AKS,RATE_LIMITED
CEPH,RATE_LIMITED
MA,RATE_LIMITED
MFE,RATE_LIMITED
WYNN,RATE_LIMITED
KDP,RATE_LIMITED
CF,RATE_LIMITED
ARG,RATE_LIMITED
CLF,RATE_LIMITED
HRL,RATE_LIMITED
ES,RATE_LIMITED
SCG,RATE_LIMITED
VTR,RATE_LIMITED
WDC,RATE_LIMITED
ATGE,RATE_LIMITED
WELL,RATE_LIMITED
ROP,RATE_LIMITED
ROST,RATE_LIMITED
ORLY,RATE_LIMITED
FLIR,RATE_LIMITED
DOFSQ,RATE_LIMITED
IRM,RATE_LIMITED
PWR,RATE_LIMITED
BKNG,RATE_LIMITED
RHT,RATE_LIMITED
TWC,RATE_LIMITED
FTI,RATE_LIMITED
TMUS,RATE_LIMITED
LDOS,RATE_LIMITED
FSLR,RATE_LIMITED
MJN,RATE_LIMITED
V,RATE_LIMITED
CFN,RATE_LIMITED
DNRCQ,RATE_LIMITED
BRK/B,RATE_LIMITED
HP,RATE_LIMITED
CERN,RATE_LIMITED
CVC,RATE_LIMITED
NFX,RATE_LIMITED
URBN,RATE_LIMITED
FFIV,RATE_LIMITED
QEP,RATE_LIMITED
NFLX,RATE_LIMITED
KMX,RATE_LIMITED
NRG,RATE_LIMITED
DISCA,RATE_LIMITED
GAS,RATE_LIMITED
JOY,RATE_LIMITED
PRGO,RATE_LIMITED
BWA,RATE_LIMITED
DLTR,RATE_LIMITED
ACN,RATE_LIMITED
PLD,RATE_LIMITED
EW,RATE_LIMITED
CMG,RATE_LIMITED
MOS,RATE_LIMITED
ANRZQ,RATE_LIMITED
TRIP,RATE_LIMITED
XYL,RATE_LIMITED
MPC,RATE_LIMITED
LYB,RATE_LIMITED
PSX,RATE_LIMITED
DG,RATE_LIMITED
KMI,RATE_LIMITED
KRFT,RATE_LIMITED
WPX,RATE_LIMITED
FOSL,RATE_LIMITED
PNR,RATE_LIMITED
STX,RATE_LIMITED
PETM,RATE_LIMITED
ALXN,RATE_LIMITED
CCI,RATE_LIMITED
GRMN,RATE_LIMITED
LRCX,RATE_LIMITED
ABBV,RATE_LIMITED
PVH,RATE_LIMITED
AME,RATE_LIMITED
REGN,RATE_LIMITED
ALLE,RATE_LIMITED
MHK,RATE_LIMITED
VRTX,RATE_LIMITED
META,RATE_LIMITED
DAL,RATE_LIMITED
MAC,RATE_LIMITED
NWSA,RATE_LIMITED
CPRI,RATE_LIMITED
BFH,RATE_LIMITED
ZTS,RATE_LIMITED
GM,RATE_LIMITED
AVGO,RATE_LIMITED
UAA,RATE_LIMITED
RCL,RATE_LIMITED
UHS,RATE_LIMITED
AMG,RATE_LIMITED
GOOG,RATE_LIMITED
TSCO,RATE_LIMITED
LVLT,RATE_LIMITED
ESS,RATE_LIMITED
URI,RATE_LIMITED
NAVI,RATE_LIMITED
MNKKQ,RATE_LIMITED
GMCR,RATE_LIMITED
MLM,RATE_LIMITED
XEC,RATE_LIMITED
DISCK,RATE_LIMITED
TFCF,RATE_LIMITED
NWS,RATE_LIMITED
CSRA,RATE_LIMITED
HCA,RATE_LIMITED
HPE,RATE_LIMITED
VRSK,RATE_LIMITED
SLG,RATE_LIMITED
SYF,RATE_LIMITED
HBI,RATE_LIMITED
AAL,RATE_LIMITED
SWKS,RATE_LIMITED
ATVI,RATE_LIMITED
KHC,RATE_LIMITED
HSIC,RATE_LIMITED
SIG,RATE_LIMITED
MNST,RATE_LIMITED
O,RATE_LIMITED
WRK,RATE_LIMITED
CHD,RATE_LIMITED
JBHT,RATE_LIMITED
UAL,RATE_LIMITED
PYPL,RATE_LIMITED
CPGX,RATE_LIMITED
ENDPQ,RATE_LIMITED
AAP,RATE_LIMITED
ILMN,RATE_LIMITED
NLSN,RATE_LIMITED
QRVO,RATE_LIMITED
BXLT,RATE_LIMITED
EQIX,RATE_LIMITED
EXR,RATE_LIMITED
CXO,RATE_LIMITED
AWK,RATE_LIMITED
FBIN,RATE_LIMITED
UDR,RATE_LIMITED
FTV,RATE_LIMITED
AJG,RATE_LIMITED
WTW,RATE_LIMITED
FL,RATE_LIMITED
CHTR,RATE_LIMITED
ULTA,RATE_LIMITED
ALK,RATE_LIMITED
HOLX,RATE_LIMITED
CFG,RATE_LIMITED
HWM,RATE_LIMITED
TDG,RATE_LIMITED
UA,RATE_LIMITED
COO,RATE_LIMITED
MAA,RATE_LIMITED
MTD,RATE_LIMITED
ALB,RATE_LIMITED
FRT,RATE_LIMITED
LNT,RATE_LIMITED
CNC,RATE_LIMITED
EVHC,RATE_LIMITED
COTY,RATE_LIMITED
GPN,RATE_LIMITED
AYI,RATE_LIMITED
LKQ,RATE_LIMITED
DLR,RATE_LIMITED
BHF,RATE_LIMITED
DD,RATE_LIMITED
PKG,RATE_LIMITED
DXC,RATE_LIMITED
BKR,RATE_LIMITED
HLT,RATE_LIMITED
CBOE,RATE_LIMITED
IQV,RATE_LIMITED
IT,RATE_LIMITED
RJF,RATE_LIMITED
IDXX,RATE_LIMITED
NCLH,RATE_LIMITED
AOS,RATE_LIMITED
INCY,RATE_LIMITED
CDNS,RATE_LIMITED
SNPS,RATE_LIMITED
ANSS,RATE_LIMITED
SBAC,RATE_LIMITED
RMD,RATE_LIMITED
DRE,RATE_LIMITED
MGM,RATE_LIMITED
ARE,RATE_LIMITED
REG,RATE_LIMITED
DISH,RATE_LIMITED
EG,RATE_LIMITED
ALGN,RATE_LIMITED
LIN,RATE_LIMITED
WCG,RATE_LIMITED
CPAY,RATE_LIMITED
MSCI,RATE_LIMITED
IPGP,RATE_LIMITED
BR,RATE_LIMITED
ROL,RATE_LIMITED
ANET,RATE_LIMITED
KEYS,RATE_LIMITED
LW,RATE_LIMITED
TWTR,RATE_LIMITED
HFC,RATE_LIMITED
JKHY,RATE_LIMITED
SIVBQ,RATE_LIMITED
TTWO,RATE_LIMITED
CE,RATE_LIMITED
HII,RATE_LIMITED
EVRG,RATE_LIMITED
CPRT,RATE_LIMITED
FTNT,RATE_LIMITED
FANG,RATE_LIMITED
NKTR,RATE_LIMITED
ABMD,RATE_LIMITED
ATO,RATE_LIMITED
CDW,RATE_LIMITED
IEX,RATE_LIMITED
WRB,RATE_LIMITED
CTVA,RATE_LIMITED
FRCB,RATE_LIMITED
FOXA,RATE_LIMITED
FOX,RATE_LIMITED
STE,RATE_LIMITED
NVR,RATE_LIMITED
ODFL,RATE_LIMITED
MKTX,RATE_LIMITED
TFX,RATE_LIMITED
ZBRA,RATE_LIMITED
LYV,RATE_LIMITED
WAB,RATE_LIMITED
NOW,RATE_LIMITED
AMCR,RATE_LIMITED
DOW,RATE_LIMITED
LVS,RATE_LIMITED
CARR,RATE_LIMITED
OTIS,RATE_LIMITED
PAYC,RATE_LIMITED
DXCM,RATE_LIMITED
CTLT,RATE_LIMITED
VTRS,RATE_LIMITED
WST,RATE_LIMITED
BIO,RATE_LIMITED
DPZ,RATE_LIMITED
TYL,RATE_LIMITED
ETSY,RATE_LIMITED
IR,RATE_LIMITED
POOL,RATE_LIMITED
TSLA,RATE_LIMITED
TDY,RATE_LIMITED
VNT,RATE_LIMITED
EPAM,RATE_LIMITED
CZR,RATE_LIMITED
GNRC,RATE_LIMITED
NXPI,RATE_LIMITED
OGN,RATE_LIMITED
MTCH,RATE_LIMITED
CRL,RATE_LIMITED
TRMB,RATE_LIMITED
MRNA,RATE_LIMITED
SEDG,RATE_LIMITED
PENN,RATE_LIMITED
SBNY,RATE_LIMITED
MPWR,RATE_LIMITED
ENPH,RATE_LIMITED
DAY,RATE_LIMITED
BRO,RATE_LIMITED
FDS,RATE_LIMITED
TECH,RATE_LIMITED
STLD,RATE_LIMITED
CEG,RATE_LIMITED
NDSN,RATE_LIMITED
ON,RATE_LIMITED
WBD,RATE_LIMITED
CPT,RATE_LIMITED
VICI,RATE_LIMITED
J,RATE_LIMITED
CSGP,RATE_LIMITED
INVH,RATE_LIMITED
ACGL,RATE_LIMITED
TRGP,RATE_LIMITED
MOH,RATE_LIMITED
AXON,RATE_LIMITED
PODD,RATE_LIMITED
UBER,RATE_LIMITED
BG,RATE_LIMITED
KVUE,RATE_LIMITED
LULU,RATE_LIMITED
BLDR,RATE_LIMITED
ABNB,RATE_LIMITED
HUBB,RATE_LIMITED
VLTO,RATE_LIMITED
BX,RATE_LIMITED
FICO,RATE_LIMITED
PANW,RATE_LIMITED
GEHC,RATE_LIMITED
TPL,RATE_LIMITED
SOLV,RATE_LIMITED
SMCI,RATE_LIMITED
LII,RATE_LIMITED
GDDY,RATE_LIMITED
DELL,RATE_LIMITED
APTV,RATE_LIMITED
LH,RATE_LIMITED
VST,RATE_LIMITED
ERIE,RATE_LIMITED
CRWD,RATE_LIMITED
SW,RATE_LIMITED
PLTR,RATE_LIMITED
TEL,RATE_LIMITED
APO,RATE_LIMITED
BLK,RATE_LIMITED
KKR,RATE_LIMITED
GEV,RATE_LIMITED
DECK,RATE_LIMITED
WDAY,RATE_LIMITED
APP,RATE_LIMITED
ARES,RATE_LIMITED
COIN,RATE_LIMITED
CRH,RATE_LIMITED
CVNA,RATE_LIMITED
DASH,RATE_LIMITED
DDOG,RATE_LIMITED
EME,RATE_LIMITED
EXE,RATE_LIMITED
FISV,RATE_LIMITED
FIX,RATE_LIMITED
HOOD,RATE_LIMITED
