c1,c2,c3,reward
1.0,0.0,0.0,-0.0001758686283781
0.9,0.0,0.0,-0.0002166089212872
1.1,0.0,0.0,-0.0001683888850245
1.0,-0.1,0.0,-0.0006168767438121
1.0,0.1,0.0,0.0002166715933214
1.0,0.0,-0.1,-0.0029244364115035
1.0,0.0,0.1,0.0023276586222312
1.0,-0.3,-0.1,-0.0046823203291268
0.9,0.0,0.1,0.0022829581722497
1.1,0.0,0.1,0.002356992677319
1.0,-0.1,0.1,0.0019530542949135
1.0,0.1,0.1,0.0027010513388191
1.0,0.0,0.2,0.0047803348023073
1.0,-0.0,0.4,0.0095703673121998
0.9,-0.0,0.4,0.0094527548251303
1.1,-0.0,0.4,0.0096726133503071
1.0,-0.1,0.4,0.0092162245484059
1.0,0.1,0.4,0.0099233000283959
1.0,-0.0,0.3,0.0071945710133394
1.0,-0.0,0.5,0.0119077235498055
1.2,-0.2,0.2,0.0041182210118035
0.9,-0.0,0.5,0.0117658071679279
1.1,-0.0,0.5,0.0120342734437391
1.0,-0.1,0.5,0.011560400755102
1.0,0.1,0.5,0.0122538362086036
1.0,-0.0,0.6,0.0142066397668894
1.3,-0.2,0.5,0.0115195469398956
0.9,-0.0,0.6,0.0140404193434761
1.1,-0.0,0.6,0.0143574937178208
1.0,-0.1,0.6,0.0138661369579623
1.0,0.1,0.6,0.0145459325103034
0.8,0.4,0.4,0.0106897509776389
0.9,0.1,0.6,0.0143754000155441
1.1,0.1,0.6,0.0147010985103193
1.0,0.2,0.6,0.0148840151589811
0.7,0.0,0.6,0.0136618793101443
0.9,0.2,0.6,0.0147091706001058
1.1,0.2,0.6,0.0150434932160646
1.0,0.3,0.6,0.0152208879439957
1.0,0.2,0.5,0.012598739086589
1.1,0.4,0.5,0.0134287124497391
0.9,0.3,0.6,0.0150417315085344
1.1,0.3,0.6,0.0153846780381639
1.0,0.4,0.6,0.0155565507007844
1.0,0.3,0.5,0.0129424316398042
0.9,0.4,0.6,0.0153730821276127
1.1,0.4,0.6,0.015724652613806
1.0,0.5,0.6,0.0158910033734132
1.0,0.4,0.5,0.0132849144656067
0.9,0.6,0.6,0.0160321535280944
0.8,0.6,0.6,0.0158246947961854
1.0,0.6,0.6,0.0162242460022475
0.9,0.5,0.6,0.015703222930308
0.9,0.6,0.5,0.0137984614068111
0.7,0.4,0.4,0.0105241577185663
1.1,0.6,0.6,0.0164009721384116
1.0,0.6,0.5,0.0139662497321515
1.2,0.6,0.6,0.0165623315819602
1.3,0.6,0.6,0.0167083249769488
1.2,0.5,0.6,0.0162204647754098
1.2,0.6,0.5,0.0142557275665714
1.3,0.4,0.6,0.016014757572983
1.4,0.6,0.6,0.0168389517352416
1.3,0.5,0.6,0.016362146069918
1.3,0.6,0.5,0.0143774167393134
1.4,0.4,0.4,0.0113606157655542
1.5,0.6,0.6,0.0169542121152027
1.4,0.5,0.6,0.0164884608684377
1.4,0.6,0.5,0.0144837394849512
1.5,0.5,0.6,0.0165994093974165
1.5,0.6,0.5,0.0149435287188151
1.3,0.4,0.4,0.0112872210668347
1.5,0.6,0.4,0.0121567397342631
1.3,0.5,0.5,0.0140244180587448
1.5,0.5,0.4,0.0121108780506413
1.5,0.6,0.3,0.0097003436573565
1.3,0.6,0.4,0.0120080685133304
1.5,0.4,0.5,0.0138502405276651
1.4,0.4,0.6,0.016136760433784
1.5,0.3,0.6,0.0158861740772698
1.5,0.4,0.3,0.0089486080757007
1.2,0.4,0.5,0.0135571438839866
1.5,0.5,0.5,0.0142130732847
1.4,0.3,0.6,0.0157838496786155
1.3,0.5,0.4,0.0116482497907061
1.3,0.4,0.3,0.0088657928337977
1.4,0.6,0.3,0.0096579948481038
1.4,0.6,0.4,0.0120900872438474
1.5,0.5,0.3,0.0093574149387665
1.5,0.4,0.6,0.0162433966304564
1.3,0.4,0.5,0.0136702092409594
1.3,0.3,0.3,0.0084967341310193
1.5,0.4,0.4,0.0114186440463496
1.3,0.6,0.3,0.0096002801617919
1.5,0.3,0.3,0.008570925312551
1.5,0.3,0.5,0.0134861979167773
1.2,0.6,0.3,0.0095271989463211
1.3,0.3,0.6,0.0156661587500978
1.4,0.5,0.4,0.0117259565042326
1.3,0.5,0.3,0.0092336414317084
1.4,0.3,0.4,0.0109940651113944
1.2,0.4,0.6,0.0158773880611567
1.2,0.3,0.5,0.0132060373774441
1.4,0.5,0.3,0.0092870444563479
1.3,0.3,0.5,0.0133147904522727
1.4,0.4,0.5,0.0137679080059512
1.2,0.3,0.6,0.0155331014117746
1.4,0.5,0.5,0.0141264287502607
1.2,0.5,0.5,0.0139070408506255
1.2,0.5,0.3,0.0091648722393811
1.2,0.6,0.4,0.0119106831931899
1.5,0.3,0.4,0.0110477817102218
1.4,0.4,0.3,0.0089148837739534
1.0,0.6,0.3,0.0093349374502472
1.3,0.3,0.4,0.0109249823736626
1.1,0.5,0.6,0.016063417338652
1.2,0.5,0.4,0.0115551765377747
1.1,0.5,0.4,0.0114467367851365
1.0,0.6,0.4,0.0116698135778556
1.4,0.3,0.5,0.0134081773440651
1.1,0.6,0.5,0.0141186717436337
1.1,0.5,0.5,0.0137742970577008
1.0,0.5,0.5,0.0136261870694772
1.1,0.3,0.5,0.0130819175311993
1.1,0.6,0.3,0.0094387514343159
1.1,0.6,0.4,0.0117979316504775
