c1,c2,c3,reward
1.0,0.0,0.0,0.0260550000144854
0.9,0.0,0.0,0.0237989999414744
1.1,0.0,0.0,0.028311000005138
1.0,-0.1,0.0,0.0259910000041987
1.0,0.1,0.0,0.0261189999258493
1.0,0.0,-0.1,0.0276360001095429
1.0,0.0,0.1,0.0244739999800669
1.2,-0.2,-0.1,0.0320199999896506
1.1,-0.2,-0.1,0.0297639998085165
1.3,-0.2,-0.1,0.0342760000626322
1.2,-0.3,-0.1,0.0319559998119955
1.2,-0.1,-0.1,0.0320839999499933
1.2,-0.2,-0.2,0.0336009999730998
1.2,-0.2,0.0,0.03043900003756
1.5,-0.4,-0.2,0.0402410002037509
1.4,-0.4,-0.2,0.0379849999559926
1.5,-0.5,-0.2,0.0401770002265574
1.5,-0.3,-0.2,0.040304999926197
1.5,-0.4,-0.3,0.0400812848680156
1.5,-0.4,-0.1,0.0386600000750548
1.3,-0.5,0.0,0.0325029998019469
1.4,-0.3,-0.2,0.0380489998517071
1.5,-0.2,-0.2,0.0403690000425777
1.5,-0.3,-0.3,0.0418859999987476
1.5,-0.3,-0.1,0.0387239999595895
1.3,-0.3,-0.3,0.0373739999663351
1.4,-0.3,-0.3,0.0396300001052193
1.5,-0.2,-0.3,0.0388658624464613
1.5,-0.3,-0.4,0.0429938320623864
1.4,-0.3,-0.4,0.0412109999705095
1.5,-0.4,-0.4,0.041274634559643
1.5,-0.2,-0.4,0.0409704679237281
1.5,-0.3,-0.5,0.0446599561875884
1.4,-0.3,-0.5,0.0427375111645887
1.5,-0.4,-0.5,0.0450158770272063
1.5,-0.2,-0.5,0.0451120000304565
1.5,-0.3,-0.6,0.046628999955077
1.5,-0.1,-0.5,0.0458490340778229
1.4,-0.3,-0.6,0.0420932378411306
1.5,-0.4,-0.6,0.0465388710669981
1.5,-0.2,-0.6,0.0462628314615864
1.3,-0.3,-0.4,0.0389550002046747
1.5,-0.1,-0.6,0.04735988182483
1.4,-0.1,-0.6,0.0442453287724783
1.5,0.0,-0.6,0.0410060177191057
1.4,-0.0,-0.6,0.0434169730479157
1.5,-0.0,-0.5,0.045218377998208
1.3,0.1,-0.6,0.0424967535058174
1.2,-0.0,-0.6,0.040053000139966
1.3,-0.3,-0.6,0.0418050997918301
1.2,0.2,-0.6,0.0380895156763046
1.5,0.2,-0.4,0.0435172936340745
1.4,-0.0,-0.5,0.0400830526478134
1.4,-0.1,-0.5,0.0429199999778778
1.5,0.1,-0.3,0.0412709868055835
1.5,0.2,-0.6,0.0472618176472033
1.5,0.1,-0.6,0.0471050423545206
1.2,-0.3,-0.6,0.0393046387792482
1.4,0.2,-0.3,0.0399499999032812
1.2,-0.3,-0.4,0.0366989999368522
1.5,0.0,-0.4,0.0430368018321286
1.2,0.1,-0.6,0.0404011065884705
1.3,0.0,-0.6,0.0428786028390509
1.5,-0.1,-0.4,0.04343657643855
1.3,-0.2,-0.6,0.0422957749333547
1.3,-0.2,-0.3,0.0374380001437753
1.4,0.1,-0.6,0.0448920608715355
1.2,-0.1,-0.6,0.0392492542989149
1.2,-0.3,-0.5,0.038279999864965
1.4,-0.2,-0.6,0.0445183396555192
1.4,-0.4,-0.3,0.0386518400947969
1.3,-0.4,-0.6,0.0420221806820307
1.3,-0.2,-0.5,0.0405999999727465
1.5,0.2,-0.3,0.042205999956498
1.2,-0.2,-0.5,0.0383439999994636
1.3,-0.1,-0.6,0.0422480400571966
1.4,-0.2,-0.4,0.0410620076547419
1.5,0.1,-0.4,0.0437229999101898
1.2,0.1,-0.5,0.0385359999318865
1.5,-0.0,-0.3,0.0417791080584187
1.4,-0.1,-0.4,0.0399577735119251
1.4,0.2,-0.4,0.0410782816713281
1.2,-0.2,-0.6,0.0392986893223346
1.2,0.2,-0.3,0.0354379999431025
1.4,0.2,-0.5,0.0430466153994643
1.3,0.1,-0.5,0.0407920000438311
1.5,0.1,-0.5,0.0440946570737703
1.2,0.1,-0.4,0.0369550000574148
1.4,0.1,-0.5,0.0430041903212196
1.3,0.1,-0.3,0.0376300000034032
1.4,-0.1,-0.3,0.0397580002028729
1.3,-0.1,-0.5,0.040663999961059
1.5,0.2,-0.5,0.0389406540519518
1.4,0.2,-0.6,0.0405201607825385
1.3,0.2,-0.6,0.0424369999442802
1.4,-0.0,-0.4,0.0414030000785116
1.3,-0.4,-0.3,0.0373100001078502
1.2,-0.4,-0.5,0.037861577233478
1.2,0.0,-0.3,0.0353099999582327
1.4,-0.4,-0.6,0.0444812473609592
1.3,-0.0,-0.5,0.0407280000250894
1.2,-0.4,-0.4,0.0366350001538808
1.2,0.2,-0.4,0.0365114764843258
1.3,0.1,-0.4,0.0392110000771434
1.3,0.2,-0.5,0.0386482378787073
1.3,0.2,-0.4,0.0392750000589516
1.5,-0.1,-0.3,0.0404726630907616
1.3,-0.0,-0.3,0.0375660001463098
1.2,-0.2,-0.4,0.0367629998563759
1.4,-0.2,-0.3,0.0396940000878178
1.2,-0.1,-0.4,0.0368270000443875
1.3,-0.1,-0.4,0.0376548353720866
1.3,-0.4,-0.4,0.038890999900238
1.3,0.0,-0.4,0.0391469999053566
1.2,-0.1,-0.3,0.0352459999712123
1.2,0.0,-0.4,0.036890999918685
1.3,-0.3,-0.5,0.0405360001028559
1.2,0.1,-0.3,0.0353740000988012
1.4,0.1,-0.4,0.041467000107021
1.3,-0.2,-0.4,0.0384234395463999
1.4,-0.4,-0.5,0.0410520811196947
1.2,-0.4,-0.6,0.0397970000011393
1.1,-0.4,-0.6,0.0375410002229047
1.2,-0.5,-0.6,0.0394275103033361
1.4,-0.6,-0.6,0.0441039840984677
1.0,-0.4,-0.6,0.0352850000457394
1.1,-0.5,-0.6,0.0374770001957497
1.1,-0.3,-0.6,0.0376050000134572
1.1,-0.4,-0.5,0.0359599999464786
0.9,-0.4,-0.6,0.0330290000187671
1.0,-0.5,-0.6,0.035220999723368
1.0,-0.3,-0.6,0.0353490000041582
1.0,-0.4,-0.5,0.0337040001244633
0.8,-0.4,-0.6,0.0307729999326209
0.9,-0.5,-0.6,0.0329649999340981
0.9,-0.3,-0.6,0.0330930002019429
0.9,-0.4,-0.5,0.0314479998905774
1.0,-0.6,-0.3,0.0304140000707926
0.7,-0.4,-0.6,0.0285169999488397
0.8,-0.5,-0.6,0.0307089999952934
0.8,-0.3,-0.6,0.0308370000390508
0.8,-0.4,-0.5,0.0291919999370179
0.7,-0.5,-0.4,0.0252910000372206
0.8,-0.5,-0.4,0.0272532413986642
0.7,-0.6,-0.4,0.0252269999980004
0.7,-0.4,-0.4,0.0253550001194344
0.7,-0.5,-0.5,0.0263797553083528
0.7,-0.5,-0.3,0.0237099998885561
0.8,-0.5,-0.3,0.0259659999420032
0.7,-0.6,-0.3,0.0236460000344099
0.7,-0.4,-0.3,0.0237740001406024
0.7,-0.5,-0.2,0.0221289999148325
0.7,-0.5,0.0,0.0189670000625047
0.8,-0.5,0.0,0.0212230001788429
0.7,-0.6,0.0,0.0189030000845466
0.7,-0.4,0.0,0.0190310000262664
0.7,-0.5,-0.1,0.0205480000192644
0.7,-0.5,0.1,0.0173859999699745
0.7,-0.3,-0.1,0.0206760000663686
0.8,-0.5,0.1,0.0196419999708365
0.7,-0.6,0.1,0.0173219999840484
0.7,-0.4,0.1,0.0174500000128458
0.7,-0.5,0.2,0.01580500000644
0.8,-0.6,0.1,0.0195780000000946
0.7,-0.6,0.2,0.0157410000011139
0.8,-0.6,0.2,0.0179970000877534
0.7,-0.6,0.3,0.0141599999746764
0.8,-0.6,0.3,0.0164160000066564
0.7,-0.5,0.3,0.0142240000360131
0.7,-0.6,0.4,0.0125789999132845
0.7,-0.3,0.6,0.0096090000153461
0.8,-0.6,0.4,0.0148349999401695
0.7,-0.5,0.4,0.0126429999855699
0.7,-0.6,0.5,0.0109980000308339
0.7,-0.4,0.3,0.014287999992042
0.8,-0.6,0.5,0.0132539998903655
0.7,-0.5,0.5,0.0110619999614935
0.7,-0.6,0.6,0.0094170001483956
1.0,-0.4,0.5,0.0178940000284875
0.8,-0.6,0.6,0.0116611651940859
0.7,-0.5,0.6,0.0094810000641772
0.9,-0.6,0.5,0.0155099999830568
0.9,-0.4,0.5,0.0156380000424457
0.9,-0.6,0.6,0.0139289999241889
1.0,-0.6,0.6,0.0161850000169148
0.7,-0.4,0.4,0.0127069999555377
0.7,-0.4,0.6,0.0095450000236317
0.8,-0.4,0.6,0.0118009999439814
0.7,-0.4,0.5,0.0111259999949681
0.9,-0.4,0.3,0.0188000000763487
0.9,-0.4,0.6,0.0140569998872082
1.0,-0.6,0.4,0.0193469999380457
0.9,-0.6,0.4,0.0170909999782434
0.9,-0.4,0.4,0.0172190000131144
1.0,-0.3,0.5,0.017957999981586
0.8,-0.4,0.3,0.0165440000159903
0.9,-0.6,0.3,0.0186719999799806
0.8,-0.5,0.6,0.0117370000821043
0.8,-0.4,0.5,0.0133819999596873
1.0,-0.4,0.6,0.016312999973754
0.7,-0.3,0.5,0.0111900000055853
1.0,-0.4,0.3,0.0210560000540731
0.9,-0.5,0.3,0.0187360000010105
0.8,-0.5,0.5,0.0133180000628866
0.8,-0.3,0.6,0.011865000043272
0.9,-0.5,0.6,0.013993000023857276
1.0,-0.5,0.6,0.016248999973123977
0.9,-0.5,0.5,0.015574000020355139
1.1,-0.5,0.6,0.018505000146944284
1.0,-0.5,0.5,0.01782999996960158
1.2,-0.5,0.6,0.020761000035001816
1.1,-0.6,0.6,0.018440999931330103
1.1,-0.4,0.6,0.018568999982349566
1.1,-0.5,0.5,0.02008599998692004
1.4,-0.5,0.6,0.02527300015908477
1.3,-0.5,0.6,0.023016999957618457
1.5,-0.5,0.6,0.02632307250911463
1.4,-0.6,0.6,0.025208999972188662
1.4,-0.4,0.6,0.025337000096060637
1.4,-0.5,0.5,0.02685400004233351
1.2,-0.3,0.6,0.020888999963120547
1.3,-0.5,0.5,0.02459799995433793
1.5,-0.5,0.5,0.029110000067740695
1.4,-0.6,0.5,0.02679000013732089
1.4,-0.4,0.5,0.026917999921748557
1.4,-0.5,0.4,0.02843499992912559
1.5,-0.5,0.2,0.033852999967516485
1.4,-0.5,0.2,0.031596999999294106
1.5,-0.6,0.2,0.031056917984720725
1.5,-0.4,0.2,0.03333735560552045
1.5,-0.5,0.1,0.03543400028506041
1.5,-0.5,0.3,0.03227199999718933
1.5,-0.5,0.4,0.030690999885545286
1.4,-0.5,0.1,0.033178000089169574
1.5,-0.6,0.1,0.0353288193541809
1.5,-0.4,0.1,0.03549799992384735
1.5,-0.5,0.0,0.03701500017094653
1.4,-0.5,0.0,0.03475900016173181
1.5,-0.6,0.0,0.03674660676065436
1.5,-0.4,0.0,0.03707900019118755
1.5,-0.5,-0.1,0.03859600002662718
1.4,-0.6,-0.1,0.036275999916588586
1.4,-0.5,-0.1,0.036339999962258215
1.5,-0.6,-0.1,0.038431953069711755
1.5,-0.6,-0.2,0.04011300025893545
1.5,-0.6,-0.3,0.041368505147693954
1.4,-0.6,-0.3,0.039437999918304004
1.5,-0.5,-0.3,0.04175800022642927
1.5,-0.6,-0.4,0.043274999809459674
1.5,-0.6,-0.5,0.045516853613517
1.4,-0.6,-0.5,0.041535802811421364
1.5,-0.5,-0.5,0.044919999992216596
1.5,-0.6,-0.6,0.046366348152728665
1.5,-0.5,-0.6,0.04464739136294774
1.2,-0.6,-0.4,0.03650699974584533
1.3,-0.6,-0.4,0.03876300005956752
1.2,-0.6,-0.6,0.039668999819667844
1.3,-0.6,-0.6,0.04192500006137824
1.3,-0.6,-0.5,0.04034399991804024
1.3,-0.5,-0.4,0.038826999918912454
1.3,-0.6,-0.3,0.03718199981251528
1.5,-0.5,-0.4,0.04360356228677279
1.4,-0.6,-0.4,0.04101900005533939
1.4,-0.5,-0.3,0.03950200024243985
1.2,-0.6,-0.5,0.03808800004942073
1.2,-0.6,-0.3,0.03492600005430341
1.4,-0.5,-0.5,0.04266399990551337
1.3,-0.5,-0.6,0.041380213427184065
1.4,-0.4,-0.4,0.04147150307529116
1.4,-0.5,-0.6,0.044245000076624255
1.2,-0.5,-0.5,0.03717884149169523
1.4,-0.5,-0.4,0.04108299984579167
