c1,c2,c3,reward
1.0,0.0,0.0,-0.0009040521284
0.9,0.0,0.0,0.0014176318978934
1.1,0.0,0.0,-0.0034456943639744
1.0,-0.1,0.0,0.0018512658620937
1.0,0.1,0.0,-0.0037422284664478
1.0,0.0,-0.1,-0.0019503007804022
1.0,0.0,0.1,-0.0001407053487868
0.8,-0.1,-0.2,0.0043871721386516
0.7,-0.1,-0.2,0.0063848097329275
0.9,-0.1,-0.2,0.0021695765349447
0.8,-0.2,-0.2,0.0072345749084059
0.8,0.0,-0.2,0.0014569114274122
0.8,-0.1,-0.3,0.0030596742321559
0.8,-0.1,-0.1,0.005431768443741
1.1,-0.4,-0.3,0.0045556252696914
0.7,-0.2,-0.2,0.0090160528657851
0.9,-0.2,-0.2,0.0050575857627272
0.8,-0.3,-0.2,0.0099991196803477
0.8,-0.2,-0.3,0.0060351548157341
0.8,-0.2,-0.1,0.0081510932908146
0.9,-0.2,0.0,0.006764196832016
0.7,-0.3,-0.2,0.0114109287003658
0.9,-0.3,-0.2,0.0078627369829518
0.8,-0.4,-0.2,0.0126808063954159
0.8,-0.3,-0.3,0.0079430709089161
0.8,-0.3,-0.1,0.0107875598464886
0.8,-0.4,-0.4,0.010511376010828
0.7,-0.4,-0.2,0.0141164658272358
0.9,-0.4,-0.2,0.0105002211623636
0.8,-0.5,-0.2,0.0152796345258464
0.8,-0.4,-0.3,0.0115981403858566
0.8,-0.4,-0.1,0.0133411686558484
0.7,-0.5,-0.2,0.0169431469940024
0.9,-0.5,-0.2,0.0132244652302105
0.8,-0.6,-0.2,0.0174677134905726
0.8,-0.5,-0.3,0.0144144861496761
0.8,-0.5,-0.1,0.0157655904075924
0.9,-0.6,-0.4,0.0133947573349347
0.7,-0.6,-0.2,0.0195592573335961
0.9,-0.6,-0.2,0.015626238779951
0.8,-0.6,-0.3,0.0170329430051366
0.8,-0.6,-0.1,0.0171870069839415
0.7,-0.5,-0.1,0.0164524204061027
0.7,-0.6,-0.3,0.0179290999869024
0.7,-0.6,-0.1,0.0184981077089275
0.7,-0.3,0.0,0.0130530463092729
0.7,-0.5,-0.0,0.0177104148670062
0.7,-0.6,-0.0,0.0190051623143183
0.8,-0.6,-0.0,0.017966830098741
0.7,-0.6,0.1,0.0189613245002491
1.0,-0.6,-0.2,0.0135465214863779
0.8,-0.6,0.1,0.0167345901722558
0.7,-0.5,0.1,0.0163113341145586
0.7,-0.6,0.2,0.0168846147987132
0.7,-0.6,0.3,0.015246188454553
0.9,-0.5,0.2,0.0137407772905367
0.7,-0.4,-0.1,0.0146701984960724
0.7,-0.6,0.4,0.0139109119097902
0.8,-0.6,0.4,0.0127539809052733
0.7,-0.5,0.4,0.0134608675636591
0.7,-0.6,0.5,0.0102807827936804
0.9,-0.6,0.3,0.0137860807457335
1.0,-0.5,0.4,0.010838375104913
0.9,-0.6,0.1,0.0159868601135649
0.9,-0.6,0.4,0.0114873519425684
0.7,-0.6,0.6,0.0085984852220236
0.8,-0.6,0.6,0.0081081655279879
0.7,-0.5,0.6,0.0082397616105562
1.0,-0.6,0.6,0.0095893568591619
0.7,-0.4,0.6,0.0073012626793417
0.7,-0.3,0.4,0.0119332293198649
1.0,-0.6,0.4,0.0112659035482374
0.9,-0.4,0.6,0.0062297787132131
0.8,-0.4,0.5,0.0111044193943091
1.0,-0.6,0.3,0.013520917301727
0.8,-0.6,0.5,0.0104430141584635
0.9,-0.6,0.6,0.0086604096726683
0.7,-0.5,0.3,0.014190831653653
0.7,-0.4,0.4,0.0134878982187773
0.7,-0.3,0.5,0.0098865980434702
0.9,-0.5,0.5,0.0096651248950781
0.8,-0.4,0.4,0.0122646104962353
0.9,-0.4,0.4,0.0107731059669867
0.7,-0.3,0.6,0.0061025286894122
0.8,-0.5,0.6,0.0097523454078886
0.9,-0.5,0.4,0.0118320040840643
0.9,-0.5,0.6,0.0094207154201714
0.7,-0.4,0.3,0.0141260969448281
1.0,-0.5,0.6,0.0085381728860948
0.7,-0.5,0.5,0.009106404854943
