c1,c2,c3,reward
1.0,0.0,0.0,0.0021639448107328
0.9,0.0,0.0,-0.0018065057708283
1.1,0.0,0.0,0.0060731547195098
1.0,-0.1,0.0,0.0030966000358775
1.0,0.1,0.0,0.0010613049530466
1.0,0.0,-0.1,0.0013729172469786
1.0,0.0,0.1,0.0029118421605535
1.4,0.1,0.1,0.0175624436480745
1.3,0.1,0.1,0.0136205297903333
1.5,0.1,0.1,0.0214833718046003
1.4,0.0,0.1,0.0185465995172537
1.4,0.2,0.1,0.0163933129687489
1.4,0.1,0.0,0.0168159510948794
1.4,0.1,0.2,0.0182763086404807
1.5,0.2,0.2,0.0210241572892377
1.5,0.0,0.1,0.0224275999469439
1.5,0.2,0.1,0.0203729681410295
1.5,0.1,0.0,0.0188062255166312
1.5,0.1,0.2,0.0198725688517743
1.5,0.2,0.3,0.0216481298790027
1.5,-0.1,0.1,0.0216909586841897
1.5,0.0,0.0,0.0206809271179683
1.5,0.0,0.2,0.0209987907658046
1.5,0.3,0.1,0.019073243598122
1.5,0.3,-0.1,0.0178502159112656
1.3,-0.1,0.2,0.0163695999120247
1.3,0.2,0.0,0.0117640656379479
1.5,-0.1,0.2,0.0234912045108866
1.4,-0.1,0.2,0.0202506000101995
1.5,-0.2,0.2,0.0233132089736941
1.5,-0.1,0.3,0.0244164181336274
1.5,0.1,0.3,0.0221170696326066
1.4,-0.1,0.3,0.0210656000873528
1.5,-0.2,0.3,0.0250874091293223
1.5,0.0,0.3,0.023530765416409
1.5,-0.1,0.4,0.0239774374550059
1.3,-0.3,0.1,0.0173325999733759
1.4,-0.2,0.3,0.0215583950753207
1.5,-0.3,0.3,0.025289950569793
1.5,-0.2,0.4,0.0239350663701487
1.5,-0.1,0.5,0.024402968565762
1.4,-0.3,0.3,0.0227478579551263
1.5,-0.4,0.3,0.0252131485364231
1.5,-0.3,0.2,0.0238322365465847
1.5,-0.3,0.4,0.0228906400294536
1.4,-0.3,0.5,0.0232991719162083
1.5,-0.2,0.5,0.023661117865824
1.5,-0.5,0.5,0.0245738843075211
1.3,-0.3,0.0,0.0165175999831317
1.5,-0.4,0.1,0.0212238071973852
1.3,-0.2,0.3,0.0180736000710487
1.3,-0.4,0.5,0.0195783537266364
1.5,-0.2,0.6,0.0250630274761305
1.4,-0.1,0.1,0.019435600048342
1.3,-0.0,0.3,0.0161805387650127
1.3,-0.4,0.6,0.0206588315873882
1.2,-0.4,0.2,0.0151555999953857
1.5,-0.4,0.0,0.0194990627157501
1.5,-0.5,0.3,0.0235058600837209
1.5,-0.6,0.1,0.0223256012993013
1.5,-0.3,0.6,0.0252563140856092
1.4,-0.5,0.5,0.0222607221679384
1.2,-0.5,0.1,0.015113890604808
1.3,-0.5,0.3,0.0202727154926345
1.2,-0.1,0.4,0.0140759410363145
1.5,-0.3,0.5,0.0262435747146545
1.5,-0.4,0.5,0.0264055744865643
1.2,-0.3,0.4,0.0158966000170947
1.4,-0.4,0.5,0.0232796015553485
1.5,-0.4,0.4,0.0259526312418999
1.5,-0.4,0.6,0.0249750232416222
1.5,-0.6,0.2,0.0257539409121348
1.2,-0.6,0.6,0.0147795218160055
1.3,-0.2,0.4,0.0185225884574401
1.4,-0.2,0.5,0.0221695507926781
1.5,-0.6,0.3,0.0265714107547974
1.4,-0.6,0.3,0.0252114198754353
1.5,-0.6,0.4,0.0243728381258553
1.5,-0.6,0.6,0.0227482151308148
1.4,-0.6,0.5,0.0242930436185187
1.5,-0.5,0.4,0.0258580482012455
1.5,-0.6,0.0,0.0143658236793841
1.5,-0.3,0.1,0.0206128161754313
1.2,-0.5,0.6,0.0155398810554152
1.3,-0.6,0.6,0.0171019573872525
1.3,-0.5,0.5,0.0201553609998919
1.2,-0.6,0.3,0.0168015736807531
1.4,-0.5,0.3,0.0233781928893606
1.3,-0.6,0.3,0.019988415463216
1.4,-0.6,0.6,0.021524486319425
1.2,-0.4,0.0,0.0134422858514024
1.2,-0.6,0.1,0.0156594815335022
1.3,-0.6,0.1,0.0168240096530984
1.4,-0.3,0.0,0.0196631782357841
1.5,-0.6,0.5,0.0240330720523339
1.5,-0.5,0.1,0.0223314084573748
1.3,-0.5,0.4,0.0197456880612341
1.3,-0.4,0.1,0.0182215999404223
1.3,-0.5,0.6,0.0204573389288636
1.4,-0.5,0.4,0.0241126411767356
1.3,-0.3,0.2,0.018147600037987
1.2,-0.6,0.2,0.0160508316316646
1.3,-0.5,0.0,0.0181833293193768
1.2,-0.5,0.4,0.0168387992490676
1.4,-0.4,0.6,0.0216833848445872
1.3,-0.3,0.3,0.0189626000640607
1.4,-0.5,0.0,0.0198685595294939
1.3,-0.6,0.2,0.0204065793180607
1.2,-0.6,0.5,0.013536027067364
1.5,-0.5,0.2,0.0243074883452021
1.3,-0.6,0.5,0.0182646456237533
1.2,-0.4,0.5,0.0160659562135358
1.4,-0.6,0.0,0.0182375636521504
1.4,-0.4,0.0,0.0160735953786742
1.5,-0.5,0.6,0.0249290331835265
1.3,-0.6,0.0,0.017780364655735
1.5,-0.4,0.2,0.0253499488905512
1.4,-0.6,0.4,0.0240617612762723
1.4,-0.4,0.4,0.0231159663076525
1.3,-0.6,0.4,0.0191435887164757
1.4,-0.6,0.2,0.0221063679431115
1.3,-0.5,0.2,0.0199255999814244
1.5,-0.5,0.0,0.017517187536558
1.4,-0.5,0.6,0.0240424525632202
1.4,-0.5,0.1,0.0216841749674943
1.4,-0.4,0.1,0.0213624243560775
1.4,-0.6,0.1,0.0216575443432914
1.2,-0.4,0.3,0.015970599984002
1.2,-0.5,0.2,0.016043198053133
1.3,-0.4,0.2,0.019036599938389
1.3,-0.5,0.1,0.0191001076220414
1.2,-0.3,0.2,0.0142665999614216
1.4,-0.4,0.2,0.0225228255865909
1.4,-0.3,0.2,0.0220285998188682
1.3,-0.3,0.6,0.0196119392766539
1.3,-0.4,0.3,0.019851599998093
1.2,-0.3,0.1,0.0134516000046049
1.1,-0.3,0.1,0.0095706000129791
1.2,-0.4,0.1,0.0143405999800076
1.2,-0.2,0.1,0.0125625999987507
1.2,-0.3,0.0,0.0126366000145718
1.0,-0.3,0.1,0.0056365647535064
1.1,-0.4,0.1,0.0103767233622032
1.1,-0.2,0.1,0.0086816000428945
1.1,-0.3,0.0,0.0086972942520163
1.1,-0.3,0.2,0.0103856000771847
0.9,-0.6,-0.0,0.0004235411934383
0.9,-0.3,0.1,0.0015086530450681
1.0,-0.4,0.1,0.0062547552737226
1.0,-0.2,0.1,0.0048005999885969
1.0,-0.3,0.0,0.004598370060322
1.0,-0.3,0.2,0.0064992430303458
0.8,-0.3,0.1,-0.0032190267243861
0.9,-0.4,0.1,0.0019694166013115
0.9,-0.2,0.1,0.0008110985104245
0.9,-0.3,0.0,0.0003368447768343
0.9,-0.3,0.2,0.0023828093265918
0.9,-0.2,-0.0,-0.0001428909157922
0.7,-0.3,0.1,-0.0087008296403814
0.8,-0.4,0.1,-0.0028478454527179
0.8,-0.2,0.1,-0.0038157727997232
0.8,-0.3,0.0,-0.0044183823195907
0.8,-0.3,0.2,-0.0022899462023524
0.8,-0.3,0.3,-0.0016518084406459
0.7,-0.4,0.1,-0.0084240941431936
0.7,-0.2,0.1,-0.0091940359474421
0.7,-0.3,0.0,-0.0099221507853914
0.7,-0.3,0.2,-0.0077260748784844
0.7,-0.3,-0.1,-0.0125535197457975
0.8,-0.2,0.2,-0.0030901837929388
0.7,-0.4,-0.1,-0.011507889746356
0.7,-0.1,0.2,-0.0093443385408958
0.9,-0.1,0.3,0.0010549512102871
0.7,-0.2,-0.1,-0.011554593615943
0.7,-0.5,0.2,-0.0069930207392497
0.8,-0.6,0.2,-0.0012369491514003
0.7,-0.1,-0.1,-0.0122248682037857
0.7,-0.1,0.4,-0.0088074655859375
0.7,-0.2,0.0,-0.0102146520320087
0.7,-0.3,0.3,-0.0070162503446035
0.8,-0.6,0.1,-0.0028108636155537
0.9,-0.5,-0.2,-0.002561248844461
0.8,-0.4,0.2,-0.0017096013026773
0.7,-0.2,0.2,-0.008409037103864
0.7,-0.5,0.1,-0.0082570664146373
0.7,-0.6,0.4,-0.0046018309716779
0.7,-0.5,0.4,-0.0050478192704413
0.7,-0.2,0.3,-0.0079007853679978
0.9,-0.3,-0.1,-0.00101258899335
0.8,-0.5,0.4,0.0004759045843824
0.9,-0.2,-0.1,-0.0013118529144504
0.9,-0.5,0.0,0.0006198751172462
0.7,-0.2,0.4,-0.007632336755449
0.7,-0.4,0.3,-0.0063408021858589
0.8,-0.0,0.2,-0.0052385626047493
0.8,-0.4,-0.1,-0.0056868895955732
0.8,-0.1,-0.0,-0.0054197815245416
0.8,-0.5,0.2,-0.0013568042441759
0.7,-0.6,0.2,-0.0061638104257937
0.8,-0.1,0.1,-0.0046277655521316
0.7,-0.5,0.3,-0.005880577573825
0.7,-0.4,0.2,-0.0072498009564097
0.7,-0.2,-0.2,-0.0127345713981086
0.8,-0.6,0.3,4.514716193757288e-05
0.8,-0.0,0.0,-0.0063854245849435
0.7,-0.1,0.3,-0.0090160850300612
0.7,-0.4,-0.2,-0.0116018978950522
0.9,-0.1,0.2,0.0005420920858629
0.7,-0.4,0.4,-0.0057149077713165
0.7,-0.1,-0.0,-0.0107738682592535
0.9,-0.4,0.3,0.0038849410208202
0.7,-0.5,-0.1,-0.0081726984561242
0.7,-0.1,-0.2,-0.0127877305675462
1.0,-0.1,0.2,0.0046973451698804
0.8,-0.0,-0.1,-0.0074491857659296
0.8,-0.4,0.3,-0.000858024622729
0.9,-0.2,-0.2,-0.0026306305555065
0.7,-0.0,0.4,-0.0101543385723369
1.0,-0.3,0.3,0.0072321594995396
0.7,-0.6,-0.0,-0.0087510529570938
0.9,-0.1,0.1,-8.446189893594316e-05
0.7,-0.0,-0.1,-0.0129601179186282
0.7,-0.5,-0.2,-0.0109355351190762
0.7,-0.6,-0.1,-0.0085587417389948
0.7,-0.4,0.0,-0.0096177091306556
0.8,-0.0,0.1,-0.0057206983622672
0.8,-0.5,0.0,-0.0038253254307178
0.8,-0.4,-0.0,-0.0042658003198726
0.8,-0.2,-0.0,-0.0048066402763164
0.9,-0.1,-0.2,-0.0031374289065721
1.0,-0.4,-0.1,0.0036674647196132
0.9,-0.4,-0.2,-0.0033254431011133
0.8,-0.5,0.3,-0.0002913896807883
1.0,-0.5,0.1,0.0066493182114312
0.8,-0.1,-0.2,-0.0081702118773139
1.0,-0.4,0.3,0.0081464481238051
0.7,-0.0,0.1,-0.0109678664801797
0.7,-0.0,0.2,-0.0105757268638663
0.7,-0.0,0.0,-0.011737239272218
0.7,-0.5,-0.0,-0.0085453127823163
0.9,-0.6,-0.1,-0.0014639087483925
0.9,-0.4,0.2,0.0030741444578209
0.9,-0.3,0.3,0.0029748774468845
1.0,-0.1,-0.2,0.0012935435257586
0.8,-0.0,0.3,-0.0048849214378592
1.0,-0.3,-0.2,0.0021291343607924
0.9,-0.5,0.2,0.0035308296130499
0.9,-0.4,-0.0,0.0005911172960911
0.9,-0.1,-0.0,-0.0008545344167762
0.7,-0.1,0.1,-0.009892653942057026
0.7,-0.3,0.4,-0.006600399893821212
0.8,-0.3,0.4,-0.0012910761089378457
0.7,-0.3,0.5,-0.006434408942240262
0.9,-0.3,0.4,0.0034468490994009468
0.8,-0.4,0.4,-0.00031075037286165414
0.8,-0.2,0.4,-0.0022677016624251573
0.8,-0.3,0.5,-0.0010522251316710527
0.8,-0.2,0.6,-0.0019519402741955392
1.0,-0.3,0.4,0.007875826584000475
0.9,-0.4,0.4,0.0044061763273272195
0.9,-0.2,0.4,0.002513069163872363
0.9,-0.3,0.5,0.003837433687690384
1.1,-0.3,0.4,0.012003116238678516
1.0,-0.4,0.4,0.008798603318823236
1.0,-0.2,0.4,0.006969225031695224
1.0,-0.3,0.5,0.008435276843430532
0.8,-0.5,0.5,0.0009311919052171296
