c1,c2,c3,reward
1.0,0.0,0.0,0.8209990589578682
0.9,0.0,0.0,0.911739167268923
1.1,0.0,0.0,0.7466855656953523
1.0,-0.1,0.0,0.8890385146721669
1.0,0.1,0.0,0.7607286557090766
1.0,0.0,-0.1,0.8130006745537407
1.0,0.0,0.1,0.8238744398652886
0.7,-0.2,0.2,1.3986426344335217
0.8,-0.2,0.2,1.2096749765004364
0.7,-0.3,0.2,1.5143337721214882
0.7,-0.1,0.2,1.2779412210864056
0.7,-0.2,0.1,1.4516547504059865
0.7,-0.2,0.3,1.1785958396832876
0.9,-0.4,0.4,1.0933567240007047
0.8,-0.4,0.4,1.2086087498275906
1.0,-0.4,0.4,0.9911956776852836
0.9,-0.5,0.4,1.0052507970834403
0.9,-0.3,0.4,1.048770070903617
0.9,-0.4,0.3,1.1599689074688473
0.9,-0.4,0.5,1.0266083571272155
1.0,-0.6,0.6,0.7555905692015682
0.9,-0.6,0.6,0.7340891715452381
1.1,-0.6,0.6,0.787834714532553
1.0,-0.5,0.6,0.8639886824830868
1.0,-0.6,0.5,0.9817596283645962
1.0,-0.6,0.4,0.8703317930515281
0.9,-0.6,0.5,0.7729838503014683
1.1,-0.6,0.5,0.8884430354982215
1.0,-0.5,0.5,0.9040600144759832
0.8,-0.5,0.6,0.9014534989688792
1.2,-0.6,0.5,0.8227983327379689
1.3,-0.5,0.3,0.7599878310550827
1.1,-0.4,0.6,0.8262701058731221
1.0,-0.6,0.3,1.041413354425274
0.8,-0.6,0.6,0.7656776416040181
0.7,-0.4,0.6,0.8469779888211734
0.8,-0.6,0.3,1.0639006605614605
1.1,-0.6,0.3,0.9790751836846476
0.8,-0.6,0.5,0.7840242259870746
1.3,-0.5,0.4,0.7378597171348541
1.3,-0.6,0.3,0.7459381729921013
0.8,-0.5,0.4,1.1341423828438548
1.2,-0.5,0.4,0.8341706117138727
0.9,-0.5,0.5,0.8926359437621273
1.2,-0.5,0.6,0.7318344501835051
0.9,-0.5,0.3,1.2079217356782626
0.7,-0.6,0.5,0.810289450929011
0.9,-0.3,0.5,0.9949025368554724
0.7,-0.6,0.4,0.9045413784768932
1.1,-0.5,0.6,0.7840102504199319
0.7,-0.6,0.2,1.305047099241895
1.2,-0.3,0.2,0.8230725349404192
