c1,c2,c3,reward
1.0,0.0,0.0,-0.0035579061070528
0.9,0.0,0.0,-0.0095822535582612
1.1,0.0,0.0,-0.0071588977744691
1.0,-0.1,0.0,-0.0059757988620651
1.0,0.1,0.0,-0.0047169065590897
1.0,0.0,-0.1,-0.0066180922544981
1.0,0.0,0.1,-0.0051866349019544
1.2,0.2,0.2,-0.0067374372011752
1.0,0.2,-0.2,-0.007466698760705
1.1,-0.1,-0.2,-0.0116983539076623
0.9,-0.3,0.1,-0.0070745567328145
0.8,0.2,0.2,-0.0122284361534969
0.9,0.1,0.2,-0.006567668191592
1.3,-0.1,0.2,-0.0135871262077679
0.8,0.1,0.2,-0.0089489910657945
1.2,0.3,0.3,-0.0078151070402957
1.1,0.3,0.3,-0.0091267469769016
1.3,0.3,0.3,-0.0122967449793824
1.2,0.2,0.3,-0.0096401266209021
1.2,0.4,0.3,-0.0173437909681327
1.2,0.3,0.2,-0.0059364097143982
1.2,0.3,0.4,-0.0070818652797638
1.1,0.6,0.1,-0.0122828670647304
1.4,0.3,0.0,-0.0130860383303532
1.5,0.3,0.2,-0.0242219588470523
1.4,0.4,0.4,-0.0175626553852885
1.0,0.5,0.1,-0.0140024323126157
0.9,0.0,0.3,-0.0047333006180702
1.3,0.3,0.5,-0.0080826775922632
1.2,0.3,0.5,-0.014046556231107
1.4,0.3,0.5,-0.0193692207132756
1.3,0.2,0.5,-0.0106118670639487
1.3,0.4,0.5,-0.0123018395234136
1.3,0.3,0.4,-0.0138459098555135
1.3,0.3,0.6,-0.0169083138949764
1.2,0.4,0.4,-0.0071635422758209
1.5,0.3,0.6,-0.0241340462493343
1.3,0.0,0.5,-0.0107714759484626
1.5,0.4,0.4,-0.0146800807780294
1.5,0.1,0.6,-0.016000609445768
1.2,0.6,0.6,-0.0187324749448817
1.4,0.5,0.4,-0.0212483297144217
1.4,0.2,0.4,-0.0174558996196992
1.0,0.2,0.6,-0.0128235571933234
1.3,0.6,0.5,-0.0168960474495204
1.5,0.2,0.3,-0.0130507205596287
1.2,0.2,0.6,-0.0253638463453744
1.1,0.4,0.3,-0.0077906468311718
1.4,0.4,0.6,-0.0196939845979402
1.1,0.1,0.6,-0.0083479089388542
1.3,0.6,0.6,-0.0223879027586397
1.4,0.5,0.6,-0.0265568532489539
1.0,0.5,0.6,-0.0167216480550746
1.1,0.3,0.6,-0.0224230602197186
1.0,0.3,0.5,-0.0106519689142751
1.5,0.3,0.4,-0.0146267956272834
1.2,0.4,0.5,-0.0150664288464446
1.0,0.3,0.4,-0.0096472329700647
1.5,0.6,0.6,-0.0245898131840739
1.3,0.5,0.3,-0.0120616959704437
1.5,0.2,0.6,-0.0232444529151268
1.3,0.3,0.2,-0.0160230009210903
1.1,0.2,0.6,-0.0193803640841639
1.5,0.4,0.5,-0.0256434304748896
