c1,c2,c3,reward
1.0,0.0,0.0,0.0035389955183584
0.9,0.0,0.0,-0.000577755066376
1.1,0.0,0.0,0.0054782569804333
1.0,-0.1,0.0,0.001193400172791
1.0,0.1,0.0,0.0005036939093663
1.0,0.0,-0.1,0.0030249576679725
1.0,0.0,0.1,0.0020259729488907
0.8,0.3,-0.1,-0.004189896114657
1.2,0.0,0.0,0.0087824957550252
1.1,-0.1,0.0,0.0089030256554738
1.1,0.1,0.0,0.004307544056832
1.1,0.0,-0.1,0.0046682728470347
1.1,0.0,0.1,0.0044712848851889
0.8,0.0,-0.2,-0.009031071643419
1.2,-0.1,0.0,0.0100646473110597
1.1,-0.2,0.0,0.0020577999554706
1.1,-0.1,-0.1,0.0034682186711242
1.1,-0.1,0.1,0.0096829864969851
1.3,-0.1,-0.1,0.011235283360668
1.2,-0.1,-0.1,0.0068341465181338
1.4,-0.1,-0.1,0.015939170195865
1.3,-0.2,-0.1,0.0132948698091607
1.3,0.0,-0.1,0.0103084402019741
1.3,-0.1,-0.2,0.010084631745907
1.3,-0.1,0.0,0.0131537845028719
1.4,-0.0,-0.0,0.0163015150235076
1.3,-0.0,-0.0,0.0073152390659219
1.5,-0.0,-0.0,0.0201006237425785
1.4,-0.1,-0.0,0.017991133316357
1.4,0.1,-0.0,0.0163708489686802
1.4,-0.0,-0.1,0.0143725121264947
1.4,-0.0,0.1,0.0163211601557178
1.2,-0.1,0.2,0.0094164591951523
1.5,-0.1,-0.0,0.0206994521596952
1.5,0.1,-0.0,0.0227090702286878
1.5,-0.0,-0.1,0.0244802781587416
1.5,-0.0,0.1,0.0208823159007251
1.2,-0.2,-0.4,0.002651156835551
1.5,-0.1,-0.1,0.0233986764441401
1.5,0.1,-0.1,0.0187935964501173
1.5,-0.0,-0.2,0.0217135999595574
1.5,0.3,0.2,0.0189889609751795
1.5,0.3,-0.2,0.023137906854432
1.5,0.2,0.2,0.0211906768581787
1.5,-0.3,0.2,0.0245183718764685
1.4,-0.3,0.2,0.01856112315894
1.5,-0.4,0.2,0.0230762151333727
1.5,-0.2,0.2,0.0250040350482454
1.5,-0.3,0.1,0.0253568507661797
1.5,-0.3,0.3,0.0255577613891995
1.2,-0.3,0.0,0.0124300451560408
1.4,-0.3,0.3,0.019038380201332
1.5,-0.4,0.3,0.0265242951817596
1.5,-0.2,0.3,0.0232225155360085
1.5,-0.3,0.4,0.0286286143768341
1.5,-0.0,0.4,0.0292024930301461
1.4,-0.0,0.4,0.0195821893238332
1.5,-0.1,0.4,0.0267796998994586
1.5,0.1,0.4,0.0209350205757063
1.5,-0.0,0.3,0.0223042882381215
1.5,-0.0,0.5,0.0282270155233354
1.5,0.1,0.3,0.0243193635008779
1.5,0.2,0.1,0.022506728729648
1.5,0.0,0.2,0.023648893136615
1.3,0.1,0.2,0.0136705076453178
1.4,-0.2,0.6,0.0269034317108313
1.3,-0.2,0.6,0.0163351374347316
1.3,-0.1,0.6,0.0203149253351209
1.5,-0.1,0.6,0.0327089923868167
1.4,-0.1,0.6,0.0231703062643437
1.5,-0.2,0.6,0.0318362981315602
1.5,0.0,0.6,0.026858054821265
1.5,-0.1,0.5,0.0300534887040518
1.5,0.1,0.5,0.0266292057672791
1.4,-0.1,0.5,0.0254486389128363
1.2,-0.3,0.4,0.012915666276811
1.5,0.1,0.6,0.0310044252200583
1.4,0.1,0.6,0.0249091035287115
1.5,0.2,0.6,0.0281830300178676
1.4,0.2,0.6,0.0198383765704392
1.5,0.3,0.6,0.0317587617534892
1.4,0.3,0.6,0.0231469707427228
1.5,0.4,0.6,0.0312047401300197
1.5,0.3,0.5,0.0298228272866423
1.5,0.5,0.5,0.0294192836498797
1.2,0.2,0.3,0.0111261031673593
1.5,0.6,0.4,0.0347611340707997
1.4,0.6,0.4,0.0236325263590615
1.5,0.5,0.4,0.0284480011978581
1.5,0.6,0.3,0.0286153756976038
1.5,0.6,0.5,0.0313917639898634
1.3,0.5,0.3,0.0116263887753251
1.3,0.6,0.6,0.0226936300137691
1.2,0.5,0.4,0.0133417044761228
1.5,0.5,0.2,0.0280524368873195
1.5,0.6,0.1,0.0269765637770536
1.2,0.4,0.6,0.0161533691247366
1.3,0.6,0.1,0.0158340461043759
1.3,0.4,0.3,0.0125895711665115
1.5,0.4,0.4,0.0255473663819358
1.5,0.3,0.1,0.0200722543060826
1.5,0.5,0.1,0.0289996640107019
1.4,0.6,0.1,0.020514351738784
1.5,0.6,0.2,0.0297790340531632
1.5,0.4,0.5,0.0329531540675059
1.3,0.4,0.5,0.0161897082147913
1.4,0.6,0.2,0.0244913656895507
1.2,0.6,0.2,0.0172959008191416
1.2,0.6,0.4,0.014418455101119
1.3,0.6,0.4,0.0172349788329726
1.5,0.5,0.6,0.0303802971458243
1.5,0.6,0.6,0.0355092327669403
1.4,0.6,0.6,0.0263967561685373
1.3,0.3,0.4,0.0202124018948781
1.2,0.3,0.4,0.0116110564875209
1.2,0.5,0.6,0.0157616515031569
1.4,0.5,0.4,0.0222465437379187
1.3,0.4,0.6,0.0174029814825612
1.2,0.4,0.5,0.0132317005741386
1.4,0.3,0.3,0.0183084926610666
1.4,0.4,0.4,0.0192137412146533
1.4,0.6,0.5,0.0229826827643872
1.5,0.3,0.3,0.0236448855226688
1.4,0.4,0.3,0.0135906352044502
1.4,0.5,0.6,0.0312496515085962
1.2,0.6,0.6,0.0127954840182138
1.3,0.5,0.4,0.0174997189997789
1.3,0.4,0.4,0.0128136163105812
1.3,0.5,0.5,0.011079235296383
1.0,0.6,0.3,0.0078140607458552
1.3,0.5,0.6,0.0167897229094
1.1,0.6,0.2,0.0108199768037264
1.0,0.6,0.2,0.0106840430135509
1.1,0.5,0.2,0.0076678866586887
1.1,0.6,0.1,0.0104650882409858
1.1,0.6,0.3,0.0103433700709628
0.8,0.6,0.4,0.0104135925410196
0.9,0.6,0.2,0.0089749711215037
1.0,0.5,0.2,0.0047376392371665
1.0,0.6,0.1,0.0072710044025374
1.2,0.5,0.2,0.0142728444108389
1.3,0.5,0.2,0.0150582600997179
1.2,0.4,0.2,0.0069474751861061
1.2,0.5,0.1,0.0130724227424901
1.2,0.5,0.3,0.011809642635801
1.1,0.6,0.0,0.0085944313793183
1.3,0.3,0.0,0.012017465008889
1.4,0.6,0.3,0.0226569642876358
1.0,0.5,0.1,0.0072415523736073
1.5,0.6,0.0,0.031421085012119
1.4,0.6,0.0,0.0204184932965763
1.5,0.5,0.0,0.0263450541810019
1.5,0.6,-0.1,0.030019144473602
1.3,0.6,-0.1,0.0164267296349572
1.4,0.6,-0.1,0.022204353517224
1.5,0.5,-0.1,0.022813786291817
1.5,0.6,-0.2,0.0248964282709928
1.4,0.6,-0.3,0.0267140344472933
1.3,0.6,-0.3,0.0179601798917657
1.5,0.6,-0.3,0.027443893616643
1.4,0.5,-0.3,0.0222712162414508
1.4,0.6,-0.4,0.0206100761669221
1.4,0.6,-0.2,0.024790942086617
1.2,0.6,-0.4,0.0111115866401998
1.3,0.3,-0.5,0.0100492427216217
1.5,0.6,-0.5,0.0211408196831537
1.3,0.6,-0.2,0.0177973297060601
1.2,0.6,-0.2,0.0105605384821463
1.3,0.4,-0.3,0.0120237148027196
1.3,0.5,-0.6,0.0131255181088497
1.5,0.4,-0.1,0.0220419563229214
1.1,0.6,-0.4,0.0084989025300125
1.2,0.5,-0.6,0.0087635225219172
1.5,0.4,-0.5,0.0187361484349839
1.5,0.3,-0.0,0.021148933550541
1.4,0.4,-0.3,0.0187339663228425
1.1,0.4,-0.0,0.006139342363635
1.2,0.3,-0.2,0.0055815511274692
1.5,0.4,-0.4,0.0228030251789501
1.4,0.6,-0.5,0.0174688066949095
1.2,0.3,-0.3,0.0071020712570966
1.2,0.3,-0.0,0.0081421423496871
1.1,0.6,-0.2,0.0072813388898031
1.3,0.6,-0.4,0.0191710021550615
1.5,0.5,-0.3,0.0253546480116807
1.3,0.3,-0.3,0.0125539349686327
1.5,0.4,-0.0,0.0235807881587904
1.5,0.6,-0.6,0.0220892376443947
1.4,0.5,-0.4,0.022010440298313
1.5,0.5,-0.5,0.026011142763209
1.5,0.4,-0.2,0.0294728659582081
1.4,0.4,-0.2,0.0149916460402954
1.5,0.5,-0.2,0.0277184554605721
1.5,0.4,-0.3,0.0263732341150708
1.2,0.4,0.1,0.0103637740059423
1.3,0.2,-0.4,0.0127342470456249
1.2,0.3,-0.1,0.0081490758032353
1.3,0.3,0.1,0.015148504629899
1.3,0.6,-0.5,0.0160579231285277
1.5,0.2,-0.2,0.0232304046121186
1.2,0.1,-0.2,0.0066882134249914
1.3,0.6,-0.0,0.0193176120161257
1.5,0.3,-0.1,0.0242661800878308
1.2,0.6,0.0,0.0140371870100723
1.5,0.3,-0.3,0.0240224736595879
1.5,0.2,-0.0,0.0259241067767709
1.5,0.2,-0.1,0.0213636721760359
1.5,0.2,-0.3,0.0224059427483407
1.5,0.6,-0.4,0.0219763989443591
1.3,0.1,-0.2,0.0067577665937844
1.5,0.5,-0.4,0.0231224456021131
1.5,0.1,-0.3,0.0222270240212903
1.2,0.4,-0.4,0.0077544286691318
1.5,0.1,0.1,0.0228040948808639
1.5,0.1,-0.2,0.0223966666223596
1.3,0.5,-0.3,0.0154640504736707
1.3,0.3,-0.4,0.0099615873837895
1.5,0.3,-0.4,0.0224110977381147
1.4,0.2,-0.2,0.0145886863906793
1.2,0.2,-0.1,0.0022404693455631
1.3,0.2,-0.1,0.0088858639168418
1.4,0.1,0.1,0.0119816639796477
1.5,0.4,0.1,0.0197269834337144
1.4,0.3,-0.4,0.0192379337260937
1.4,0.4,-0.5,0.015606609112903
1.4,0.4,0.6,0.0220986245576659
1.4,0.4,0.5,0.0243088112339527
1.4,0.3,0.5,0.0234492280830133
1.4,0.5,0.5,0.0224616289987966
1.3,0.3,0.5,0.0181244894371769
1.4,0.2,0.5,0.0210709910479477
1.4,0.3,0.4,0.0208833243654282
1.0,0.3,0.2,0.0030949589889691
0.9,0.3,0.2,-0.0023074542846863
1.1,0.3,0.2,0.0091516428282667
1.0,0.2,0.2,0.0016217591437584
1.0,0.4,0.2,0.0048084451558647
1.0,0.3,0.1,0.0026905323076528
1.0,0.3,0.3,0.0070178858536749
0.8,0.3,0.2,-0.0009567696506222
0.9,0.2,0.2,-0.0020732197873432
0.9,0.4,0.2,-0.0017580094285342
0.9,0.3,0.1,0.0010434345947082
0.9,0.3,0.3,0.0029189375965608
0.7,0.2,0.4,-0.0025849057807272
0.8,0.3,0.1,-0.0033316689776529
0.9,0.2,0.1,-0.0021602566629728
0.9,0.4,0.1,-0.0005349684103484
0.9,0.3,0.0,-0.0010668877744001
1.0,0.4,0.1,0.0039916004235764
0.8,0.3,0.0,-0.0033354318972422
1.0,0.3,0.0,0.0006656176780995
0.9,0.2,0.0,-0.0023086046017424
0.9,0.4,0.0,-0.0027671590529234
0.9,0.3,-0.1,-0.0016687492177327
0.8,0.5,-0.1,-0.0046741309883601
1.0,0.3,-0.2,0.0023219318691698
0.8,0.2,-0.2,-0.0060265185440227
0.7,0.1,-0.2,-0.0098738244219293
0.8,0.1,-0.2,-0.0073148923477726
0.7,0.0,-0.2,-0.0160678346164759
0.7,0.2,-0.2,-0.0104260068118921
0.7,0.1,-0.3,-0.0088658593337671
0.7,0.1,-0.1,-0.0146723170696868
0.9,0.3,-0.4,-0.0034773483648576
0.7,0.3,-0.2,-0.007985070357965
0.7,0.2,-0.3,-0.0085503899526431
0.7,0.2,-0.1,-0.0093304988337381
0.7,0.5,-0.3,-0.0059008877223997
0.8,0.2,-0.1,-0.0030608351156621
0.7,0.3,-0.1,-0.0062807752549728
0.7,0.2,0.0,-0.0092456433773587
0.7,-0.0,-0.3,-0.0122687863876319
1.0,-0.1,-0.2,-0.0007517910983416
0.7,0.4,0.0,-0.0113504707275318
0.7,0.2,0.1,-0.0089480387799816
0.9,0.5,0.0,0.0051342956734143
0.7,0.4,0.2,-0.000565314650237
0.8,-0.1,-0.1,-0.0081002473811841
0.8,0.2,0.0,-0.0011060306279222
0.7,0.4,0.1,-0.0047041254679949
0.7,0.3,-0.3,-0.0062216224375693
0.8,-0.1,-0.3,-0.0087514845391751
0.7,0.0,0.2,-0.0144367088599717
0.9,-0.1,0.1,-0.0016121818445861
0.7,0.4,-0.4,-0.0058537267457137
