c1,c2,c3,reward
1.0,0.0,0.0,0.989240045163606
0.9,0.0,0.0,1.062220569167894
1.1,0.0,0.0,0.9282859770147128
1.0,-0.1,0.0,1.006219392517813
1.0,0.1,0.0,0.9065543027600808
1.0,0.0,-0.1,0.9657504344293748
1.0,0.0,0.1,1.0194481157926898
1.2,-0.1,-0.1,0.8297224991800689
0.7,-0.2,-0.1,1.040864023542866
0.8,-0.2,-0.1,1.0280531417350118
0.7,-0.3,-0.1,1.1334987453466892
0.7,-0.1,-0.1,1.0934341091742623
0.7,-0.2,-0.2,1.08697185126977
0.7,-0.2,0.0,1.029714444815642
0.8,-0.4,0.1,1.08733086593973
0.8,-0.4,-0.1,1.0975171521732725
0.7,-0.1,-0.2,1.1549255196376238
0.7,0.0,-0.3,1.088683321636338
0.8,-0.5,-0.1,1.1071615859060222
0.9,-0.5,0.1,1.0514559914599406
0.7,-0.4,-0.1,1.2427326138140826
0.9,0.0,-0.1,1.0840631181196705
0.8,0.0,-0.1,1.012156037307256
0.9,-0.1,-0.1,1.1331414013344685
0.9,0.1,-0.1,0.9092839227149994
0.9,0.0,-0.2,1.0210047603483938
0.8,0.0,-0.2,0.8877658547392393
1.0,0.0,-0.2,0.9630150413915336
0.9,-0.1,-0.2,0.9958141887337792
0.9,0.1,-0.2,0.9184630149686096
0.9,0.0,-0.3,0.9337034907311632
0.8,0.3,-0.1,0.9938203303663418
0.8,0.1,-0.2,0.9320113571784068
1.0,0.1,-0.2,0.8950515149989983
0.9,0.2,-0.2,0.9306995241511936
0.9,0.1,-0.3,0.9402943114613672
0.8,0.3,-0.3,0.9649390549971072
0.7,0.3,-0.3,1.13768074336954
0.9,0.3,-0.3,0.9959077065288816
0.8,0.2,-0.3,0.9022110090587182
0.8,0.4,-0.3,1.0261050952119968
0.8,0.3,-0.4,0.9493871623673984
0.8,0.3,-0.2,1.0358072728573735
1.0,-0.0,-0.4,0.8608070103305266
0.7,0.2,-0.3,1.1331487231236697
0.9,0.2,-0.3,0.9842410225430932
0.8,0.1,-0.3,0.945294508046697
0.8,0.2,-0.4,1.04076826793136
0.8,0.2,-0.2,1.0827706261720185
1.0,0.3,-0.1,0.933647001173057
0.7,0.3,-0.1,1.0538097162786946
