c1,c2,c3,reward
1.0,0.0,0.0,50.795475778644914
0.9,0.0,0.0,48.36963999977622
1.1,0.0,0.0,43.09291594670944
1.0,-0.1,0.0,50.813599008227946
1.0,0.1,0.0,42.17465192142189
1.0,0.0,-0.1,41.55712172836158
1.0,0.0,0.1,50.198180916382285
1.2,-0.2,0.0,49.56894540033144
1.1,-0.2,0.0,63.0882585332653
1.3,-0.2,0.0,43.33376543271236
1.2,-0.3,0.0,53.34622545740952
1.2,-0.1,0.0,42.09789735330159
1.2,-0.2,-0.1,51.72455703693778
1.2,-0.2,0.1,45.3396469192804
1.1,-0.0,-0.1,36.63844850120656
1.1,-0.2,-0.1,41.05916223188421
1.3,-0.2,-0.1,51.56943310799143
1.2,-0.3,-0.1,56.90510181983307
1.2,-0.1,-0.1,49.69845217903576
1.2,-0.2,-0.2,44.91984666773983
1.3,-0.4,0.2,39.37621905101137
1.4,-0.2,-0.1,41.729483703055365
1.3,-0.3,-0.1,43.42079017633604
1.3,-0.1,-0.1,43.23142738045488
1.3,-0.2,-0.2,45.42532296978737
1.4,-0.4,-0.2,39.15406585096042
1.5,-0.4,-0.3,45.07173633548848
1.4,-0.4,-0.3,44.81675038340659
1.5,-0.5,-0.3,36.7629469423086
1.5,-0.3,-0.3,40.32033499698532
1.5,-0.4,-0.4,37.78508260094522
1.5,-0.4,-0.2,42.1279091448389
1.3,-0.6,-0.1,42.79446354336189
1.3,-0.4,-0.3,41.53786685437091
1.4,-0.5,-0.3,44.93986524710917
1.4,-0.3,-0.3,39.787303838784254
1.4,-0.4,-0.4,43.28559448774372
1.3,-0.6,-0.4,45.230083635244725
1.5,-0.2,-0.2,35.08126283407737
1.5,-0.2,-0.5,37.19725237620163
1.4,-0.4,-0.5,37.96572876214257
1.2,-0.1,-0.2,49.83068683856098
1.5,-0.4,-0.1,39.11770430267844
1.4,-0.4,-0.1,40.11593074301389
1.5,-0.5,-0.1,39.76712068577901
1.5,-0.3,-0.1,38.91163068795711
1.5,-0.4,0.0,37.048675107314814
1.3,-0.3,-0.2,51.77515140854619
1.3,-0.5,-0.0,40.48336858068246
1.5,-0.5,0.1,37.22655738326328
1.5,-0.6,-0.2,38.39852024910709
1.5,-0.6,0.1,35.10907489562245
1.4,-0.1,-0.4,37.049861062961575
1.5,-0.6,0.0,43.64423286539672
1.3,-0.1,-0.0,37.93666219395201
1.4,-0.4,-0.0,41.63845123217467
1.5,-0.6,-0.4,38.19311560640582
1.5,-0.6,0.2,34.620941305530486
1.5,-0.3,-0.2,45.34697627730595
1.4,-0.2,-0.2,42.71910861607449
1.5,-0.3,-0.4,40.96390068574428
1.5,-0.3,0.0,38.07291322417382
1.3,-0.6,0.2,37.66760310523792
1.4,-0.6,-0.0,39.32567135181901
1.3,-0.4,-0.2,48.18699369826577
1.5,-0.2,-0.3,40.88079125130349
