c1,c2,c3,reward
1.0,0.0,0.0,0.0133769805831702
0.9,0.0,0.0,0.0167039755569332
1.1,0.0,0.0,0.0102627458455995
1.0,-0.1,0.0,0.0132065125804979
1.0,0.1,0.0,0.0171388825691876
1.0,0.0,-0.1,0.0128398725475568
1.0,0.0,0.1,0.0136018087429404
1.0,0.4,-0.3,0.008971376257291
0.9,0.1,0.0,0.0169885170619306
1.1,0.1,0.0,0.012752608906995
1.0,0.2,0.0,0.011808655730059
1.0,0.1,-0.1,0.0107256311813826
1.0,0.1,0.1,0.01300646365165
0.9,0.3,0.2,0.0143448658100462
0.7,0.2,0.2,0.012669271791048
0.9,0.2,-0.1,0.0113779776234971
1.1,0.3,0.2,0.0142908594788428
0.8,0.4,0.0,0.0142043187904309
0.8,0.2,-0.1,0.0134058668345649
0.9,0.4,0.2,0.0110090093570097
0.8,0.1,0.2,0.0080356965971145
1.2,-0.1,-0.1,0.0080600511663334
1.1,0.1,0.1,0.0108066692666473
1.0,0.2,-0.1,0.0161284999118158
1.2,0.1,0.2,0.0058196697051712
0.9,-0.0,-0.1,0.0171755819636655
0.8,-0.0,-0.1,0.0169161227853056
0.9,-0.1,-0.1,0.0160469781687382
0.9,0.1,-0.1,0.0152034912256582
0.9,-0.0,-0.2,0.0122067913818763
0.9,-0.0,0.2,0.009188155330597
1.2,-0.1,-0.0,0.0107972171404331
0.7,-0.2,-0.0,0.0113662828436298
1.2,-0.2,-0.3,0.0126490972001164
1.0,0.2,-0.4,0.015649677624559
0.8,0.1,-0.3,0.0132559476954008
1.1,0.2,0.1,0.010861296553794
1.0,-0.2,-0.2,0.0126068188972423
1.2,-0.0,-0.3,0.0089748773231982
1.2,0.1,-0.4,0.0134306620901981
0.9,0.2,-0.3,0.0169536504944222
0.7,0.2,-0.1,0.0119442384790465
1.1,0.2,-0.3,0.0129523133575686
0.8,-0.3,-0.2,0.0131024697753119
0.7,0.3,0.1,0.0128808092545258
1.0,0.2,-0.3,0.0134703616931507
0.7,-0.0,-0.3,0.0137013252332378
1.0,-0.1,-0.1,0.0119698965847947
1.0,-0.3,-0.3,0.0120074531351237
0.8,-0.1,-0.2,0.0110246898102638
1.1,-0.3,0.1,0.012399092521152
0.7,0.0,-0.0,0.0143270682142904
1.1,0.1,-0.2,0.0140369869552234
0.7,-0.1,-0.1,0.0146378085981276
0.7,0.3,-0.2,0.0144254978744118
0.9,0.1,-0.3,0.0134500872058195
0.7,-0.3,-0.3,0.0155286052304686
1.1,0.2,-0.1,0.0172250862411646
1.2,0.2,-0.1,0.0120436687047275
1.1,0.1,-0.1,0.017217448477958
1.1,0.3,-0.1,0.0111521419009092
1.1,0.2,-0.2,0.0123343274003594
1.1,0.2,0.0,0.0135476246950855
1.3,0.1,-0.2,0.0122965867304112
1.1,0.4,0.1,0.0099608130795075
1.1,0.3,-0.3,0.014232613986022
0.8,0.2,-0.3,0.0126120236765281
0.8,0.3,0.1,0.0129463893527797
1.2,0.1,-0.2,0.0135055490867247
1.3,0.3,-0.2,0.0103947385526446
0.8,0.2,0.1,0.0118345997990946
0.8,0.3,-0.3,0.0128987087570086
1.1,0.3,0.0,0.0109911262495258
0.9,0.4,-0.1,0.0122905688156779
1.3,-0.1,0.1,0.008530245811909
1.2,0.3,-0.4,0.012069169338138
0.8,0.1,-0.4,0.0152440891035739
1.1,0.3,-0.4,0.0135340676444878
0.8,0.3,-0.2,0.0117839839778137
1.2,0.4,-0.1,0.0120446210738948
0.9,0.4,-0.3,0.0079565180981365
0.9,0.5,-0.3,0.0111097983854201
1.3,0.2,-0.3,0.0095393422741745
1.0,-0.1,0.2,0.0083101227075366
1.1,0.5,-0.1,0.0137241127241248
1.2,0.2,-0.3,0.011039372374283
1.2,0.4,-0.2,0.0099316295700151
0.8,0.3,-0.1,0.0127999713259352
1.1,-0.1,0.0,0.011113049415045
1.2,0.5,0.1,0.0090879328094873
1.1,0.5,-0.3,0.0108642913108352
0.9,0.3,0.1,0.0133692219428801
1.2,0.4,-0.0,0.0102567760595631
1.3,0.2,-0.1,0.0098863844167967
1.1,0.0,-0.3,0.0099834786670691
1.4,-0.0,0.1,0.0100554266465193
1.2,-0.0,0.0,0.0090512795257488
1.3,-0.0,0.2,0.0097085162988185
1.3,0.1,-0.1,0.011752852612686
1.3,0.1,-0.0,0.0129551767661238
1.2,0.5,-0.3,0.0113939172903399
1.4,0.1,-0.2,0.0111010552218829
1.0,0.5,0.1,0.0142702211429485
1.1,0.3,-0.2,0.011562082374152
1.0,0.4,0.2,0.0133878352198788
1.1,0.4,-0.2,0.0112238105554071
1.0,0.5,-0.1,0.0157568667287102
0.8,0.0,-0.0,0.0151307510853561
0.8,-0.1,-0.0,0.0107267045753243
0.8,0.1,-0.0,0.0097911055946845
0.8,0.0,0.1,0.0105593771965663
0.8,-0.1,0.3,0.0100241907210952
0.9,-0.1,-0.0,0.009512984396046
0.7,-0.2,0.1,0.0109302705317227
1.0,0.1,0.3,0.0103979628165916
0.7,0.0,0.1,0.0125284117984177
0.7,0.1,-0.1,0.0114798788443231
1.0,0.1,-0.2,0.0147135254531414
0.9,-0.3,0.1,0.0149814295977402
1.0,0.2,0.2,0.0170521907945369
0.9,0.2,0.2,0.0102357142682431
1.1,0.2,0.2,0.0137768812789627
1.0,0.1,0.2,0.0110111475597474
1.0,0.3,0.2,0.0158974283029578
1.0,0.2,0.1,0.0121186473213586
1.0,0.2,0.3,0.0095297619518815
0.9,0.3,0.3,0.0144098813821019
1.2,0.4,0.3,0.0040068237566352
1.2,0.2,0.1,0.0098732442446853
1.1,-0.0,0.2,0.0124872286714326
0.8,0.3,0.2,0.0094305745230883
0.9,0.5,0.4,0.0152319011931729
1.1,0.5,0.1,0.0140487222547415
1.0,0.4,0.3,0.0111131151525324
1.2,0.3,-0.0,0.0091092948340742
0.9,-0.0,0.3,0.01124266799017
0.7,0.4,-0.0,0.0144843071504839
1.1,0.4,0.2,0.014510267388018
0.8,0.2,0.5,0.0093378293979165
0.7,0.4,-0.1,0.0115124034835332
1.2,0.1,0.4,0.0126307615924741
0.9,0.4,0.4,0.0152511010774839
1.1,0.1,0.5,0.0070814204452605
1.3,0.1,0.5,0.0081178178038212
1.2,0.5,0.2,0.0133607313848014
1.3,-0.0,0.0,0.0126735418316828
1.2,0.2,0.5,0.0128598223836257
0.7,0.3,0.2,0.0156666576259977
0.9,0.4,0.1,0.0153878303016684
0.8,0.2,0.2,0.0113344288213935
1.3,0.5,-0.1,0.0086330067579049
1.2,0.4,0.1,0.0099568250276322
1.2,-0.0,0.2,0.0096674312970252
1.1,0.4,-0.0,0.0125547692144533
1.2,0.4,0.2,0.0122292941995423
0.7,-0.0,-0.1,0.018388417379225
0.8,-0.1,-0.1,0.0133510667991371
0.8,0.1,-0.1,0.0148390318144954
0.8,-0.0,-0.2,0.0151906832517411
0.7,0.2,-0.3,0.0131082861685187
0.7,-0.0,-0.2,0.016001596955304
0.9,-0.3,0.0,0.0079900437011164
0.7,-0.3,-0.2,0.0134590080111978
0.9,-0.3,-0.3,0.0117615214610422
0.7,-0.2,-0.1,0.0127958752564385
0.7,0.1,-0.3,0.0117253123829473
0.7,-0.1,-0.2,0.0156989526564843
0.7,-0.3,0.1,0.0112943479857688
0.7,-0.0,-0.4,0.0135833215024909
0.8,-0.2,-0.2,0.0146828700713693
