c1,c2,c3,reward
1.0,0.0,0.0,0.1258844919023342
0.9,0.0,0.0,0.2188182745045283
1.1,0.0,0.0,0.2276553628272543
1.0,-0.1,0.0,0.1526481725691996
1.0,0.1,0.0,0.1156457165929746
1.0,0.0,-0.1,0.1054654692707802
1.0,0.0,0.1,0.1803623204692002
0.9,0.1,0.3,0.1275517500276962
1.2,0.0,0.0,0.1968961280997713
1.1,-0.1,0.0,0.1934756779301812
1.1,0.1,0.0,0.1581049825025162
1.1,0.0,-0.1,0.0566249785372945
1.1,0.0,0.1,0.2386204778124028
1.4,0.2,0.3,0.1360014328880771
1.2,0.0,0.1,0.2281368004380509
1.1,-0.1,0.1,0.1998274366487559
1.1,0.1,0.1,0.282527670733709
1.1,0.0,0.2,0.1507255734851936
0.9,0.3,0.4,0.1324903223274994
1.0,0.1,0.1,0.1371910806229124
1.2,0.1,0.1,0.2332775539008465
1.1,0.2,0.1,0.2386099953804907
1.1,0.1,0.2,0.2182968423547531
1.0,-0.2,-0.1,0.227655491836006
0.9,0.4,0.1,0.1764094741338325
0.9,0.4,0.3,0.0449719719365755
1.2,0.3,0.2,0.2111253571645946
1.2,0.3,0.3,0.1332400841055842
0.8,-0.2,0.2,0.1576288638183303
1.1,0.3,0.2,0.1030199482012333
1.2,-0.1,0.1,0.2119092013680432
0.9,-0.1,0.1,0.1614918406185715
1.0,0.3,0.4,0.1926779169880426
1.2,0.2,0.4,0.0922685092740739
1.3,-0.1,0.1,0.1617743346142482
1.0,0.2,-0.0,0.1438230050164151
1.0,0.1,0.3,0.2691264931463354
1.2,0.2,0.1,0.1802685679804555
0.9,0.3,0.2,0.08655772785985
1.3,-0.1,-0.1,0.1708697046576702
1.2,0.3,0.1,0.2461949883258887
1.1,0.3,0.1,0.1612430557054455
1.3,0.3,0.1,0.2148076889376035
1.2,0.4,0.1,0.2201359964119313
1.2,0.3,0.0,0.2689570230917998
1.0,0.5,-0.2,0.0639290291143734
1.1,0.3,0.0,0.1588713633700804
1.3,0.3,0.0,0.2130861056869619
1.2,0.2,0.0,0.2571963665589959
1.2,0.4,0.0,0.1717518155913716
1.2,0.3,-0.1,0.1808402642078799
1.5,0.5,0.1,0.141269002240909
1.0,0.0,0.2,0.2074701020446498
1.3,0.0,-0.0,0.2954554589619803
1.4,0.0,-0.0,0.1351543392258236
1.3,-0.1,-0.0,0.1695506503559427
1.3,0.1,-0.0,0.143606967847577
1.3,0.0,-0.1,0.2040930825746505
1.3,0.0,0.1,0.1646756003293826
1.1,-0.1,0.2,0.1844150770832666
1.2,-0.2,-0.2,0.1503145726745983
1.3,-0.2,0.1,0.1136953902568971
1.3,0.3,-0.1,0.1209162535101318
1.5,-0.1,-0.0,0.1027465151116215
1.4,-0.2,-0.2,0.1500063195439979
1.5,0.0,-0.2,0.1965127932643882
1.2,-0.2,-0.3,0.1500007777037193
1.4,0.1,-0.1,0.1708883035300303
1.3,-0.2,-0.3,0.1197446058647125
1.3,0.2,0.3,0.1712815492732261
1.4,0.2,0.1,0.1350149910356116
1.2,-0.0,0.2,0.2540598138671195
1.1,-0.2,-0.2,0.1080442064454584
1.3,-0.0,-0.2,0.1537958728326689
1.5,-0.3,-0.3,0.1385899028458887
1.4,0.1,0.2,0.0817646343025252
1.1,-0.1,-0.3,0.1192992020603354
1.1,-0.2,0.0,0.1616554962417563
1.5,-0.1,-0.1,0.0637774978531877
1.3,-0.3,0.3,0.1425528641526552
1.5,0.1,-0.1,0.1884872229125186
1.4,-0.2,0.1,0.1497797858436951
1.5,-0.1,-0.2,0.1073259185126744
1.4,-0.1,-0.2,-0.0121625536657483
1.4,0.2,-0.1,0.181038617660041
1.2,0.1,0.2,0.2549132927484564
1.5,-0.3,0.2,0.1566192317541103
1.5,0.3,0.1,0.026936672034677
1.5,-0.1,-0.3,0.1410048722617168
1.1,-0.1,-0.2,0.1153951842879752
1.4,-0.1,0.0,0.0810169600275412
1.5,-0.2,-0.1,0.1278560304562184
1.5,0.1,0.2,0.1807320621974242
1.2,-0.0,-0.2,0.0940724171710346
1.4,0.3,-0.0,0.1449275865501521
1.5,0.2,0.0,0.1732671715032404
1.4,-0.1,-0.1,0.1555508008618971
1.3,-0.1,0.2,0.1494286785828953
1.1,0.2,0.0,0.1307078555128068
1.3,-0.2,0.0,0.156876172632347
1.1,0.1,-0.1,0.1630733779569514
1.5,0.2,0.2,0.1929905065955123
1.1,-0.0,-0.2,0.1410920696679815
1.4,-0.1,0.3,0.06213238607748
1.5,0.2,-0.3,0.1954746920990569
1.5,-0.2,0.1,0.2820408358593937
1.1,0.1,-0.3,0.0817542777233867
1.5,-0.0,-0.3,0.2014837295918403
1.5,0.2,0.1,0.2133014786416865
1.3,-0.2,-0.2,0.1417469786825074
1.4,-0.3,-0.2,0.1655017842624663
1.4,-0.2,-0.0,0.2517294364124731
1.5,-0.0,0.0,0.1913816418105264
1.5,0.2,-0.2,0.0944825303875298
1.1,0.2,0.2,0.0546581182372658
1.2,-0.0,-0.1,0.1194884905772137
1.5,-0.2,-0.2,0.1804622676521788
1.4,0.0,0.1,0.2607260323429651
1.4,0.1,-0.2,0.1320855136675565
1.2,-0.1,-0.0,0.1815652638166697
1.4,-0.1,0.2,0.1082658930875317
1.4,-0.2,-0.3,0.1272723386279767
1.3,0.2,-0.1,0.136938083821823
1.5,-0.0,0.2,0.1323904585846485
1.2,-0.1,-0.1,0.0877098430801046
1.3,0.2,-0.2,0.1119702685655017
1.3,0.3,-0.2,0.1184330717515118
1.2,0.2,-0.2,0.1283364250799207
1.3,-0.3,-0.2,0.0907255452186841
1.4,-0.2,0.3,0.0955598348048531
1.0,-0.2,0.2,0.1758103716740646
1.4,0.1,0.0,0.1361059359510713
1.3,0.2,-0.3,0.1307969143872275
1.3,-0.3,0.0,0.2288947454634723
1.3,0.1,0.3,0.1108061437104198
1.2,0.1,-0.2,0.1398448028349045
1.0,-0.1,0.1,0.2060991720968647
1.3,0.3,0.3,0.1626109652884605
1.4,-0.1,0.4,0.0909029313344769
1.4,0.4,0.1,0.1877455629765992
1.1,0.1,-0.2,0.1716572324123721
1.0,0.4,0.1,0.1193967452658717
1.2,-0.2,0.3,0.0832915843613068
1.3,0.4,0.2,0.2746627762216332
1.2,0.1,0.3,0.1934520344484866
0.8,0.1,0.3,0.1206463808425122
1.2,0.1,-0.1,0.1396743635618232
1.1,0.0,0.4,0.2280550434340133
1.0,0.0,0.4,0.2499765516869185
1.2,0.0,0.4,0.1784393377607176
1.1,-0.1,0.4,0.1320535578035041
1.1,0.1,0.4,0.1436187262571122
1.1,0.0,0.3,0.1677391428050262
1.1,0.0,0.5,0.1010707265741711
0.8,0.1,0.2,0.1533219018964673
0.9,0.0,0.4,0.1423131737158138
1.0,-0.1,0.4,0.1076051491541309
1.0,0.1,0.4,0.1686194072648505
1.0,0.0,0.3,0.1877737021272468
1.0,0.0,0.5,0.1931076318888049
0.8,0.0,0.6,0.0526878813235378
0.7,0.0,0.6,0.0402463239063868
0.8,-0.2,0.3,0.1487783627559939
1.1,-0.2,0.5,0.1070320517856073
1.3,-0.1,0.4,0.1238952029185149
1.1,-0.1,0.3,0.1393237052246894
1.2,-0.3,0.3,0.1226748207111674
0.7,-0.1,0.5,0.1299497319810657
0.8,-0.1,0.5,0.1021032144119869
0.7,-0.2,0.5,0.0759820958377593
0.7,0.0,0.5,0.1394222370269557
0.7,-0.1,0.4,0.1681516603641588
0.7,-0.1,0.6,0.058224947935818
0.7,-0.2,0.2,0.1081283578575173
0.7,-0.3,0.2,0.0984818293048604
0.7,-0.1,0.2,0.1138201454553753
0.7,-0.2,0.1,0.1350008413202479
0.7,-0.2,0.3,0.1302173202483937
0.9,-0.0,0.2,0.1894179724991556
0.9,0.1,0.1,0.2218002328010895
0.7,-0.0,0.3,0.1256433822312262
0.7,-0.1,-0.0,0.173845382085929
0.9,0.1,0.0,0.1554254918858731
0.9,-0.1,0.3,0.1852041883128363
0.9,-0.2,0.3,0.1364993315187561
0.7,-0.4,0.1,0.1585313162647762
0.8,-0.4,0.1,0.1034330237359991
0.7,-0.5,0.1,0.1812375663145147
0.7,-0.3,0.1,0.1448533816602329
0.7,-0.4,0.0,0.1112418365341958
0.7,-0.4,0.2,0.1932437329766058
0.7,-0.6,-0.2,0.221823093219355
0.8,-0.6,-0.2,0.2254492940107069
0.7,-0.5,-0.2,0.1879421561942051
0.7,-0.6,-0.3,0.3048170350138618
0.7,-0.6,-0.1,0.1638403097054946
0.7,-0.6,-0.4,0.1533651942485466
0.7,-0.5,-0.1,0.184217370724557
0.8,-0.6,-0.3,0.2381220399014965
0.7,-0.5,-0.4,0.205714398425584
0.9,-0.6,0.1,0.1549614243992143
0.9,-0.4,0.1,0.1644683336782709
0.8,-0.6,-0.4,0.1389864535117752
0.7,-0.4,-0.1,0.1342183258894841
0.7,-0.6,0.1,0.1486934583990318
1.0,-0.5,-0.2,0.243446868284195
0.9,-0.4,-0.1,0.2457774486588798
0.9,-0.6,-0.4,0.1458428853038388
0.8,-0.5,-0.3,0.1659123761952961
0.7,-0.3,-0.4,0.1446552639752966
0.9,-0.6,-0.1,0.1444295513774424
0.7,-0.5,-0.3,0.1243195831975046
0.9,-0.6,-0.2,0.1606416274772517
0.9,-0.4,0.0,0.222010882942773
0.9,-0.3,-0.2,0.2053215511820199
0.8,-0.6,-0.5,0.0860014331302855
1.0,-0.5,-0.1,0.256950857842322
0.9,-0.6,0.0,0.1421832681056042
0.7,-0.3,-0.1,0.1203039315064034
0.8,-0.5,-0.1,0.1561549887816317
0.9,-0.3,-0.5,0.0675232285809356
1.0,-0.6,0.1,0.1841909907308412
0.8,-0.5,-0.4,0.2137015935320957
0.8,-0.6,0.1,0.15966105286255325
0.9,-0.5,-0.1,0.12051474674277239
0.9,-0.6,-0.5,0.07992764110224504
1.0,-0.6,-0.5,0.11563858491569376
0.7,-0.6,-0.0,0.17644197678931423
1.0,-0.6,-0.1,0.15261854414948567
1.0,-0.6,-0.3,0.19761837166875862
0.8,-0.6,-0.1,0.19918240222716027
0.7,-0.4,-0.4,0.11675540743467061
0.7,-0.4,-0.5,0.12099507836913144
0.9,-0.4,-0.4,0.13360858501963307
0.7,-0.4,-0.3,0.2266587604176904
0.7,-0.3,-0.0,0.25132761202855386
0.8,-0.3,-0.1,0.10014447783412647
0.7,-0.6,-0.5,0.07803871599221796
0.7,-0.5,0.0,0.16815468185996402
