c1,c2,c3,reward
1.0,0.0,0.0,33.421518778558074
0.9,0.0,0.0,28.804032857927403
1.1,0.0,0.0,37.51392087796291
1.0,-0.1,0.0,31.87053225606621
1.0,0.1,0.0,29.78771686810588
1.0,0.0,-0.1,32.23992017077448
1.0,0.0,0.1,32.824482291157786
0.9,0.1,-0.1,32.47822520158231
0.9,0.0,0.1,32.95941539852193
1.1,0.0,0.1,31.96877630696891
1.0,-0.1,0.1,33.80141785669348
1.0,0.1,0.1,29.82105928698901
1.0,0.0,0.2,30.58612576263277
1.3,0.0,0.1,24.62455366780446
0.9,-0.0,-0.1,33.50687135639867
1.2,0.2,0.1,29.165015425367645
0.7,0.2,0.3,26.559000769329806
1.2,0.1,0.1,28.91516582904593
0.9,-0.1,0.3,29.98384324662977
1.1,-0.0,0.3,28.099589075399592
1.1,0.1,-0.2,38.63041075948424
1.2,0.2,0.3,26.0946871868221
1.2,-0.3,-0.1,32.601980533571364
1.1,0.1,0.3,25.844876430563247
1.3,-0.1,0.3,24.57781376273834
1.1,-0.2,-0.0,30.6396456880636
1.3,0.2,0.1,26.19566547808464
0.8,-0.3,0.2,31.253950614010503
1.3,-0.3,0.0,27.47556034016965
1.0,0.2,0.1,25.99219003275978
1.1,-0.2,0.3,28.933553927832488
1.2,0.1,-0.2,35.15014478875325
0.8,0.1,-0.1,33.55418859859644
0.7,0.2,0.0,33.91142991971176
1.2,0.1,-0.1,29.926048804329582
0.9,-0.1,-0.1,34.87382478807896
1.0,-0.2,0.0,31.889370355301
1.2,0.0,-0.0,30.862940837840554
1.3,0.2,-0.0,28.18931418911325
0.8,-0.2,0.2,31.84883904093031
1.2,-0.2,0.1,30.86018490457808
0.8,0.1,-0.0,32.383102929688995
0.9,0.1,0.2,31.02973579911117
1.2,0.0,0.2,24.452635354351337
1.1,0.0,0.2,26.997099274823253
1.3,0.0,0.2,27.369237606115185
1.2,-0.1,0.2,25.73433714183044
1.2,0.1,0.2,28.715228121155302
1.2,0.0,0.1,28.97066978685568
1.2,0.0,0.3,24.97691349454216
0.9,0.3,0.0,32.15009359999138
1.3,-0.0,0.5,20.253258965489056
1.4,0.1,-0.0,26.306076156231263
1.0,0.2,0.3,25.205167758563466
1.0,0.3,-0.0,29.80799017721665
