c1,c2,c3,reward
1.0,0.0,0.0,40.661485570675325
0.9,0.0,0.0,45.028204502282335
1.1,0.0,0.0,41.04818895370648
1.0,-0.1,0.0,39.766755234175605
1.0,0.1,0.0,37.79324724517717
1.0,0.0,-0.1,39.11430315031399
1.0,0.0,0.1,37.551009043442846
1.3,0.0,-0.3,33.19760081543952
0.8,0.3,-0.2,33.022633459001504
0.9,-0.1,0.0,43.1858710969448
1.2,0.2,-0.3,28.926837673912228
1.1,0.2,-0.3,29.244262908729347
1.3,0.2,-0.3,26.70835971445041
1.2,0.1,-0.3,28.68527955738226
1.2,0.3,-0.3,26.7097789662292
1.2,0.2,-0.4,31.338750140191458
1.2,0.2,-0.2,29.648693984592644
1.1,0.2,-0.1,30.12841005281029
1.0,0.2,-0.3,30.33017148808825
1.1,0.1,-0.3,29.9456886096524
1.1,0.3,-0.3,26.489504599781466
1.1,0.2,-0.4,29.37328749026697
1.1,0.2,-0.2,33.85321221465584
0.8,0.1,-0.4,36.97378048900024
1.3,0.2,-0.2,27.72560777956868
0.9,0.2,-0.3,33.79404380688602
0.9,0.3,-0.4,30.90419505875329
1.2,0.1,-0.1,33.111150141499124
1.0,0.1,-0.1,38.89022817820863
0.9,-0.1,-0.3,47.28156499156898
1.2,0.3,-0.2,24.27924045200816
1.3,0.4,-0.1,26.026795576528308
1.2,0.4,-0.1,26.54063478382798
1.4,0.4,-0.1,22.667925446622345
1.3,0.3,-0.1,30.532026802965746
1.3,0.5,-0.1,23.603303763612374
1.3,0.4,-0.2,24.13443894805896
1.3,0.4,0.0,26.48514454220689
1.4,0.0,-0.3,29.47610913388836
1.2,0.3,-0.1,31.82694860894514
1.4,0.3,-0.1,24.898726279410937
1.3,0.2,-0.1,30.13854674269524
1.3,0.3,-0.2,24.90837819914825
1.3,0.3,0.0,25.730740070964217
1.4,0.4,0.1,28.402772911237825
1.3,0.4,0.1,30.42237840796676
1.5,0.4,0.1,23.5463757424968
1.4,0.3,0.1,29.85520492937001
1.4,0.5,0.1,22.41162089286432
1.4,0.4,0.0,25.1255712266304
1.4,0.4,0.2,25.98415293417318
1.2,0.2,0.2,31.968787638418057
1.2,0.5,0.0,25.940338850404167
1.2,0.2,0.1,36.98183291864435
1.2,0.4,0.2,30.39945931906149
1.5,0.3,0.1,25.98665472493002
1.5,0.2,0.1,28.33857672504848
1.5,0.6,0.4,23.03892601968539
1.5,0.6,-0.1,22.707429558400623
1.5,0.6,0.3,23.86893863987444
1.3,0.5,0.1,28.7559315888607
1.2,0.2,-0.1,35.85502766130032
1.1,0.3,-0.1,34.09133957040635
1.5,0.4,0.0,23.736931572606004
1.3,0.4,0.3,34.60174010894452
1.5,0.4,0.2,24.58727223961609
1.5,0.3,0.2,24.83644505270157
1.5,0.4,0.3,26.70263638335526
1.2,0.3,0.0,29.98074727570448
1.2,0.5,0.1,29.831563567188297
1.1,0.3,0.1,31.772349277203112
1.3,0.5,0.3,26.958220047134244
1.5,0.2,0.3,29.40450277012822
1.2,0.3,0.1,33.50993255284931
1.2,0.6,0.1,23.24713792494197
1.4,0.2,0.3,30.63920891057214
1.5,0.1,0.1,27.49110753123102
1.5,0.2,0.4,29.53040105717144
1.2,0.3,0.4,34.80950174877332
1.1,0.6,-0.0,24.72559780052257
