c1,c2,c3,reward
1.0,0.0,0.0,-0.0021413950631751
0.9,0.0,0.0,0.0037732190714066
1.1,0.0,0.0,0.0045136431373566
1.0,-0.1,0.0,-0.0014599473746083
1.0,0.1,0.0,0.002208220787721
1.0,0.0,-0.1,0.0029642962305167
1.0,0.0,0.1,-0.0007378517774916
1.2,-0.2,-0.0,-0.0015029665134232
1.2,0.0,0.0,-0.0018851671653905
1.1,-0.1,0.0,0.0005680632750538
1.1,0.1,0.0,0.0021699064105903
1.1,0.0,-0.1,0.0015464433457863
1.1,0.0,0.1,-0.0022424341399545
1.0,0.1,0.2,-0.00258850698655
1.2,-0.0,-0.1,-0.0024775190685084
1.2,-0.2,0.3,-0.0044325138974175
1.2,-0.2,0.1,0.0027158422396427
1.3,0.1,0.2,-0.0071765203015944
1.2,0.1,-0.2,0.000273221052723
1.4,0.1,0.0,0.000750486253128
1.4,0.3,-0.1,-0.0041624062523735
1.1,0.2,-0.3,0.0005195030050166
1.1,-0.2,-0.1,0.0027080901842496
1.0,-0.2,-0.2,0.0013674469855048
1.3,-0.2,0.1,-0.0003543380946989
1.2,0.2,0.0,0.0002021018687608
1.2,0.1,0.1,-0.0039704553501497
1.2,0.2,0.1,-0.0007999428780742
1.3,-0.3,0.2,-0.0023809328595993
1.3,-0.3,0.3,-0.0015908250526912
1.1,0.2,0.2,-0.003600084622591
1.4,0.0,-0.2,-0.0004682505546162
1.2,0.1,0.2,-0.0096324730725512
0.8,0.2,-0.1,-0.0030578881316732
1.2,-0.1,0.2,0.0005237322907265
1.3,0.0,-0.1,0.0013730682038235
1.1,0.3,-0.0,-0.0021876102684711
1.3,-0.2,-0.1,0.0020799661581287
0.9,0.3,-0.3,-0.0018054203411783
1.3,-0.0,0.1,-8.435108407085905e-05
1.3,0.0,0.0,-0.0019907079911893
0.8,0.1,-0.0,-0.0025975739726692
1.3,0.2,0.1,-0.0063360399739957
1.2,0.3,-0.2,0.0012141892645721
1.4,-0.0,0.2,-0.0033404650751932
1.3,-0.1,0.1,0.0009923752151682
1.0,-0.1,-0.2,0.0031566367581097
1.2,0.0,-0.2,0.0015813330244124
1.1,0.1,0.3,-0.0015074293070937
1.3,0.2,-0.1,-0.0002400422966022
1.3,0.1,-0.1,-0.0021351113620884
1.2,0.0,0.2,-0.0017161081072662
1.4,0.3,0.1,-0.0041348273012672
0.9,0.1,-0.1,0.0028869004106917
1.3,0.3,-0.1,-0.0003802846662833
1.0,-0.1,-0.1,0.0015202150020465
1.0,0.1,0.1,-0.0052497243276825
0.9,0.2,-0.2,0.0033249118509031
1.3,0.1,-0.2,-0.0020930515887095
1.1,-0.3,0.0,-0.0007618129547841
0.9,-0.1,-0.0,0.0004368373400155
1.2,-0.3,0.1,-0.0031008872549685
0.9,0.0,0.3,-0.0075611689519404
1.4,-0.0,-0.0,-0.0002084658805964
1.2,0.1,-0.1,0.0014197098401472
1.2,0.3,0.2,-0.0036004451423237
1.1,0.3,0.3,-0.0042696053188329
1.4,0.2,0.2,-0.0026359291353406
0.9,-0.0,0.2,-0.0012221871346821
1.1,0.3,-0.2,0.0013773308401802
0.9,0.3,-0.1,-0.0003939498319708
1.2,-0.2,-0.1,-0.0001833312302174
0.9,0.2,0.3,-0.0074661535322771
1.3,-0.3,-0.1,-0.0003575691298272
0.8,-0.2,-0.2,-0.0014978301655845
1.0,-0.3,0.2,-4.1222889700986975e-05
0.9,0.3,0.3,-0.0074482191202456
1.1,-0.2,-0.0,-0.0007612265242766
0.9,0.1,-0.2,0.0014475228108503
1.1,-0.1,-0.2,0.002956063076499
1.1,-0.2,0.2,-0.002720901225195
1.0,0.1,-0.2,0.0037431652962845
1.2,0.1,-0.3,-0.0006829133410292
0.8,-0.1,-0.1,-0.0023700717779037
0.8,-0.0,-0.1,-0.0028981148580343
0.8,0.2,-0.0,-0.0041725580879881
1.3,0.2,0.3,-0.0076701032614952
1.0,-0.0,0.3,-0.0046449212924383
1.0,0.2,0.1,-0.0015204630978913
1.3,-0.2,0.3,-0.000858198620657
1.4,-0.2,-0.1,0.0010703900697677
1.0,-0.1,0.1,-0.004209148659128
1.2,0.2,-0.2,-0.0005980962576363
0.9,-0.3,-0.3,0.0025013341725015
