date,objective,start_index
2024-02-29,max_return,1
2024-02-29,sharpe,79
2024-02-29,sortino,104
2024-02-29,volatility,131
2024-02-29,downside_vol,181
2024-03-31,max_return,1
2024-03-31,sharpe,64
2024-03-31,sortino,85
2024-03-31,volatility,128
2024-03-31,downside_vol,189
2024-04-30,max_return,1
2024-04-30,sharpe,88
2024-04-30,sortino,105
2024-04-30,volatility,148
2024-04-30,downside_vol,195
2024-05-31,max_return,1
2024-05-31,sharpe,80
2024-05-31,sortino,102
2024-05-31,volatility,127
2024-05-31,downside_vol,212
2024-06-30,max_return,1
2024-06-30,sharpe,68
2024-06-30,sortino,97
2024-06-30,volatility,145
2024-06-30,downside_vol,254
2024-07-31,max_return,1
2024-07-31,sharpe,72
2024-07-31,sortino,88
2024-07-31,volatility,100
2024-07-31,downside_vol,165
2024-08-31,max_return,1
2024-08-31,sharpe,95
2024-08-31,sortino,109
2024-08-31,volatility,137
2024-08-31,downside_vol,185
2024-09-30,max_return,1
2024-09-30,sharpe,87
2024-09-30,sortino,104
2024-09-30,volatility,121
2024-09-30,downside_vol,204
2024-10-31,max_return,1
2024-10-31,sharpe,69
2024-10-31,sortino,99
2024-10-31,volatility,129
2024-10-31,downside_vol,205
2024-11-30,max_return,1
2024-11-30,sharpe,108
2024-11-30,sortino,131
2024-11-30,volatility,159
2024-11-30,downside_vol,182
2024-12-31,max_return,1
2024-12-31,sharpe,67
2024-12-31,sortino,151
2024-12-31,volatility,175
2024-12-31,downside_vol,214
2025-01-31,max_return,1
2025-01-31,sharpe,90
2025-01-31,sortino,137
2025-01-31,volatility,172
2025-01-31,downside_vol,181
2025-02-28,max_return,1
2025-02-28,sharpe,85
2025-02-28,sortino,126
2025-02-28,volatility,152
2025-02-28,downside_vol,221
2025-03-31,max_return,1
2025-03-31,sharpe,78
2025-03-31,sortino,89
2025-03-31,volatility,99
2025-03-31,downside_vol,147
2025-04-30,max_return,1
2025-04-30,sharpe,70
2025-04-30,sortino,121
2025-04-30,volatility,162
2025-04-30,downside_vol,211
2025-05-31,max_return,1
2025-05-31,sharpe,81
2025-05-31,sortino,105
2025-05-31,volatility,133
2025-05-31,downside_vol,174
2025-06-30,max_return,1
2025-06-30,sharpe,56
2025-06-30,sortino,99
2025-06-30,volatility,130
2025-06-30,downside_vol,173
2025-07-31,max_return,1
2025-07-31,sharpe,92
2025-07-31,sortino,130
2025-07-31,volatility,156
2025-07-31,downside_vol,177
2025-08-31,max_return,1
2025-08-31,sharpe,49
2025-08-31,sortino,80
2025-08-31,volatility,109
2025-08-31,downside_vol,152
2025-09-30,max_return,1
2025-09-30,sharpe,102
2025-09-30,sortino,137
2025-09-30,volatility,167
2025-09-30,downside_vol,212
2025-10-31,max_return,1
2025-10-31,sharpe,71
2025-10-31,sortino,152
2025-10-31,volatility,180
2025-10-31,downside_vol,221
2025-11-30,max_return,1
2025-11-30,sharpe,47
2025-11-30,sortino,78
2025-11-30,volatility,135
2025-11-30,downside_vol,175
2025-12-31,max_return,1
2025-12-31,sharpe,140
2025-12-31,sortino,151
2025-12-31,volatility,177
2025-12-31,downside_vol,270
2026-01-31,max_return,1
2026-01-31,sharpe,61
2026-01-31,sortino,94
2026-01-31,volatility,116
2026-01-31,downside_vol,141
2026-02-28,max_return,1
2026-02-28,sharpe,51
2026-02-28,sortino,66
2026-02-28,volatility,114
2026-02-28,downside_vol,151
