c1,c2,c3,reward
1.0,0.0,0.0,34.27434178705842
0.9,0.0,0.0,35.37490979652736
1.1,0.0,0.0,28.48714359595049
1.0,-0.1,0.0,31.161284263961782
1.0,0.1,0.0,29.661509609876443
1.0,0.0,-0.1,31.02576189694751
1.0,0.0,0.1,31.43932076276452
0.7,0.0,0.0,39.437970120714574
0.9,0.0,-0.1,36.91728611264982
1.1,0.0,-0.1,33.917770695452525
1.0,-0.1,-0.1,32.138738652272686
1.0,0.1,-0.1,31.390456974372736
1.0,0.0,-0.2,36.00083697518228
1.3,0.1,0.1,24.58237930434329
1.2,0.1,0.1,27.27997961328326
1.4,0.1,0.1,23.2196120229198
1.3,0.0,0.1,24.31178904151214
1.3,0.2,0.1,23.12608434012681
1.3,0.1,0.0,24.37766810037111
1.3,0.1,0.2,21.17651561474962
1.3,-0.0,0.3,22.703565193910016
1.1,0.1,0.1,26.34190260270735
1.2,0.0,0.1,28.5168494689854
1.2,0.2,0.1,25.344580493573552
1.2,0.1,0.0,26.489822392757578
1.2,0.1,0.2,23.56632991414704
1.1,0.0,0.4,27.93743696014981
1.0,0.0,0.4,29.68767470612177
1.2,0.0,0.4,24.637773264985988
1.1,-0.1,0.4,24.988163730000142
1.1,0.1,0.4,29.701798326981447
1.1,0.0,0.3,28.67064004169601
1.1,0.0,0.5,24.74384860166808
1.3,-0.3,0.5,22.80886014659885
0.9,0.2,0.4,30.6866411402659
0.9,0.2,0.5,28.450287998697064
1.3,0.1,0.6,18.42463250791174
1.2,-0.1,0.6,20.46259774607927
1.4,0.1,0.6,19.51581737157887
1.1,-0.2,0.6,22.62921117215668
0.9,0.1,0.4,28.53295853005716
0.9,-0.1,0.3,31.348510030171067
1.3,0.2,0.2,20.561910104274183
1.3,0.3,0.4,21.05354403207422
1.1,0.3,0.6,22.33740201964176
0.9,0.0,0.3,28.743683471672867
0.8,-0.2,0.2,38.396901427061294
1.2,0.3,0.4,24.45770458417481
1.2,-0.0,0.6,21.713844922183803
1.1,-0.0,0.1,30.60580234386693
0.8,0.3,0.5,26.32796757550589
0.8,0.1,0.2,34.59956832495811
0.9,0.3,0.5,25.679145033309883
1.2,-0.3,0.4,24.28765415701898
1.1,-0.3,0.6,24.771274135151653
1.1,-0.1,0.5,25.48333193548236
1.2,0.0,0.2,25.60426372316609
1.4,0.2,0.1,22.675052732574947
0.8,-0.1,0.5,30.509964824149428
1.1,-0.2,0.3,29.88694082286871
1.1,0.2,0.3,26.54808514074249
0.9,0.3,0.6,24.68428342543732
1.1,-0.0,0.2,27.801227212233808
1.0,-0.1,0.2,34.298940090527154
1.2,0.2,0.4,25.413193878877124
1.0,0.2,0.3,27.051000817813403
1.3,0.2,0.3,22.950572831174306
0.9,0.1,0.1,34.865955447442765
0.9,0.2,0.6,25.57156199989796
1.3,0.3,0.3,21.310107704767663
0.9,-0.2,0.1,30.411040284198503
0.9,0.1,0.6,26.39661575508094
1.2,-0.3,0.6,24.813576307724787
1.3,-0.3,0.3,22.340597359584
1.2,-0.2,0.6,21.19234547867156
1.3,0.0,0.4,21.14807522337167
1.2,-0.2,0.1,26.223794573060704
1.1,-0.1,0.6,23.192709565898262
1.1,0.2,0.6,22.9039481094528
1.3,-0.1,0.5,20.58589769350589
1.0,-0.1,0.6,24.994469809461272
1.2,0.2,0.6,23.39230297424524
1.3,0.1,0.4,21.96353499959784
1.2,0.2,0.2,24.60597360094791
1.1,-0.2,0.4,27.69093976425271
0.8,0.1,0.1,37.03087227637236
1.1,0.3,0.1,25.396563255154938
1.4,-0.0,0.6,19.50564306879885
0.9,-0.2,0.6,26.40840372700857
1.0,0.3,0.3,25.395076842532376
1.2,-0.1,0.4,22.275862257723947
1.1,0.2,0.2,25.369367162071235
0.9,-0.1,0.6,28.27195747191597
1.1,0.2,0.4,27.25990695051633
1.2,-0.2,0.3,24.92191614816445
0.8,0.3,0.4,32.81664302174846
0.8,-0.1,0.3,34.54847349191634
1.1,-0.1,0.3,28.79457259499716
1.0,-0.2,0.2,30.474373663192537
1.4,-0.1,0.4,20.164765845631667
0.9,0.3,0.3,30.585851231684952
1.0,0.3,0.4,27.805391892265693
1.3,-0.2,0.6,22.10330072169587
0.8,0.2,0.2,31.78751637734548
1.1,0.1,0.2,30.47141403392256
1.0,0.1,0.2,29.545005614985183
1.1,0.1,0.3,25.440037582551607
1.3,0.3,0.2,22.89904627942729
0.9,-0.2,0.5,29.68361277800818
0.9,-0.1,0.5,27.65994667214443
1.3,-0.1,-0.1,24.48414269724241
0.9,0.1,0.2,29.296209008420856
1.4,0.3,0.4,18.989462468346968
1.0,0.3,0.2,27.96858071406952
1.1,0.3,0.4,23.4685450741105
1.0,-0.1,0.5,25.98452591299632
1.1,-0.1,0.1,31.18845704055417
0.8,0.1,0.5,33.03837023044891
1.1,0.4,0.3,25.659908339969327
1.2,0.3,-0.1,26.30108225117647
1.0,0.3,-0.0,29.05904648207097
1.4,0.0,0.3,19.076461674511307
1.0,-0.2,0.5,26.75535581946593
1.4,-0.1,-0.0,25.52617052416493
1.0,-0.2,0.1,33.8629620939395
1.3,0.2,0.4,21.32403030546049
0.9,0.4,0.3,27.315819957237704
0.8,0.4,-0.0,30.009054056076096
0.9,0.2,0.1,33.3863022516968
1.0,0.0,0.3,32.50931633128859
1.0,-0.1,0.3,29.081496887789445
1.0,0.1,0.3,25.95595850562951
1.0,0.0,0.2,30.887306873159478
0.9,-0.2,0.4,29.308301289479186
0.8,0.0,0.6,26.934947684902017
1.2,-0.1,0.0,26.40257391386297
1.2,-0.1,0.5,23.29510349798485
1.3,0.1,0.3,24.021469983862268
1.1,0.2,0.1,25.49542873774996
0.7,-0.0,0.6,30.64765268014421
0.7,-0.1,0.4,34.60448933510119
0.8,-0.1,0.4,30.22856221804148
0.7,-0.2,0.4,33.380396976326985
0.7,0.0,0.4,32.736156937373735
0.7,-0.1,0.3,35.409533699766804
0.7,-0.1,0.5,32.152150816551895
0.7,-0.2,0.3,39.35505353615408
0.7,0.0,0.3,36.27935071028576
0.7,-0.1,0.2,37.92210076160213
0.7,-0.4,0.6,30.67936232926899
0.8,-0.2,0.3,30.250254189597342
0.7,-0.3,0.3,34.35327848763995
0.7,-0.2,0.2,35.552804318807375
0.7,-0.3,0.2,35.54121003473159
0.7,0.1,0.0,37.73941222783814
0.7,0.1,0.1,31.574210030484345
0.7,-0.5,0.5,37.37556140433837
0.8,-0.3,0.4,36.4195710139666
1.0,-0.3,0.1,28.228924213654803
0.8,-0.1,0.1,36.13566246295564
0.7,-0.4,0.5,32.141856555291724
0.9,-0.4,0.2,30.554883814932666
0.9,-0.0,0.4,31.673569557774925
0.7,-0.5,0.4,38.05901189240353
1.0,-0.4,0.2,29.53103585226883
1.0,-0.2,0.0,32.83948178900714
0.7,-0.1,0.1,41.7353140481602
0.7,-0.2,0.1,36.03436206722485
0.7,0.0,0.1,37.1562349103325
0.7,-0.1,0.0,44.05050565630136
0.7,0.1,0.2,34.70049526443206
0.8,-0.1,0.0,39.27137735052045
0.7,-0.2,0.0,41.94929522282015
0.7,-0.1,-0.1,47.70537714956207
0.7,-0.0,-0.2,42.945723120705935
0.8,-0.1,-0.1,39.62046508543037
0.7,-0.2,-0.1,51.78780828338861
0.7,0.0,-0.1,44.08111440404411
0.7,-0.1,-0.2,42.74529386845601
0.9,-0.1,0.1,30.602180714969275
0.8,-0.2,-0.1,38.9217066722809
0.7,-0.3,-0.1,44.03215829130291
0.7,-0.2,-0.2,50.84863594785192
1.0,-0.0,-0.4,28.547924911537397
0.8,-0.4,-0.3,43.74403359342526
0.7,-0.3,0.1,36.50758662468453
0.8,-0.2,-0.3,43.098572604033855
1.0,-0.4,-0.3,31.23902706055926
0.7,-0.3,-0.3,49.14261430774719
0.7,-0.4,0.1,35.687774398718766
0.7,-0.4,-0.2,45.97831548561695
0.9,-0.3,-0.4,35.60525169897365
0.8,-0.4,0.1,31.969892695533996
0.7,-0.5,-0.1,38.618625625508
0.8,-0.3,0.1,34.66354823437251
0.7,-0.3,0.0,37.08081333614904
0.7,-0.5,0.0,35.97603186213375
0.7,-0.1,-0.3,44.71556602538692
