c1,c2,c3,reward
1.0,0.0,0.0,66.556059410288
0.9,0.0,0.0,73.80592076940965
1.1,0.0,0.0,103.8163671008
1.0,-0.1,0.0,87.39304057832511
1.0,0.1,0.0,57.481675078320144
1.0,0.0,-0.1,65.27041945877212
1.0,0.0,0.1,70.36056414265647
1.3,-0.0,-0.2,60.39388984777165
1.2,-0.0,-0.2,62.06544145812688
1.4,-0.0,-0.2,44.1365333620239
1.3,-0.1,-0.2,57.21485841674934
1.3,0.1,-0.2,49.91276064507814
1.3,-0.0,-0.3,51.021537101081485
1.3,-0.0,-0.1,62.477194209112255
1.1,0.2,0.0,74.5627211072784
1.2,-0.0,-0.1,68.1664524620547
1.4,-0.0,-0.1,48.55408031428982
1.3,-0.1,-0.1,53.96469408857078
1.3,0.1,-0.1,65.19294125849632
1.3,-0.0,0.0,62.61287766342945
1.3,0.2,0.3,43.03150125612871
1.2,-0.0,0.0,63.89483236649899
1.4,-0.0,0.0,47.63306906772982
1.3,-0.1,0.0,61.591060617030685
1.3,0.1,0.0,49.44687208263253
1.3,-0.0,0.1,49.982210775411296
1.5,0.3,0.1,35.577635711352265
1.5,-0.0,-0.0,45.45189205056404
1.1,0.3,0.2,49.0311982799229
1.1,-0.3,-0.1,61.05667969287917
1.4,0.3,0.2,39.620320190173786
1.4,0.1,-0.2,44.80894381807251
1.1,-0.1,-0.3,59.43926888414229
1.5,0.1,0.1,42.57560709253152
1.1,0.0,-0.2,59.64745800576789
1.5,0.2,0.2,36.19653741706524
1.0,-0.3,0.1,53.03035511320439
1.0,-0.2,-0.2,66.47288286487405
1.4,0.3,-0.3,41.02442850755518
1.1,0.1,-0.3,49.21491968635044
1.0,-0.2,-0.3,58.18013253792568
1.5,0.1,0.3,40.57582818759103
1.3,-0.1,-0.3,49.71539648625685
1.0,0.1,-0.3,56.838721251001935
1.5,-0.1,-0.3,44.507077299261645
1.1,-0.1,-0.0,54.96516546386541
1.2,0.1,-0.3,60.21059571225779
1.5,-0.3,0.3,49.92150531132612
1.2,-0.3,0.1,53.198439659380206
1.3,-0.3,-0.1,49.84260682504412
1.0,0.1,-0.2,60.851018888075465
1.2,0.1,-0.0,64.91884167513663
1.2,0.1,-0.2,69.22940932161124
1.5,0.2,0.1,42.31473236229497
1.2,-0.1,0.0,68.47742553083133
1.0,-0.0,0.2,73.96099823211375
1.2,-0.1,-0.1,60.9103166390921
1.3,0.3,0.3,43.51954590745233
1.3,0.2,-0.0,60.68159242818499
1.2,-0.2,-0.1,71.145253161978
1.1,-0.2,-0.1,50.9170798046753
1.3,-0.2,-0.1,49.77019859567127
1.2,-0.3,-0.1,57.74329404067868
1.2,-0.2,-0.2,68.89522664791559
1.2,-0.2,0.0,60.756937133242566
1.4,-0.1,-0.0,43.02499843521255
1.2,-0.3,0.2,49.838343214789816
1.1,-0.2,0.0,51.1920521266131
1.2,-0.2,0.2,69.8414610795392
1.1,-0.2,0.2,64.94755280156771
1.3,-0.2,0.2,50.54441723575878
1.2,-0.1,0.2,71.91239896331709
1.2,-0.2,0.1,61.72951733636668
1.2,-0.2,0.3,59.46301785063741
1.5,-0.2,0.2,46.96406043524465
0.9,0.0,0.3,83.56077878695211
0.9,-0.1,0.1,67.76492775350758
1.1,-0.2,0.4,47.23521258991307
1.0,-0.4,0.2,45.86656670176409
1.3,-0.4,0.3,49.34319413046579
1.4,0.1,0.3,55.18985437856611
0.9,-0.1,0.2,76.35319419681936
0.9,-0.0,0.2,59.57994761733126
1.4,-0.3,0.0,44.863438234886594
1.2,-0.1,0.5,53.191777948138586
1.2,-0.5,0.3,63.84649575412223
1.1,0.0,0.1,55.652643568959
1.4,-0.2,0.1,50.91139228831073
1.3,-0.4,0.1,46.72284899793608
0.9,0.1,0.4,76.04882097475554
1.5,-0.3,-0.0,50.244541422671226
1.4,-0.1,0.1,51.43067123458999
1.3,-0.1,0.2,43.64640324865111
1.4,-0.1,0.3,45.67614757730316
1.5,-0.3,0.2,39.41907953524172
1.5,-0.1,0.2,46.57019801206547
1.0,0.1,0.4,43.62946818107808
1.3,-0.3,0.1,53.05092279223097
1.5,-0.4,0.1,51.24742444905146
1.3,-0.3,0.2,44.89971207820837
1.3,-0.2,0.5,53.835349554708
1.4,-0.4,-0.1,55.88163649835596
0.9,-0.1,0.3,72.56835839677923
0.9,-0.2,0.3,58.593152652462784
1.0,-0.4,-0.0,63.89643264301022
1.2,-0.0,0.4,54.30352818411636
1.1,-0.3,0.1,60.5355652826804
1.2,-0.3,0.3,51.34674205754759
1.2,-0.3,-0.0,80.56040278374734
1.1,-0.3,-0.0,58.31007984794356
1.3,-0.3,-0.0,54.84405490427881
1.2,-0.4,-0.0,47.64570055186561
1.0,-0.5,-0.1,55.82686902597101
0.9,-0.4,0.2,52.36200460176609
1.0,-0.3,-0.3,65.76063138081443
1.2,-0.5,0.0,49.85845675570202
1.4,-0.2,-0.2,52.29631616302859
1.2,-0.4,-0.1,67.51618667798954
1.4,-0.4,0.3,62.38073656253394
1.3,-0.2,-0.2,62.25098077806837
1.5,-0.4,-0.1,50.24911266189781
1.2,-0.3,-0.2,53.78556200755753
1.2,-0.4,-0.2,47.748331320882464
1.4,-0.1,-0.3,48.50331508712032
1.1,-0.5,-0.2,61.36159134008268
1.3,-0.1,0.1,52.2266104469916
1.1,-0.6,-0.2,65.50698821606572
1.2,-0.0,0.3,81.35997944559942
