c1,c2,c3,reward
1.0,0.0,0.0,0.7308021107344266
0.9,0.0,0.0,0.6542993313296367
1.1,0.0,0.0,0.7455829074979585
1.0,-0.1,0.0,0.7872213300330884
1.0,0.1,0.0,0.564091037409416
1.0,0.0,-0.1,0.4891347102266224
1.0,0.0,0.1,0.664217616841236
1.3,0.1,0.3,0.7540255128170121
1.2,0.1,0.3,0.9144348968166528
1.4,0.1,0.3,0.7417776133470679
1.3,0.0,0.3,0.6757707430675834
1.3,0.2,0.3,0.7057488827538865
1.3,0.1,0.2,0.6878834478114388
1.3,0.1,0.4,0.635484764365224
1.4,0.4,0.2,0.5309456500385397
1.5,0.1,0.3,0.5957195497786075
1.4,0.0,0.3,0.6712783461869678
1.4,0.2,0.3,0.5565791401499401
1.4,0.1,0.2,0.7770838568315475
1.4,0.1,0.4,0.6541615172717993
1.5,0.0,0.4,0.612312519725253
1.5,0.1,0.2,0.7020876675693247
1.4,0.0,0.2,0.8733262844251702
1.4,0.2,0.2,0.6097897278676699
1.4,0.1,0.1,0.8824813577538636
1.2,0.3,0.0,0.6277062245957113
1.3,0.1,0.1,0.6327857432559276
1.5,0.1,0.1,0.6927547165667762
1.4,0.0,0.1,0.7467284044524256
1.4,0.2,0.1,0.6930513456879892
1.4,0.1,0.0,0.7909528641429635
1.3,0.1,0.0,0.7710594444867765
1.5,0.1,0.0,0.7300041481712508
1.4,0.0,0.0,0.6521467397335958
1.4,0.2,0.0,0.6616389035256052
1.4,0.1,-0.1,0.8409200260600438
1.5,0.2,-0.1,0.8111013938933277
1.4,0.2,-0.1,0.7298303429163323
1.5,0.1,-0.1,0.4849134000060578
1.5,0.3,-0.1,0.5517443968100822
1.5,0.2,-0.2,0.6447313599910615
1.5,0.2,0.0,0.5736482476006981
1.2,0.1,-0.2,0.6884093615385174
1.3,-0.0,0.0,0.6572336732936326
1.5,0.1,-0.3,0.6893068848849894
1.5,0.2,0.1,0.6049731470536547
1.5,0.5,-0.4,0.5165879623624932
1.5,0.2,-0.3,0.5369244165725838
1.5,0.3,-0.4,0.5359160594627694
1.5,0.4,-0.3,0.6070945758539195
1.4,0.3,0.1,1.0109633335235304
1.3,0.3,0.1,0.8530413204327976
1.5,0.3,0.1,0.6795305002843176
1.4,0.4,0.1,0.6140991151549483
1.4,0.3,0.0,0.7277488616981217
1.4,0.3,0.2,0.6653111529756606
1.5,0.6,-0.1,0.4222651745926912
1.5,0.5,0.1,0.4754649755535127
1.5,0.4,0.4,0.4888633120938125
1.5,0.4,-0.2,0.4542455590601696
1.5,0.4,0.1,0.4794629273147155
1.5,0.4,0.2,0.5318677610064276
1.2,0.4,0.2,0.9757964814029224
1.4,0.0,-0.1,0.8061442803378966
1.5,0.5,0.3,0.52851093375127
1.3,0.4,0.4,0.7678878146160498
1.1,0.3,0.1,0.6263849841061757
1.5,0.2,0.2,0.7052700385283862
1.4,0.5,0.2,0.4851935729870881
1.1,0.2,0.1,0.7503588818646276
1.2,0.4,0.3,0.7181282233247973
1.3,0.4,-0.0,0.5281718294375307
1.4,0.4,-0.1,0.6237901052537224
1.2,0.0,-0.1,0.7613608309417881
1.2,0.1,0.1,0.8285482445209494
1.4,0.6,-0.0,0.433277753983842
1.3,0.6,0.1,0.6166627187129902
1.1,0.1,-0.1,0.6851711670436411
1.3,0.6,-0.1,0.388789181630601
1.3,0.3,-0.1,0.7013057806483772
1.1,0.3,0.0,0.6720569056519619
1.5,0.5,-0.1,0.4452129393255669
1.5,0.3,0.4,0.6376109107744835
1.5,0.4,0.3,0.5231830282651627
1.4,0.4,0.0,0.5928508522857351
1.2,0.4,-0.2,0.6265916299165593
1.3,0.4,-0.2,0.4963032079037857
1.5,0.5,0.2,0.5289680433856156
1.2,0.5,0.1,0.4457074298347709
1.5,0.3,0.2,0.7411730457938246
1.2,0.2,0.2,0.8771732282044844
1.1,0.4,-0.2,0.4537710163897582
1.1,0.4,0.1,0.7788269159558241
1.5,0.5,0.4,0.4921164981174645
1.1,0.5,0.2,0.6363507015328972
1.4,0.5,-0.0,0.5368046497683624
1.2,0.3,0.3,0.7690150338671957
1.1,0.0,0.3,0.9036247927753672
1.5,0.2,0.4,0.5899350529013959
1.2,0.1,0.4,0.6498582894927265
1.3,0.5,0.1,0.7887687251368366
1.3,0.5,0.2,0.8701212983109264
1.1,0.2,-0.2,0.4557781399205542
1.1,0.2,-0.0,0.560406919961116
1.3,0.4,0.2,0.9147124323469172
1.1,0.4,0.0,0.569244424617628
1.5,0.6,0.4,0.5158940296913501
1.3,0.5,-0.2,0.4155672627349785
1.5,0.6,0.3,0.5102235676803787
1.4,0.0,0.4,0.4292481055614451
1.2,0.2,0.4,0.65657621792926
1.5,0.0,0.3,0.6435773430536352
1.2,0.5,-0.0,0.5686189305976526
1.4,0.5,0.3,0.6528792353879296
1.1,0.0,0.1,0.5854268051756666
1.5,0.5,-0.0,0.4256954785353328
1.2,0.4,-0.1,0.5782483065199016
1.3,0.4,-0.1,0.4692004681206452
1.5,0.0,0.2,0.6979236474471524
1.5,0.4,-0.1,0.5033603632187517
1.5,0.3,-0.2,0.504643204444619
1.3,0.5,0.0,0.4888279494342332
1.3,0.0,-0.1,0.9509345634391514
1.3,-0.1,-0.1,0.8537920162454513
1.3,0.1,-0.1,0.6396527841207686
1.3,0.0,-0.2,0.8083594521831111
1.1,0.1,0.0,0.8888334949014902
1.2,-0.1,-0.1,1.009394606473332
1.4,-0.1,-0.1,0.7063910910081286
1.3,-0.2,-0.1,0.9943918881104926
1.3,-0.1,-0.2,0.7764290541225631
1.3,-0.1,0.0,0.7800904694227491
1.1,-0.1,-0.2,0.7221352904410183
1.2,-0.2,-0.1,0.8008248012352993
1.4,-0.2,-0.1,0.7416781318760043
1.3,-0.3,-0.1,0.87745401872324
1.3,-0.2,-0.2,0.7156432977090843
1.3,-0.2,0.0,1.12579477824652
1.5,-0.0,-0.3,0.7949960540467497
1.2,-0.3,-0.2,0.8869554383938232
1.5,-0.2,0.0,0.973185547740227
1.2,-0.4,-0.1,1.0331639185799633
1.5,0.1,-0.4,0.6004971607117082
1.2,0.0,-0.3,0.6544825037395425
1.2,0.1,-0.3,0.6339609112341991
1.4,-0.1,-0.3,0.8529407395468613
1.2,-0.3,-0.1,1.0589397891161747
1.0,-0.2,0.1,0.6866216629093785
0.9,-0.2,0.1,0.3868990993931722
1.1,-0.2,0.1,0.6652477412672274
1.0,-0.3,0.1,0.8198881218231564
1.0,-0.1,0.1,0.9208217403893096
1.0,-0.2,0.0,0.7215319597838908
1.0,-0.2,0.2,0.8019973074197544
1.1,-0.6,-0.1,0.8918992861925132
0.9,-0.3,0.1,0.6150080167692608
1.1,-0.3,0.1,0.8013809891591303
1.0,-0.4,0.1,0.4213674944443988
1.0,-0.3,0.0,0.7272073355894267
1.0,-0.3,0.2,0.688616506374098
0.8,-0.3,0.1,0.6845243143432758
0.9,-0.4,0.1,0.7173774536241391
0.9,-0.3,0.0,0.711760902554611
0.9,-0.3,0.2,0.6281325610367281
0.7,-0.3,0.1,0.5135283500856272
0.8,-0.4,0.1,0.7590843115113369
0.8,-0.2,0.1,0.6639922616308798
0.8,-0.3,0.0,0.8109909204102652
0.8,-0.3,0.2,0.620386327223944
1.0,-0.6,0.2,0.5568648381084109
0.7,-0.4,0.1,0.5323485149345517
0.8,-0.5,0.1,0.718320933242683
0.8,-0.4,0.0,0.7572199860784162
0.8,-0.4,0.2,0.5344712416942338
0.7,-0.6,-0.1,0.6953193188565431
0.7,-0.4,0.0,0.7443347634691699
0.9,-0.4,0.0,1.014928388236742
0.8,-0.5,0.0,0.853731333295229
0.8,-0.4,-0.1,0.8053099013766274
1.1,-0.1,-0.1,0.9835514483266474
1.0,-0.4,0.0,0.6917856207281889
0.9,-0.5,0.0,0.8964533655449729
0.9,-0.4,-0.1,0.7212686156966366
1.2,-0.6,-0.0,0.7269736846792574
1.0,-0.4,-0.1,0.8509302628582791
0.9,-0.5,-0.1,0.8982498241548136
0.9,-0.3,-0.1,1.1326069443879698
0.9,-0.4,-0.2,1.1008992537743327
0.7,-0.4,-0.4,0.6949029569457349
0.7,-0.2,-0.1,0.679848598618562
0.7,-0.3,0.2,0.4645895039715738
0.7,-0.2,-0.2,0.6818425717941993
0.8,-0.6,-0.2,1.240492267849557
0.7,-0.6,-0.2,0.9516669325166274
0.9,-0.6,-0.2,1.3332289976921776
0.8,-0.5,-0.2,0.9931568608083192
0.8,-0.6,-0.3,0.9586014914414877
0.8,-0.6,-0.1,0.951685361363954
1.0,-0.6,-0.0,0.6765523589756235
0.7,-0.6,-0.3,0.8652780868301979
0.9,-0.6,-0.3,1.1775171424710873
0.8,-0.5,-0.3,1.0446545165378418
0.8,-0.6,-0.4,0.6468991667615593
1.0,-0.6,-0.5,1.071712520664915
0.8,-0.6,-0.0,0.6498194579135942
0.7,-0.6,-0.6,0.7672350360673607
0.7,-0.6,-0.4,0.6817386905421549
0.7,-0.4,-0.1,0.7477147331156134
1.1,-0.6,-0.4,1.3837320255128338
1.0,-0.4,-0.4,0.945376458520468
0.8,-0.3,-0.6,0.6834364069260074
0.7,-0.5,-0.1,0.9375103813441014
0.8,-0.5,-0.1,0.8993178994317665
0.7,-0.5,-0.2,0.896955901767187
0.7,-0.5,0.0,0.6101679065372918
1.0,-0.2,-0.3,0.8494698998057119
0.7,-0.6,0.2,0.2984584821466753
0.9,-0.6,-0.1,0.8122093869853059
0.7,-0.6,0.0,0.7749919064155073
1.0,-0.3,-0.2,0.8116227648208825
0.9,-0.6,0.2,0.4072754187332852
0.7,-0.3,-0.1,0.6748673792967005
0.7,-0.6,0.1,0.3548518824397355
1.0,-0.6,0.1,0.5592648272172798
0.8,-0.6,0.1,0.7121120030719827
0.7,-0.3,-0.3,0.6191179310797945
0.7,-0.5,-0.4,0.6454881428984135
0.8,-0.3,-0.1,0.6613446288554188
0.7,-0.4,-0.2,0.7835303893070856
0.9,-0.2,-0.3,0.8228109686445618
0.8,-0.4,-0.2,0.8485996705656813
0.7,-0.4,0.2,0.5496011162276891
0.7,-0.3,0.0,0.5486717525036197
0.7,-0.5,-0.3,0.7644838847275278
1.0,-0.4,-0.3,1.2149618399804376
0.7,-0.3,-0.2,0.7131441061752054
0.7,-0.5,0.1,0.6220286438994437
0.9,-0.5,0.2,0.472805918444728
1.0,-0.5,-0.0,0.8532086622684883
