date,objective,start_index
2024-02-29,max_return,1
2024-02-29,sharpe,87
2024-02-29,sortino,101
2024-02-29,volatility,133
2024-02-29,downside_vol,186
2024-03-31,max_return,1
2024-03-31,sharpe,87
2024-03-31,sortino,143
2024-03-31,volatility,165
2024-03-31,downside_vol,214
2024-04-30,max_return,1
2024-04-30,sharpe,80
2024-04-30,sortino,101
2024-04-30,volatility,117
2024-04-30,downside_vol,229
2024-05-31,max_return,1
2024-05-31,sharpe,53
2024-05-31,sortino,81
2024-05-31,volatility,102
2024-05-31,downside_vol,179
2024-06-30,max_return,1
2024-06-30,sharpe,84
2024-06-30,sortino,104
2024-06-30,volatility,135
2024-06-30,downside_vol,196
2024-07-31,max_return,1
2024-07-31,sharpe,100
2024-07-31,sortino,120
2024-07-31,volatility,133
2024-07-31,downside_vol,237
2024-08-31,max_return,1
2024-08-31,sharpe,113
2024-08-31,sortino,126
2024-08-31,volatility,134
2024-08-31,downside_vol,196
2024-09-30,max_return,1
2024-09-30,sharpe,57
2024-09-30,sortino,108
2024-09-30,volatility,140
2024-09-30,downside_vol,197
2024-10-31,max_return,1
2024-10-31,sharpe,62
2024-10-31,sortino,73
2024-10-31,volatility,118
2024-10-31,downside_vol,167
2024-11-30,max_return,1
2024-11-30,sharpe,73
2024-11-30,sortino,98
2024-11-30,volatility,121
2024-11-30,downside_vol,208
2024-12-31,max_return,1
2024-12-31,sharpe,98
2024-12-31,sortino,112
2024-12-31,volatility,130
2024-12-31,downside_vol,178
2025-01-31,max_return,1
2025-01-31,sharpe,66
2025-01-31,sortino,151
2025-01-31,volatility,179
2025-01-31,downside_vol,225
2025-02-28,max_return,1
2025-02-28,sharpe,87
2025-02-28,sortino,114
2025-02-28,volatility,139
2025-02-28,downside_vol,192
2025-03-31,max_return,1
2025-03-31,sharpe,63
2025-03-31,sortino,104
2025-03-31,volatility,134
2025-03-31,downside_vol,187
2025-04-30,max_return,1
2025-04-30,sharpe,55
2025-04-30,sortino,130
2025-04-30,volatility,149
2025-04-30,downside_vol,160
2025-05-31,max_return,1
2025-05-31,sharpe,50
2025-05-31,sortino,83
2025-05-31,volatility,102
2025-05-31,downside_vol,130
2025-06-30,max_return,1
2025-06-30,sharpe,55
2025-06-30,sortino,80
2025-06-30,volatility,168
2025-06-30,downside_vol,197
2025-07-31,max_return,1
2025-07-31,sharpe,77
2025-07-31,sortino,121
2025-07-31,volatility,130
2025-07-31,downside_vol,188
2025-08-31,max_return,1
2025-08-31,sharpe,41
2025-08-31,sortino,73
2025-08-31,volatility,118
2025-08-31,downside_vol,144
2025-09-30,max_return,1
2025-09-30,sharpe,76
2025-09-30,sortino,129
2025-09-30,volatility,147
2025-09-30,downside_vol,183
2025-10-31,max_return,1
2025-10-31,sharpe,117
2025-10-31,sortino,124
2025-10-31,volatility,154
2025-10-31,downside_vol,264
2025-11-30,max_return,1
2025-11-30,sharpe,58
2025-11-30,sortino,123
2025-11-30,volatility,152
2025-11-30,downside_vol,176
2025-12-31,max_return,1
2025-12-31,sharpe,54
2025-12-31,sortino,86
2025-12-31,volatility,104
2025-12-31,downside_vol,120
2026-01-31,max_return,1
2026-01-31,sharpe,71
2026-01-31,sortino,112
2026-01-31,volatility,129
2026-01-31,downside_vol,169
2026-02-28,max_return,1
2026-02-28,sharpe,68
2026-02-28,sortino,143
2026-02-28,volatility,157
2026-02-28,downside_vol,196
