c1,c2,c3,reward
1.0,0.0,0.0,28.104317230830283
0.9,0.0,0.0,32.231012666894216
1.1,0.0,0.0,30.52058375197312
1.0,-0.1,0.0,33.24943994240656
1.0,0.1,0.0,27.229200481801872
1.0,0.0,-0.1,29.43383079315273
1.0,0.0,0.1,29.23260552936981
1.3,-0.0,-0.2,22.008322416243285
1.2,-0.0,-0.2,24.71674388262726
1.4,-0.0,-0.2,20.41584352122773
1.3,-0.1,-0.2,24.32948341044385
1.3,0.1,-0.2,20.9523187226204
1.3,-0.0,-0.3,21.25662219721196
1.3,-0.0,-0.1,23.185147391668792
1.1,0.2,0.0,26.09355212586762
1.2,-0.0,-0.1,26.236633483293268
1.4,-0.0,-0.1,21.188062679798723
1.3,-0.1,-0.1,22.91926900441075
1.3,0.1,-0.1,22.41266886781812
1.3,-0.0,0.0,23.65630196992185
1.3,0.2,0.3,20.702849225583027
1.2,-0.0,0.0,23.400608943991124
1.4,-0.0,0.0,21.7665206909558
1.3,-0.1,0.0,23.739236549758512
1.3,0.1,0.0,21.55749253285694
1.3,-0.0,0.1,22.227034896704744
1.5,0.3,0.1,17.437381162705126
1.5,-0.0,-0.0,19.93928666015741
1.1,0.3,0.2,20.649184749603787
1.1,-0.3,-0.1,28.159435370931472
1.4,0.3,0.2,17.831225721475576
1.4,0.1,-0.2,20.945250725105584
1.1,-0.1,-0.3,24.88210441787572
1.5,0.1,0.1,19.51607518459329
1.1,0.0,-0.2,24.82959305432876
1.5,0.2,0.2,17.511673571308375
1.0,-0.3,0.1,27.118713518346883
1.0,-0.2,-0.2,30.96889160298665
1.4,0.3,-0.3,17.41339915675788
1.1,0.1,-0.3,21.31720191452404
1.0,-0.2,-0.3,28.45842071026612
1.5,0.1,0.3,18.96576093960208
1.3,-0.1,-0.3,20.911505501411703
1.0,0.1,-0.3,24.166965606728382
1.5,-0.1,-0.3,18.62462119552876
1.1,-0.1,-0.0,26.25817861302324
1.2,0.1,-0.3,22.25912933949082
1.5,-0.3,0.3,22.86044921925768
1.2,-0.3,0.1,24.75849348584188
1.3,-0.3,-0.1,23.05371621857693
1.0,0.1,-0.2,23.98245741195284
1.2,0.1,-0.0,22.991529248317583
1.2,0.1,-0.2,23.906220895310025
1.5,0.2,0.1,18.635026323099904
1.2,-0.1,0.0,26.661929497892384
