c1,c2,c3,reward
1.0,0.0,0.0,-0.0003628186283142
0.9,0.0,0.0,-0.0003894369150187
1.1,0.0,0.0,-0.0003803198702431
1.0,-0.1,0.0,-0.0003942325078167
1.0,0.1,0.0,-0.0003470534050522
1.0,0.0,-0.1,-0.0003792060787074
1.0,0.0,0.1,-0.0004359577462881
1.0,-0.0,-0.2,-0.0003149901274285
0.9,-0.0,-0.2,-0.000325977769676
1.1,-0.0,-0.2,-0.0004612469836065
1.0,-0.1,-0.2,-0.000284696531525
1.0,0.1,-0.2,-0.0004210666775786
1.0,-0.0,-0.3,-0.0003615359857666
1.0,0.2,-0.4,-0.0004576261026712
1.3,-0.3,-0.0,-0.0005401190962565
1.2,-0.1,-0.2,-0.0005436302147064
1.0,-0.2,0.1,-0.0003963939499925
0.8,0.1,-0.5,-0.0002996024915718
1.0,0.3,-0.2,-0.0004903056645377
1.2,0.2,-0.1,-0.000575309276804
0.7,-0.1,-0.2,-0.0003005897053419
0.9,-0.0,-0.5,-0.0003325598719561
0.9,0.2,-0.4,-0.0003969553854343
1.2,0.0,-0.2,-0.0007101489051523
0.8,-0.2,-0.3,-0.0002572491714917
1.3,0.1,-0.3,-0.0008359327440374
1.0,0.0,-0.4,-0.0005019398858843
0.7,-0.1,-0.3,-0.0002773528262619
1.2,0.1,-0.4,-0.0006571296506057
1.2,-0.1,-0.4,-0.0006514613095022
0.8,-0.1,0.1,-0.0003445506484841
1.0,0.1,-0.3,-0.0004804404034618
1.1,-0.2,-0.5,-0.0004415215829008
1.1,-0.2,-0.4,-0.0004049968921218
1.0,-0.2,-0.4,-0.0003423903212236
1.2,-0.2,-0.4,-0.0005037820952131
1.1,-0.3,-0.4,-0.0004299650934121
1.1,-0.1,-0.4,-0.0005210424873075
1.1,-0.2,-0.3,-0.0004140186672859
1.1,-0.3,-0.6,-0.0003186501201304
1.0,-0.3,-0.4,-0.0003222882432821
1.2,-0.3,-0.4,-0.0005166850528833
1.1,-0.4,-0.4,-0.0003654935946704
1.1,-0.3,-0.5,-0.000394390105208
1.1,-0.3,-0.3,-0.0004971534248702
0.9,-0.0,-0.1,-0.0002936756734889
0.9,-0.3,-0.4,-0.0002630896991308
1.0,-0.4,-0.4,-0.0003387065730625
1.0,-0.3,-0.5,-0.0002669544500229
1.0,-0.3,-0.3,-0.0003326336841274
0.8,-0.3,-0.6,-0.0002882385473123
1.2,-0.1,-0.5,-0.000655693109126
0.9,-0.4,-0.6,-0.0002493674847418
1.3,-0.5,-0.2,-0.0006535611107138
0.8,-0.1,-0.2,-0.0003149784727397
1.2,-0.3,-0.3,-0.0005812141594436
1.0,-0.5,-0.2,-0.0002774363094874
1.2,-0.2,-0.2,-0.0005416182131917
1.3,-0.6,-0.6,-0.0005944852253138
1.2,-0.6,-0.6,-0.0004630015755677
1.4,-0.6,-0.6,-0.0007242198360682
1.3,-0.5,-0.6,-0.000506460165138
1.3,-0.6,-0.5,-0.0006644228754676
1.3,-0.4,-0.4,-0.0007577686491021
1.5,-0.4,-0.6,-0.0008433935045879
1.0,-0.6,-0.6,-0.0003453642096374
1.5,-0.5,-0.6,-0.0008148491106246
1.5,-0.6,-0.3,-0.0007867289750174
1.5,-0.6,-0.6,-0.0009262816306446
1.2,-0.4,-0.4,-0.0005410687209265
1.2,-0.5,-0.6,-0.0003962811572418
1.2,-0.6,-0.3,-0.0004217174744145
1.1,-0.5,-0.4,-0.0003586068640938
1.5,-0.5,-0.3,-0.0010404188276962
1.1,-0.5,-0.6,-0.0004092230828652
1.1,-0.4,-0.6,-0.0002908213466705
1.3,-0.6,-0.4,-0.0006415586454171
1.4,-0.6,-0.4,-0.0007358942010872
