c1,c2,c3,reward
1.0,0.0,0.0,0.016273561704128
0.9,0.0,0.0,0.0158444343438722
1.1,0.0,0.0,0.0184757211490266
1.0,-0.1,0.0,0.0176959374860698
1.0,0.1,0.0,0.0152456707165218
1.0,0.0,-0.1,0.0168683428815386
1.0,0.0,0.1,0.0151465376526688
0.9,0.1,-0.1,0.0127398930216813
1.2,0.0,0.0,0.0161323372166315
1.1,-0.1,0.0,0.0196423080054327
1.1,0.1,0.0,0.0154038488741169
1.1,0.0,-0.1,0.0198710261491836
1.1,0.0,0.1,0.0171242903304943
1.0,0.0,-0.3,0.0160738654315037
1.2,0.0,-0.1,0.0184767494628332
1.1,-0.1,-0.1,0.0205479025946127
1.1,0.1,-0.1,0.0171822242576377
1.1,0.0,-0.2,0.0195531148269637
1.1,-0.4,-0.0,0.0227469302122715
1.0,-0.4,-0.0,0.0231142783352932
1.2,-0.4,-0.0,0.0217446988577757
1.1,-0.5,-0.0,0.0201584857129857
1.1,-0.3,-0.0,0.0209709230302574
1.1,-0.4,-0.1,0.0260463688905957
1.1,-0.4,0.1,0.0204534859848462
1.4,-0.6,0.0,0.026026952134785
1.0,-0.4,-0.1,0.0225933196898296
1.2,-0.4,-0.1,0.0253824894925981
1.1,-0.5,-0.1,0.0216596474377153
1.1,-0.3,-0.1,0.0230106841770529
1.1,-0.4,-0.2,0.0247015265289219
1.1,-0.5,-0.2,0.0219204082406938
0.9,-0.6,-0.2,0.0230792748680042
0.8,-0.2,0.2,0.0107070266853991
1.1,-0.6,0.0,0.0210018949285236
1.2,-0.3,0.1,0.0211734125569408
0.9,-0.2,-0.3,0.0184473637886517
0.9,-0.5,-0.1,0.0191108165303494
0.9,-0.5,-0.3,0.0228617700252814
0.9,-0.2,-0.2,0.0210923394052145
1.0,-0.5,-0.4,0.0186146935314328
0.8,-0.2,-0.1,0.0163058909288524
1.0,-0.2,-0.1,0.0215445984201572
1.1,-0.6,-0.1,0.023633697084915
1.3,-0.6,-0.2,0.0273778519403937
1.2,-0.6,-0.2,0.0248959674310838
1.4,-0.6,-0.2,0.0306954933984208
1.3,-0.5,-0.2,0.027734038570408
1.3,-0.6,-0.3,0.0281375504155517
1.3,-0.6,-0.1,0.027527430861426
1.4,-0.3,-0.1,0.0280063827390086
1.5,-0.6,-0.2,0.0307973023461144
1.4,-0.5,-0.2,0.0311007061841052
1.4,-0.6,-0.3,0.0318545536059983
1.4,-0.6,-0.1,0.0281790291765561
1.4,-0.5,-0.1,0.0287227185551744
1.5,-0.6,-0.3,0.0313228169367723
1.4,-0.5,-0.3,0.0303747959466696
1.4,-0.6,-0.4,0.0292949056650543
1.1,-0.6,-0.5,0.0217660785473162
1.2,-0.6,-0.0,0.0230291336687858
1.5,-0.5,-0.4,0.0330601063628738
1.4,-0.5,-0.4,0.0314382023605547
1.5,-0.6,-0.4,0.0327172660277853
1.5,-0.4,-0.4,0.03171398691785
1.5,-0.5,-0.5,0.0339493635874117
1.5,-0.5,-0.3,0.0340190671018099
1.5,-0.2,-0.6,0.0304007018931145
1.5,-0.4,-0.3,0.0334231152842491
1.5,-0.5,-0.2,0.0326964726778355
1.3,-0.6,-0.5,0.0276542575921701
1.5,-0.6,-0.5,0.0361611387759395
1.4,-0.6,-0.5,0.029920897041281
1.5,-0.6,-0.6,0.0326194710627686
1.5,-0.4,-0.6,0.0286783724470085
1.4,-0.6,-0.6,0.0286822932190605
1.2,-0.5,-0.6,0.0259634265584583
1.3,-0.4,-0.4,0.0266325078851756
1.2,-0.4,-0.2,0.0251845977567549
1.2,-0.6,-0.3,0.0261305961790223
1.2,-0.6,-0.4,0.02576796708981
1.4,-0.5,-0.6,0.0273120048388386
1.4,-0.4,-0.6,0.0307146287826692
1.5,-0.3,-0.6,0.0249870909791374
1.4,-0.3,-0.5,0.0293060212572284
1.4,-0.4,-0.3,0.031299589791992
1.5,-0.3,-0.3,0.0322229849982753
1.4,-0.4,-0.5,0.0322643751658736
1.2,-0.6,-0.6,0.026120164932829
1.5,-0.4,-0.2,0.028968924316032
1.3,-0.6,-0.6,0.0291044594543822
1.5,-0.4,-0.5,0.032660849258789
1.5,-0.5,-0.6,0.0300207405672984
1.3,-0.3,-0.6,0.0266757420431042
1.2,-0.5,-0.3,0.0253074071605102
1.2,-0.6,-0.5,0.0242125816542981
1.5,-0.3,-0.2,0.0308500632063845
1.4,-0.4,-0.4,0.032263390178615
1.3,-0.5,-0.6,0.026570470786408
1.2,-0.5,-0.2,0.0258807381616465
1.3,-0.4,-0.6,0.0236327250498334
1.2,-0.5,-0.5,0.027239750147839
1.4,-0.5,-0.5,0.0279330807906291
1.3,-0.6,-0.4,0.0270489172372934
1.4,-0.3,-0.2,0.0284145093400333
1.2,-0.4,-0.6,0.0248367829721733
1.2,-0.3,-0.6,0.0205129259637503
1.2,-0.4,-0.5,0.0260203597390363
1.1,-0.4,-0.5,0.0231049553851172
1.3,-0.4,-0.5,0.0269694415050757
1.2,-0.3,-0.5,0.0233454627190527
1.2,-0.4,-0.4,0.0248002258212143
1.0,-0.5,-0.2,0.0225753085111839
0.9,-0.5,-0.2,0.0227934534720775
1.0,-0.6,-0.2,0.0201329888028787
1.0,-0.4,-0.2,0.0253488944956065
1.0,-0.5,-0.3,0.0205589733937351
1.0,-0.5,-0.1,0.0180150449942083
0.9,-0.4,-0.2,0.0196739691442935
1.0,-0.3,-0.2,0.0218535905956621
1.0,-0.4,-0.3,0.0224179754651326
1.2,-0.3,-0.3,0.0273744183185414
0.8,-0.4,-0.2,0.0186647886733249
0.9,-0.3,-0.2,0.0188246354516084
0.9,-0.4,-0.3,0.0214327396558372
0.9,-0.4,-0.1,0.0199137360377452
1.0,-0.6,-0.4,0.0208713892970144
1.1,-0.6,-0.4,0.0246929120818723
0.8,-0.6,-0.3,0.0183651748719264
0.8,-0.2,-0.2,0.0154057900929255
0.8,-0.6,-0.5,0.0188574476392832
0.8,-0.2,-0.3,0.0164693076405542
1.1,-0.2,-0.3,0.0224411436049376
0.7,-0.3,0.1,0.0109077297191229
0.7,-0.6,-0.3,0.0167888345395047
1.1,-0.6,0.1,0.0202158184720009
0.7,-0.1,-0.0,0.01232295573812
