c1,c2,c3,reward
1.0,0.0,0.0,0.0171130717897673
0.9,0.0,0.0,0.0133970664177512
1.1,0.0,0.0,0.0140896111972608
1.0,-0.1,0.0,0.0160419225665144
1.0,0.1,0.0,0.0159010593849007
1.0,0.0,-0.1,0.0161653976710417
1.0,0.0,0.1,0.0130432049615914
1.1,0.2,0.2,0.0134208940912432
1.1,0.1,0.0,0.0128332731605211
0.7,-0.2,-0.1,0.0124103789406444
1.2,0.0,-0.1,0.0144708010481229
1.2,-0.0,-0.0,0.0156125090755968
0.8,-0.3,0.0,0.0097825869367555
1.2,0.2,0.0,0.0114665489292151
0.9,0.2,-0.1,0.0123047589725726
0.7,-0.1,-0.2,0.0145855577749806
0.8,0.3,0.3,0.0128960518735612
1.2,0.1,0.0,0.0127999855329526
1.1,0.1,-0.1,0.0153434934695288
0.8,0.2,-0.2,0.0106245354346802
0.8,0.1,0.1,0.0138126681833595
1.1,0.2,-0.1,0.0113066019401473
0.7,-0.2,0.2,0.00537216365067
1.3,0.2,-0.3,0.0131603195224243
1.1,-0.2,-0.2,0.0201633660349832
1.0,-0.2,-0.2,0.0144012215702432
1.2,-0.2,-0.2,0.0186094555252646
1.1,-0.3,-0.2,0.0188561747885295
1.1,-0.1,-0.2,0.0145281985625689
1.1,-0.2,-0.3,0.0186767039114198
1.1,-0.2,-0.1,0.0178311745682322
0.9,-0.1,-0.1,0.0154280973539409
0.8,-0.5,-0.2,0.0131883467384689
0.9,-0.1,-0.0,0.0142707138364242
1.3,-0.5,0.0,0.0189157542739689
1.2,-0.5,0.0,0.0195342698601111
1.4,-0.5,0.0,0.0206088813176479
1.3,-0.6,0.0,0.0177495269090316
1.3,-0.4,0.0,0.0164777445204571
1.3,-0.5,-0.1,0.0174856181659227
1.3,-0.5,0.1,0.013204776563255
1.5,-0.4,-0.1,0.0144639935884961
1.5,-0.5,0.0,0.0169754238775058
1.4,-0.6,0.0,0.01720357111224
1.4,-0.4,0.0,0.0155238433253475
1.4,-0.5,-0.1,0.0165326083011556
1.4,-0.5,0.1,0.0163643274989176
1.5,-0.3,-0.1,0.0147475836836543
