c1,c2,c3,reward
1.0,0.0,0.0,0.0118396417800428
0.9,0.0,0.0,0.0124897436049774
1.1,0.0,0.0,0.013265596345577
1.0,-0.1,0.0,0.0106406660510122
1.0,0.1,0.0,0.0080313914385838
1.0,0.0,-0.1,0.0112351054540032
1.0,0.0,0.1,0.0123982645667611
1.3,-0.2,-0.2,0.0114214551342464
1.2,0.0,0.0,0.0109550489991293
1.1,-0.1,0.0,0.0095644880797266
1.1,0.1,0.0,0.0124493826078172
1.1,0.0,-0.1,0.0070601884934193
1.1,0.0,0.1,0.0100547340603788
1.0,0.2,-0.1,0.0107187154412281
1.2,-0.1,0.2,0.0118319771601828
1.0,-0.2,0.3,0.0089281346268253
1.0,0.3,-0.2,0.006424550163505
0.8,-0.1,-0.2,0.0103397991797647
1.0,-0.2,-0.1,0.0107255426639501
1.3,-0.1,-0.1,0.0146267141904588
1.2,-0.1,-0.1,0.0140886430746468
1.4,-0.1,-0.1,0.014100542968027
1.3,-0.2,-0.1,0.0147508108662696
1.3,0.0,-0.1,0.0129842823529877
1.3,-0.1,-0.2,0.0128832676971674
1.3,-0.1,0.0,0.0105989760750405
1.2,-0.1,0.1,0.0137860982390298
1.0,0.1,-0.2,0.0134108529262367
1.5,0.2,0.1,0.0110577761689397
1.4,0.2,0.1,0.0159451536674589
1.5,0.1,0.1,0.0135792067049121
1.5,0.3,0.1,0.0099150747332191
1.5,0.2,0.0,0.0129615519857811
1.5,0.2,0.2,0.0128653694748513
1.3,0.3,0.2,0.0125511418945479
1.3,0.2,0.1,0.013978347596182
1.4,0.1,0.1,0.0106982025485663
1.4,0.3,0.1,0.0122604821474719
1.4,0.2,0.0,0.0147813941277502
1.4,0.2,0.2,0.0097104640533619
1.5,0.1,0.4,0.0099041784543563
1.5,0.0,0.3,0.0086871925794743
1.2,0.2,-0.2,0.0078396134299203
1.4,0.5,0.1,0.004338480318931
1.4,-0.1,0.4,0.0020811940016415
1.5,0.1,0.2,0.009825146857299
1.2,0.3,0.2,0.0157103762563256
1.3,0.0,0.2,0.009263057595638
1.3,0.5,-0.1,-0.0007076505295145
