date,objective,start_index
2024-02-29,max_return,1
2024-02-29,sharpe,92
2024-02-29,sortino,102
2024-02-29,volatility,105
2024-02-29,downside_vol,191
2024-03-31,max_return,1
2024-03-31,sharpe,85
2024-03-31,sortino,133
2024-03-31,volatility,146
2024-03-31,downside_vol,232
2024-04-30,max_return,1
2024-04-30,sharpe,102
2024-04-30,sortino,145
2024-04-30,volatility,196
2024-04-30,downside_vol,235
2024-05-31,max_return,1
2024-05-31,sharpe,57
2024-05-31,sortino,180
2024-05-31,volatility,200
2024-05-31,downside_vol,229
2024-06-30,max_return,1
2024-06-30,sharpe,102
2024-06-30,sortino,171
2024-06-30,volatility,223
2024-06-30,downside_vol,315
2024-07-31,max_return,1
2024-07-31,sharpe,105
2024-07-31,sortino,111
2024-07-31,volatility,122
2024-07-31,downside_vol,163
2024-08-31,max_return,1
2024-08-31,sharpe,90
2024-08-31,sortino,94
2024-08-31,volatility,102
2024-08-31,downside_vol,161
2024-09-30,max_return,1
2024-09-30,sharpe,79
2024-09-30,sortino,93
2024-09-30,volatility,105
2024-09-30,downside_vol,172
2024-10-31,max_return,1
2024-10-31,sharpe,84
2024-10-31,sortino,120
2024-10-31,volatility,176
2024-10-31,downside_vol,243
2024-11-30,max_return,1
2024-11-30,sharpe,66
2024-11-30,sortino,93
2024-11-30,volatility,136
2024-11-30,downside_vol,237
2024-12-31,max_return,1
2024-12-31,sharpe,80
2024-12-31,sortino,100
2024-12-31,volatility,138
2024-12-31,downside_vol,193
2025-01-31,max_return,1
2025-01-31,sharpe,68
2025-01-31,sortino,99
2025-01-31,volatility,153
2025-01-31,downside_vol,193
2025-02-28,max_return,1
2025-02-28,sharpe,117
2025-02-28,sortino,140
2025-02-28,volatility,215
2025-02-28,downside_vol,275
2025-03-31,max_return,1
2025-03-31,sharpe,45
2025-03-31,sortino,135
2025-03-31,volatility,143
2025-03-31,downside_vol,182
2025-04-30,max_return,1
2025-04-30,sharpe,57
2025-04-30,sortino,85
2025-04-30,volatility,103
2025-04-30,downside_vol,156
2025-05-31,max_return,1
2025-05-31,sharpe,66
2025-05-31,sortino,90
2025-05-31,volatility,116
2025-05-31,downside_vol,161
2025-06-30,max_return,1
2025-06-30,sharpe,62
2025-06-30,sortino,92
2025-06-30,volatility,109
2025-06-30,downside_vol,146
2025-07-31,max_return,1
2025-07-31,sharpe,55
2025-07-31,sortino,77
2025-07-31,volatility,129
2025-07-31,downside_vol,150
2025-08-31,max_return,1
2025-08-31,sharpe,84
2025-08-31,sortino,124
2025-08-31,volatility,151
2025-08-31,downside_vol,208
2025-09-30,max_return,1
2025-09-30,sharpe,87
2025-09-30,sortino,125
2025-09-30,volatility,148
2025-09-30,downside_vol,194
2025-10-31,max_return,1
2025-10-31,sharpe,152
2025-10-31,sortino,162
2025-10-31,volatility,238
2025-10-31,downside_vol,321
2025-11-30,max_return,1
2025-11-30,sharpe,64
2025-11-30,sortino,74
2025-11-30,volatility,80
2025-11-30,downside_vol,160
2025-12-31,max_return,1
2025-12-31,sharpe,116
2025-12-31,sortino,135
2025-12-31,volatility,154
2025-12-31,downside_vol,216
2026-01-31,max_return,1
2026-01-31,sharpe,95
2026-01-31,sortino,101
2026-01-31,volatility,103
2026-01-31,downside_vol,106
2026-02-28,max_return,1
2026-02-28,sharpe,84
2026-02-28,sortino,130
2026-02-28,volatility,143
2026-02-28,downside_vol,213
