c1,c2,c3,reward
1.0,0.0,0.0,-0.0321737416218622
0.9,0.0,0.0,-0.0283933108435001
1.1,0.0,0.0,-0.0326799309455567
1.0,-0.1,0.0,-0.0306674922401692
1.0,0.1,0.0,-0.0329068643302818
1.0,0.0,-0.1,-0.0303126316848769
1.0,0.0,0.1,-0.0317524126393439
0.8,-0.3,-0.3,-0.0233668388624368
0.9,-0.1,0.0,-0.0276924495963665
1.1,-0.1,0.0,-0.0326360215829718
1.0,-0.2,0.0,-0.0287872832085928
1.0,-0.1,-0.1,-0.029283980670586
1.0,-0.1,0.1,-0.0298149845186011
0.9,-0.1,-0.2,-0.0281704210641477
0.9,-0.1,0.1,-0.0292930521616132
1.1,-0.1,0.1,-0.0320005783778547
1.0,-0.2,0.1,-0.0340770028873774
1.0,-0.1,0.2,-0.0344768085854529
1.0,-0.4,0.2,-0.031006492148626
0.8,0.2,0.3,-0.0342742055956276
0.7,0.1,0.3,-0.0300882119835573
0.9,-0.3,0.2,-0.0300522403923588
1.2,0.0,0.3,-0.0403121514966941
1.1,0.0,0.3,-0.0360976536210975
1.3,0.0,0.3,-0.0426015907720536
1.2,-0.1,0.3,-0.0384212331286036
1.2,0.1,0.3,-0.0414538536478298
1.2,0.0,0.2,-0.0358924087942549
1.2,0.0,0.4,-0.0434179755491461
1.5,-0.0,0.5,-0.0515633496367105
1.1,-0.1,0.3,-0.0351986531839403
1.3,-0.1,0.3,-0.04366806981664
1.2,-0.2,0.3,-0.0390837807810848
1.2,-0.1,0.2,-0.0401323595233884
1.2,-0.1,0.4,-0.0427646963706002
1.2,-0.4,0.2,-0.040206605352996
1.4,-0.0,0.4,-0.0502339912607815
1.4,0.0,0.5,-0.0519258329173133
1.4,-0.1,0.4,-0.0503212316248574
1.5,-0.1,0.3,-0.0508810665944968
1.0,-0.2,0.3,-0.0331879125141617
1.0,-0.3,0.5,-0.0365328440439846
1.4,-0.1,0.6,-0.0506192050485053
1.4,-0.4,0.3,-0.0443253180504915
1.0,-0.3,0.6,-0.0386184203470778
1.4,-0.2,0.6,-0.0483583147209839
1.4,-0.1,0.2,-0.0455875793015247
1.3,-0.1,0.2,-0.0416326961038012
1.5,-0.1,0.2,-0.0472479584974703
1.4,-0.2,0.2,-0.045055010094125
1.4,0.0,0.2,-0.0443604491359771
1.4,-0.1,0.1,-0.0430681010667873
1.4,-0.1,0.3,-0.0479692921599163
1.4,0.0,0.1,-0.0460632326491091
1.2,0.2,-0.1,-0.0358402698654249
1.1,0.2,-0.0,-0.034481046415902
1.3,-0.1,0.1,-0.0398095060391594
1.2,0.1,0.0,-0.0350775323953399
1.2,0.2,0.5,-0.0465544578498224
1.1,0.0,0.1,-0.0312383919171556
1.5,-0.0,0.3,-0.0492264434752507
1.5,0.1,0.5,-0.0523549281469347
1.2,-0.3,0.1,-0.0361159921263098
1.3,-0.3,0.0,-0.0383304011084616
1.5,-0.0,0.1,-0.049215038546784
1.1,-0.2,0.4,-0.037752914433426
1.1,-0.2,0.2,-0.0379994094943156
1.5,-0.1,0.5,-0.050696542127146
1.2,-0.0,0.5,-0.0436424420182018
1.4,0.1,0.3,-0.0491453207398924
1.5,0.0,0.2,-0.0494392044731722
1.5,-0.2,0.4,-0.0487739808933646
1.1,0.1,0.2,-0.0339400055091763
1.3,0.2,0.1,-0.0445511108654233
1.1,-0.3,0.5,-0.0396897318505519
1.2,0.1,0.2,-0.0384082932131666
1.5,-0.3,-0.0,-0.0456221826935159
1.3,-0.4,0.0,-0.0415807104176902
1.5,0.1,0.1,-0.0507820331557803
1.5,0.0,0.4,-0.0495893523916315
1.5,0.1,-0.1,-0.0463447133677902
1.2,-0.2,0.4,-0.0419112428412579
1.4,-0.3,0.3,-0.047652210077693
1.3,0.2,0.2,-0.0425297974429159
1.2,-0.2,0.1,-0.0366992702071012
1.1,-0.2,0.1,-0.0320914153476073
1.3,-0.2,0.1,-0.0384118106610667
1.2,-0.1,0.1,-0.0365971963223473
1.2,-0.2,0.0,-0.0369056209461637
1.2,-0.2,0.2,-0.0385852384887363
1.3,0.0,0.2,-0.043043490109962
1.1,-0.3,0.1,-0.0340765181031369
1.1,-0.2,0.0,-0.0323842540909215
1.1,0.1,-0.1,-0.0321845963538451
0.8,-0.3,-0.0,-0.0282340004689536
1.0,0.1,0.4,-0.0349418346851478
1.1,-0.4,-0.0,-0.0326046306872548
1.1,-0.2,0.3,-0.0361390916824659
1.3,-0.0,0.0,-0.0387531281090688
1.3,0.0,-0.1,-0.0390075638944734
1.0,0.1,-0.2,-0.0328197617412557
1.2,-0.4,0.3,-0.0409165399240413
0.9,-0.2,0.4,-0.0348521590637683
0.8,-0.4,-0.2,-0.0241751097004642
1.3,-0.2,0.4,-0.0472325101763858
1.0,0.1,0.1,-0.0298254255069695
1.1,-0.5,0.4,-0.0389939556623441
1.2,0.1,-0.2,-0.0359514093194302
1.1,-0.3,-0.1,-0.0344413853636606
1.0,-0.3,-0.1,-0.0320426542949964
0.8,-0.3,0.2,-0.0295323503924417
1.3,-0.3,0.1,-0.0407308522749749
1.2,-0.5,0.4,-0.0375175318812771
1.2,0.1,0.1,-0.0373587651177264
0.8,-0.0,0.0,-0.0279311440179443
1.3,-0.5,0.0,-0.0402479696607647
1.3,-0.4,-0.1,-0.0389522719992003
1.2,-0.3,0.2,-0.0366445621926056
0.8,0.0,0.1,-0.0285881762303463
1.0,-0.5,0.4,-0.0368994544791251
0.9,-0.5,0.2,-0.0315391839120315
1.0,-0.5,0.2,-0.0342611212445919
0.9,-0.4,0.1,-0.0342008011889625
1.3,-0.4,0.2,-0.0418572511240429
0.9,-0.4,0.2,-0.0328636436201638
0.8,-0.3,-0.1,-0.0247743002781377
1.3,-0.4,0.4,-0.044762336595304
1.1,-0.5,0.2,-0.0364041787803762
1.1,-0.1,0.2,-0.0341893911828118
1.2,0.0,0.1,-0.0366496250340868
0.9,-0.3,0.0,-0.0282855952687958
1.3,-0.4,0.1,-0.0421929587669013
1.3,-0.3,0.2,-0.0442987605766141
1.4,0.1,-0.0,-0.0464734938260399
0.8,-0.1,-0.1,-0.0271082888453066
1.2,-0.0,0.0,-0.0362101973165686
1.0,-0.1,0.3,-0.0361013568025075
1.4,-0.2,-0.0,-0.0407362022573828
1.3,-0.2,-0.0,-0.0380554835736982
1.5,-0.2,-0.0,-0.0473235894473798
1.4,-0.3,-0.0,-0.0429100819943599
1.4,-0.1,-0.0,-0.039904332082009
1.4,-0.2,-0.1,-0.0391832148454284
1.4,-0.2,0.1,-0.0432461337805041
1.5,-0.1,0.0,-0.046353223109985
1.3,-0.1,-0.0,-0.0376513635216094
1.4,0.0,-0.0,-0.0441355641885467
1.4,-0.1,-0.1,-0.0436669069855409
1.5,-0.1,-0.2,-0.0461814516058379
1.2,-0.3,-0.2,-0.034439656771624
1.5,-0.3,-0.3,-0.0445142474220265
1.3,-0.0,0.1,-0.0392877814693233
1.5,-0.4,0.3,-0.0462134433365451
1.3,-0.2,0.2,-0.04018387750111
1.5,-0.2,-0.2,-0.0450247711407204
1.5,-0.3,0.2,-0.0476786861493188
1.5,0.2,0.1,-0.0520349796521395
