c1,c2,c3,reward
1.0,0.0,0.0,0.009822253202270875
0.9,0.0,0.0,0.012813032027286233
1.1,0.0,0.0,0.021779441202339277
1.0,-0.1,0.0,0.010402518269059626
1.0,0.1,0.0,0.011057736790951402
1.0,0.0,-0.1,0.011182937880950842
1.0,0.0,0.1,0.010773540529716337
1.1,-0.0,0.2,0.02194739176894485
1.0,-0.0,0.2,0.002173920290410497
1.2,-0.0,0.2,0.015626125833535016
1.1,-0.1,0.2,0.022345268924002862
1.1,0.1,0.2,0.01844972150581351
1.1,-0.0,0.1,0.018897522647579296
1.1,-0.0,0.3,0.014087379948494823
1.3,-0.2,-0.1,0.025966148128401895
1.2,-0.2,-0.1,0.02857982372942676
1.4,-0.2,-0.1,0.02062574992280579
1.3,-0.3,-0.1,0.020019093855043385
1.3,-0.1,-0.1,0.02686640648561076
1.3,-0.2,-0.2,0.020349413960432647
1.3,-0.2,0.0,0.025665546486637353
1.1,-0.3,-0.1,0.02242778770068847
1.1,-0.2,-0.1,0.013890076990799912
1.2,-0.3,-0.1,0.021357036382046203
1.2,-0.1,-0.1,0.02481806586569816
1.2,-0.2,-0.2,0.0279024351958215
1.2,-0.2,0.0,0.02057968498535926
1.2,-0.4,-0.2,0.01909344448454971
1.5,-0.4,-0.3,0.02826659063332575
1.4,-0.3,0.1,0.026835609901797078
1.5,0.1,-0.1,0.022296788067409617
1.4,-0.3,-0.3,0.026112627298354608
1.5,-0.1,-0.1,0.01980643903680671
1.0,-0.4,0.1,0.005401313929303186
1.2,-0.2,0.1,0.024265373056644435
1.0,-0.1,-0.2,0.019452068741068626
1.4,-0.1,0.2,0.02291621079289104
1.4,0.1,-0.2,0.02441869926044629
1.2,-0.4,-0.4,0.024363185742114067
1.4,-0.3,0.2,0.02487359725420014
0.9,-0.3,0.0,0.001960113866155489
1.4,-0.5,-0.0,0.027124103967533418
1.2,0.1,-0.3,0.030684683296726526
1.1,0.1,-0.3,0.02873717298687818
1.3,0.1,-0.3,0.026324017606809552
1.2,0.0,-0.3,0.027831860305133117
1.2,0.2,-0.3,0.02828585045994645
1.2,0.1,-0.4,0.029770316215836454
1.2,0.1,-0.2,0.022319576517870827
1.1,-0.0,-0.3,0.029181371657933622
1.3,-0.2,-0.3,0.027357213440779692
1.4,0.0,-0.2,0.024083494455590125
1.1,0.1,-0.5,0.028550163430928935
1.2,-0.2,-0.3,0.02663518217449621
1.2,-0.0,-0.4,0.02807925924062477
1.0,0.1,-0.5,0.02845465660349812
1.1,0.3,-0.2,0.026425408827444475
1.1,-0.2,-0.5,0.028539391822593577
1.3,0.2,-0.4,0.02547108364315015
1.2,0.2,-0.4,0.02634815691092105
0.9,0.2,-0.2,0.012428687925028895
1.0,0.1,-0.1,0.01745623566716398
1.2,0.3,-0.6,0.02667999375257798
1.3,-0.1,-0.6,0.02762424206795285
1.2,0.3,-0.2,0.02726286417449234
1.4,-0.1,-0.6,0.03421795852080191
1.5,-0.1,-0.6,0.03777301777189236
1.4,-0.2,-0.6,0.030719723474884733
1.4,0.0,-0.6,0.03063838064223487
1.4,-0.1,-0.5,0.03149722666928535
1.5,-0.2,-0.5,0.03626273053797242
1.5,-0.2,-0.6,0.03368385203856429
1.5,0.0,-0.6,0.03708593173011186
1.5,-0.1,-0.5,0.036439588085422164
1.3,0.0,-0.5,0.027478731150641617
1.5,0.1,-0.6,0.027757001774772305
1.5,0.0,-0.4,0.03134314981807355
1.5,0.2,-0.6,0.03237147514016921
1.3,-0.0,-0.6,0.030041891165087577
1.5,-0.1,-0.4,0.029133406928910192
1.2,-0.0,-0.5,0.028776033696161288
1.4,-0.4,-0.6,0.027825819402252337
1.2,-0.4,-0.6,0.026061307958551577
1.3,0.1,-0.4,0.0237878326956222
1.2,-0.3,-0.6,0.027996571884911316
1.4,0.1,-0.3,0.02107330601310669
1.3,-0.4,-0.6,0.0266666790973532
1.5,-0.3,-0.3,0.027849316333720838
1.5,0.2,-0.3,0.025243442781351846
1.2,-0.2,-0.6,0.028525973647324024
1.3,0.2,-0.6,0.029057256344181784
1.3,-0.2,-0.4,0.026408567296239176
