date,objective,start_index
2019-03-31,sortino,1
2019-04-30,sortino,1
2019-05-31,sortino,1
2019-06-30,sortino,1
2019-07-31,sortino,1
2019-08-31,sortino,1
2019-09-30,sortino,1
2019-10-31,sortino,1
2019-11-30,sortino,1
2019-12-31,sortino,1
2020-01-31,sortino,1
2020-02-29,sortino,1
2020-03-31,sortino,1
2020-04-30,sortino,1
2020-05-31,sortino,1
2020-06-30,sortino,1
2020-07-31,sortino,1
2020-08-31,sortino,1
2020-09-30,sortino,1
2020-10-31,sortino,1
2020-11-30,sortino,1
2020-12-31,sortino,1
2021-01-31,sortino,1
2021-02-28,sortino,1
2021-03-31,sortino,1
2021-04-30,sortino,1
2021-05-31,sortino,1
2021-06-30,sortino,1
2021-07-31,sortino,1
2021-08-31,sortino,1
2021-09-30,sortino,1
2021-10-31,sortino,1
2021-11-30,sortino,1
2021-12-31,sortino,1
2022-01-31,sortino,1
2022-02-28,sortino,1
2022-03-31,sortino,1
2022-04-30,sortino,1
2022-05-31,sortino,1
2022-06-30,sortino,1
2022-07-31,sortino,1
2022-08-31,sortino,1
2022-09-30,sortino,1
2022-10-31,sortino,1
2022-11-30,sortino,1
2022-12-31,sortino,1
2023-01-31,sortino,1
2023-02-28,sortino,1
2023-03-31,sortino,1
2023-04-30,sortino,1
2023-05-31,sortino,1
2023-06-30,sortino,1
2023-07-31,sortino,1
2023-08-31,sortino,1
2023-09-30,sortino,1
2023-10-31,sortino,1
2023-11-30,sortino,1
2023-12-31,sortino,1
2024-01-31,sortino,1
2024-02-29,sortino,1
2024-03-31,sortino,1
2024-04-30,sortino,1
2024-05-31,sortino,1
2024-06-30,sortino,1
2024-07-31,sortino,1
2024-08-31,sortino,1
2024-09-30,sortino,1
2024-10-31,sortino,1
2024-11-30,sortino,1
2024-12-31,sortino,1
2025-01-31,sortino,1
2025-02-28,sortino,1
2025-03-31,sortino,1
2025-04-30,sortino,1
2025-05-31,sortino,1
2025-06-30,sortino,1
2025-07-31,sortino,1
2025-08-31,sortino,1
2025-09-30,sortino,1
2025-10-31,sortino,1
2025-11-30,sortino,1
