c1,c2,c3,reward
1.0,0.0,0.0,10.755377501759524
0.9,0.0,0.0,inf
1.1,0.0,0.0,3.841726416803612
1.0,-0.1,0.0,inf
1.0,0.1,0.0,1.7074487516162644
1.0,0.0,-0.1,0.6707899904186979
1.0,0.0,0.1,inf
0.9,0.0,0.1,inf
1.1,0.0,0.1,inf
1.0,-0.1,0.1,inf
1.0,0.1,0.1,inf
1.0,0.0,0.2,inf
1.2,0.3,0.2,inf
1.1,0.3,0.2,inf
1.3,0.3,0.2,inf
1.2,0.2,0.2,inf
1.2,0.4,0.2,6.725304740942142
1.2,0.3,0.1,1.282632952415548
1.2,0.3,0.3,inf
1.3,0.4,0.1,0.6966502978690867
1.1,0.3,0.3,inf
1.3,0.3,0.3,inf
1.2,0.2,0.3,inf
1.2,0.4,0.3,inf
1.2,0.3,0.4,inf
1.1,0.1,0.6,inf
1.0,0.1,0.6,inf
1.2,0.1,0.6,inf
1.1,0.0,0.6,inf
1.1,0.2,0.6,inf
1.1,0.1,0.5,inf
1.3,0.4,0.6,inf
1.2,0.4,0.6,inf
1.3,0.3,0.6,inf
1.3,0.5,0.6,inf
1.3,0.4,0.5,inf
1.2,0.5,0.6,inf
1.3,0.6,0.6,inf
1.3,0.5,0.5,inf
1.1,0.6,0.6,inf
1.2,0.6,0.6,inf
1.3,0.6,0.5,inf
1.2,0.6,0.5,inf
1.3,0.6,0.4,inf
1.0,0.3,0.6,inf
1.2,0.4,0.4,inf
1.3,0.5,0.4,inf
1.3,0.6,0.3,5.665503182717536
1.1,0.6,0.4,inf
1.3,0.3,0.4,inf
1.1,0.4,0.6,inf
1.0,0.6,0.5,inf
1.3,0.3,0.5,inf
1.3,0.4,0.4,inf
1.0,0.4,0.6,inf
1.3,0.4,0.3,inf
1.2,0.3,0.6,inf
1.1,0.4,0.5,inf
1.0,0.6,0.6,inf
1.2,0.6,0.3,107.5546854729013
1.2,0.5,0.5,inf
1.1,0.5,0.6,inf
1.0,0.5,0.6,inf
1.1,0.6,0.5,inf
1.1,0.6,0.3,inf
1.0,0.6,0.3,inf
1.1,0.5,0.4,inf
1.0,0.6,0.4,inf
1.2,0.5,0.4,inf
1.0,0.4,0.4,inf
1.0,0.4,0.5,inf
1.2,0.6,0.4,inf
1.1,0.4,0.4,inf
1.1,0.5,0.5,inf
1.0,0.5,0.5,inf
1.3,0.5,0.2,1.2400483738657997
0.9,0.6,0.4,inf
0.9,0.4,0.4,inf
0.8,0.4,0.4,inf
0.9,0.3,0.4,inf
0.9,0.5,0.4,inf
0.9,0.4,0.3,inf
0.9,0.4,0.5,inf
0.9,0.3,0.6,inf
0.8,0.3,0.4,inf
1.0,0.3,0.4,inf
0.9,0.2,0.4,inf
0.9,0.3,0.3,inf
0.9,0.3,0.5,inf
0.7,0.2,0.6,1.2228077090225442
0.8,0.2,0.4,inf
1.0,0.2,0.4,inf
0.9,0.1,0.4,inf
0.9,0.2,0.3,inf
0.9,0.2,0.5,inf
1.0,-0.2,0.3,inf
0.9,-0.2,0.3,inf
1.1,-0.2,0.3,inf
1.0,-0.3,0.3,inf
1.0,-0.1,0.3,inf
1.0,-0.2,0.2,inf
1.0,-0.2,0.4,inf
0.9,-0.2,0.4,inf
1.1,-0.2,0.4,inf
1.0,-0.3,0.4,inf
1.0,-0.1,0.4,inf
1.0,-0.2,0.5,inf
1.2,-0.2,0.6,inf
0.9,-0.2,0.5,inf
1.1,-0.2,0.5,inf
1.0,-0.3,0.5,inf
1.0,-0.1,0.5,inf
1.0,-0.2,0.6,inf
0.8,-0.0,0.6,inf
0.9,-0.3,0.5,inf
1.1,-0.3,0.5,inf
1.0,-0.4,0.5,inf
1.0,-0.3,0.6,inf
1.0,-0.4,0.6,inf
0.9,-0.4,0.6,inf
1.1,-0.4,0.6,inf
1.0,-0.5,0.6,inf
1.2,-0.4,0.6,inf
0.9,-0.5,0.6,inf
1.1,-0.5,0.6,inf
1.0,-0.6,0.6,inf
1.0,-0.5,0.5,inf
0.8,-0.6,0.4,inf
0.9,-0.6,0.5,inf
0.9,-0.3,0.6,inf
0.8,-0.3,0.6,inf
0.9,-0.6,0.6,inf
0.8,-0.6,0.6,inf
0.9,-0.5,0.5,inf
1.1,-0.6,0.6,inf
1.1,-0.3,0.6,inf
0.8,-0.5,0.6,inf
0.9,-0.5,0.3,inf
1.2,-0.3,0.6,inf
0.8,-0.5,0.5,inf
0.7,-0.6,0.4,inf
0.8,-0.2,0.6,inf
1.1,-0.3,0.3,inf
1.3,-0.3,0.6,inf
0.8,-0.4,0.6,inf
0.8,-0.4,0.5,inf
0.7,-0.4,0.5,inf
0.9,-0.4,0.5,inf
0.8,-0.3,0.5,inf
0.8,-0.4,0.4,inf
0.8,-0.3,0.3,inf
0.7,-0.2,0.5,inf
0.7,-0.3,0.6,inf
0.7,-0.3,0.5,inf
0.7,-0.4,0.2,inf
0.7,-0.6,0.3,inf
0.7,-0.3,0.4,inf
0.8,-0.3,0.4,inf
0.7,-0.4,0.4,inf
0.7,-0.2,0.4,inf
0.7,-0.3,0.3,inf
0.7,-0.0,0.6,2.358001236312694
0.7,-0.6,0.6,inf
0.7,-0.5,0.3,inf
0.9,-0.4,0.4,inf
0.7,-0.1,0.2,inf
0.9,-0.0,0.6,inf
0.7,-0.4,0.6,inf
0.9,-0.0,0.3,inf
0.7,-0.1,0.1,inf
0.7,-0.1,0.4,inf
0.9,-0.6,0.1,inf
0.7,-0.1,0.3,inf
0.8,-0.2,0.2,inf
0.9,-0.3,0.4,inf
1.0,-0.0,0.6,inf
0.7,-0.2,0.6,34.71667455353151
1.0,-0.1,0.6,inf
0.7,-0.2,0.2,inf
0.9,-0.3,0.3,inf
0.7,-0.3,0.2,inf
0.7,-0.0,0.2,inf
0.9,-0.5,0.2,inf
0.7,-0.5,0.1,inf
0.9,-0.1,0.5,inf
0.7,-0.5,0.2,inf
0.7,-0.4,0.1,inf
0.7,-0.2,0.3,inf
0.7,-0.0,0.1,inf
0.7,-0.5,0.5,inf
0.8,-0.0,0.4,inf
0.9,-0.3,0.2,inf
0.9,-0.2,0.6,inf
0.7,-0.4,0.3,inf
0.7,-0.6,0.2,inf
0.8,-0.1,0.4,inf
0.7,-0.5,0.4,inf
0.7,-0.5,0.6,inf
0.7,-0.2,0.1,inf
0.7,-0.6,0.5,inf
0.9,-0.1,0.2,inf
0.7,-0.1,0.5,inf
0.8,-0.4,0.2,inf
