c1,c2,c3,reward
1.0,0.0,0.0,0.010968010160363
0.9,0.0,0.0,0.0098524211133053
1.1,0.0,0.0,0.0120835992112801
1.0,-0.1,0.0,0.0109940386423342
1.0,0.1,0.0,0.0109419816958063
1.0,0.0,-0.1,0.0109094901832477
1.0,0.0,0.1,0.0110265302133749
0.9,-0.1,-0.2,0.0097614092248254
1.2,0.0,0.0,0.0131991881950046
1.1,-0.1,0.0,0.0121096276898158
1.1,0.1,0.0,0.01205757075149
1.1,0.0,-0.1,0.0120250790177039
1.1,0.0,0.1,0.0121421193703596
1.3,0.0,-0.1,0.0142562572022369
1.2,0.0,-0.1,0.0131406680409611
1.3,-0.1,-0.1,0.0142822856009007
1.3,0.1,-0.1,0.0142302286616954
1.3,0.0,-0.2,0.0141977371989771
1.3,0.0,0.0,0.0143147772332327
1.3,0.2,0.3,0.0144382806528376
1.2,0.2,0.3,0.0133226914930836
1.3,0.1,0.3,0.0144643092563777
1.3,0.3,0.3,0.0144122521664089
1.3,0.2,0.2,0.0143797604469814
1.3,0.2,0.4,0.014496800860704
1.2,0.2,0.4,0.0133812117310976
1.3,0.1,0.4,0.0145228290267209
1.3,0.3,0.4,0.0144707722796316
1.3,0.2,0.5,0.0145553207553897
1.0,0.0,0.5,0.0112606106527439
1.2,0.2,0.5,0.0134397317945323
1.3,0.1,0.5,0.0145813493503912
1.3,0.3,0.5,0.0145292924632596
1.3,0.2,0.6,0.0146138408090368
1.3,0.4,0.5,0.014503263993085
1.2,0.2,0.6,0.0134982518713307
1.3,0.1,0.6,0.0146398694186856
1.3,0.3,0.6,0.0145878124615859
1.2,0.1,0.6,0.013524280370454
1.3,0.0,0.6,0.014665897888495
1.3,-0.1,0.6,0.0146919262971036
1.2,-0.1,0.6,0.0135763372540633
1.3,-0.2,0.6,0.0147179547277248
1.3,-0.1,0.5,0.0146334061168475
1.3,-0.2,0.3,0.0145423944623959
1.2,-0.2,0.6,0.0136023657709455
1.3,-0.3,0.6,0.0147439830770683
1.3,-0.2,0.5,0.0146594347453759
1.1,-0.6,0.6,0.0125908907211101
1.2,-0.3,0.6,0.0136283942781104
1.3,-0.4,0.6,0.0147700117276969
1.3,-0.3,0.5,0.0146854631929505
1.0,-0.2,0.6,0.0113711877066883
1.2,-0.4,0.6,0.0136544226327707
1.3,-0.5,0.6,0.0147960401513187
1.3,-0.4,0.5,0.0147114915483366
1.3,-0.5,0.5,0.0147375200654122
1.2,-0.5,0.6,0.0136804511095482
1.3,-0.6,0.6,0.0148220685736923
1.3,-0.6,0.3,0.0146465083011645
1.2,-0.6,0.6,0.0137064796880797
1.3,-0.6,0.5,0.014763548488647
1.3,-0.5,0.4,0.0146790000100594
1.0,-0.3,0.6,0.0113972161972851
1.2,-0.3,0.5,0.0135698741796057
1.3,-0.4,0.4,0.0146529715157511
1.0,-0.5,0.5,0.0113907529773089
1.0,-0.6,0.5,0.0114167814422183
1.1,-0.4,0.6,0.0125388337228498
1.2,-0.6,0.5,0.0136479594919076
1.2,-0.4,0.5,0.0135959026387923
1.3,-0.6,0.4,0.0147050284726028
1.1,-0.5,0.6,0.0125648621845875
1.3,-0.4,0.3,0.0145944513924886
1.0,-0.4,0.6,0.0114232445712487
1.1,-0.5,0.4,0.0124478218930582
1.2,-0.6,0.4,0.0135894393651847
1.1,-0.3,0.5,0.0124542850684297
1.0,-0.6,0.6,0.011475301772513
1.1,-0.6,0.5,0.0125323704822297
1.0,-0.6,0.4,0.0113582613270423
1.1,-0.4,0.4,0.0124217933454576
1.2,-0.5,0.5,0.0136219311270422
1.1,-0.6,0.3,0.0124153302836136
1.2,-0.3,0.4,0.0135113539927441
1.0,-0.3,0.4,0.0112801759812178
1.0,-0.5,0.6,0.0114492730737615
1.0,-0.3,0.3,0.011221655827915
1.1,-0.5,0.5,0.0125063419365808
1.1,-0.6,0.4,0.0124738503983336
1.3,-0.3,0.4,0.0146269431316012
1.1,-0.3,0.4,0.0123957649535263
1.1,-0.2,0.4,0.0123697365802657
1.1,-0.3,0.3,0.0123372448963811
1.1,-0.0,0.6,0.0124347198917628
1.2,-0.3,0.3,0.0134528338818411
1.1,-0.4,0.3,0.0123632733350781
1.1,-0.2,0.3,0.012311216578994
1.1,-0.3,0.2,0.0122787248427508
1.3,-0.6,0.1,0.0145294680897951
1.0,-0.4,0.3,0.0112476842390125
1.2,-0.4,0.3,0.0134788623159116
1.1,-0.5,0.3,0.0123893018745841
1.1,-0.4,0.2,0.0123047532533654
0.9,-0.6,0.0,0.0100085920567838
0.9,-0.4,0.3,0.0101320952481951
1.0,-0.5,0.3,0.0112737128403899
1.0,-0.4,0.2,0.0111891641516729
1.0,-0.4,0.4,0.0113062044190954
1.0,-0.6,0.1,0.0111827010428159
0.8,-0.4,0.3,0.0090165063023539
0.9,-0.5,0.3,0.0101581238517982
0.9,-0.3,0.3,0.0101060667872886
0.9,-0.4,0.2,0.0100735751946889
0.9,-0.4,0.4,0.0101906154398061
0.7,-0.6,0.1,0.0078359340147456
0.7,-0.4,0.3,0.0079009171952993
0.8,-0.5,0.3,0.0090425347735351
0.8,-0.3,0.3,0.008990477894095
0.8,-0.4,0.2,0.0089579862158243
0.8,-0.4,0.4,0.0090750263499685
0.7,-0.6,0.5,0.0077960439998851
0.7,-0.6,0.3,0.0079529741569268
0.9,-0.3,0.2,0.0100475466692622
0.9,-0.1,0.1,0.0099369697460016
0.9,-0.3,0.5,0.0102231070380288
0.7,-0.2,0.5,0.0079659006596572
0.7,-0.1,0.5,0.0079398720796425
0.7,-0.3,0.3,0.0078748887009072
0.7,-0.5,0.4,0.0079854658762976
0.7,-0.2,0.3,0.0078488605890977
0.8,-0.4,0.1,0.0088994658793657
0.9,-0.2,0.1,0.0099629981845058
1.1,-0.4,0.1,0.0122462331428746
1.0,-0.2,0.5,0.0113126675776044
1.1,-0.6,0.1,0.0122982900433755
0.7,-0.5,0.5,0.0080439859750006
0.7,-0.1,0.3,0.0078228318670228
1.0,-0.1,0.5,0.0112866391258931
0.7,-0.6,0.4,0.0080114943310264
0.7,-0.4,0.4,0.0079594374259938
0.7,-0.3,0.4,0.0079334089072895
1.0,-0.4,0.5,0.0113647245434807
1.0,-0.1,0.3,0.0111695990647082
0.9,-0.2,0.3,0.0100800384331608
0.7,-0.1,0.4,0.007881351999639
0.8,-0.6,0.6,0.009244123531923
0.7,-0.3,0.2,0.0078163687203563
1.0,-0.6,0.2,0.011241221152589
1.0,-0.2,0.3,0.011195627423992
0.9,-0.3,0.4,0.0101645869475305
0.8,-0.3,0.4,0.0090489979208887
0.9,-0.4,0.1,0.0100150550439397
0.7,-0.3,0.1,0.0077578486993704
1.0,-0.3,0.2,0.0111631357203731
0.8,-0.6,0.3,0.0090685632481349
0.9,-0.3,0.1,0.0099890264948623
0.7,-0.3,0.5,0.0079919290547635
0.9,-0.6,0.3,0.0101841522350596
0.7,-0.1,0.2,0.0077643117145922
0.7,-0.3,0.0,0.0076993286028347
0.7,-0.4,0.2,0.0078423973151684
0.8,-0.2,0.2,0.0089059293520054
0.7,-0.5,0.2,0.0078684257625744
0.7,-0.2,0.0,0.007673300233465
0.9,-0.6,0.5,0.0103011923234362
0.7,-0.5,0.3,0.0079269455594888
0.9,-0.6,0.2,0.0101256320654025
0.8,-0.4,0.6,0.0091920665908965
0.8,-0.5,0.5,0.0091595749540207
0.9,-0.6,0.1,0.0100671118760534
0.7,-0.4,0.5,0.0080179575344953
0.7,-0.2,0.6,0.0080244207764206
1.0,-0.5,0.0,0.0110981523429761
0.8,-0.5,0.2,0.0089840146504856
0.8,-0.6,0.4,0.0091270833377472
1.0,-0.3,0.1,0.0111046157016103
0.9,-0.2,0.5,0.0101970785172485
0.9,-0.2,0.2,0.0100215183046761
1.0,-0.1,0.2,0.0111110787281146
0.7,-0.1,0.1,0.0077057917735573
0.7,-0.4,0.1,0.0077838770501907
0.8,-0.2,0.5,0.0090814895878439
0.9,-0.5,0.4,0.0102166438659805
1.0,-0.2,0.1,0.0110785871166438
0.9,-0.4,0.6,0.0103076555954604
1.1,-0.4,0.0,0.0121877130417653
0.8,-0.2,0.4,0.0090229694241221
1.0,-0.4,0.1,0.011130644124195
1.0,-0.2,0.4,0.0112541475894065
0.7,-0.6,0.6,0.0081285343915561
0.9,-0.6,0.4,0.01024267251284
0.8,-0.5,0.4,0.0091010549261244
1.0,-0.1,0.4,0.011228119060553
0.9,-0.5,0.1,0.0100410834104399
0.8,-0.4,0.0,0.008840945900789
0.7,-0.2,0.2,0.0077903402780085
0.7,-0.2,0.1,0.0077318200273589
0.8,-0.6,0.1,0.008951523008726
