c1,c2,c3,reward
1.0,0.0,0.0,9.421084007146678
0.9,0.0,0.0,9.45298259662358
1.1,0.0,0.0,9.39494306812053
1.0,-0.1,0.0,8.570233328162848
1.0,0.1,0.0,10.01793499786194
1.0,0.0,-0.1,8.840093416885942
1.0,0.0,0.1,9.362867906551411
1.1,-0.2,-0.1,7.182222719266413
1.0,-0.2,-0.1,6.976971756662429
1.2,-0.2,-0.1,7.356463007603464
1.1,-0.3,-0.1,6.433798650113801
1.1,-0.1,-0.1,8.014373446760017
1.1,-0.2,-0.2,6.533937741868085
1.1,-0.2,0.0,7.79746974698888
0.9,0.1,-0.2,8.837413743131556
1.3,-0.2,-0.1,7.505621955762997
1.2,-0.3,-0.1,6.6491452453483335
1.2,-0.1,-0.1,8.12832786825123
1.2,-0.2,-0.2,6.7497966220677625
1.2,-0.2,0.0,7.918021755027323
1.3,-0.0,0.1,9.375817925136008
1.3,-0.3,-0.1,6.837340294024375
1.3,-0.1,-0.1,8.223467315921619
1.3,-0.2,-0.2,6.938464673260971
1.3,-0.2,0.0,8.0198023542471
1.2,-0.3,-0.3,5.625433895767761
1.3,-0.3,-0.2,6.330737989504817
1.3,-0.1,-0.2,7.611421770038403
1.3,-0.2,-0.3,6.386935969108475
1.1,-0.4,-0.1,5.779324738696509
1.2,-0.2,-0.3,6.172904617472997
1.3,-0.3,-0.3,5.851726942549026
1.3,-0.1,-0.3,6.986647566714543
1.3,-0.2,-0.4,5.883071730719317
1.3,-0.1,-0.5,5.887038351677524
1.2,-0.1,-0.5,5.659276359527285
1.3,-0.2,-0.5,5.43665004143762
1.3,0.0,-0.5,6.389417856283732
1.3,-0.1,-0.6,5.435207711593285
1.3,-0.1,-0.4,6.404961259378322
1.3,-0.3,-0.6,4.6974072528939255
1.2,-0.1,-0.6,5.205306883789358
1.3,-0.2,-0.6,5.046516166801853
1.3,0.0,-0.6,5.8673466603179065
1.3,0.2,-0.6,6.870628589450633
1.2,0.2,-0.6,6.654927278225863
1.3,0.1,-0.6,6.345714170926023
1.3,0.3,-0.6,7.437712201644399
1.3,0.2,-0.5,7.55146999282367
1.2,0.3,-0.6,7.235915608588031
