c1,c2,c3,reward
0.7,-0.2,-0.3,4.633566305076437
0.7,-0.3,-0.3,4.90069461815595
0.7,-0.1,-0.3,4.39548158772635
0.7,-0.2,-0.4,4.709488783244006
0.7,-0.6,-0.0,5.895260057308558
0.8,-0.6,-0.0,5.511249934450476
0.7,-0.5,-0.0,5.384923659445103
0.7,-0.6,-0.1,5.936736186876568
0.7,-0.6,0.1,5.692884785208352
0.7,-0.4,0.2,4.359138020028561
0.8,-0.6,-0.1,5.58468030913423
0.7,-0.5,-0.1,5.474481319731496
0.7,-0.6,-0.2,5.939261010092749
0.8,-0.6,-0.2,5.612057911050815
0.7,-0.5,-0.2,5.513214997285004
0.7,-0.6,-0.3,5.941389757112476
0.8,-0.6,-0.3,5.635756920582884
0.7,-0.5,-0.3,5.546294029696116
0.7,-0.6,-0.4,5.943208711208258
0.7,-0.3,-0.6,5.072550499064565
0.8,-0.6,-0.4,5.6564845564210335
0.7,-0.5,-0.4,5.574872480307376
0.7,-0.6,-0.5,5.944781074853358
1.0,-0.6,-0.2,5.193282191312493
0.8,-0.6,-0.5,5.6747667259588
0.7,-0.5,-0.5,5.599810556103956
0.7,-0.6,-0.6,5.946153758547109
0.8,-0.6,-0.6,5.691012009673699
0.7,-0.5,-0.6,5.621761895574494
0.7,-0.4,-0.6,5.332350332527036
0.7,-0.4,-0.3,5.202526399169854
1.0,-0.4,-0.3,4.787464737981993
0.9,-0.6,-0.5,5.466872601164443
0.9,-0.6,-0.6,5.491656573128755
1.0,-0.6,-0.5,5.30187300117211
0.9,-0.5,-0.6,5.255487839068584
1.0,-0.6,-0.4,5.269231988022675
0.7,-0.3,-0.4,4.964880323998748
0.9,-0.5,-0.4,5.181073825472574
0.8,-0.5,-0.4,5.352306401545553
0.9,-0.6,-0.4,5.439358309129153
1.0,-0.6,-0.6,5.331594239421899
1.0,-0.5,-0.6,5.12428484119112
1.0,-0.5,-0.5,5.086539413782645
0.8,-0.3,-0.6,4.944934377958838
0.7,-0.4,-0.4,5.251330746034452
0.9,-0.5,-0.3,5.137702246073529
0.8,-0.5,-0.6,5.417277886888009
0.8,-0.4,-0.6,5.16978562755861
1.0,-0.4,-0.4,4.840421773955497
0.8,-0.4,-0.5,5.127536579911567
0.7,-0.4,-0.5,5.294273274620787
1.0,-0.3,-0.6,4.756616821952633
1.0,-0.4,-0.6,4.933239595746329
0.9,-0.3,-0.6,4.841759068393519
0.9,-0.4,-0.6,5.039698238523209
0.8,-0.5,-0.5,5.386606519999291
0.8,-0.5,-0.3,5.313692567485912
1.0,-0.3,-0.4,4.652387272425357
0.9,-0.6,-0.3,5.408636366804363
0.9,-0.5,-0.5,5.220131253574917
0.9,-0.4,-0.4,4.947299123436872
0.8,-0.3,-0.4,4.8363078002381705
0.8,-0.4,-0.3,5.027999051815787
0.8,-0.3,-0.5,4.8933632015372295
0.9,-0.3,-0.4,4.734703278598678
0.8,-0.4,-0.4,5.080555133368342
0.7,-0.3,-0.5,5.021773648933844
1.0,-0.6,-0.3,5.2332187925112335
0.9,-0.4,-0.3,4.893827229046551
1.0,-0.3,-0.5,4.706654366682016
0.9,-0.4,-0.5,4.99569250080752
0.9,-0.3,-0.5,4.7906630886760295
1.0,-0.5,-0.4,5.0452515262101
0.9,-0.3,-0.3,4.6731503777453565
1.0,-0.4,-0.5,4.8888257941450775
1.0,-0.5,-0.3,4.999897909600197
0.8,-0.6,0.1,5.330575690575465
0.7,-0.5,0.1,5.162282621615964
0.7,-0.6,0.2,5.268720466013833
0.8,-0.6,0.2,5.013331041452852
0.7,-0.5,0.2,4.769557330509477
0.7,-0.6,0.3,4.6140527739294654
0.7,-0.4,0.3,3.856185740255526
0.8,-0.6,0.3,4.548995159145026
0.7,-0.5,0.3,4.202019784979892
0.7,-0.6,0.4,3.7968593040514462
1.0,-0.6,0.6,3.1823378643302127
0.9,-0.6,0.0,5.247022916758565
0.7,-0.5,0.6,2.0203758672786973
0.7,-0.6,0.5,2.930838198178135
0.7,-0.4,0.0,4.958546052335968
0.7,-0.5,0.4,3.5032884012453045
