c1,c2,c3,reward
1.0,0.0,0.0,0.9678320581830968
0.9,0.0,0.0,1.075845971018636
1.1,0.0,0.0,0.8795248219233722
1.0,-0.1,0.0,0.934211188784172
1.0,0.1,0.0,0.9897442313921576
1.0,0.0,-0.1,0.7355299308839668
1.0,0.0,0.1,1.3494544406502489
0.9,-0.1,-0.2,0.6023724372260324
1.2,0.0,0.0,0.805982734065987
1.1,-0.1,0.0,0.8521840342193857
1.1,0.1,0.0,0.8980573729691278
1.1,0.0,-0.1,0.6838312150617128
1.1,0.0,0.1,1.187310243988461
1.3,0.0,-0.1,0.5994191325937133
1.2,0.0,-0.1,0.6388702752051275
1.3,-0.1,-0.1,0.582980557478855
1.3,0.1,-0.1,0.6136619641646048
1.3,0.0,-0.2,0.498684492864497
1.3,0.0,0.0,0.7437887724040139
1.3,0.2,0.3,1.167553353745634
1.2,0.2,0.3,1.2196743259902134
1.3,0.1,0.3,1.314557744887322
1.3,0.3,0.3,1.0426002385620978
1.3,0.2,0.2,1.1205566823313906
1.3,0.2,0.4,1.0351990455037117
1.2,0.2,0.4,1.0332329922347454
1.3,0.1,0.4,1.1822294115384318
1.3,0.3,0.4,0.9196781381880116
1.3,0.2,0.5,0.8466304507242925
1.0,0.0,0.5,0.9537413000616948
1.2,0.2,0.5,0.8265907029813837
1.3,0.1,0.5,0.9471673159065696
1.3,0.3,0.5,0.7653796049100701
1.3,0.2,0.6,0.6868855418940002
1.3,0.4,0.5,0.698352936772742
1.2,0.2,0.6,0.6662422616483387
1.3,0.1,0.6,0.7503203488314806
1.3,0.3,0.6,0.6331910716338777
1.2,0.1,0.6,0.7247932914604049
1.3,0.0,0.6,0.8263313777458485
1.3,-0.1,0.6,0.9189287515967808
1.2,-0.1,0.6,0.8772465195305046
1.3,-0.2,0.6,1.0339372687472834
1.3,-0.1,0.5,1.2420709389084357
1.3,-0.2,0.3,1.8171153480657352
1.2,-0.2,0.6,0.978426031214318
1.3,-0.3,0.6,1.180063543298337
1.3,-0.2,0.5,1.4709458408004277
1.1,-0.6,0.6,1.496726579337526
1.2,-0.3,0.6,1.103503998798254
