c1,c2,c3,reward
1.0,0.0,0.0,-0.0004417027737855
0.9,0.0,0.0,-0.0004077731180287
1.1,0.0,0.0,-0.0005148328939801
1.0,-0.1,0.0,-0.0004220889254979
1.0,0.1,0.0,-0.0004353756222104
1.0,0.0,-0.1,-0.0003932250205347
1.0,0.0,0.1,-0.0004454147227092
0.8,0.1,-0.3,-0.0002499816496288
0.7,0.1,-0.3,-0.0002406297883056
0.9,0.1,-0.3,-0.0003340301033171
0.8,0.0,-0.3,-0.0002554620285019
0.8,0.2,-0.3,-0.0002294547450613
0.8,0.1,-0.4,-0.0002453802576093
0.8,0.1,-0.2,-0.000254683134213
0.7,0.3,-0.2,-0.0001904502082445
0.7,0.1,-0.4,-0.0001874109352183
0.9,0.1,-0.4,-0.0002673002881897
0.8,0.0,-0.4,-0.0002776128703531
0.8,0.2,-0.4,-0.0001867600375495
0.8,0.1,-0.5,-0.0002471414224869
1.0,0.4,-0.2,-0.0002980322265309
0.7,0.1,-0.5,-0.0002178827156143
0.9,0.1,-0.5,-0.0003076300579493
0.8,0.0,-0.5,-0.0002069897214155
0.8,0.2,-0.5,-0.0002158585145488
0.8,0.1,-0.6,-0.0002182490990436
0.7,-0.1,-0.6,-0.0002163619859097
1.0,0.1,-0.5,-0.0004322121697936
0.9,0.0,-0.5,-0.0002573689409103
0.9,0.2,-0.5,-0.0002253981023163
0.9,0.1,-0.6,-0.0003091239558827
0.9,0.1,-0.2,-0.0003217979041926
1.1,0.2,-0.6,-0.0004474121011466
1.0,0.3,-0.6,-0.0004042840875839
0.8,0.3,-0.3,-0.0001898436662804
1.0,-0.0,-0.6,-0.0002028920243914
1.0,-0.2,-0.6,-0.0003949872746464
1.1,0.2,-0.4,-0.0005153312641772
0.9,0.2,-0.6,-0.000249493790361
1.1,0.1,-0.6,-0.0005182886168296
1.0,0.2,-0.6,-0.0003496053798377
1.0,0.4,-0.6,-0.0003826226593702
0.8,0.2,-0.6,-0.0002191145902276
0.9,0.3,-0.5,-0.0003082951217622
0.7,0.1,-0.2,-0.0002654278112846
0.8,0.0,-0.6,-0.000272668596553
0.8,0.3,-0.6,-0.0001747633229875
1.0,-0.1,-0.5,-0.0003551046949657
0.7,0.3,-0.3,-0.0002012629677616
1.2,0.3,-0.6,-0.0006343530953543
1.2,0.1,-0.6,-0.0006089307481502
1.1,0.3,-0.4,-0.0004371639338336
0.8,-0.2,-0.6,-0.0002622158341361
1.0,0.1,-0.4,-0.0004662369085605
1.1,0.4,-0.6,-0.000640512614943
1.1,-0.1,-0.5,-0.0005931978481329
1.1,0.0,-0.5,-0.0005336891013628
0.9,-0.1,-0.3,-0.0002888761061637
0.8,-0.1,-0.3,-0.0002783967661219
1.0,-0.1,-0.3,-0.0003803200265373
0.9,-0.2,-0.3,-0.0002960895162026
0.9,0.0,-0.3,-0.000309828947493
0.9,-0.1,-0.4,-0.0003090165926279
0.9,-0.1,-0.2,-0.0003295329162657
0.7,0.1,-0.6,-0.0002270322017198
1.0,0.0,-0.3,-0.0003921458458205
0.9,0.0,-0.4,-0.000292145836562
0.9,0.0,-0.2,-0.0003591189823539
0.8,-0.3,-0.2,-0.0002478338179856
0.7,-0.2,-0.5,-0.0002249148343977
0.7,0.3,-0.4,-0.0001785199735646
0.8,-0.1,-0.0,-0.000307016931115
0.7,-0.2,-0.4,-0.000235255956054
1.0,0.1,-0.3,-0.000389103650216
0.7,0.0,-0.1,-0.0002766134171045
1.0,0.0,-0.2,-0.0004257639712818
0.7,-0.1,-0.2,-0.0002651227726311
0.8,0.3,-0.2,-0.0002320194261577
0.8,0.1,-0.1,-0.0003199960811443
0.8,-0.3,-0.0,-0.00022544441178
0.9,0.2,-0.3,-0.0002791585976898
0.9,0.1,-0.0,-0.0003988746596822
0.7,-0.2,-0.2,-0.0002030192761672
1.1,0.2,-0.5,-0.0004531328967142
0.7,0.1,-0.0,-0.0002919303850942
1.0,0.2,-0.2,-0.0003736245280768
1.1,-0.2,-0.4,-0.000505913617796
0.8,-0.2,-0.2,-0.000244200853234
0.7,0.0,-0.5,-0.0002170382461736
0.8,-0.2,-0.3,-0.0002540404138244
1.0,0.3,-0.4,-0.0003872663506156
1.2,-0.2,-0.4,-0.000646683492222
0.7,0.2,-0.5,-0.0001866448697023
1.2,0.2,-0.2,-0.000768979951941
1.0,0.1,-0.6,-0.0003440067878828
0.8,0.3,-0.1,-0.0003011163671351
1.1,-0.3,-0.2,-0.0005329261985656
1.2,0.1,-0.1,-0.0006298526437794
1.0,0.0,-0.4,-0.0004024828678626
1.2,-0.2,-0.1,-0.0006430471527368
0.8,-0.1,-0.5,-0.0002562694563246
0.7,0.2,-0.4,-0.0002375119386937
1.2,-0.1,-0.4,-0.0006240118923737
1.0,0.1,-0.1,-0.0004271741681465
1.2,-0.3,-0.6,-0.0005510872943151
1.2,0.1,-0.5,-0.0007256500948483
0.7,-0.1,-0.4,-0.0002118228750061
1.1,0.1,-0.0,-0.0006093671178425
0.7,-0.3,-0.2,-0.0002351329423529
0.9,-0.3,-0.1,-0.0002789939296968
1.0,0.3,-0.0,-0.0004078307068724
1.1,-0.3,-0.6,-0.0003755476350201
0.8,0.2,-0.2,-0.000261480979512
0.9,-0.2,-0.5,-0.0002726035391657
0.7,0.2,-0.3,-0.0002208952593278
0.8,-0.1,-0.1,-0.0002787131555407
1.0,0.2,-0.5,-0.0004170061196388
0.8,-0.3,-0.6,-0.0002228236722234
0.8,-0.0,-0.1,-0.0003362140439875
0.7,0.3,-0.0,-0.0003563873702839
1.1,-0.1,-0.6,-0.0005451073606379
0.7,-0.2,-0.6,-0.0002401714173095
0.9,-0.2,-0.4,-0.0003694921446188
0.9,0.4,-0.6,-0.0002905370623323
0.7,0.3,-0.6,-0.0001492514141235
0.7,0.2,-0.6,-0.0001686426164811
0.7,0.4,-0.6,-0.0002290582551406
0.7,0.3,-0.5,-0.0001678796732478
0.7,0.4,-0.4,-0.0001449156910302
0.7,0.5,-0.6,-0.0001676199244741
0.9,0.3,-0.6,-0.0003361940456199
0.9,0.5,-0.5,-0.000288125776294
1.0,0.6,-0.6,-0.0005177448228847
0.7,0.6,-0.6,-0.0002104745862301
0.7,0.5,-0.5,-0.000184086795316
0.9,0.5,-0.4,-0.0002558101513138
0.8,0.3,-0.4,-0.0001576352443527
0.8,0.4,-0.4,-0.0001855198303977
0.8,0.5,-0.6,-0.0002831395274314
0.7,0.5,-0.3,-0.0001765542796769
0.7,0.5,-0.4,-0.0001604005174025
0.9,0.6,-0.4,-0.0002469035767906
0.7,0.0,-0.6,-0.0001966984879438
1.0,0.2,-0.4,-0.0003389676058173
0.8,-0.1,-0.6,-0.0002296071595517
0.7,-0.3,-0.5,-0.0002920652142495
0.7,0.0,-0.4,-0.0001977740674613
0.9,-0.1,-0.6,-0.0002533899142127
0.9,-0.1,-0.5,-0.0002898538626128
0.7,-0.0,-0.3,-0.0002570758072057
