c1,c2,c3,reward
1.0,0.0,0.0,-0.042935746438214
0.9,0.0,0.0,-0.0380053001543598
1.1,0.0,0.0,-0.0324868535865652
1.0,-0.1,0.0,-0.033661296837447
1.0,0.1,0.0,-0.0462412036751807
1.0,0.0,-0.1,-0.0347186413732077
1.0,0.0,0.1,-0.0396323489776068
1.2,-0.1,-0.3,-0.0223607507675692
1.1,-0.1,-0.3,-0.0224468978526326
1.3,-0.1,-0.3,-0.014215013604586
1.2,-0.2,-0.3,-0.0169668448553346
1.2,0.0,-0.3,-0.0187747438404769
1.2,-0.1,-0.4,-0.0204381061279389
1.2,-0.1,-0.2,-0.025313292270847
1.4,-0.1,-0.3,-0.0162723640374405
1.3,-0.2,-0.3,-0.0172093484370677
1.3,0.0,-0.3,-0.0257478267719129
1.3,-0.1,-0.4,-0.0211819365024155
1.3,-0.1,-0.2,-0.0190814009287537
1.2,-0.3,-0.4,-0.0128441738370096
1.5,-0.1,-0.3,-0.0139487081587984
1.4,-0.2,-0.3,-0.0124072912187487
1.4,0.0,-0.3,-0.0167572863715319
1.4,-0.1,-0.4,-0.0123898372872855
1.4,-0.1,-0.2,-0.0233121270175652
1.5,0.2,-0.5,-0.0207776684413958
1.5,-0.2,-0.3,-0.0086803182316544
1.5,0.0,-0.3,-0.0149469696242114
1.5,-0.1,-0.4,-0.0158148171043131
1.5,-0.1,-0.2,-0.0166557117640283
1.2,-0.4,-0.2,-0.0119828034370135
1.5,-0.2,-0.4,-0.0121609269096468
1.5,0.0,-0.4,-0.0167726031998164
1.5,-0.1,-0.5,-0.0117484288718027
1.2,0.2,-0.1,-0.0398102651173487
1.4,0.0,-0.4,-0.0184147710697554
1.5,0.1,-0.4,-0.0209473908371545
1.5,0.0,-0.5,-0.0140491632339242
1.5,0.2,-0.2,-0.032243754750053
1.5,0.0,-0.6,-0.0153216091121208
1.5,0.2,-0.6,-0.0240584655526724
1.2,-0.2,-0.4,-0.0113926152308079
1.3,0.1,-0.2,-0.0284925229705159
1.5,0.1,-0.6,-0.0191777819177534
1.5,-0.3,-0.5,-0.0151925288155266
1.3,0.2,-0.1,-0.0439229344402157
1.4,-0.3,-0.6,-0.0131119780089498
1.5,0.1,-0.3,-0.0199880118748994
1.2,0.1,-0.5,-0.0220073378273749
1.4,-0.1,-0.6,-0.0099105387979307
1.2,0.1,-0.3,-0.0326903376099334
1.3,0.1,-0.5,-0.0229574277600001
1.2,-0.0,-0.6,-0.015859393457959
1.3,0.1,-0.6,-0.0205037513825951
1.3,-0.2,-0.4,-0.0123731060127422
1.5,-0.1,-0.6,-0.0137133771768704
1.4,-0.0,-0.6,-0.0126952037293931
1.3,0.3,-0.4,-0.0381844536801754
1.5,0.3,-0.3,-0.0334863005540159
1.4,-0.2,-0.6,-0.0129143333566905
1.3,-0.3,-0.2,-0.0160760603209863
1.5,0.2,-0.4,-0.0229455869083734
1.5,0.0,-0.1,-0.0193008562903549
1.3,-0.1,-0.6,-0.0110198224043531
1.2,-0.1,-0.6,-0.0139285709989728
1.3,-0.2,-0.6,-0.0079046094677929
1.3,0.0,-0.6,-0.0124510518036751
1.3,-0.1,-0.5,-0.0147620194653774
1.1,-0.5,-0.6,-0.0031703623679617
1.0,-0.5,-0.6,-0.0053950241121465
1.2,-0.5,-0.6,-0.0028091578014845
1.1,-0.6,-0.6,-0.0048396261284822
1.1,-0.4,-0.6,-0.005297972343503
1.1,-0.5,-0.5,-0.0066084781065014
1.5,-0.6,-0.6,-0.0140315949344378
1.3,-0.5,-0.6,-0.0062366494021227
1.2,-0.6,-0.6,-0.0047846332245907
1.2,-0.4,-0.6,-0.0028292844575707
1.2,-0.5,-0.5,-0.0043680896122669
1.1,-0.3,-0.5,-0.0080616796279605
1.1,-0.2,-0.4,-0.0157951889659513
1.0,-0.6,-0.6,-0.0072957923459429
1.0,-0.4,-0.6,-0.0062192643790879
1.0,-0.4,-0.4,-0.010603116848452
1.5,-0.5,-0.6,-0.0232485450493233
0.9,-0.4,-0.5,-0.0060142153071688
1.5,-0.3,-0.6,-0.0141764074966477
1.3,-0.6,-0.5,-0.0040644325960615
1.4,-0.6,-0.6,-0.0109972633420777
1.1,-0.6,-0.3,-0.0093534410509723
1.2,-0.3,-0.6,-0.0100524013691057
1.3,-0.6,-0.6,-0.0082683409032834
0.9,-0.3,-0.6,-0.00946070138406
1.3,-0.6,-0.4,-0.004616458217812
1.5,-0.4,-0.5,-0.0136798361115018
1.2,-0.6,-0.4,-0.0057469498508112
1.0,-0.2,-0.6,-0.0127768921212229
1.0,-0.5,-0.4,-0.005759608410108
1.1,-0.2,-0.6,-0.0141846443199572
1.1,-0.3,-0.6,-0.0055283047339873
1.3,-0.3,-0.4,-0.010551672245726
1.5,-0.5,-0.5,-0.0166445560395758
1.5,-0.6,-0.4,-0.0248223952085611
1.4,-0.3,-0.5,-0.0153092974262741
1.4,-0.5,-0.4,-0.0145865451840559
1.2,-0.4,-0.5,-0.0044292934074867
1.0,-0.3,-0.6,-0.0044093206487151
0.9,-0.2,-0.6,-0.0141099575802295
0.9,-0.4,-0.6,-0.006941401215678
1.4,-0.4,-0.3,-0.0086390590810483
1.4,-0.6,-0.3,-0.0104319766894779
0.9,-0.4,-0.4,-0.0080706297104837
0.9,-0.6,-0.4,-0.0117507691570086
1.2,-0.3,-0.5,-0.0131519481344828
1.0,-0.4,-0.5,-0.0041569124359302
1.1,-0.5,-0.4,-0.0053229583268483
1.3,-0.2,-0.5,-0.0124322253642257
1.1,-0.2,-0.5,-0.0120332372156747
1.0,-0.5,-0.5,-0.0050646208618785
1.3,-0.4,-0.6,-0.0080636183229442
1.3,-0.6,-0.3,-0.0043403918636107
1.4,-0.6,-0.5,-0.0181923022953526
1.0,-0.2,-0.5,-0.0084936897796744
1.2,-0.4,-0.4,-0.0051753534159639
1.1,-0.4,-0.4,-0.0075370888718444
1.3,-0.5,-0.4,-0.0070256884534712
0.8,-0.5,-0.4,-0.0164372466793192
0.9,-0.2,-0.4,-0.0150766252969303
0.9,-0.6,-0.5,-0.0104925471499306
0.8,-0.6,-0.5,-0.0128332119815756
1.0,-0.6,-0.5,-0.0078233642152697
0.9,-0.5,-0.5,-0.009913087051674
0.9,-0.6,-0.6,-0.0061835209374168
0.8,-0.6,-0.6,-0.0145448966785701
1.1,-0.6,-0.5,-0.0069011875067384
1.0,-0.6,-0.4,-0.0136480576201724
1.0,-0.5,-0.3,-0.0095376686245979
0.9,-0.5,-0.3,-0.0078643806341587
1.1,-0.5,-0.3,-0.0103110736985945
1.0,-0.6,-0.3,-0.0123634401748083
1.0,-0.4,-0.3,-0.0113456549792573
1.0,-0.5,-0.2,-0.011786537192222
0.8,-0.3,-0.2,-0.0188825238240333
1.1,-0.6,-0.2,-0.0086355249887599
1.0,-0.6,-0.2,-0.0126488849921873
1.2,-0.6,-0.2,-0.0029704119060972
1.1,-0.5,-0.2,-0.0132178536619385
1.1,-0.6,-0.1,-0.0109844649410312
1.3,-0.6,-0.2,-0.0041751365849384
1.2,-0.5,-0.2,-0.0115770068096314
1.2,-0.6,-0.3,-0.0067226134339777
1.2,-0.6,-0.1,-0.0053219468169698
1.4,-0.6,-0.0,-0.0181310041494403
1.5,-0.6,-0.5,-0.0207686525780666
1.3,-0.4,-0.2,-0.0129661344306088
1.3,-0.3,-0.5,-0.009817117533842
1.3,-0.5,-0.3,-0.0055105007161972
1.3,-0.6,0.0,-0.0120782598258908
1.4,-0.5,-0.2,-0.0130828735635314
1.4,-0.6,-0.1,-0.0238638193497125
1.2,-0.3,-0.2,-0.0197774650831531
1.5,-0.6,0.0,-0.0258648268564482
0.9,-0.6,-0.1,-0.0152411316752954
1.0,-0.6,-0.0,-0.0161602021484298
1.0,-0.4,0.0,-0.0239113278365535
1.3,-0.4,-0.3,-0.0075736197294691
1.3,-0.6,-0.1,-0.0093820987634321
1.1,-0.4,0.1,-0.0246788581357116
1.1,-0.5,0.1,-0.0216040017569711
1.1,-0.3,0.1,-0.0325591618575599
1.2,-0.5,-0.1,-0.0113936313225106
1.0,-0.3,-0.3,-0.0181964214719135
1.4,-0.6,-0.4,-0.0141150139352229
1.2,-0.3,-0.1,-0.0210992416430023
1.1,-0.6,-0.4,-0.0060311612844086
0.9,-0.4,-0.3,-0.015429932950451829
1.4,-0.6,-0.2,-0.016957913963679856
1.4,-0.5,-0.3,-0.012730856474977223
0.9,-0.5,-0.1,-0.017247938805142915
1.5,-0.4,-0.3,-0.01596733422988942
1.1,-0.3,-0.0,-0.02469076548976236
1.1,-0.3,-0.1,-0.01936428032079504
1.0,-0.3,-0.2,-0.01991848932904298
1.0,-0.6,-0.1,-0.013711919865551443
1.3,-0.3,-0.1,-0.02291207803986034
1.5,-0.6,-0.1,-0.017219325957087393
1.4,-0.5,-0.1,-0.017909828829304766
1.0,-0.3,0.0,-0.024792484589366927
