c1,c2,c3,reward
1.0,0.0,0.0,0.0069472503341565
0.9,0.0,0.0,0.0118994632219137
1.1,0.0,0.0,0.0115129606052454
1.0,-0.1,0.0,0.0114978274411876
1.0,0.1,0.0,0.0074193790014181
1.0,0.0,-0.1,0.0094126447220598
1.0,0.0,0.1,0.0167123594815281
1.0,0.2,-0.2,0.0103033791800726
0.9,0.2,-0.2,0.0100584559543621
1.1,0.2,-0.2,0.0095209965457114
1.0,0.1,-0.2,0.011106563093506
1.0,0.3,-0.2,0.0129497698741801
1.0,0.2,-0.3,0.0083978446023759
1.0,0.2,-0.1,0.0137881392901836
1.3,0.4,-0.3,0.0165776850360286
1.2,0.4,-0.3,0.0140754323093153
1.4,0.4,-0.3,0.0127495325214421
1.3,0.3,-0.3,0.0131771678051552
1.3,0.5,-0.3,0.0194797422400191
1.3,0.4,-0.4,0.0211809937873096
1.3,0.4,-0.2,0.018800909456406
1.1,0.6,-0.5,0.0157346440130346
1.0,0.6,-0.5,0.0144510122308116
1.2,0.6,-0.5,0.0133135836950332
1.1,0.5,-0.5,0.0175289496246259
1.1,0.6,-0.6,0.0107920042939183
1.1,0.6,-0.4,0.0144798201649857
1.0,0.6,-0.6,0.0125728775565388
0.8,0.3,-0.5,0.0071298040060037
0.9,0.6,-0.6,0.0082129283561907
1.4,0.4,-0.6,0.0130383368879775
0.9,0.6,-0.3,0.0104953982582408
1.3,0.6,-0.6,0.0165282334974375
0.9,0.5,-0.2,0.0186633105217757
1.3,0.4,-0.6,0.0144206732325041
0.9,0.6,-0.5,0.0071696080933247
0.9,0.5,-0.3,0.0115962084328149
0.8,0.5,-0.2,0.0121886560775296
1.4,0.3,-0.6,0.0161848386877163
0.8,0.5,-0.3,0.0116420755063282
1.0,0.5,-0.5,0.0126305425711085
1.1,0.5,-0.3,0.0211274478882658
1.0,0.5,-0.3,0.0111071592855154
1.2,0.5,-0.3,0.0173850100048612
1.1,0.4,-0.3,0.0126413815004046
1.1,0.6,-0.3,0.0104201166936786
1.1,0.5,-0.4,0.0195237285235735
1.1,0.5,-0.2,0.0174690525110352
1.5,0.6,-0.3,0.0232410433569681
1.4,0.6,-0.3,0.0226818255963906
1.5,0.5,-0.3,0.0159513156257607
1.5,0.6,-0.4,0.0262053969045358
1.5,0.6,-0.2,0.0157030455581352
1.4,0.6,-0.4,0.0156015815966049
1.5,0.5,-0.4,0.0211918077203715
1.5,0.6,-0.5,0.0238914473829083
1.2,0.4,-0.4,0.0183858968299564
1.2,0.6,-0.2,0.0256903111821299
1.2,0.6,-0.6,0.0180468503476457
1.5,0.3,-0.3,0.0127857140540304
1.4,0.6,-0.1,0.0223571931351511
1.5,0.4,-0.3,0.0126070526123932
1.5,0.5,-0.6,0.0167996227643716
1.5,0.5,-0.1,0.0122636218107535
1.5,0.4,-0.4,0.0132836293167005
1.3,0.6,-0.3,0.0221302209638845
1.3,0.6,-0.2,0.0226846229110702
1.4,0.3,-0.4,0.015889458746681
1.5,0.5,-0.5,0.0208351180273844
1.5,0.6,-0.6,0.0154825563634691
1.5,0.3,-0.4,0.0182373513441777
1.2,0.6,-0.1,0.0275968544599106
1.2,0.3,-0.6,0.0072195967156787
1.2,0.5,-0.1,0.0194056503132377
1.4,0.4,-0.4,0.0143462550030169
1.5,0.5,-0.2,0.0148337298611474
1.5,0.4,-0.5,0.0203478269487044
1.5,0.4,-0.6,0.0208699307135781
1.5,0.3,-0.5,0.0159679463709093
1.4,0.6,-0.2,0.0270310875403804
1.4,0.5,-0.2,0.0218907578062708
1.5,0.4,-0.2,0.0093468558561838
1.5,0.6,-0.1,0.0188455198820776
1.2,0.3,-0.1,0.0177310678477668
1.3,0.6,-0.4,0.023865664413244
1.5,0.3,-0.6,0.0208171984722963
1.2,0.3,-0.5,0.0158666192672963
1.1,0.6,-0.1,0.0210479559393441
1.3,0.6,-0.1,0.0180116031650432
1.2,0.6,0.0,0.0271620831227265
1.3,0.5,-0.1,0.0251351407052396
