date,objective,start_index
2026-04-30,max_return,1
2026-04-30,sharpe,83
2026-04-30,sortino,101
2026-04-30,volatility,117
2026-04-30,downside_vol,175
2026-05-31,max_return,1
2026-05-31,sharpe,64
2026-05-31,sortino,84
2026-05-31,volatility,117
2026-05-31,downside_vol,197
2026-06-30,max_return,1
2026-06-30,sharpe,104
2026-06-30,sortino,128
2026-06-30,volatility,159
2026-06-30,downside_vol,202
2026-07-31,max_return,1
2026-07-31,sharpe,75
2026-07-31,sortino,88
2026-07-31,volatility,110
2026-07-31,downside_vol,190
