c1,c2,c3,reward
1.0,0.0,0.0,-0.0344488555277144
0.9,0.0,0.0,-0.0339353580098457
1.1,0.0,0.0,-0.0384742950962644
1.0,-0.1,0.0,-0.0304717085903532
1.0,0.1,0.0,-0.0347895330714003
1.0,0.0,-0.1,-0.0348028023200646
1.0,0.0,0.1,-0.0337180518032611
1.0,0.1,-0.1,-0.032492155757261
0.9,-0.1,0.0,-0.0292720482693328
1.1,-0.1,0.0,-0.0333952877602175
1.0,-0.2,0.0,-0.0294782817033152
1.0,-0.1,-0.1,-0.0300288100825239
1.0,-0.1,0.1,-0.0317931074098342
1.0,-0.3,-0.2,-0.0248057596524427
0.9,-0.3,-0.2,-0.0231077561276068
1.1,-0.3,-0.2,-0.0287728627594095
1.0,-0.4,-0.2,-0.0248170113834852
1.0,-0.2,-0.2,-0.0277051371182903
1.0,-0.3,-0.3,-0.025860387140243
1.0,-0.3,-0.1,-0.0251082065956772
1.0,-0.3,0.1,-0.0278141743207455
0.9,-0.4,-0.2,-0.0216019161189471
1.1,-0.4,-0.2,-0.0286623780787784
1.0,-0.5,-0.2,-0.02464577636686
1.0,-0.4,-0.3,-0.0250377745554699
1.0,-0.4,-0.1,-0.0227425439804519
1.0,-0.5,-0.5,-0.0243690741392161
0.9,-0.5,-0.5,-0.0252742655250275
1.1,-0.5,-0.5,-0.0252780540658583
1.0,-0.6,-0.5,-0.0229209255257199
1.0,-0.4,-0.5,-0.0250523385016111
1.0,-0.5,-0.6,-0.0263676389641011
1.0,-0.5,-0.4,-0.0238302824660179
1.3,-0.3,-0.4,-0.0367314544453713
0.9,-0.5,-0.6,-0.0256869471404597
1.1,-0.5,-0.6,-0.0281149825733723
1.0,-0.6,-0.6,-0.0229755843295973
1.0,-0.4,-0.6,-0.0268014784842329
1.2,-0.6,-0.4,-0.0265269225449743
1.2,-0.5,-0.6,-0.0303802364139558
1.1,-0.6,-0.6,-0.0279310947432086
1.1,-0.4,-0.6,-0.0315466586410663
0.9,-0.3,-0.6,-0.0250942990945765
1.3,-0.5,-0.6,-0.0330441341395523
1.2,-0.6,-0.6,-0.0284031098095154
1.2,-0.4,-0.6,-0.0330903534471438
1.2,-0.5,-0.5,-0.0306403276194841
1.1,-0.3,-0.4,-0.0296045724418331
1.3,-0.4,-0.6,-0.0348726529325818
1.2,-0.3,-0.6,-0.034268457973757
1.2,-0.4,-0.5,-0.031727452294513
1.4,-0.1,-0.4,-0.0421685192750359
0.9,-0.3,-0.5,-0.023781547972174
1.5,-0.4,-0.6,-0.0456008728503373
1.2,-0.2,-0.6,-0.0345086338480592
0.9,-0.4,-0.3,-0.0230821097827673
1.3,-0.3,-0.6,-0.0374674836376152
1.4,-0.4,-0.6,-0.0427444780323079
1.3,-0.1,-0.5,-0.0401588683255531
1.4,-0.2,-0.5,-0.0418839689740869
1.1,-0.5,-0.4,-0.0259181867999513
1.4,-0.6,-0.4,-0.032736973468826
1.2,-0.6,-0.3,-0.0259281003466841
1.5,-0.2,-0.6,-0.0480128109432621
1.1,-0.1,-0.6,-0.0331802213623708
1.5,-0.6,-0.5,-0.0372311612559132
1.2,-0.2,-0.5,-0.0345794274425239
