c1,c2,c3,reward
1.0,0.0,0.0,-0.0005234703996369
0.9,0.0,0.0,-0.0003847506857765
1.1,0.0,0.0,-0.00045346337331
1.0,-0.1,0.0,-0.0004029492877822
1.0,0.1,0.0,-0.0003739742320125
1.0,0.0,-0.1,-0.0003330500072163
1.0,0.0,0.1,-0.0003050524526991
0.9,0.1,0.2,-0.0002349607306398
0.9,0.1,0.0,-0.0003147972024733
1.1,0.1,0.0,-0.0005698296035544
1.0,0.2,0.0,-0.000434036409109
1.0,0.1,-0.1,-0.0005179282279449
1.0,0.1,0.1,-0.0003661503624508
0.7,0.3,-0.1,-0.0004830233198275
1.0,0.1,-0.2,-0.000504297726159
1.2,-0.1,0.2,-0.000312093471171
0.8,0.2,0.0,-0.0002941614319702
1.2,0.1,-0.2,-0.0008257230006707
1.0,0.3,0.1,-0.0002648687749669
1.1,0.0,0.2,-0.0003481452557604
1.2,0.4,0.2,-0.0003283748201227
0.8,0.0,-0.2,-0.0004450565652005
0.9,0.3,-0.1,-0.0004740199258482
1.3,-0.1,0.3,-0.0002241327863826
1.1,0.2,0.1,-0.0004002851835636
1.1,0.1,0.3,-0.0002798889109284
1.2,0.2,0.1,-0.0003892535891709
1.3,0.2,0.1,-0.0003534214026465
1.2,0.1,0.1,-0.000491889577523
1.2,0.3,0.1,-0.0003897321006139
1.2,0.2,0.0,-0.0006683922830497
1.2,0.2,0.2,-0.0003296084768706
1.4,0.4,0.1,-0.000376424052816
1.3,0.4,0.1,-0.000411437971643
1.5,0.4,0.1,-0.0005862307427845
1.4,0.3,0.1,-0.0003875674350198
1.4,0.5,0.1,-0.0006521014607904
1.4,0.4,0.0,-0.0006374395806554
1.4,0.4,0.2,-0.0002826073462318
1.1,0.1,-0.1,-0.0005391650150093
1.3,0.6,-0.0,-0.0007097548429328
1.5,0.2,0.3,-0.0002147774868119
1.2,0.1,0.2,-0.0003643161987513
1.1,0.6,0.4,-0.0001562430303662
1.0,0.6,0.4,-0.0001086829537308
1.2,0.6,0.4,-0.0001727979707601
1.1,0.5,0.4,-0.0001352128395673
1.1,0.6,0.3,-0.0001803977142686
1.1,0.6,0.5,-5.655277212020443e-05
1.3,0.6,0.6,-0.0001107294766838
1.2,0.6,0.6,-6.863490236345033e-05
1.4,0.6,0.6,-0.0001693330560682
1.3,0.5,0.6,-0.0001166406615949
1.3,0.6,0.5,-0.0001479986364164
1.0,0.3,0.5,-0.0001044287319922
1.4,0.5,0.6,-0.0001773161288974
1.3,0.6,0.3,-0.0003196072683014
1.1,0.6,0.6,-6.94429496764389e-05
1.5,0.6,0.6,-0.0001986281351731
1.5,0.3,0.6,-8.499780886468484e-05
1.5,0.6,0.4,-0.0003801115796616
1.5,0.5,0.6,-0.0002318652140311
1.5,0.6,0.3,-0.0005930886331699
1.3,0.4,0.5,-0.0001024554374392
1.2,0.5,0.6,-8.368715346193394e-05
1.0,0.6,0.3,-0.000214619059083
1.0,0.5,0.6,-7.406732749225155e-05
1.5,0.4,0.4,-0.0002561452796737
1.5,0.4,0.6,-0.0001953287472725
1.2,0.4,0.4,-0.0002399512095918
1.3,0.4,0.6,-0.0001145593261867
1.0,0.6,0.6,-0.0001023693588707
1.4,0.6,0.4,-0.0004088344308506
1.2,0.3,0.5,-0.0001541977610193
1.4,0.6,0.3,-0.0005056267044752
1.3,0.6,0.4,-0.0002842038021469
1.5,0.3,0.3,-0.0003470148157096
1.1,0.4,0.6,-0.0001344986800541
1.1,0.4,0.3,-0.0001013980078354
1.4,0.4,0.6,-0.0001064829561612
1.5,0.6,0.5,-0.0003187182578036
1.5,0.4,0.3,-0.0003018816576547
1.1,0.3,0.4,-0.0001181000477979
1.5,0.5,0.4,-0.0004372576837627
1.4,0.6,0.5,-0.0003575808246173
1.5,0.5,0.3,-0.0004511061420165
1.2,0.5,0.5,-0.0001469622871051
1.4,0.4,0.3,-0.0002390408949464
1.2,0.6,0.5,-7.880930616796762e-05
1.1,0.4,0.5,-0.0001203475032206
1.3,0.5,0.3,-0.0002907747957884
1.2,0.4,0.6,-9.32257827215024e-05
1.1,0.4,0.4,-8.236358291734064e-05
1.5,0.5,0.5,-0.0002149486529239
1.0,0.4,0.6,-9.24307451568547e-05
1.2,0.5,0.4,-0.00018155973191
1.5,0.3,0.4,-0.0002086814102139
1.2,0.5,0.3,-0.0002203386426994
1.0,0.3,0.3,-0.0001249404745844
1.1,0.3,0.6,-0.0001622997353268
1.4,0.3,0.6,-4.531051950872754e-05
1.5,0.2,0.6,-0.0002324520493179
1.5,0.3,0.5,-0.0002331727677087
1.5,0.0,0.4,-0.0002969770029526
1.3,0.3,0.6,-7.105372242809274e-05
1.4,0.2,0.6,-0.0001322313812668
1.4,0.3,0.5,-0.000188317351216
1.2,0.3,0.6,-0.0001603945664701
1.3,0.2,0.6,-0.0001171865710586
1.3,0.3,0.5,-8.43264727584902e-05
1.3,0.2,0.5,-0.0001250970956822
1.3,0.3,0.4,-0.0001814645403276
1.5,0.2,0.5,-0.0001858299764575
1.0,0.2,0.6,-0.0001184829773369
1.0,0.1,0.2,-0.0002548602267725
1.2,0.1,0.3,-0.0003045137990288
1.4,0.4,0.4,-0.0001816561212693
1.1,0.5,0.3,-0.0001368379684091
1.0,0.5,0.3,-0.0001490543478335
1.1,0.5,0.2,-0.000263596667274
0.9,0.5,0.2,-0.0001787158896316
1.0,0.6,0.5,-4.80490390039722e-05
0.9,0.6,0.5,-9.084461315044376e-05
1.0,0.5,0.5,-6.224700151038633e-05
0.7,0.6,0.5,-0.0002306943790441
0.8,0.6,0.5,-0.0001032216264912
0.9,0.4,0.2,-8.552712032470412e-05
0.8,0.4,0.2,-0.0001423837942393
1.0,0.4,0.2,-0.0002261660256347
0.9,0.3,0.2,-0.0002331734754395
0.9,0.4,0.1,-0.0004095003333691
0.9,0.4,0.3,-0.0001462313719639
0.7,0.3,0.1,-0.0003884734893916
1.0,0.2,0.1,-0.0002276476763173
1.0,0.5,0.2,-0.0002179268105961
0.8,0.3,0.3,-0.000119815535204
1.2,0.3,0.3,-0.0003173811292579
0.7,0.6,0.1,-0.0005186715448089
0.7,0.1,0.1,-0.000444355628334
1.0,0.5,-0.1,-0.0007808725001099
1.1,0.5,0.1,-0.0005465494959059
0.7,0.4,0.3,-0.000386737104736
1.1,0.3,0.3,-0.0002374557922994
1.2,0.2,-0.1,-0.0005484786940823
1.0,0.2,0.3,-0.0001645912221734
0.8,0.5,0.4,-0.0001691661021809
1.2,0.6,0.2,-0.0003303064098312
1.0,0.5,0.4,-0.0001057404990552
1.1,0.6,-0.0,-0.000732621403382
1.1,0.4,0.1,-0.0004866703597591
0.9,0.6,0.3,-0.0001637460300917
0.9,0.5,0.3,-0.00011789061952
0.8,0.6,0.4,-0.0001539259966032
0.9,0.6,0.1,-0.0003069298921962
0.8,0.1,0.4,-0.000154855731145
1.0,0.2,0.5,-0.0001526360327465
1.1,0.2,-0.0,-0.0005472111375853
0.8,0.4,0.4,-8.10495947929166e-05
0.7,0.6,0.3,-0.0003245241224921
1.0,0.6,0.0,-0.000722820623216
0.9,0.4,0.4,-9.975811868287654e-05
0.8,0.3,-0.1,-0.0004127615781652759
0.7,0.4,0.4,-0.0003610906091756766
