c1,c2,c3,reward
1.0,0.0,0.0,0.0147837240036821
0.9,0.0,0.0,0.0163084327851041
1.1,0.0,0.0,0.0198851731678017
1.0,-0.1,0.0,0.0203504845453548
1.0,0.1,0.0,0.0154627261825814
1.0,0.0,-0.1,0.0174841323725717
1.0,0.0,0.1,0.0150077293373812
1.2,0.2,-0.0,0.0146882924248779
0.9,-0.1,0.0,0.0135590286705599
1.1,-0.1,0.0,0.0206207340785635
1.0,-0.2,0.0,0.0197794470752413
1.0,-0.1,-0.1,0.0203702607048527
1.0,-0.1,0.1,0.0186918669033231
1.3,0.1,-0.3,0.0158866315844783
1.2,-0.1,0.0,0.0195007337329188
1.1,-0.2,0.0,0.0201636163558589
1.1,-0.1,-0.1,0.02003932390225
1.1,-0.1,0.1,0.0145373095206937
1.0,-0.3,0.0,0.02052732111293
1.2,-0.2,-0.2,0.0230035716396362
1.1,-0.2,-0.2,0.0217934490894262
1.3,-0.2,-0.2,0.0243923893872226
1.2,-0.3,-0.2,0.0257877999556046
1.2,-0.1,-0.2,0.0224968236201805
1.2,-0.2,-0.3,0.0254208804449546
1.2,-0.2,-0.1,0.023291562416473
1.3,-0.3,-0.3,0.0253542235052019
1.1,-0.3,-0.2,0.0255350705510354
1.3,-0.3,-0.2,0.027521694992179
1.2,-0.4,-0.2,0.0251277656934992
1.2,-0.3,-0.3,0.0269539581416386
1.2,-0.3,-0.1,0.0246041196710928
1.2,-0.2,0.1,0.0208574175560489
1.4,-0.3,-0.2,0.0283690622334381
1.3,-0.4,-0.2,0.0272662526027929
1.3,-0.3,-0.1,0.0287699212923929
1.3,-0.0,-0.0,0.0200884446936276
1.4,-0.3,-0.1,0.0309730564177484
1.3,-0.4,-0.1,0.0264727678318756
1.3,-0.2,-0.1,0.0246376933127186
1.3,-0.3,0.0,0.0263781619675762
1.4,-0.1,-0.2,0.0219413031651643
1.5,-0.3,-0.1,0.0267347361809625
1.4,-0.4,-0.1,0.0269642851761726
1.4,-0.2,-0.1,0.0262980363016962
1.4,-0.3,0.0,0.027836105245441
1.5,-0.0,0.2,0.0179119826734301
1.3,-0.5,-0.2,0.0266508626277865
1.4,-0.4,0.1,0.0251656267524578
1.4,-0.5,-0.1,0.0279568735868617
1.5,-0.6,-0.3,0.0307556125341187
1.2,-0.3,0.1,0.0207764955507581
1.4,-0.0,-0.1,0.0233017433806536
1.5,-0.3,0.0,0.0282743046053065
1.4,-0.5,0.0,0.0269050716814365
1.5,-0.5,-0.2,0.0329161323745051
1.4,-0.5,-0.2,0.0263716677930275
1.5,-0.6,-0.2,0.0302981425051881
1.5,-0.4,-0.2,0.0320741493843198
1.5,-0.5,-0.3,0.0327193328632495
1.5,-0.5,-0.1,0.027756022016396
1.2,-0.5,-0.1,0.0246357367777323
1.5,-0.3,-0.4,0.0287040610480654
1.4,-0.2,-0.2,0.0254093186001125
1.2,-0.6,-0.0,0.0226816665696487
1.3,-0.6,-0.0,0.0264582784640187
1.3,-0.4,-0.0,0.0254061859572911
1.5,-0.6,-0.4,0.0333028666537711
1.4,-0.6,-0.4,0.0298737970195076
1.5,-0.5,-0.4,0.029191930986742
1.5,-0.6,-0.5,0.0327749269902728
1.3,-0.6,-0.2,0.0274719998179727
1.4,-0.5,-0.6,0.0284605080950207
1.5,-0.5,-0.6,0.0287814377402938
1.5,-0.6,-0.1,0.0302559871265222
1.4,-0.4,-0.3,0.029991903817022
1.5,-0.6,-0.6,0.034181831369644
1.4,-0.6,-0.6,0.0292051865787504
1.2,-0.3,-0.6,0.0227692701062902
1.5,-0.5,-0.5,0.0302759773415654
1.3,-0.4,-0.6,0.0267877236378796
1.5,-0.4,-0.6,0.0293044451241317
1.3,-0.6,-0.5,0.0302350120154911
1.2,-0.6,-0.6,0.0250931894011518
1.5,-0.4,-0.4,0.0321433126901698
1.2,-0.4,-0.4,0.0267121490884676
1.3,-0.5,-0.4,0.0278495056775767
1.3,-0.3,-0.6,0.0249562899090774
1.4,-0.5,-0.3,0.0323072227525804
1.2,-0.4,-0.6,0.0229469205802432
1.5,-0.3,-0.6,0.0297451874975851
1.3,-0.6,-0.6,0.0263236222455528
1.2,-0.5,-0.4,0.0278915590493439
1.1,-0.5,-0.4,0.0222900108132159
1.2,-0.6,-0.4,0.0254712967064239
1.2,-0.5,-0.5,0.0255514657496824
1.2,-0.5,-0.3,0.0256789445457195
1.0,-0.4,-0.6,0.0233888102959122
1.1,-0.4,-0.3,0.0225070708546095
1.0,-0.3,-0.1,0.0195538496550128
1.1,-0.6,-0.2,0.0225539944331604
1.4,-0.5,-0.5,0.032717190717505
1.4,-0.6,-0.5,0.0270708975416469
0.9,-0.6,-0.6,0.0228703078830555
1.1,-0.3,-0.5,0.0203407322273935
1.1,-0.6,-0.3,0.023484625234667
0.9,-0.5,-0.5,0.0193977916037742
1.2,-0.6,-0.5,0.0257092652383615
1.4,-0.6,-0.3,0.0294428934920354
1.1,-0.5,-0.1,0.0210971072325824
1.0,-0.3,-0.2,0.0241712764557064
0.9,-0.3,-0.2,0.0198260882803879
1.0,-0.4,-0.2,0.0238079887830348
1.0,-0.2,-0.2,0.0200509190203113
1.0,-0.3,-0.3,0.0224966561226752
1.0,-0.4,-0.0,0.0206976677344508
0.9,-0.4,-0.2,0.0200659151215617
1.1,-0.4,-0.2,0.0259701696824833
1.0,-0.5,-0.2,0.0209162736375768
1.0,-0.4,-0.3,0.0225108106521694
1.0,-0.4,-0.1,0.0210036525593075
1.0,-0.2,0.1,0.015564000945039
1.1,-0.5,-0.2,0.0222971439255542
1.1,-0.4,-0.1,0.0254015362485104
1.4,-0.6,-0.1,0.0289002674243563
1.0,-0.6,-0.5,0.0230663784548234
0.8,-0.3,0.1,0.0144676111118987
1.2,-0.4,-0.1,0.0263725404894861
1.1,-0.2,0.1,0.0181442176473347
1.2,-0.6,-0.3,0.0262734440549996
1.2,-0.4,-0.3,0.0266299273380125
0.9,-0.3,-0.1,0.0194875657387042
1.2,-0.3,-0.4,0.0267135210191345
1.1,-0.1,-0.2,0.0209477981148136
1.1,-0.5,-0.0,0.0185996514687056
0.8,-0.3,-0.3,0.0173166567509906
1.2,-0.6,-0.1,0.0266779403362739
1.2,-0.6,0.1,0.0193434771259631
0.9,-0.3,-0.0,0.0182078797903283
0.8,-0.4,-0.4,0.0192334353903422
1.2,-0.5,-0.2,0.0248656553073805
1.0,-0.1,-0.4,0.0141609913919482
0.9,-0.4,-0.3,0.023118152334401
1.0,-0.6,-0.1,0.0177266185197329
0.9,-0.5,-0.2,0.0220755321129875
0.9,-0.5,-0.0,0.0142297878282658
1.1,-0.6,-0.1,0.0231827686050722
0.8,-0.2,-0.3,0.0171487717055482
1.1,-0.3,-0.3,0.0250234148514447
1.1,-0.3,-0.1,0.0244965751587264
1.0,-0.1,-0.2,0.0182401178769655
1.1,-0.2,-0.1,0.0236959692089174
1.1,-0.3,0.0,0.0207498039988756
1.1,-0.5,0.2,0.0155013203808352
0.8,-0.4,-0.2,0.0194917482868994
1.0,-0.3,0.1,0.0151628446335635
0.9,-0.1,-0.2,0.0179425483266379
1.4,-0.0,-0.3,0.0209343822819318
0.9,-0.3,-0.3,0.0187338422556851
1.1,-0.4,0.2,0.0166701776234144
1.4,-0.1,0.0,0.0222562981076394
1.3,-0.6,0.2,0.0191392710321548
1.3,-0.4,-0.4,0.0284032664880772
0.8,-0.6,-0.3,0.0203877337889902
1.2,-0.0,-0.3,0.013945576092386
0.8,-0.2,-0.1,0.0145737061446252
1.3,-0.2,-0.4,0.0229010629879448
0.8,-0.0,0.0,0.0133036357454686
1.2,-0.4,0.0,0.023215238753253
1.4,-0.6,-0.2,0.029162670039724
1.2,-0.4,0.2,0.0173688758726431
0.9,-0.4,-0.1,0.0189211177892046
1.4,-0.4,-0.0,0.0277332870568562
1.2,-0.2,0.0,0.0236313387493947
0.9,-0.2,0.2,0.0127600311472834
0.9,-0.4,0.1,0.0152919668530644
0.9,-0.2,-0.2,0.0194733546539707
1.3,-0.1,-0.2,0.0219512671934847
1.1,-0.1,0.2,0.0176996651170149
0.8,-0.5,-0.2,0.0194791279593958
0.7,-0.5,-0.2,0.0179711862127092
0.8,-0.6,-0.2,0.0196692853670471
0.8,-0.5,-0.3,0.0200884996133653
0.8,-0.5,-0.1,0.0162702658993231
0.9,-0.6,-0.1,0.0160739914379808
0.8,-0.6,-0.1,0.0159659722008895
0.9,-0.5,-0.1,0.0196685257284167
0.9,-0.6,-0.2,0.0191713123384955
0.9,-0.6,0.0,0.0151973212219378
0.9,-0.6,-0.4,0.0221307790788194
0.7,-0.4,0.2,0.0101971931941413
0.8,-0.4,0.2,0.0110020072227762
0.7,-0.5,0.2,0.0100905094863731
0.7,-0.3,0.2,0.008710923960346
0.7,-0.4,0.1,0.0114348445673472
0.7,-0.4,0.3,0.0052754843706454
0.8,-0.6,0.5,0.0043821571846371
0.7,-0.6,0.5,0.0024273152109904
0.9,-0.6,0.5,0.009688394169489
0.8,-0.5,0.5,0.0048730907201002
0.8,-0.6,0.4,0.0069350517762702
0.8,-0.6,0.6,0.0036571200920312
0.9,-0.4,0.2,0.0106136509374411
0.7,-0.5,0.5,0.0020102410717575
0.7,-0.6,0.4,0.0029173441560377
0.7,-0.6,0.6,-0.0010362878855864
0.8,-0.2,0.2,0.0108005733045018
0.7,-0.4,0.5,0.0011546833657376
0.7,-0.5,0.4,0.0016818516451232
0.7,-0.5,0.6,-0.0008781175403633
0.9,-0.4,0.3,0.0097538249291611
0.9,-0.5,0.4,0.0084332320662841
0.7,-0.2,0.3,0.0047734874680066
0.7,-0.3,0.6,-0.0028800459127955
0.8,-0.3,0.2,0.0110588506880519
1.0,-0.3,0.4,0.0069476280150287
0.9,-0.6,0.6,0.0055291475333689
0.7,-0.6,0.3,0.0075633126103312
0.9,-0.2,0.6,8.398622328147971e-05
0.7,-0.4,0.4,0.0034099160540795
0.7,-0.2,0.2,0.0079825897425167
0.9,-0.5,0.5,0.007845481266314
0.7,-0.3,0.3,0.006166452143579
1.0,-0.5,0.3,0.0137053993074225
0.8,-0.2,0.6,0.0006051342402862
0.8,-0.5,0.4,0.0060045237881391
0.8,-0.6,0.3,0.007795394999147
0.7,-0.5,0.3,0.0062757807977414
0.7,-0.3,0.5,0.0002904346441971
0.7,-0.4,0.6,-0.0008362741292179
0.9,-0.6,0.2,0.0110516616951091
0.8,-0.5,0.6,0.0032535005004918098
1.0,-0.5,0.6,0.00507799955098506
0.7,-0.2,0.5,0.0005335640968075332
0.7,-0.6,0.2,0.007851982395835106
0.8,-0.6,0.2,0.01046836177386401
0.7,-0.6,0.1,0.01091582438636841
0.8,-0.6,0.1,0.012545874843894427
0.8,-0.5,0.2,0.009330431808440266
1.1,-0.6,0.3,0.013506217020511236
1.0,-0.6,0.4,0.011439344103727904
0.7,-0.6,-0.1,0.01676927260491051
0.7,-0.5,-0.1,0.01842450969587002
0.7,-0.6,-0.2,0.01637020683061324
0.7,-0.6,0.0,0.015643572166811136
0.7,-0.4,-0.1,0.016470575967078946
0.7,-0.5,0.0,0.015179933970914772
0.9,-0.6,-0.3,0.02221461623141879
1.0,-0.6,-0.3,0.022564765180878122
0.9,-0.5,-0.3,0.020869369285508674
0.7,-0.4,-0.3,0.016910795589828827
1.0,-0.5,-0.4,0.02221918889825549
1.0,-0.4,-0.5,0.023802063953304895
0.9,-0.3,-0.5,0.01819419494641231
0.7,-0.4,-0.4,0.01498875922153659
1.1,-0.6,-0.4,0.024832887687242285
0.7,-0.6,-0.5,0.017490060707212908
0.7,-0.5,-0.4,0.016743201431736555
1.1,-0.4,-0.4,0.024647131077624354
1.0,-0.6,-0.0,0.018258254301202002
0.8,-0.6,-0.0,0.013552459769046248
1.1,-0.6,-0.6,0.022661396774049273
0.7,-0.3,-0.0,0.012667845095672516
0.7,-0.3,-0.1,0.014428064678522716
1.0,-0.6,-0.6,0.0221353727237988
0.7,-0.4,-0.6,0.01851601380573198
1.0,-0.6,-0.2,0.02086380548335497
1.0,-0.4,-0.4,0.01886398417724428
0.7,-0.4,-0.2,0.018142381410356553
0.7,-0.6,-0.6,0.01484752805726074
