,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.0285779837818358
2019-06-01,0.9709490694859999,0.9779102322799983
2019-07-01,1.0378765888456698,1.0350905816429554
2019-08-01,1.0515018327040357,1.0492001810369727
2019-09-01,1.0324780615467544,1.0492902548328482
2019-10-01,1.050217067122189,1.0472861105688138
2019-11-01,1.0716751022376296,1.0616026633230846
2019-12-01,1.1081624244435142,1.0902337762413858
2020-01-01,1.1398447881583542,1.1052007053795387
2020-02-01,1.1379891208432324,1.1277642763424018
2020-03-01,1.0422728558891081,1.0410166482181686
2020-04-01,0.9118647184331188,0.9811581914759138
2020-05-01,1.0275292867780492,1.0946266783368053
2020-06-01,1.0740578679419328,1.1489622350928204
2020-07-01,1.0938076440176492,1.1770381374663077
2020-08-01,1.1540775390106657,1.2590512576422745
2020-09-01,1.234937981781448,1.3589615670477497
2020-10-01,1.1864938346321254,1.3024666071957678
2020-11-01,1.153668296203193,1.229840383286037
2020-12-01,1.2777407067866615,1.3920811976090584
2021-01-01,1.325171719563289,1.4619998075758316
2021-02-01,1.3104132821225127,1.3800254776273353
2021-03-01,1.3446032750663712,1.441418762510116
2021-04-01,1.4016668934569128,1.4779373232557749
2021-05-01,1.4751492803463913,1.5392973352207648
2021-06-01,1.483243424447652,1.5983878087379595
2021-07-01,1.516192193878332,1.604084776026065
2021-08-01,1.5506825339046764,1.5812746905115291
2021-09-01,1.595636820562573,1.6267468226013022
2021-10-01,1.5197339726452321,1.5767226604990778
2021-11-01,1.6248144584498143,1.6834967692579783
2021-12-01,1.6112732547530937,1.6266282483512482
2022-01-01,1.6815457152126403,1.691970868612216
2022-02-01,1.5931216337781837,1.6372525310461215
2022-03-01,1.543159746221266,1.611416685860764
2022-04-01,1.5983631998228396,1.646463727909203
2022-05-01,1.4577759678560223,1.469320695351878
2022-06-01,1.4578532299823188,1.5055305141392719
2022-07-01,1.3355101869222026,1.356799154783133
2022-08-01,1.457196533113806,1.3975746913042308
2022-09-01,1.395353112248456,1.353247145977196
2022-10-01,1.265032712976899,1.2735042535590402
2022-11-01,1.3660620205333731,1.3621609726655497
2022-12-01,1.4394919523231033,1.394531589922662
2023-01-01,1.3546036724026576,1.3277335263442518
2023-02-01,1.4382545129845388,1.330003721827453
2023-03-01,1.4006988111414864,1.3165174841199914
2023-04-01,1.4497961058696178,1.3304331270053757
2023-05-01,1.4710240204517608,1.3407061440221426
2023-06-01,1.4746751020705222,1.3853175182854733
2023-07-01,1.5701278720773428,1.4472025006502696
2023-08-01,1.6190200838859592,1.4783598858360936
2023-09-01,1.5903375240798356,1.4517346242084928
2023-10-01,1.5128578702441902,1.35377157180564
2023-11-01,1.4796052542562228,1.2821705932383383
2023-12-01,1.6115549712255384,1.428540519821631
2024-01-01,1.6828324360478728,1.4706118357694482
2024-02-01,1.7095827404512896,1.5228608335065545
2024-03-01,1.7980040693701704,1.59984203513184
2024-04-01,1.8537763575979636,1.651642962548156
2024-05-01,1.7766314544765245,1.5628341207592709
2024-06-01,1.861947073551942,1.6252110007992067
2024-07-01,1.9265007785919877,1.6913921693738092
2024-08-01,1.9483106939064274,1.7817993872333493
2024-09-01,1.9928003686017806,1.8394002610464204
2024-10-01,2.0330489576464306,1.8519571225541553
2024-11-01,2.012927872112604,1.8446506167896084
2024-12-01,2.128270652112528,1.9321188557262992
2025-01-01,2.075085168516236,1.8225290748991347
2025-02-01,2.130814489688168,1.8731033747342276
2025-03-01,2.1037641711523634,1.8139133079489893
2025-04-01,1.9805860845213918,1.6862500898616495
2025-05-01,1.9634140891158094,1.7098278905983075
2025-06-01,2.086804612803345,1.8179607598426064
2025-07-01,2.1875705899668247,1.8876084036097933
2025-08-01,2.2379535785485642,1.9225110293366865
2025-09-01,2.283875388942462,1.8993255462890377
2025-10-01,2.358688639029051,1.9491470948426541
2025-11-01,2.414913646666298,2.0023957055793264
2025-12-01,2.419622668086798,1.9804294248085645
2026-01-01,2.414417960200982,1.963734538237044
2026-02-01,2.4500011671754365,2.022335769582897
2026-03-01,2.428828273871234,2.0282311251759593
2026-04-01,2.3026052560961796,1.9500248032189007
