,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.0279357856463154
2019-06-01,0.9709490694859999,0.9879285249030276
2019-07-01,1.0378765888456698,1.0317337592011158
2019-08-01,1.0515018327040357,1.0458051795763816
2019-09-01,1.0324780615467544,1.0568479004851377
2019-10-01,1.050217067122189,1.047685029260654
2019-11-01,1.0716751022376296,1.063483072017601
2019-12-01,1.1081624244435142,1.1007596151484444
2020-01-01,1.1398447881583542,1.112854192377906
2020-02-01,1.1379891208432324,1.1405977034961734
2020-03-01,1.0422728558891081,1.0584632627990804
2020-04-01,0.9118647184331188,1.006556224316681
2020-05-01,1.0275292867780492,1.0802072924721198
2020-06-01,1.0740578679419328,1.1366968969219986
2020-07-01,1.0938076440176492,1.1628178209882716
2020-08-01,1.1540775390106657,1.2429962334644846
2020-09-01,1.234937981781448,1.3257645719623314
2020-10-01,1.1864938346321254,1.2691520890614871
2020-11-01,1.153668296203193,1.2230656746598587
2020-12-01,1.2777407067866615,1.3673370194270693
2021-01-01,1.325171719563289,1.4177142379107315
2021-02-01,1.3104132821225127,1.350116437777202
2021-03-01,1.3446032750663712,1.318348197900186
2021-04-01,1.4016668934569128,1.3232426647485815
2021-05-01,1.4751492803463913,1.377823010122826
2021-06-01,1.483243424447652,1.4106182617272798
2021-07-01,1.516192193878332,1.4565415400675137
2021-08-01,1.5506825339046764,1.4358295195101132
2021-09-01,1.595636820562573,1.4722666268723645
2021-10-01,1.5197339726452321,1.4133170709356082
2021-11-01,1.6248144584498143,1.4777228004485896
2021-12-01,1.6112732547530937,1.4306868835117612
2022-01-01,1.6815457152126403,1.484771080951384
2022-02-01,1.5931216337781837,1.4367535838445264
2022-03-01,1.543159746221266,1.4140816123144941
2022-04-01,1.5983631998228396,1.4444262727241286
2022-05-01,1.4577759678560223,1.2890204501268303
2022-06-01,1.4578532299823188,1.3156246984162905
2022-07-01,1.3355101869222026,1.1807960633168753
2022-08-01,1.457196533113806,1.2304871694790975
2022-09-01,1.395353112248456,1.1927850425440087
2022-10-01,1.265032712976899,1.107828480376959
2022-11-01,1.3660620205333731,1.1708579609006344
2022-12-01,1.4394919523231033,1.1994493773560326
2023-01-01,1.3546036724026576,1.1524850120742647
2023-02-01,1.4382545129845388,1.1749741665663187
2023-03-01,1.4006988111414864,1.1490885797956025
2023-04-01,1.4497961058696178,1.1593068595137894
2023-05-01,1.4710240204517608,1.179362636097967
2023-06-01,1.4746751020705222,1.2262558297631982
2023-07-01,1.5701278720773428,1.2751567556721315
2023-08-01,1.6190200838859592,1.299870081489388
2023-09-01,1.5903375240798356,1.2851815496307781
2023-10-01,1.5128578702441902,1.198457498875619
2023-11-01,1.4796052542562228,1.1361616781006294
2023-12-01,1.6115549712255384,1.2084562396363427
2024-01-01,1.6828324360478728,1.2153584951059324
2024-02-01,1.7095827404512896,1.2452787708863378
2024-03-01,1.7980040693701704,1.3058195278312603
2024-04-01,1.8537763575979636,1.3398454090423297
2024-05-01,1.7766314544765245,1.3047012635590969
2024-06-01,1.861947073551942,1.3544630073307988
2024-07-01,1.9265007785919877,1.4113541200013484
2024-08-01,1.9483106939064274,1.376307214280557
2024-09-01,1.9928003686017806,1.4194901257467358
2024-10-01,2.0330489576464306,1.4376435474644955
2024-11-01,2.012927872112604,1.4318753004974023
2024-12-01,2.128270652112528,1.4998279694320908
2025-01-01,2.075085168516236,1.414757727206223
2025-02-01,2.130814489688168,1.4444513219661475
2025-03-01,2.1037641711523634,1.3988066601483835
2025-04-01,1.9805860845213918,1.3129898713510333
2025-05-01,1.9634140891158094,1.3310143255143267
2025-06-01,2.086804612803345,1.398100527594968
2025-07-01,2.1875705899668247,1.4546616876942537
2025-08-01,2.2379535785485642,1.4803838514047234
2025-09-01,2.283875388942462,1.4510995280717307
2025-10-01,2.358688639029051,1.4861687098897645
2025-11-01,2.414913646666298,1.5124825755660467
2025-12-01,2.419622668086798,1.4955125212650253
2026-01-01,2.414417960200982,1.4985341683816036
2026-02-01,2.4500011671754365,1.5087682880403919
2026-03-01,2.428828273871234,1.5079082902946908
2026-04-01,2.3026052560961796,1.4464645042052813
