,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.028145637113947
2019-06-01,0.9709490694859999,0.984829861346384
2019-07-01,1.0378765888456698,1.0300606974599003
2019-08-01,1.0515018327040357,1.0409687533528071
2019-09-01,1.0324780615467544,1.0429616848831849
2019-10-01,1.050217067122189,1.0277865924557075
2019-11-01,1.0716751022376296,1.040537656935468
2019-12-01,1.1081624244435142,1.0744888438731617
2020-01-01,1.1398447881583542,1.085646326516101
2020-02-01,1.1379891208432324,1.1162071222693593
2020-03-01,1.0422728558891081,1.0327036675435464
2020-04-01,0.9118647184331188,0.9665796519466499
2020-05-01,1.0275292867780492,1.0376556885610402
2020-06-01,1.0740578679419328,1.0851369473521433
2020-07-01,1.0938076440176492,1.093865844955483
2020-08-01,1.1540775390106657,1.1596630629551685
2020-09-01,1.234937981781448,1.229859952495546
2020-10-01,1.1864938346321254,1.1860769381036973
2020-11-01,1.153668296203193,1.1258123688862747
2020-12-01,1.2777407067866615,1.1653935355464708
2021-01-01,1.325171719563289,1.2005857918405791
2021-02-01,1.3104132821225127,1.1499090655198827
2021-03-01,1.3446032750663712,1.1357766829505427
2021-04-01,1.4016668934569128,1.1404542513119136
2021-05-01,1.4751492803463913,1.1640359315506599
2021-06-01,1.483243424447652,1.167195988455139
2021-07-01,1.516192193878332,1.2338668504545582
2021-08-01,1.5506825339046764,1.2346817785373212
2021-09-01,1.595636820562573,1.2538878229339852
2021-10-01,1.5197339726452321,1.1817140400372201
2021-11-01,1.6248144584498143,1.2121002538249956
2021-12-01,1.6112732547530937,1.2104639186483315
2022-01-01,1.6815457152126403,1.2346907874386241
2022-02-01,1.5931216337781837,1.0975433681024782
2022-03-01,1.543159746221266,1.085097226378493
2022-04-01,1.5983631998228396,1.0986978159747456
2022-05-01,1.4577759678560223,1.050794591074975
2022-06-01,1.4578532299823188,1.0604169341406389
2022-07-01,1.3355101869222026,0.9449057174998492
2022-08-01,1.457196533113806,0.982212852137369
2022-09-01,1.395353112248456,0.9514106571331089
2022-10-01,1.265032712976899,0.8858299206683882
2022-11-01,1.3660620205333731,0.9341895562477124
2022-12-01,1.4394919523231033,0.9559761002006764
2023-01-01,1.3546036724026576,0.9192092593855516
2023-02-01,1.4382545129845388,0.9357883642344184
2023-03-01,1.4006988111414864,0.9191406893455495
2023-04-01,1.4497961058696178,0.9261649492980293
2023-05-01,1.4710240204517608,0.9436757418813976
2023-06-01,1.4746751020705222,0.9331065734121082
2023-07-01,1.5701278720773428,0.9681671345458749
2023-08-01,1.6190200838859592,0.9950298180825763
2023-09-01,1.5903375240798356,0.9725520944327053
2023-10-01,1.5128578702441902,0.9432567192331491
2023-11-01,1.4796052542562228,0.9190433192448638
2023-12-01,1.6115549712255384,0.9665233818944421
2024-01-01,1.6828324360478728,0.9745046131209105
2024-02-01,1.7095827404512896,1.002402220825905
2024-03-01,1.7980040693701704,1.0330518644975368
2024-04-01,1.8537763575979636,1.0742035451978262
2024-05-01,1.7766314544765245,1.0469295171863946
2024-06-01,1.861947073551942,1.077100953419622
2024-07-01,1.9265007785919877,1.1230168588753444
2024-08-01,1.9483106939064274,1.0957836999499435
2024-09-01,1.9928003686017806,1.1331284115594555
2024-10-01,2.0330489576464306,1.1497021788995303
2024-11-01,2.012927872112604,1.152068255112761
2024-12-01,2.128270652112528,1.1794272050129344
2025-01-01,2.075085168516236,1.1778231841178548
2025-02-01,2.130814489688168,1.1904134215724425
2025-03-01,2.1037641711523634,1.1596174264669403
2025-04-01,1.9805860845213918,1.0952006786805346
2025-05-01,1.9634140891158094,1.092736476983104
2025-06-01,2.086804612803345,1.1372586652425245
2025-07-01,2.1875705899668247,1.173881127939231
2025-08-01,2.2379535785485642,1.187898791401829
2025-09-01,2.283875388942462,1.1672875738005009
2025-10-01,2.358688639029051,1.2001559057454174
2025-11-01,2.414913646666298,1.215775355676469
2025-12-01,2.419622668086798,1.215949643106308
2026-01-01,2.414417960200982,1.225467296430766
2026-02-01,2.4500011671754365,1.2390598289786499
2026-03-01,2.428828273871234,1.2350204941944387
2026-04-01,2.3026052560961796,1.184051408674902
