c1,c2,c3,reward
1.0,0.0,0.0,0.0271508756481683
0.9,0.0,0.0,0.0325837691457768
1.1,0.0,0.0,0.0341730962542791
1.0,-0.1,0.0,0.0319247691304109
1.0,0.1,0.0,0.0316995534180148
1.0,0.0,-0.1,0.0274215489010066
1.0,0.0,0.1,0.0290191793549819
1.1,-0.2,0.2,0.0378610829635228
1.0,-0.2,0.2,0.0359345132734006
1.2,-0.2,0.2,0.0413065015919703
1.1,-0.3,0.2,0.0371299498022665
1.1,-0.1,0.2,0.0336713949224682
1.1,-0.2,0.1,0.0367186750758552
1.1,-0.2,0.3,0.0358729589667929
1.1,-0.0,0.3,0.0374438827587871
1.0,-0.2,0.3,0.039449545982367
1.2,-0.2,0.3,0.0382712914830123
1.1,-0.3,0.3,0.0385192494509016
1.1,-0.1,0.3,0.0326219276996452
1.1,-0.2,0.4,0.0400786183493933
1.2,-0.0,0.4,0.0377321069084731
1.0,-0.2,0.4,0.035591439075343
1.2,-0.2,0.4,0.0402298671549129
1.1,-0.3,0.4,0.0327470133828006
1.1,-0.1,0.4,0.0391873796247371
1.1,-0.2,0.5,0.0411879681782056
1.0,-0.2,0.5,0.0398751751329463
1.2,-0.2,0.5,0.0393369021829589
1.1,-0.3,0.5,0.0411183642866505
1.1,-0.1,0.5,0.0347719170480075
1.1,-0.2,0.6,0.0432137633308481
1.2,-0.1,0.5,0.0414408420401526
1.0,-0.2,0.6,0.03998497432374
1.2,-0.2,0.6,0.0410205312111266
1.1,-0.3,0.6,0.0421060878630752
1.1,-0.1,0.6,0.0396838643325117
1.1,-0.4,0.6,0.0416576852926412
1.0,-0.1,0.3,0.0388899883833594
0.9,-0.3,0.5,0.0403748518751293
1.0,-0.1,0.6,0.042136928102028
0.9,-0.0,0.4,0.0402623240176933
1.3,-0.1,0.6,0.0398187205375251
1.2,-0.4,0.4,0.0374931047300168
0.9,-0.4,0.6,0.0372984780659741
1.3,-0.4,0.4,0.0393701303997164
0.8,-0.1,0.3,0.0366074595338514
1.3,-0.4,0.3,0.039927815469042
1.4,-0.0,0.6,0.0464633526092595
1.3,-0.0,0.6,0.0432490611054211
1.5,-0.0,0.6,0.0484769026628028
1.4,-0.1,0.6,0.0419182157186779
1.4,0.1,0.6,0.0478507083220537
1.4,-0.0,0.5,0.0466164368465358
1.5,0.3,0.4,0.05135514211094
1.3,0.1,0.6,0.04872588349894
1.5,0.1,0.6,0.0546786224259263
1.4,0.2,0.6,0.0557549611603433
1.4,0.1,0.5,0.0435587407134851
1.5,0.2,0.6,0.0504628496612264
1.5,0.1,0.5,0.047513214814639
1.3,-0.0,0.4,0.0414951412820488
1.3,-0.1,0.4,0.0396943442734959
1.4,0.1,0.4,0.0453099332747229
1.5,-0.2,0.6,0.0481913256141677
1.3,-0.2,0.6,0.042722763112109
1.5,0.2,0.3,0.0510799857484127
1.2,0.0,0.3,0.038531806544138
1.5,-0.1,0.6,0.0451167086655867
1.5,0.4,0.6,0.0532321698799455
1.5,0.2,0.5,0.0411008909589808
1.5,-0.2,0.4,0.0499265884353838
1.4,0.1,0.3,0.0407417730559554
1.3,0.2,0.6,0.046307742295821
1.4,-0.2,0.3,0.0367022296118336
1.3,0.2,0.4,0.038858031533422
1.4,0.4,0.3,0.0434077986799022
1.5,0.3,0.5,0.0529329262957412
1.4,-0.2,0.6,0.045265702870133
1.5,-0.0,0.3,0.0464033711403265
1.4,0.3,0.6,0.0521504675135715
1.3,0.3,0.6,0.0422863816714369
1.5,0.3,0.6,0.0478485113555182
1.4,0.4,0.6,0.0524995604243006
1.4,0.3,0.5,0.0487071253782968
1.1,0.5,0.6,0.0419848750957708
1.3,0.4,0.6,0.0489699950258947
1.4,0.5,0.6,0.0564075481514981
1.4,0.4,0.5,0.0517579711785701
1.2,0.5,0.6,0.0462138466867883
1.3,0.5,0.6,0.0513434351567629
1.5,0.5,0.6,0.0579355872778813
1.4,0.6,0.6,0.0554053954947154
1.4,0.5,0.5,0.05266904118918
1.2,0.4,0.3,0.0422784894297021
1.2,0.6,0.5,0.0443141287266004
1.2,0.4,0.5,0.0416845325945475
1.2,0.6,0.6,0.042447422763173
1.2,0.2,0.4,0.0441711584151211
1.2,0.3,0.6,0.0363108624777167
1.1,0.6,0.6,0.0367315081363892
1.5,0.6,0.4,0.0542596830970682
1.2,0.6,0.4,0.0384390256371172
1.5,0.6,0.3,0.050388978970045
1.3,0.6,0.6,0.0512548926067134
1.5,0.5,0.5,0.0588100096066787
1.5,0.6,0.6,0.0599891007141668
1.1,0.3,0.5,0.0431504631618373
1.2,0.4,0.4,0.0419151083062188
1.3,0.6,0.3,0.0431255641957002
1.5,0.6,0.5,0.0541151976412248
1.4,0.3,0.4,0.0428455128916807
1.1,0.3,0.6,0.0458998929454938
1.3,0.3,0.5,0.0484642609388204
1.5,0.4,0.4,0.0498965713889445
1.1,0.4,0.4,0.0343692365753567
1.4,0.6,0.5,0.0498486894549534
1.2,0.4,0.6,0.0392396497214441
1.3,0.4,0.5,0.0432576112172511
1.2,0.2,0.5,0.0445114031658374
1.3,0.3,0.3,0.0348045954301231
1.3,0.4,0.4,0.0384745415241738
1.3,0.6,0.5,0.0429308773656552
1.5,0.4,0.5,0.0560764062594609
1.3,0.6,0.4,0.0441952116306888
1.4,0.6,0.4,0.0501399075306622
1.3,0.5,0.4,0.0464046015880521
1.4,0.2,0.4,0.0460094024552351
1.2,0.5,0.4,0.0413952848152966
1.4,0.5,0.4,0.0489566077907997
1.3,0.5,0.3,0.0463441105851499
1.3,0.5,0.5,0.0414622472535029
1.0,0.4,0.1,0.0305451872252546
0.9,0.4,0.1,0.0323781777381753
1.1,0.4,0.1,0.0387229951650949
1.0,0.3,0.1,0.0345892800041592
1.0,0.5,0.1,0.0356055585661094
1.0,0.4,0.0,0.0346222392333755
1.0,0.4,0.2,0.0367604702287845
1.3,0.2,0.0,0.0334170651162908
0.9,0.4,0.0,0.0288416883285593
1.1,0.4,0.0,0.0359936121632725
1.0,0.3,0.0,0.0289557166249774
1.0,0.5,0.0,0.0366287931375353
1.0,0.4,-0.1,0.0294497672284963
0.9,0.5,0.0,0.031647165011449
1.1,0.5,0.0,0.0380810144525992
1.0,0.6,0.0,0.0382126372118614
1.0,0.5,-0.1,0.03308891161551
0.7,0.3,-0.1,0.0237674149677076
0.8,0.3,-0.1,0.0264621348723156
0.7,0.2,-0.1,0.025524998225853
0.7,0.4,-0.1,0.0293153341725739
0.7,0.3,-0.2,0.0261017189139477
0.7,0.3,0.0,0.0302585079949228
0.7,0.1,-0.1,0.0243939594666196
0.8,0.3,-0.2,0.026234461855971
0.7,0.2,-0.2,0.0254934945135277
0.7,0.4,-0.2,0.0280415342533067
0.7,0.3,-0.3,0.0206727767948685
1.0,0.5,-0.3,0.0319307045870542
0.7,0.6,-0.5,0.0224732534208988
0.8,0.6,-0.5,0.028852523099715
0.7,0.5,-0.5,0.0218673738102013
0.7,0.6,-0.6,0.0203402146637451
0.7,0.6,-0.4,0.0256432374812347
0.9,0.6,-0.5,0.0324899349012954
0.8,0.5,-0.5,0.0292807719741834
0.8,0.6,-0.6,0.0228327377982747
0.8,0.6,-0.4,0.0294428215039195
0.8,0.4,-0.6,0.0217862764780368
0.7,0.3,-0.6,0.0171655707875842
0.7,0.6,-0.2,0.0286251884854258
0.7,0.6,-0.3,0.029659728877279
1.0,0.6,-0.6,0.0222499062517538
0.7,0.4,-0.4,0.02816922919163
0.8,0.4,-0.4,0.0259400347200945
0.7,0.3,-0.4,0.0212042665914025
0.7,0.5,-0.4,0.0273724931934518
0.7,0.4,-0.5,0.0246589362180154
0.7,0.4,-0.3,0.0294029812946739
0.7,0.5,-0.1,0.0332276837496133
0.9,0.2,-0.3,0.0272260726163091
0.7,0.4,-0.6,0.0166629998830497
0.8,0.6,-0.2,0.0331268985527485
0.9,0.5,-0.3,0.0299427364105933
0.8,0.5,-0.3,0.030859620394541
0.7,0.3,-0.5,0.0207325743462222
0.8,0.3,-0.6,0.0201899230147743
0.7,0.2,-0.6,0.0176120839565337
0.8,0.5,-0.1,0.0296406187726454
0.9,0.1,-0.2,0.0225542495431109
0.8,0.3,-0.3,0.0209375294100664
0.8,0.2,-0.2,0.0170323358604864
0.8,0.2,-0.5,0.0207707961933394
1.0,0.2,-0.6,0.01543084359069525
1.0,0.4,-0.5,0.030229235769684122
0.9,0.4,-0.6,0.018166048447148902
0.9,0.3,-0.4,0.02174570822935348
0.7,0.5,-0.3,0.03350043847454181
0.7,0.5,-0.2,0.028205827877859996
0.7,0.6,-0.1,0.03337429764006944
0.9,0.6,-0.0,0.034823259737257875
0.9,0.4,-0.3,0.02824037217811314
0.7,0.5,-0.0,0.03392584100199826
0.8,0.4,-0.2,0.02809355050954849
0.7,0.4,-0.0,0.026732592828249878
0.9,0.4,-0.4,0.028046583616408424
0.7,0.6,-0.0,0.0311725025340417
0.8,0.6,-0.3,0.029083792366827628
0.8,0.3,-0.4,0.022101238936823458
1.0,0.3,-0.1,0.02857324452909843
0.9,0.6,-0.4,0.03485718213948527
0.8,0.4,-0.5,0.02522573544687878
0.9,0.2,-0.4,0.015726812182230022
0.9,0.5,-0.4,0.028907590937931004
1.0,0.6,-0.3,0.028744047264168248
