c1,c2,c3,reward
1.0,0.0,0.0,-0.0207522713751392
0.9,0.0,0.0,-0.0208417856304212
1.1,0.0,0.0,-0.0212136789990628
1.0,-0.1,0.0,-0.0219843505219781
1.0,0.1,0.0,-0.0204807179235768
1.0,0.0,-0.1,-0.0221471469757258
1.0,0.0,0.1,-0.0188055603104983
1.0,-0.1,0.2,-0.0176396191175641
0.9,-0.1,0.2,-0.0163724705311364
1.1,-0.1,0.2,-0.0197100921491092
1.0,-0.2,0.2,-0.0178761582231301
1.0,0.0,0.2,-0.0193016632006225
1.0,-0.1,0.1,-0.021029370011092
1.0,-0.1,0.3,-0.0156402864036876
1.1,-0.2,0.0,-0.0211173992814932
0.9,-0.2,0.2,-0.0199233691458036
1.1,-0.2,0.2,-0.0188262540506037
1.0,-0.3,0.2,-0.0179192763534153
1.0,-0.2,0.1,-0.019783840633359
1.0,-0.2,0.3,-0.0173307964416344
0.9,-0.1,0.4,-0.0129880481550887
1.2,-0.2,0.2,-0.020775156894833
1.1,-0.3,0.2,-0.019272843502351
1.1,-0.2,0.1,-0.0199834218507972
1.1,-0.2,0.3,-0.0173919386797905
1.4,-0.0,-0.1,-0.0328697658357253
1.3,-0.2,0.2,-0.022640840209794
1.2,-0.3,0.2,-0.0215515436572749
1.2,-0.1,0.2,-0.0234446297503332
1.2,-0.2,0.1,-0.021412399904947
1.2,-0.2,0.3,-0.0189437924258363
1.1,-0.0,0.1,-0.0196846597052177
1.4,-0.4,0.2,-0.0245780573180628
1.2,-0.1,-0.0,-0.0241050793978505
1.4,-0.4,0.1,-0.0251275256782597
1.0,-0.3,-0.0,-0.0259724426054286
0.9,-0.4,0.4,-0.0190446124804162
1.1,-0.1,0.4,-0.0170222791773864
1.0,-0.5,0.1,-0.0213041231395046
1.4,-0.2,0.0,-0.0275831183577888
1.3,-0.4,-0.0,-0.0265441781252967
1.3,0.1,-0.0,-0.0252400563094861
1.1,-0.0,-0.1,-0.0246293091202993
1.2,-0.1,0.1,-0.0220650831173208
0.9,-0.2,-0.0,-0.0208670041691223
1.2,-0.4,0.1,-0.0214409785411772
1.3,-0.5,0.1,-0.0238254844140994
1.3,-0.5,0.3,-0.0239741706294708
1.2,-0.5,0.3,-0.0221115446035709
1.4,-0.5,0.3,-0.0272452089605727
1.3,-0.6,0.3,-0.0262556521077935
1.3,-0.4,0.3,-0.0262987525742064
1.3,-0.5,0.2,-0.0240385123371526
1.3,-0.5,0.4,-0.0252790867274077
1.3,-0.6,0.4,-0.0285529096042836
1.2,-0.6,0.4,-0.0234623754849604
1.4,-0.6,0.4,-0.0285814828026854
1.3,-0.6,0.5,-0.0258753024946589
1.5,-0.6,0.5,-0.0252326529085123
1.5,-0.6,0.4,-0.0283091273173542
1.4,-0.5,0.4,-0.0255103717619364
1.4,-0.6,0.3,-0.0250786757022112
1.4,-0.6,0.5,-0.0290539209207804
1.2,-0.5,0.4,-0.0214499642072328
1.4,-0.5,0.5,-0.0251639651010471
1.4,-0.6,0.6,-0.0254880208138601
1.5,-0.5,0.6,-0.0220240549040971
1.2,-0.4,0.6,-0.0168594341415533
1.5,-0.6,0.6,-0.0263085287480834
1.4,-0.4,0.6,-0.019004095382442
1.2,-0.6,0.3,-0.0228521807344638
1.5,-0.3,0.6,-0.0215742285732441
1.3,-0.6,0.6,-0.0234888801872012
1.2,-0.6,0.2,-0.021497933804418
1.2,-0.4,0.5,-0.0207666724353955
1.5,-0.5,0.2,-0.0262380164433248
1.3,-0.3,0.6,-0.0172844045054085
1.5,-0.3,0.5,-0.0225611576196359
1.4,-0.5,0.6,-0.0239576832035388
1.5,-0.6,0.2,-0.0264391549888486
1.5,-0.3,0.3,-0.025880432108871
1.2,-0.6,0.6,-0.0200634464845066
1.5,-0.4,0.4,-0.0236140379964738
1.3,-0.4,0.2,-0.0230315236895068
1.2,-0.4,0.3,-0.0226829195221679
1.1,-0.6,0.4,-0.0197919131625114
1.5,-0.6,0.3,-0.0279121426944065
1.5,-0.5,0.3,-0.0265386836695934
1.5,-0.5,0.4,-0.0260497754979612
1.4,-0.3,0.4,-0.0224110719835435
1.4,-0.4,0.5,-0.0223465550479259
