Ticker,Weight,Market Value
NVDA,0.073854,73853.58
UNH,0.070037,70037.26
MRK,0.057398,57397.95
PEP,0.05088,50879.79
META,0.049424,49423.67
NFLX,0.04867,48669.54
INTL,0.04377,43769.88
AAPL,0.042673,42672.87
PG,0.038488,38488.4
JPM,0.036909,36909.49
CRM,0.035947,35946.58
ABT,0.03541,35409.78
DIS,0.034158,34158.42
PFE,0.031676,31676.15
TMO,0.02973,29730.44
MSFT,0.029311,29310.73
HD,0.027724,27723.88
AMZN,0.027575,27575.35
GOOGL,0.027575,27575.06
XOM,0.026567,26567.18
COST,0.026405,26404.73
WMT,0.02375,23750.46
TSLA,0.023609,23608.89
MA,0.022431,22431.27
BAC,0.021573,21573.1
V,0.015943,15942.93
KO,0.015397,15396.93
CSCO,0.013517,13517.4
ADBE,0.012368,12368.13
JNJ,0.00723,7230.16
