Ticker,Weight
NVDA,0.0741
AAPL,0.0699
MSFT,0.0539
AMZN,0.039
GOOGL,0.0315
GOOG,0.0293
META,0.0246
AVGO,0.0235
TSLA,0.0207
BRK.B,0.016
MU,0.0151
LLY,0.0148
JPM,0.0133
WMT,0.0125
AMD,0.0119
V,0.0101
XOM,0.0101
JNJ,0.0092
INTC,0.0075
MA,0.0073
ABBV,0.0067
CSCO,0.0063
CVX,0.0061
PLTR,0.0061
BAC,0.006
ORCL,0.006
COST,0.0058
KO,0.0055
CAT,0.0052
MRK,0.0052
DELL,0.005
PG,0.0049
UNH,0.0049
LRCX,0.0048
AMAT,0.0048
NFLX,0.0047
GE,0.0047
MS,0.0046
PANW,0.0045
HD,0.0044
PM,0.0044
GS,0.0041
WFC,0.0039
RTX,0.0038
CRWD,0.0036
ANET,0.0035
TXN,0.0035
IBM,0.0034
TMO,0.0034
GEV,0.0034
C,0.0033
SNDK,0.0032
AXP,0.0032
KLAC,0.0032
CRM,0.0031
VZ,0.0031
LIN,0.0031
AMGN,0.003
QCOM,0.0029
MRVL,0.0029
TMUS,0.0028
APH,0.0028
SCHW,0.0027
DE,0.0027
DIS,0.0027
PEP,0.0027
T,0.0027
GILD,0.0026
MCD,0.0026
ABT,0.0026
ADI,0.0025
STX,0.0025
NEE,0.0025
UNP,0.0025
COP,0.0024
BA,0.0024
WELL,0.0024
BLK,0.0024
PFE,0.0023
NOW,0.0022
ETN,0.0022
WDC,0.0022
DHR,0.0021
UBER,0.0021
TJX,0.002
ISRG,0.0019
CB,0.0019
VRTX,0.0019
BMY,0.0019
BKNG,0.0019
NEM,0.0019
PLD,0.0019
PGR,0.0019
FTNT,0.0018
COF,0.0018
LMT,0.0018
GLW,0.0018
SPGI,0.0018
CVS,0.0018
MDT,0.0018
ACN,0.0017
MO,0.0017
PH,0.0017
MPC,0.0017
VLO,0.0016
ADP,0.0016
APP,0.0016
SBUX,0.0016
LOW,0.0016
SYK,0.0016
PSX,0.0015
ADBE,0.0015
BNY,0.0015
MCK,0.0015
HOOD,0.0015
CME,0.0014
ABNB,0.0014
FCX,0.0014
SO,0.0014
EQIX,0.0014
USB,0.0014
GD,0.0014
PNC,0.0014
BX,0.0014
TT,0.0013
CEG,0.0013
PWR,0.0013
HCA,0.0013
DUK,0.0013
VRT,0.0013
ELV,0.0013
KKR,0.0013
CSX,0.0013
INTU,0.0013
HWM,0.0013
MAR,0.0013
ICE,0.0013
WM,0.0013
DASH,0.0013
WMB,0.0013
UPS,0.0013
CMCSA,0.0013
MNST,0.0013
MRSH,0.0013
MMM,0.0012
JCI,0.0012
DDOG,0.0012
AMT,0.0012
EMR,0.0012
MCO,0.0012
REGN,0.0012
SLB,0.0012
CTAS,0.0012
EOG,0.0012
MDLZ,0.0011
TRV,0.0011
SHW,0.0011
MSI,0.0011
ECL,0.0011
CI,0.0011
ITW,0.0011
CDNS,0.0011
NOC,0.0011
APO,0.0011
LITE,0.0011
GM,0.0011
HPE,0.0011
CMI,0.0011
FDX,0.0011
ROST,0.001
NSC,0.001
SNPS,0.001
TGT,0.001
WBD,0.001
HLT,0.001
ORLY,0.001
CL,0.001
RSG,0.001
KMI,0.001
RCL,0.001
DLR,0.001
SPG,0.001
AEP,0.001
AON,0.0009
AJG,0.0009
ALL,0.0009
PCAR,0.0009
APD,0.0009
BSX,0.0009
HON,0.0009
OXY,0.0009
MET,0.0009
TFC,0.0009
COR,0.0009
TRGP,0.0009
URI,0.0009
TDG,0.0009
OKE,0.0009
GWW,0.0009
FANG,0.0009
AFL,0.0009
CRH,0.0008
TEL,0.0008
NUE,0.0008
MRNA,0.0008
NXPI,0.0008
FAST,0.0008
D,0.0008
DVN,0.0008
MPWR,0.0008
BKR,0.0008
CTVA,0.0008
FIX,0.0008
O,0.0008
PSA,0.0008
F,0.0008
CAH,0.0008
NKE,0.0008
GRMN,0.0008
AME,0.0008
SRE,0.0008
KEYS,0.0008
COHR,0.0008
HONA,0.0008
DAL,0.0007
TER,0.0007
VMRK,0.0007
BDX,0.0007
NDAQ,0.0007
STT,0.0007
FITB,0.0007
