,DATE,vwretd,sprtrn,spindx
0,1999-01-01,0.038447,0.041009,1279.64
1,1999-02-01,-0.038083,-0.032283,1238.33
2,1999-03-01,0.037925,0.038794,1286.37
3,1999-04-01,0.049092,0.037944,1335.18
4,1999-05-01,-0.020708,-0.02497,1301.84
5,1999-06-01,0.050823,0.054438,1372.71
6,1999-07-01,-0.030833,-0.032046,1328.72
7,1999-08-01,-0.009918,-0.006254,1320.41
8,1999-09-01,-0.022669,-0.028552,1282.71
9,1999-10-01,0.062107,0.062539,1362.93
10,1999-11-01,0.036822,0.019062,1388.91
11,1999-12-01,0.083745,0.057844,1469.25
12,2000-01-01,-0.039622,-0.050904,1394.46
13,2000-02-01,0.03176,-0.020108,1366.42
14,2000-03-01,0.053499,0.09672,1498.58
15,2000-04-01,-0.059519,-0.030796,1452.43
16,2000-05-01,-0.038863,-0.021915,1420.6
17,2000-06-01,0.051576,0.023934,1454.6
18,2000-07-01,-0.017679,-0.016341,1430.83
19,2000-08-01,0.074984,0.060699,1517.68
20,2000-09-01,-0.051154,-0.053483,1436.51
21,2000-10-01,-0.02448,-0.004949,1429.4
22,2000-11-01,-0.102365,-0.080069,1314.95
23,2000-12-01,0.02045,0.004053,1320.28
24,2001-01-01,0.039573,0.034637,1366.01
25,2001-02-01,-0.099084,-0.092291,1239.94
26,2001-03-01,-0.070408,-0.064205,1160.33
27,2001-04-01,0.083834,0.076814,1249.46
28,2001-05-01,0.010442,0.00509,1255.82
29,2001-06-01,-0.017561,-0.025004,1224.42
30,2001-07-01,-0.018284,-0.010772,1211.23
31,2001-08-01,-0.05898,-0.064108,1133.58
32,2001-09-01,-0.091497,-0.081723,1040.94
33,2001-10-01,0.027847,0.018099,1059.78
34,2001-11-01,0.078789,0.075176,1139.45
35,2001-12-01,0.017854,0.007574,1148.08
36,2002-01-01,-0.015966,-0.015574,1130.2
37,2002-02-01,-0.0217,-0.020766,1106.73
38,2002-03-01,0.044698,0.036739,1147.39
39,2002-04-01,-0.0496,-0.061418,1076.92
40,2002-05-01,-0.01051,-0.009081,1067.14
41,2002-06-01,-0.070259,-0.072465,989.81
42,2002-07-01,-0.081125,-0.078995,911.62
43,2002-08-01,0.007949,0.004881,916.07
44,2002-09-01,-0.099923,-0.110013,815.29
45,2002-10-01,0.07494,0.086436,885.76
46,2002-11-01,0.061282,0.05707,936.31
47,2002-12-01,-0.053334,-0.060333,879.82
48,2003-01-01,-0.023367,-0.027415,855.7
49,2003-02-01,-0.015417,-0.017004,841.15
50,2003-03-01,0.010321,0.008358,848.18
51,2003-04-01,0.082768,0.081044,916.92
52,2003-05-01,0.063471,0.050899,963.59
53,2003-06-01,0.016346,0.011322,974.5
54,2003-07-01,0.023112,0.016224,990.31
55,2003-08-01,0.024965,0.017873,1008.01
56,2003-09-01,-0.00912,-0.011944,995.97
57,2003-10-01,0.060361,0.054962,1050.71
58,2003-11-01,0.016594,0.007129,1058.2
59,2003-12-01,0.045476,0.050765,1111.92
60,2004-01-01,0.023042,0.017276,1131.13
61,2004-02-01,0.015443,0.012209,1144.94
62,2004-03-01,-0.010662,-0.016359,1126.21
63,2004-04-01,-0.024222,-0.016791,1107.3
64,2004-05-01,0.014068,0.012083,1120.68
65,2004-06-01,0.021611,0.017989,1140.84
66,2004-07-01,-0.037698,-0.034291,1101.72
67,2004-08-01,0.002703,0.002287,1104.24
68,2004-09-01,0.020556,0.009364,1114.58
69,2004-10-01,0.017806,0.014014,1130.2
70,2004-11-01,0.048214,0.038595,1173.82
71,2004-12-01,0.03517,0.032458,1211.92
72,2005-01-01,-0.026546,-0.02529,1181.27
73,2005-02-01,0.022646,0.018903,1203.6
74,2005-03-01,-0.016944,-0.019118,1180.59
75,2005-04-01,-0.025206,-0.020109,1156.85
76,2005-05-01,0.037954,0.029952,1191.5
77,2005-06-01,0.011529,-0.000143,1191.33
78,2005-07-01,0.043357,0.035968,1234.18
79,2005-08-01,-0.005958,-0.011222,1220.33
80,2005-09-01,0.0106,0.006949,1228.81
81,2005-10-01,-0.020866,-0.017741,1207.01
82,2005-11-01,0.040326,0.035186,1249.48
83,2005-12-01,0.003458,-0.000952,1248.29
84,2006-01-01,0.040072,0.025467,1280.08
85,2006-02-01,-0.001639,0.000453,1280.66
86,2006-03-01,0.019065,0.011065,1294.83
87,2006-04-01,0.013,0.012187,1310.61
88,2006-05-01,-0.031032,-0.030917,1270.09
89,2006-06-01,-0.000391,8.7e-05,1270.2
90,2006-07-01,-0.001912,0.005086,1276.66
91,2006-08-01,0.025041,0.021274,1303.82
92,2006-09-01,0.019425,0.024566,1335.85
93,2006-10-01,0.037153,0.031508,1377.94
94,2006-11-01,0.023736,0.016467,1400.63
95,2006-12-01,0.010857,0.012616,1418.3
96,2007-01-01,0.019387,0.014059,1438.24
97,2007-02-01,-0.014006,-0.021846,1406.82
98,2007-03-01,0.012954,0.00998,1420.86
99,2007-04-01,0.039834,0.043291,1482.37
100,2007-05-01,0.038953,0.032549,1530.62
101,2007-06-01,-0.014747,-0.017816,1503.35
102,2007-07-01,-0.03179,-0.031982,1455.27
103,2007-08-01,0.011593,0.012864,1473.99
104,2007-09-01,0.040822,0.035794,1526.75
105,2007-10-01,0.02591,0.014822,1549.38
106,2007-11-01,-0.049362,-0.044043,1481.14
107,2007-12-01,-0.004405,-0.008628,1468.36
108,2008-01-01,-0.062218,-0.061163,1378.55
109,2008-02-01,-0.021697,-0.034761,1330.63
110,2008-03-01,-0.010444,-0.00596,1322.7
111,2008-04-01,0.051199,0.047547,1385.59
112,2008-05-01,0.023935,0.010674,1400.38
113,2008-06-01,-0.078436,-0.085962,1280.0
114,2008-07-01,-0.013413,-0.009859,1267.38
115,2008-08-01,0.010597,0.012191,1282.83
116,2008-09-01,-0.098172,-0.090791,1166.36
117,2008-10-01,-0.184833,-0.169425,968.75
118,2008-11-01,-0.084681,-0.074849,896.24
119,2008-12-01,0.022232,0.007822,903.25
120,2009-01-01,-0.077471,-0.085657,825.88
121,2009-02-01,-0.100166,-0.109931,735.09
122,2009-03-01,0.086803,0.085405,797.87
123,2009-04-01,0.109466,0.093925,872.81
124,2009-05-01,0.067787,0.053081,919.14
125,2009-06-01,-0.003019,0.000196,919.32
126,2009-07-01,0.081779,0.074142,987.48
127,2009-08-01,0.03151,0.03356,1020.62
128,2009-09-01,0.045281,0.035723,1057.08
129,2009-10-01,-0.028072,-0.019762,1036.19
130,2009-11-01,0.057075,0.057364,1095.63
131,2009-12-01,0.028475,0.017771,1115.1
132,2010-01-01,-0.037172,-0.036974,1073.87
133,2010-02-01,0.034744,0.028514,1104.49
134,2010-03-01,0.063668,0.058796,1169.43
135,2010-04-01,0.020036,0.014759,1186.69
136,2010-05-01,-0.07924,-0.081976,1089.41
137,2010-06-01,-0.05078,-0.053882,1030.71
138,2010-07-01,0.07036,0.068778,1101.6
139,2010-08-01,-0.042863,-0.047449,1049.33
140,2010-09-01,0.091628,0.087551,1141.2
141,2010-10-01,0.038591,0.036856,1183.26
142,2010-11-01,0.005117,-0.00229,1180.55
143,2010-12-01,0.067182,0.0653,1257.64
144,2011-01-01,0.019183,0.022646,1286.12
145,2011-02-01,0.038156,0.031957,1327.22
146,2011-03-01,0.003341,-0.001047,1325.83
147,2011-04-01,0.028597,0.028495,1363.61
148,2011-05-01,-0.014948,-0.013501,1345.2
149,2011-06-01,-0.018447,-0.018258,1320.64
150,2011-07-01,-0.022534,-0.021474,1292.28
151,2011-08-01,-0.057564,-0.056791,1218.89
152,2011-09-01,-0.084983,-0.071762,1131.42
153,2011-10-01,0.114146,0.107723,1253.3
154,2011-11-01,-0.00627,-0.005059,1246.96
155,2011-12-01,0.003676,0.008533,1257.6
156,2012-01-01,0.054106,0.043583,1312.41
157,2012-02-01,0.041225,0.040589,1365.68
158,2012-03-01,0.02402,0.031332,1408.47
159,2012-04-01,-0.006829,-0.007497,1397.91
160,2012-05-01,-0.06559,-0.062651,1310.33
161,2012-06-01,0.038151,0.039555,1362.16
162,2012-07-01,0.010307,0.012598,1379.32
163,2012-08-01,0.026317,0.019763,1406.58
164,2012-09-01,0.026513,0.024236,1440.67
165,2012-10-01,-0.014055,-0.019789,1412.16
166,2012-11-01,0.006217,0.002847,1416.18
167,2012-12-01,0.012569,0.007068,1426.19
168,2013-01-01,0.054142,0.050428,1498.11
169,2013-02-01,0.008282,0.011061,1514.68
170,2013-03-01,0.035295,0.035988,1569.19
171,2013-04-01,0.014939,0.018086,1597.57
172,2013-05-01,0.019128,0.020763,1630.74
173,2013-06-01,-0.015072,-0.014999,1606.28
174,2013-07-01,0.052658,0.049462,1685.73
175,2013-08-01,-0.02575,-0.031298,1632.97
176,2013-09-01,0.037497,0.029749,1681.55
177,2013-10-01,0.039889,0.044596,1756.54
178,2013-11-01,0.024956,0.028049,1805.81
179,2013-12-01,0.02614,0.023563,1848.36
180,2014-01-01,-0.03002,-0.035583,1782.59
181,2014-02-01,0.046198,0.043117,1859.45
182,2014-03-01,0.00454,0.006932,1872.34
183,2014-04-01,0.001573,0.006201,1883.95
184,2014-05-01,0.020254,0.02103,1923.57
185,2014-06-01,0.027973,0.019058,1960.23
186,2014-07-01,-0.020555,-0.01508,1930.67
187,2014-08-01,0.040205,0.037655,2003.37
188,2014-09-01,-0.025196,-0.015514,1972.29
189,2014-10-01,0.021164,0.023201,2018.05
190,2014-11-01,0.021104,0.024534,2067.56
191,2014-12-01,-0.003659,-0.004189,2058.9
192,2015-01-01,-0.027163,-0.031041,1994.99
193,2015-02-01,0.055915,0.054893,2104.5
194,2015-03-01,-0.010397,-0.017396,2067.89
195,2015-04-01,0.008766,0.008521,2085.51
196,2015-05-01,0.010277,0.010491,2107.39
197,2015-06-01,-0.019231,-0.021012,2063.11
198,2015-07-01,0.012108,0.019742,2103.84
199,2015-08-01,-0.059926,-0.062581,1972.18
200,2015-09-01,-0.033756,-0.026443,1920.03
201,2015-10-01,0.073937,0.082983,2079.36
202,2015-11-01,0.002404,0.000505,2080.41
203,2015-12-01,-0.022209,-0.01753,2043.94
204,2016-01-01,-0.057085,-0.050735,1940.24
205,2016-02-01,0.00062,-0.004128,1932.23
206,2016-03-01,0.070491,0.065991,2059.74
207,2016-04-01,0.011718,0.002699,2065.3
208,2016-05-01,0.01434,0.015329,2096.96
209,2016-06-01,0.002947,0.000906,2098.86
210,2016-07-01,0.038815,0.03561,2173.6
211,2016-08-01,0.0028,-0.001219,2170.95
212,2016-09-01,0.003013,-0.001234,2168.27
213,2016-10-01,-0.021544,-0.019426,2126.15
214,2016-11-01,0.040488,0.034174,2198.81
215,2016-12-01,0.018763,0.018201,2238.83
216,2017-01-01,0.022153,0.017884,2278.87
217,2017-02-01,0.032598,0.037198,2363.64
218,2017-03-01,0.002062,-0.000389,2362.72
219,2017-04-01,0.009655,0.009091,2384.2
220,2017-05-01,0.009335,0.011576,2411.8
221,2017-06-01,0.009571,0.004814,2423.41
222,2017-07-01,0.020277,0.019349,2470.3
223,2017-08-01,0.0016,0.000546,2471.65
224,2017-09-01,0.023729,0.019303,2519.36
225,2017-10-01,0.019275,0.022188,2575.26
226,2017-11-01,0.027231,0.028083,2647.58
227,2017-12-01,0.012122,0.009832,2673.61
228,2018-01-01,0.050577,0.056179,2823.81
229,2018-02-01,-0.039455,-0.038947,2713.83
230,2018-03-01,-0.018421,-0.026885,2640.87
231,2018-04-01,0.004679,0.002719,2648.05
232,2018-05-01,0.026146,0.021608,2705.27
233,2018-06-01,0.005359,0.004842,2718.37
234,2018-07-01,0.031573,0.036022,2816.29
235,2018-08-01,0.030233,0.030263,2901.52
236,2018-09-01,0.000425,0.004294,2913.98
237,2018-10-01,-0.074045,-0.069403,2711.74
238,2018-11-01,0.018512,0.017859,2760.17
239,2018-12-01,-0.08989,-0.091777,2506.85
240,2019-01-01,0.088294,0.078684,2704.1
241,2019-02-01,0.032724,0.029729,2784.49
242,2019-03-01,0.012962,0.017924,2834.4
243,2019-04-01,0.037893,0.039313,2945.83
244,2019-05-01,-0.061679,-0.065778,2752.06
245,2019-06-01,0.067279,0.06893,2941.76
246,2019-07-01,0.011854,0.013128,2980.38
247,2019-08-01,-0.020339,-0.018092,2926.46
248,2019-09-01,0.016033,0.017181,2976.74
249,2019-10-01,0.019257,0.020432,3037.56
250,2019-11-01,0.034999,0.034047,3140.98
251,2019-12-01,0.028489,0.02859,3230.78
252,2020-01-01,-0.001728,-0.001628,3225.52
253,2020-02-01,-0.077918,-0.08411,2954.22
254,2020-03-01,-0.141733,-0.125119,2584.59
255,2020-04-01,0.129674,0.126844,2912.43
256,2020-05-01,0.053739,0.045282,3044.31
