c1,c2,c3,reward,reward1
1.3,0.2,-0.1,0.01407840515463911,0.012630754448846506
1.2,0.2,-0.3,0.022187006435632685,0.021288566040806835
1.2,0.3,-0.5,-0.0004728150295933895,-0.0014846758441427466
1.3,0.3,-0.1,-0.007942918095293613,-0.010295597275695926
1.1,0.1,-0.3,-0.01900974581756354,-0.021622345126491777
1.3,0.2,-0.3,0.001054137783494228,-0.00021187653094169117
1.3,0.0,-0.3,0.02237367667212344,0.02142063689429909
1.3,0.0,-0.6,0.017470424444446297,0.01650054711309272
1.0,0.0,-0.1,0.004850369838380986,0.0029672337455505593
1.3,0.0,0.2,0.0007198691115676305,-0.0013713053567147371
1.1,0.1,0.0,0.024688070738973084,0.023050789871480917
1.0,0.4,-0.2,-0.008605551303351382,-0.011015598422828055
1.1,0.2,-0.5,-0.008794276671952057,-0.010382533342658887
1.0,0.4,-0.4,-0.016883832724848488,-0.019131425999825074
1.2,-0.1,-0.1,0.013176763624169186,0.01115288308341985
