c1,c2,c3,reward,Lambda,MAR
1.3,0.2,-0.1,-0.0009000438973316635,100.0,-0.002966438027017921
1.2,0.2,-0.3,-0.0007258801210430268,100.0,-0.002966438027017921
1.2,0.3,-0.5,-0.001243515514487403,100.0,-0.002966438027017921
1.3,0.3,-0.1,-0.0015934432264814136,100.0,-0.002966438027017921
1.1,0.1,-0.3,0.000629503042288265,100.0,-0.002966438027017921
1.3,0.2,-0.3,-0.0014481135546047927,100.0,-0.002966438027017921
1.3,0.0,-0.3,-0.0010028915520730898,100.0,-0.002966438027017921
1.3,0.0,-0.6,-0.0015895374407163057,100.0,-0.002966438027017921
1.0,0.0,-0.1,0.002146725350329916,100.0,-0.002966438027017921
1.3,0.0,0.2,-0.0018585405549721998,100.0,-0.002966438027017921
