c1,c2,c3,reward
1.0,0.0,0.0,0.788933615016751
0.9,0.0,0.0,0.8913894281274748
1.1,0.0,0.0,0.707581507009371
1.0,-0.1,0.0,0.954648808360922
1.0,0.1,0.0,0.6677024076422755
1.0,0.0,-0.1,0.741625026846639
1.0,0.0,0.1,0.8179627332923366
0.9,0.0,0.1,0.9261052410407549
0.9,-0.1,0.0,1.1074771079429113
1.1,-0.1,0.0,0.8386560660249408
1.0,-0.2,0.0,1.1827045932832927
1.0,-0.1,-0.1,0.9007799479069905
1.0,-0.1,0.1,0.9705511932334346
1.2,-0.2,0.2,0.8520811332401356
1.1,-0.2,0.2,0.9469118998937873
1.3,-0.2,0.2,0.7710679593878009
1.2,-0.3,0.2,0.9366060203094788
1.2,-0.1,0.2,0.7582463401116157
1.2,-0.2,0.1,0.8852684790342213
1.2,-0.2,0.3,0.796065244678191
1.3,-0.6,0.3,0.6623056687250305
1.2,-0.6,0.3,0.6746995236529418
1.3,-0.5,0.3,0.6578893985076057
1.3,-0.6,0.2,0.7491805409297614
1.3,-0.6,0.4,0.6855596422836496
1.2,-0.6,0.4,0.7239955054492621
1.3,-0.5,0.4,0.6208618377930858
1.3,-0.6,0.5,0.6776663617753986
1.1,-0.6,0.5,0.8525671803798045
1.0,-0.6,0.5,1.131357235227385
1.2,-0.6,0.5,0.6459145076564469
1.1,-0.5,0.5,0.9274216006614776
1.1,-0.6,0.4,0.815768355608461
1.1,-0.6,0.6,0.6592599927696627
0.9,-0.6,0.6,0.9676343772741076
0.8,-0.6,0.6,0.5977002851575031
1.0,-0.6,0.6,1.0172324370409265
0.9,-0.5,0.6,0.8359284893584285
0.9,-0.6,0.5,0.9447250512183074
1.2,-0.5,0.4,0.8819659336845307
1.0,-0.5,0.6,0.9322801990076807
1.3,-0.6,0.6,0.6669673528432519
1.2,-0.6,0.6,0.6323976181996452
0.8,-0.3,0.5,1.0603747774399939
0.8,-0.6,0.4,0.6927088604523172
1.1,-0.4,0.6,0.7892640903249171
0.7,-0.4,0.5,0.7247729181510044
0.7,-0.6,0.3,0.8420279340771452
1.2,-0.3,0.6,0.6842907126042328
0.7,-0.6,0.6,0.476527375968035
0.9,-0.3,0.6,0.8718297659510394
1.0,-0.6,0.4,1.274325700921141
1.1,-0.4,0.3,1.0313581853704858
0.9,-0.5,0.5,1.1121075327480667
0.8,-0.4,0.6,0.7510084645360828
0.8,-0.5,0.4,0.9699282731613756
1.2,-0.5,0.6,0.7665911809039885
1.3,-0.3,0.6,0.6384407522614545
1.3,-0.4,0.6,0.6363042224014547
1.0,-0.4,0.6,0.8604235555894129
0.8,-0.4,0.4,1.2672535968467116
0.8,-0.4,0.5,0.9918882928366338
0.8,-0.6,0.5,0.6291701274772031
0.7,-0.5,0.3,0.9818251628083008
0.8,-0.5,0.6,0.6529649724006094
0.7,-0.6,0.4,0.597363205381977
0.8,-0.6,0.3,0.9308336451422105
1.0,-0.6,0.3,1.4586544184901646
1.2,-0.4,0.5,0.7857790303535925
0.9,-0.4,0.6,0.9456859177666382
0.7,-0.4,0.6,0.5908451532515776
