c1,c2,c3,reward
1.0,0.0,0.0,0.00020689726608080772
0.9,0.0,0.0,-6.026733174180343e-07
1.1,0.0,0.0,0.00041439717471043486
1.0,-0.1,0.0,0.0024083972199703376
1.0,0.1,0.0,-0.0019946028916285607
1.0,0.0,-0.1,-0.001182102734030432
1.0,0.0,0.1,0.0015958972492724265
0.9,0.0,0.1,0.001388397261797203
0.9,-0.1,0.0,0.002200897132496693
1.1,-0.1,0.0,0.0026158971893277096
1.0,-0.2,0.0,0.004609897210635983
1.0,-0.1,-0.1,0.0010193971700039443
1.0,-0.1,0.1,0.003797397192325602
1.2,-0.2,0.2,0.0078028970682671
1.1,-0.2,0.2,0.007595397312972495
1.3,-0.2,0.2,0.008010397147113536
1.2,-0.3,0.2,0.010004397235861284
1.2,-0.1,0.2,0.005601397269764874
1.2,-0.2,0.1,0.006413897192050488
1.2,-0.2,0.3,0.0091918971350186
1.3,-0.6,0.3,0.015120257972641327
1.2,-0.6,0.3,0.014446203593758922
1.3,-0.5,0.3,0.013401745572431534
1.3,-0.6,0.2,0.01326744272854279
1.3,-0.6,0.4,0.01741876333050999
1.2,-0.6,0.4,0.01704580330821963
1.3,-0.5,0.4,0.014840092499217805
1.3,-0.6,0.5,0.019304964552582404
1.1,-0.6,0.5,0.01945359756234146
1.0,-0.6,0.5,0.0203608976407496
1.2,-0.6,0.5,0.018024560818677527
1.1,-0.5,0.5,0.018366897182911967
1.1,-0.6,0.4,0.017144465189660285
1.1,-0.6,0.6,0.019361684933490685
0.9,-0.6,0.6,0.020603520785764717
0.8,-0.6,0.6,0.01589193322907114
1.0,-0.6,0.6,0.021749897228043758
0.9,-0.5,0.6,0.017958839574551466
0.9,-0.6,0.5,0.018462889945671156
1.2,-0.5,0.4,0.016883156695996125
1.0,-0.5,0.6,0.019548397274072205
1.3,-0.6,0.6,0.021150740946341885
1.2,-0.6,0.6,0.019813343027681705
0.8,-0.3,0.5,0.01334139717446756
0.8,-0.6,0.4,0.013302349592475237
1.1,-0.4,0.6,0.017554397312775805
0.7,-0.4,0.5,0.0115172675147317
0.7,-0.6,0.3,0.012020770446849748
1.2,-0.3,0.6,0.015560397187964458
0.7,-0.6,0.6,0.011686316490104732
0.9,-0.3,0.6,0.014937897239531726
1.0,-0.6,0.4,0.018971897248959313
1.1,-0.4,0.3,0.013387397189977834
0.9,-0.5,0.5,0.017767327630228612
0.8,-0.4,0.6,0.014639398654617396
0.8,-0.5,0.4,0.014139308606150622
1.2,-0.5,0.6,0.01982866551821348
1.3,-0.3,0.6,0.015767897191735512
1.3,-0.4,0.6,0.017394583189164835
1.0,-0.4,0.6,0.017346897198436396
0.8,-0.4,0.4,0.013943400272791518
0.8,-0.4,0.5,0.014606917469509529
0.8,-0.6,0.5,0.01440926385255269
0.7,-0.5,0.3,0.01138439627553265
0.8,-0.5,0.6,0.015089205584507093
0.7,-0.6,0.4,0.011066456946095104
0.8,-0.6,0.3,0.013547811639313467
1.0,-0.6,0.3,0.01758289723141171
1.2,-0.4,0.5,0.01637289725999723
0.9,-0.4,0.6,0.01713939735613378
0.7,-0.4,0.6,0.011613984005183663
