c1,c2,c3,reward
1.0,0.0,0.0,1.2209346479395622
0.9,0.0,0.0,1.2205646353343038
1.1,0.0,0.0,1.2212374396000123
1.0,-0.1,0.0,1.3208270862369351
1.0,0.1,0.0,1.1271136823607628
1.0,0.0,-0.1,1.241000504788225
1.0,0.0,0.1,1.196459149244793
1.1,-0.2,-0.2,1.4334878146232466
1.0,-0.2,-0.2,1.4538699584962234
1.2,-0.2,-0.2,1.4164251151939984
1.1,-0.3,-0.2,1.5306524362085383
1.1,-0.1,-0.2,1.341658184275079
1.1,-0.2,-0.3,1.4415885898769034
1.1,-0.2,-0.1,1.4223899965919942
1.3,-0.4,0.0,1.550149686009283
1.2,-0.4,0.0,1.5800140273018826
1.3,-0.5,0.0,1.6421345409520638
1.3,-0.3,0.0,1.4621952109902774
1.3,-0.4,-0.1,1.5606378356419737
1.3,-0.4,0.1,1.5361037431074356
1.1,-0.3,0.1,1.4914024045308605
1.2,-0.4,-0.1,1.590773929493925
1.3,-0.5,-0.1,1.6513438094967614
1.3,-0.3,-0.1,1.4740125174426708
1.3,-0.4,-0.2,1.5680969887119318
1.2,-0.4,-0.2,1.5979217248978137
1.3,-0.5,-0.2,1.6572276887509452
1.3,-0.3,-0.2,1.4830429431289638
1.3,-0.4,-0.3,1.5730026468149192
1.0,-0.5,-0.6,1.7715521649880488
1.2,-0.4,-0.3,1.6020802701528774
1.3,-0.5,-0.3,1.660331723183145
1.3,-0.3,-0.3,1.489702593531398
1.3,-0.4,-0.4,1.5757746715224126
1.3,-0.6,-0.1,1.7046182896861355
1.2,-0.4,-0.4,1.6037921724983415
1.3,-0.5,-0.4,1.6611372138620617
1.3,-0.3,-0.4,1.4943597631885095
1.3,-0.4,-0.5,1.576778476846964
1.2,-0.4,-0.5,1.6035221552963017
1.3,-0.5,-0.5,1.6600618852189462
1.3,-0.3,-0.5,1.4973360547985506
1.3,-0.4,-0.6,1.5763283811945723
1.2,-0.4,-0.6,1.567019948445782
1.3,-0.5,-0.6,1.6574635985499524
1.3,-0.3,-0.6,1.498909707402298
1.2,-0.5,-0.6,1.670583270831116
1.3,-0.6,-0.6,1.742488060539746
1.2,-0.6,-0.6,1.7826770683533977
1.3,-0.6,-0.5,1.7473529641296088
1.1,-0.4,-0.6,1.630860855043171
1.2,-0.6,-0.5,1.7898887525415497
1.0,-0.6,-0.6,1.8848213626677155
1.1,-0.4,-0.4,1.636633099435874
1.1,-0.6,-0.5,1.839882559965662
1.1,-0.6,-0.4,1.8482975965539687
1.1,-0.5,-0.6,1.7274762326664834
1.0,-0.4,-0.6,1.6648571532068686
1.1,-0.3,-0.4,1.5392801666607347
