c1,c2,c3,reward
1.0,0.0,0.0,0.0307715228877038
0.9,0.0,0.0,0.0277754881922167
1.1,0.0,0.0,0.0337660081850416
1.0,-0.1,0.0,0.0325469361409945
1.0,0.1,0.0,0.0286171681041952
1.0,0.0,-0.1,0.0216868866789824
1.0,0.0,0.1,0.0373470694290352
0.9,-0.1,-0.2,0.0102596243216126
1.2,0.0,0.0,0.0367593512962962
1.1,-0.1,0.0,0.0355951242379047
1.1,0.1,0.0,0.031605838371871
1.1,0.0,-0.1,0.024739635317335
1.1,0.0,0.1,0.0403750193519236
1.3,0.0,-0.1,0.030828324502215
1.2,0.0,-0.1,0.0277865362481859
1.3,-0.1,-0.1,0.0323005262081973
1.3,0.1,-0.1,0.0291304547147194
1.3,0.0,-0.2,0.0214541087084781
1.3,0.0,0.0,0.0397518288718626
1.3,0.2,0.3,1.27445689791689
1.2,0.2,0.3,1.1778440426635377
1.3,0.1,0.3,1.2767110411059663
1.3,0.3,0.3,0.050423352612068
1.3,0.2,0.2,0.0471504433913972
1.3,0.2,0.4,1.2795248965815926
1.2,0.2,0.4,1.1829120439391052
1.3,0.1,0.4,1.2817790018800443
1.3,0.3,0.4,1.2772707553382745
1.3,0.2,0.5,1.2845928681240504
1.0,0.0,0.5,0.035592242115134
1.2,0.2,0.5,1.187980030095655
1.3,0.1,0.5,1.2868470105736682
1.3,0.3,0.5,1.2823387519038716
1.3,0.2,0.6,0.0465130747047046
1.3,0.4,0.5,1.280084620264589
1.2,0.2,0.6,0.0354756711589892
1.3,0.1,0.6,0.050099408474937
1.3,0.3,0.6,0.042926742261365
1.2,0.1,0.6,0.039062003690555
1.3,0.0,0.6,1.2941691287587374
1.3,-0.1,0.6,1.296423255066253
1.2,-0.1,0.6,0.046234669386548
1.3,-0.2,0.6,1.298677383280107
1.3,-0.1,0.5,1.2913552587926656
1.3,-0.2,0.3,1.2834734183131171
1.2,-0.2,0.6,1.2020645456048875
1.3,-0.3,0.6,1.3009315044551115
1.3,-0.2,0.5,1.2936094041457962
1.1,-0.6,0.6,1.114468236759725
1.2,-0.3,0.6,1.2043186804476205
1.3,-0.4,0.6,1.303185651722177
1.3,-0.3,0.5,1.2958635338278646
1.0,-0.2,0.6,0.0277461958950685
1.2,-0.4,0.6,1.2065728020830726
1.3,-0.5,0.6,1.3054397793298675
1.3,-0.4,0.5,1.2981176555261738
1.3,-0.5,0.5,1.300371791227198
1.2,-0.5,0.6,1.2088269342941926
1.3,-0.6,0.6,1.3076939068294646
1.3,-0.6,0.3,1.2924899412390274
1.2,-0.6,0.6,1.2110810753174548
1.3,-0.6,0.5,1.3026259188013831
1.3,-0.5,0.4,1.295303805770558
