c1,c2,c3,reward
1.0,0.0,0.0,0.9946882617746946
0.9,0.0,0.0,1.1050941002961243
1.1,0.0,0.0,0.9043383915240492
1.0,-0.1,0.0,0.9843411769995504
1.0,0.1,0.0,0.998900093445966
1.0,0.0,-0.1,0.9451707827222076
1.0,0.0,0.1,1.0281424819736331
1.3,0.2,0.3,0.7692437499193916
1.2,0.2,0.3,0.8255604573541216
1.3,0.1,0.3,0.7853376766306149
1.3,0.3,0.3,0.7513590950648928
1.3,0.2,0.2,0.7791625220971373
1.3,0.2,0.4,0.7502343065896272
1.3,0.4,0.6,0.6460725012231462
1.2,0.4,0.6,0.6737822388910506
1.3,0.3,0.6,0.6692814916778067
1.3,0.5,0.6,0.6235575725658469
1.3,0.4,0.5,0.6780554476954201
1.1,0.4,0.6,0.7018785775269599
1.2,0.5,0.6,0.6481411539428841
1.3,0.6,0.6,0.6018374940786289
1.3,0.5,0.5,0.6553781210331615
1.1,0.6,0.4,0.7299646155074851
1.2,0.6,0.6,0.6236559690666957
1.3,0.6,0.5,0.6331957213132018
1.2,0.6,0.5,0.660022041060312
1.3,0.6,0.4,0.6635117864508582
1.1,0.6,0.5,0.6872760894631416
1.2,0.6,0.4,0.696059590197407
1.3,0.5,0.4,0.6854348959199188
1.3,0.6,0.3,0.6912666206044574
1.2,0.6,0.3,0.7300208593158004
1.3,0.5,0.3,0.7119764247535187
1.3,0.6,0.2,0.7146609066456036
1.2,0.6,0.2,0.7596671957243231
1.3,0.5,0.2,0.7330440080449678
1.3,0.6,0.1,0.7318306089556548
1.3,0.6,0.0,0.7411827900912598
1.2,0.6,0.0,0.7961774207549119
1.3,0.5,0.0,0.7517812110045338
1.3,0.6,-0.1,0.7417635850571616
1.3,0.5,-0.2,0.7344916158306375
1.2,0.6,-0.1,0.7991416556371769
1.3,0.5,-0.1,0.7475358327262102
1.3,0.6,-0.2,0.7335116611644317
1.3,0.3,-0.5,0.6354453091552593
1.2,0.6,-0.2,0.7910270357140274
1.3,0.6,-0.3,0.7172753684449056
1.3,0.6,-0.4,0.6945846983379829
1.2,0.6,-0.4,0.7464665438626219
1.3,0.5,-0.4,0.6878071118045765
1.3,0.6,-0.5,0.6672894055494071
1.3,0.4,-0.6,0.614320018403267
1.2,0.6,-0.5,0.7144942761763701
1.3,0.5,-0.5,0.6579720890593415
1.3,0.6,-0.6,0.6388989357845652
1.2,0.6,-0.6,0.6793083033313849
1.3,0.5,-0.6,0.6262399688396245
1.3,0.3,-0.3,0.7007582900162072
1.3,0.3,-0.6,0.6016510765208648
1.0,0.5,-0.6,0.7628774016096761
1.0,0.3,-0.6,0.7214370411846386
1.1,0.4,-0.5,0.7399000860507818
1.3,0.4,-0.3,0.7084106010984548
1.1,0.6,-0.6,0.7271167721736734
1.2,0.4,-0.6,0.6522166528767741
1.1,0.4,-0.6,0.69471268139764
1.3,0.3,-0.4,0.6689778927066131
1.1,0.6,-0.4,0.8066846351512551
1.3,0.4,-0.4,0.6792012477193211
1.1,0.5,-0.6,0.7115158062148723
1.0,0.6,-0.5,0.8317470379072808
1.1,0.3,-0.6,0.6770428156846664
1.2,0.4,-0.5,0.6906222618749271
1.2,0.5,-0.4,0.7383951658381355
1.2,0.5,-0.3,0.7690355897475257
1.0,0.6,-0.4,0.8774111610842794
1.1,0.4,-0.3,0.8253899603613918
1.1,0.3,-0.5,0.7229684818221522
1.3,0.4,-0.5,0.6472842938951858
1.3,0.5,-0.3,0.7139683972346605
1.1,0.6,-0.3,0.8376172635801724
1.1,0.6,-0.5,0.7687560663359944
1.1,0.3,-0.4,0.7695000592041897
1.0,0.4,-0.4,0.8499338010292131
1.2,0.6,-0.3,0.77280294277942
1.1,0.3,-0.3,0.8142191170355736
1.0,0.6,-0.6,0.7818194124169686
1.0,0.5,-0.5,0.8152078224430641
1.2,0.5,-0.6,0.6662977638325666
1.1,0.4,-0.4,0.7844016342683842
1.2,0.3,-0.6,0.6373217380159404
1.2,0.5,-0.5,0.7033697758654672
1.0,0.4,-0.6,0.7426024677594664
1.0,0.6,-0.3,0.914250221972396
1.2,0.4,-0.4,0.7280865502627036
1.1,0.5,-0.4,0.7969307055412619
1.0,0.5,-0.4,0.8654202204813302
1.1,0.5,-0.5,0.7552951328434185
1.1,0.5,-0.3,0.8332894855093362
1.1,0.6,-0.1,0.8656734830160479
1.0,0.6,-0.1,0.9435830243331508
1.1,0.5,-0.1,0.8759624053997553
1.1,0.6,-0.2,0.8581630831206974
1.1,0.6,0.0,0.8590954906501449
0.9,0.6,0.1,0.974787996942982
0.9,0.6,-0.1,1.0357990521266536
1.0,0.5,-0.1,0.9576551574271068
1.0,0.6,-0.2,0.9374980898296984
1.0,0.6,0.0,0.9314927677991603
0.8,0.5,0.0,1.1553162904233276
0.8,0.6,-0.1,1.1462004916717392
0.9,0.5,-0.1,1.055440025004386
0.9,0.6,-0.2,1.03259382590094
0.9,0.6,0.0,1.015216447325924
0.9,0.6,0.2,0.921152994125144
0.7,0.6,-0.1,1.2799101038408964
0.8,0.5,-0.1,1.1742821281150255
0.8,0.6,-0.2,1.1484936006787996
0.8,0.6,0.0,1.1123657660333195
0.9,0.5,0.2,0.9644226224852998
0.7,0.5,-0.1,1.3212151505668162
0.7,0.6,-0.2,1.292536788414911
0.7,0.6,0.0,1.2251020830005308
0.9,0.6,-0.4,0.9616389446014142
0.7,0.5,-0.2,1.3085587036000228
0.7,0.6,-0.3,1.259209296263348
0.7,0.6,0.1,1.1425095741715672
0.8,0.6,-0.4,1.0636056624118018
0.7,0.6,-0.4,1.1895079873236571
0.9,0.6,-0.5,0.9056966961568422
0.7,0.5,0.1,1.2104441037821665
0.7,0.4,0.1,1.2784957179772287
0.7,0.5,-0.0,1.284902459095652
0.7,0.5,-0.4,1.163902084346626
0.7,0.5,-0.5,1.065253146138999
1.0,0.4,-0.2,0.9402578512940938
1.0,0.5,-0.2,0.9415459760193516
0.9,0.4,0.1,1.0514655496220886
1.0,0.4,-0.3,0.8995804392215432
0.7,0.4,-0.4,1.130479697033605
0.7,0.6,-0.5,1.099766233024692
0.7,0.4,-0.5,1.0267688303591702
0.9,0.4,-0.2,1.0380723172210355
0.8,0.6,0.1,1.0545877984209284
0.8,0.4,-0.5,0.9374921229268584
0.8,0.6,-0.5,0.99363487609948
0.8,0.4,-0.3,1.096326292448994
0.7,0.4,-0.3,1.2305430906537458
0.8,0.4,0.0,1.19260556287787
0.7,0.5,-0.3,1.2508715544619866
1.0,0.6,0.1,0.9032065383928178
0.9,0.3,-0.4,0.9039257568069896
0.9,0.5,-0.4,0.9465958455258237
0.9,0.5,0.0,1.0466317668950271
0.7,0.3,-0.0,1.3826121120443282
0.8,0.6,-0.3,1.1186883876841875
0.7,0.4,-0.1,1.3506741940368852
0.9,0.3,-0.1,1.073635865249709
0.9,0.6,-0.3,1.0062409363906075
0.7,0.3,-0.3,1.1999137935936133
0.8,0.3,-0.0,1.2218592318175605
1.0,0.4,0.1,0.9617486973266652
0.7,0.4,-0.0,1.3387195048454423
0.8,0.5,-0.4,1.0442683991690933
0.9,0.5,-0.2,1.038907175568348
0.9,0.4,0.0,1.073124087775139
0.8,0.5,-0.2,1.1584425382015482
0.8,0.4,0.1,1.156199475440122
1.0,0.3,-0.2,0.9336987303180416
1.0,0.3,-0.3,0.8857291696225762
0.9,0.4,-0.4,0.9270731827660774
0.7,0.3,-0.2,1.2981215465996443
0.9,0.4,-0.3,0.988323773868786
0.8,0.3,-0.4,0.9893426794498646
0.7,0.4,-0.2,1.3104821589971805
0.9,0.5,-0.5,0.8850136958109123
0.8,0.4,-0.4,1.0190776444959253
0.9,0.3,0.0,1.0932394629452982
0.7,0.3,-0.4,1.0913291426738203
1.0,0.5,0.0,0.9548824539659424
0.8,0.5,-0.5,0.9672349599462512
0.9,0.5,-0.3,1.000363442387784
0.8,0.5,0.1,1.106220204506476
0.8,0.4,-0.1,1.1934560623664947
1.0,0.3,0.0,0.9883287916649012
0.7,0.3,-0.1,1.365529766327864
0.9,0.4,-0.1,1.0683183026389704
1.0,0.5,-0.3,0.9092324085907174
1.3,0.3,-0.1,0.7511872135302186
1.2,0.4,-0.1,0.81121654956468
1.1,0.3,-0.1,0.8840591270449143
1.2,0.2,-0.2,0.7787240829607276
0.7,0.6,-0.6,1.00462261225091
1.2,0.3,-0.0,0.8280572658435437
1.0,0.2,-0.2,0.922192428633922
0.8,0.5,-0.6,0.8891950390689509
0.8,0.2,-0.4,0.9563945330806788
1.2,0.5,-0.2,0.7926550662149596
1.1,0.4,-0.2,0.8592601971865368
1.1,0.5,-0.0,0.8768005217878416
1.0,0.3,-0.1,0.9697213665332824
1.1,0.2,-0.4,0.7526611101031427
1.0,0.4,-0.5,0.796351551875095
0.9,0.4,-0.5,0.8615459382147613
1.2,0.3,-0.3,0.7532834541560183
1.2,0.2,-0.5,0.6614261348947116
0.7,0.5,-0.6,0.96752138227299
0.9,0.6,-0.6,0.8449216905086524
1.3,0.2,-0.3,0.691216246427089
1.2,0.4,-0.2,0.7910917320685814
1.1,0.2,-0.3,0.8001764017266343
1.0,0.2,-0.3,0.8682606472952477
1.2,0.2,-0.3,0.7417949713385099
1.1,0.1,-0.3,0.7837235839932626
1.1,0.2,-0.2,0.8444411056349889
1.3,0.2,-0.2,0.7224587293910976
0.9,-0.0,-0.2,0.9701400398668146
0.8,0.3,-0.2,1.1487461818628448
1.3,0.1,-0.1,0.7440699450749932
0.9,-0.1,-0.4,0.7920987231024395
0.9,0.1,-0.3,0.92277456628095
1.3,-0.0,-0.3,0.6674379832736005
0.8,0.3,-0.3,1.0735067841151256
1.1,0.1,-0.1,0.8746565798631032
1.3,-0.0,-0.2,0.7033040391549943
1.0,0.2,-0.5,0.7538594643494405
1.3,0.3,-0.0,0.7656147091101931
1.2,0.4,-0.0,0.8205369613575332
1.1,0.2,-0.1,0.8815133250607878
0.9,0.0,-0.6,0.6937932157517209
0.9,0.3,-0.6,0.7712216895740643
1.1,0.2,-0.6,0.6588104849085227
1.3,0.2,-0.0,0.7684120715335604
0.8,0.0,-0.0,1.243067174207931
1.2,-0.0,-0.1,0.7952272864352643
1.0,0.1,-0.2,0.9062787220458622
1.3,-0.1,-0.0,0.759509972951008
1.1,0.2,-0.0,0.907072291953066
1.3,0.4,-0.1,0.7507108179405271
1.3,0.3,-0.2,0.7288799601693059
1.2,0.1,-0.2,0.7683430365047373
0.9,0.1,-0.4,0.8502903446462253
0.8,0.2,-0.0,1.240909819429311
1.1,0.4,-0.1,0.8821809711967811
1.2,-0.1,-0.5,0.6124517862108896
0.9,0.0,-0.4,0.8214247440035658
0.9,0.2,-0.4,0.8780462414814915
0.8,0.4,-0.6,0.858548875328025
1.3,0.1,-0.3,0.6800234074118887
0.9,0.3,-0.5,0.8360693820989799
1.0,0.2,-0.4,0.8108236182883682
1.2,0.1,-0.5,0.6455420034938072
1.2,0.2,-0.0,0.8320607315071175
0.9,-0.0,-0.1,1.0433157868202707
1.3,0.1,-0.5,0.6091874775975153
1.0,-0.0,-0.4,0.7648875399032089
0.9,0.2,-0.6,0.7452523932074717
1.2,0.4,-0.3,0.7624577835435267
0.9,0.4,-0.6,0.7968378285094985
1.3,0.4,-0.2,0.7329316981131395
1.3,0.0,-0.4,0.6309567352514469
0.9,0.3,-0.2,1.0301404448060036
1.0,0.2,-0.1,0.9670880937868112
0.9,0.2,-0.0,1.1057368810359178
0.8,0.0,-0.1,1.1639155899435898
0.8,0.3,-0.5,0.9055240114673734
0.8,0.0,-0.5,0.8053149267721282
1.1,0.0,-0.4,0.7149029733039566
1.0,0.1,-0.3,0.8478418974883037
1.3,0.2,-0.1,0.7489496305074816
1.1,-0.1,-0.5,0.6471178881948573
1.0,0.1,-0.6,0.6779351863186508
0.8,-0.1,-0.4,0.8496534296355396
1.2,0.1,-0.6,0.606019992633224
1.1,0.1,-0.6,0.6402821512690564
1.3,0.1,-0.6,0.5748025510482784
1.2,0.0,-0.6,0.5900146224474275
1.2,0.2,-0.6,0.6218514229435832
1.1,-0.1,-0.6,0.6032018322499851
1.2,-0.1,-0.6,0.5739945026907282
1.1,0.0,-0.5,0.666664592910357
1.1,0.0,-0.6,0.6216838677942487
1.2,0.3,-0.5,0.6765444573747553
1.0,-0.1,-0.5,0.6851581373742786
1.0,0.3,-0.5,0.7757281615003838
1.3,0.2,-0.6,0.5884210604184552
1.0,0.1,-0.4,0.7884220163380176
1.3,-0.1,-0.6,0.5469977761605467
1.1,-0.2,-0.6,0.5849849081699119
1.0,0.3,-0.4,0.8315297653530512
0.9,-0.2,-0.4,0.7628355558544467
