c1,c2,c3,reward
1.0,0.0,0.0,0.0260550000609204
0.9,0.0,0.0,0.0237989999221591
1.1,0.0,0.0,0.0283110001681906
1.0,-0.1,0.0,0.0259909998738243
1.0,0.1,0.0,0.0261189998092041
1.0,0.0,-0.1,0.027634499782049
1.0,0.0,0.1,0.0244755000952372
1.3,0.1,-0.2,0.0360460000432119
1.2,0.1,-0.2,0.0337900000206289
1.3,0.0,-0.2,0.035982000092306
1.3,0.2,-0.2,0.0361099998510545
1.3,0.1,-0.3,0.0376255000746381
1.3,0.1,-0.1,0.0344665000460743
1.3,-0.0,-0.1,0.0344024998811706
1.2,0.1,-0.3,0.0353695000351182
1.3,0.0,-0.3,0.0375614998977881
1.3,0.2,-0.3,0.0376895000555514
1.3,0.1,-0.4,0.0392050000301502
1.3,0.1,-0.6,0.0423640001911752
1.2,0.1,-0.6,0.0401080000433321
1.3,0.0,-0.6,0.0422999999249282
1.3,0.2,-0.6,0.0424280002067727
1.3,0.1,-0.5,0.0407844998085095
1.3,0.2,-0.4,0.0392689999330755
1.2,0.2,-0.6,0.0401719998315857
1.3,0.3,-0.6,0.0425163290147587
1.3,0.2,-0.5,0.0408484997327022
1.3,0.6,-0.6,0.0431348473277183
1.2,0.6,-0.6,0.041037245391333
1.3,0.5,-0.6,0.0428925366567293
1.3,0.6,-0.5,0.0411045002241954
1.3,0.6,-0.3,0.0382765267980475
1.1,0.4,-0.6,0.0382103691171308
1.1,0.6,-0.3,0.033433499951877
1.3,0.6,-0.4,0.0397642656736579
1.3,0.5,-0.3,0.0380493717950169
1.1,0.5,-0.6,0.0382164772662485
1.1,0.6,-0.6,0.038524217494475
1.3,0.4,-0.3,0.0378175000342815
1.1,0.4,-0.4,0.0348849998627475
1.3,0.5,-0.4,0.0394610000097637
1.1,0.6,-0.4,0.0350130000279968
1.2,0.6,-0.4,0.037364324677162
1.0,0.6,-0.6,0.0363835218210368
1.3,0.4,-0.5,0.0410599829248154
1.1,0.3,-0.6,0.0380309610239138
1.3,0.3,-0.3,0.0377534997492068
1.3,0.5,-0.5,0.0410405002280619
1.3,0.3,-0.5,0.0409124998317868
1.0,0.6,-0.4,0.0332547120124088
1.3,0.4,-0.4,0.0393969999936507
1.3,0.4,-0.6,0.0426690209414033
1.2,0.4,-0.6,0.0403160729938733
1.1,0.5,-0.4,0.0349489998795042
1.0,0.5,-0.4,0.03271591946105
1.3,0.3,-0.4,0.0393329999119972
1.2,0.6,-0.5,0.0388484996104815
1.2,0.4,-0.5,0.0387204999486173
1.1,0.4,-0.5,0.0364644998547909
1.2,0.5,-0.5,0.038784500604718
1.2,0.5,-0.4,0.0372049999001511
1.0,0.6,-0.3,0.0311775000459028
1.2,0.3,-0.6,0.0402359998119037
1.2,0.5,-0.6,0.0405733898737166
1.2,0.3,-0.5,0.0386564999048312
1.1,0.3,-0.5,0.0364005000399507
1.1,0.3,-0.3,0.0332414997896379
1.0,0.5,-0.6,0.0363215523034433
1.1,0.6,-0.5,0.0365924998602485
1.0,0.4,-0.6,0.0358609992828445
1.2,0.6,-0.3,0.0361657347337359
1.2,0.4,-0.4,0.0371409998053557
1.1,0.3,-0.4,0.034821000032867
1.0,0.6,-0.5,0.0352239146548403
1.1,0.5,-0.5,0.036528500074279
1.2,0.5,-0.3,0.0356255000698476
1.0,0.3,-0.6,0.0357239998954425
1.2,0.0,-0.6,0.0400439999228613
1.3,-0.1,-0.6,0.04223600006652
1.3,0.0,-0.5,0.040720499976876
1.3,-0.2,-0.3,0.0374334998959456
1.2,-0.1,-0.6,0.0399800001519068
1.3,-0.2,-0.6,0.0421720002121917
1.3,-0.1,-0.5,0.040656499916021
1.2,-0.2,-0.6,0.039916000226175
1.3,-0.3,-0.6,0.0421079998564894
1.3,-0.2,-0.5,0.0405925000637851
1.1,-0.2,-0.6,0.037659999986652
1.2,-0.3,-0.6,0.0398519998986865
1.3,-0.4,-0.6,0.0420439999620565
1.3,-0.3,-0.5,0.0405285002529266
1.0,-0.1,-0.6,0.0354680000219012
1.2,-0.4,-0.6,0.0391009975862845
1.3,-0.5,-0.6,0.0419800000976143
1.3,-0.4,-0.5,0.0404645000930507
1.3,-0.6,-0.6,0.0419160002073527
1.2,-0.6,-0.6,0.039660000037162
1.3,-0.6,-0.5,0.0403364997659484
1.0,-0.6,-0.5,0.0335684999297274
1.1,-0.5,-0.6,0.0374680000733841
1.3,-0.5,-0.3,0.0372415002154599
1.1,-0.5,-0.5,0.0358885000801321
1.1,-0.6,-0.5,0.0358245001802294
1.3,-0.4,-0.3,0.0373055000584081
1.1,-0.5,-0.4,0.0343090002640512
1.1,-0.4,-0.6,0.0375319998988143
1.3,-0.6,-0.3,0.0371774999531621
1.1,-0.6,-0.6,0.037403999585703
1.3,-0.5,-0.4,0.0388209997693531
1.2,-0.6,-0.4,0.0365010001490453
1.2,-0.5,-0.5,0.038144500167298
1.3,-0.3,-0.4,0.0389490000297457
1.2,-0.3,-0.5,0.0382725000577896
1.0,-0.6,-0.6,0.035147999964242
1.2,-0.6,-0.5,0.0380804995083683
1.2,-0.5,-0.4,0.0365649997892497
1.1,-0.6,-0.4,0.0342449998091994
1.3,-0.6,-0.4,0.0387569999747997
1.0,-0.4,-0.6,0.0352760000249977
1.1,-0.4,-0.4,0.0343730001081638
1.3,-0.4,-0.4,0.0388850000018056
1.0,-0.6,-0.3,0.0304094999165625
1.0,-0.5,-0.6,0.03521200032524
1.0,-0.6,-0.4,0.0319890001419379
1.1,-0.3,-0.6,0.0375959998795351
1.3,-0.3,-0.3,0.0373694999290381
1.2,-0.5,-0.3,0.0349855002017595
1.1,-0.6,-0.3,0.032665500052207
1.2,-0.5,-0.6,0.0393433071485068
1.3,-0.5,-0.5,0.0404005000073275
1.2,-0.6,-0.3,0.0349214999960183
1.2,-0.6,-0.2,0.0333419999510911
1.3,-0.6,-0.2,0.0355980000005236
1.1,-0.6,-0.2,0.0310859996565682
1.2,-0.5,-0.2,0.0334059996743709
1.2,-0.6,-0.1,0.0317624999641173
1.2,-0.4,0.0,0.0303110000975255
1.0,-0.6,-0.2,0.0288299997989689
1.1,-0.5,-0.2,0.0311499996636412
1.1,-0.6,-0.1,0.029506499912303
0.9,-0.6,-0.2,0.0265740000125328
1.0,-0.5,-0.2,0.0288939997706466
1.0,-0.6,-0.1,0.0272504998508413
0.8,-0.6,-0.2,0.0243179999921276
0.9,-0.5,-0.2,0.0266379996111606
0.9,-0.6,-0.3,0.0281535000053292
0.9,-0.6,-0.1,0.0249944999495092
0.7,-0.6,-0.2,0.0220620000717296
0.8,-0.5,-0.2,0.0243820000409526
0.8,-0.6,-0.3,0.0258975001209332
0.8,-0.6,-0.1,0.0227384999139284
0.7,-0.5,-0.2,0.022126000069442
0.7,-0.6,-0.3,0.0236414999649904
0.7,-0.6,-0.1,0.0204825000293139
0.7,-0.6,-0.4,0.0252210000412275
0.7,-0.5,-0.1,0.0205464999395041
0.7,-0.6,0.0,0.0189029999488678
0.7,-0.5,-0.0,0.0189670000622946
0.8,-0.6,0.0,0.0211590000166301
0.7,-0.6,0.1,0.0173235000027016
0.7,-0.6,0.4,0.0125849998316934
0.8,-0.6,0.4,0.0148410000200862
