c1,c2,c3,reward
1.0,0.0,0.0,0.0198099999856568
0.9,0.0,0.0,0.0182804999311636
1.1,0.0,0.0,0.0213394999341118
1.0,-0.1,0.0,0.0199090000633754
1.0,0.1,0.0,0.0197110000512352
1.0,0.0,-0.1,0.0196484999595804
1.0,0.0,0.1,0.0199714999237393
1.1,-0.1,-0.2,0.0211154999583831
1.2,0.0,0.0,0.0228690000944773
1.1,-0.1,0.0,0.0214385000080255
1.1,0.1,0.0,0.0212405000173187
1.1,0.0,-0.1,0.0211779999930358
1.1,0.0,0.1,0.0215009999775675
1.4,-0.1,-0.0,0.0258151075180806
1.3,-0.1,-0.0,0.0244975000755711
1.5,-0.1,-0.0,0.0268288607734404
1.4,-0.2,-0.0,0.0255730288023028
1.4,0.0,-0.0,0.0259280000287946
1.4,-0.1,-0.1,0.0253295888529523
1.4,-0.1,0.1,0.0258800358126374
1.5,0.0,-0.0,0.027084811367625
1.5,0.1,-0.0,0.0264732917143468
1.5,0.0,-0.1,0.0269068885359852
1.5,0.0,0.1,0.0268216495874852
1.2,-0.1,0.2,0.0232910000537086
1.5,-0.1,-0.2,0.0257639842612723
1.5,0.2,-0.0,0.0266232191800538
1.5,0.1,0.2,0.0264705713244734
1.5,-0.1,0.1,0.0264196309685893
1.3,0.3,0.2,0.0244244999193854
1.5,0.0,0.3,0.0262501467873111
1.3,-0.2,0.1,0.0247579999849752
1.5,0.2,0.3,0.0259261075651715
1.5,0.2,-0.2,0.0246882460867579
1.3,0.1,0.1,0.0244610000221526
1.4,-0.1,0.2,0.0263155375747532
1.3,-0.3,0.1,0.0244675447434315
1.5,-0.1,0.2,0.0254873754789072
1.2,0.2,0.3,0.0231554999642164
1.5,0.1,0.3,0.0257133801818001
1.5,0.2,-0.1,0.027026984681887
1.5,-0.2,-0.2,0.024721987797627
1.5,-0.3,0.1,0.0270331471043558
1.5,0.1,0.1,0.0260001677916568
1.5,0.1,-0.3,0.0242207728075307
1.5,0.3,-0.2,0.0268375001953137
1.5,-0.0,-0.2,0.0256425970813644
1.4,0.1,-0.3,0.0239797546677546
1.4,0.2,-0.1,0.0255265406413314
1.3,-0.2,-0.2,0.0238540457180163
1.3,-0.2,-0.1,0.0244349999778493
1.3,-0.0,0.3,0.0248829999971609
1.5,0.2,0.2,0.0270451987021069
1.5,0.2,-0.3,0.0248093671113905
1.3,0.3,0.1,0.0242630000072136
1.5,-0.3,-0.3,0.021464780505724
1.2,-0.3,-0.1,0.0230044999661242
1.4,0.2,0.1,0.0258915000625333
1.4,-0.2,0.1,0.0257971405175641
1.2,0.2,-0.1,0.0225095000921781
1.3,-0.3,-0.2,0.0241443084672788
